index,category,title,question,group,url,contact,answer
0,การขนส่ง,ที่จอดรถของมหาวิทยาลัย,ฉันต้องจ่ายค่าผ่านทางหรือไม่หากต้องการจอดรถในมหาวิทยาลัยในวันธรรมดา,ชีวิต,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,เมื่อคุณเข้ามหาวิทยาลัยเพื่อจอดรถในวันธรรมดา คุณต้องจ่ายค่าธรรมเนียมตามมิเตอร์ ระยะเวลาการชาร์จคือตั้งแต่ 7:00 น. ถึง 22:00 น. และค่าธรรมเนียมคือ 20 หยวนต่อชั่วโมง อย่างไรก็ตาม ชั่วโมงแรกฟรีน้อยกว่า 30 นาที ชั่วโมงที่สองต่ำกว่า 30 นาทีคิด 10 หยวนต่อครึ่งชั่วโมง และเกิน 30 นาทีคิด 20 หยวนต่อชั่วโมง
1,การขนส่ง,ที่จอดรถของมหาวิทยาลัย,ขั้นตอนการสมัครค่าธรรมเนียมปกติเป็นอย่างไร?,ชีวิต,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,หากต้องการสมัครเป็นค่าธรรมเนียมปกติ ก่อนอื่นคุณต้องดาวน์โหลดแบบฟอร์มคำขอใบอนุญาตจอดรถจากเว็บไซต์ของสำนักงานกิจการทั่วไป กรอกแบบฟอร์ม ค้นหาตราประทับที่หน้าต่างหน่วย จากนั้นส่งไปยังสำนักงานกิจการทั่วไปเพื่อสมัคร . เมื่อคุณได้รับแจ้งว่าคุณสามารถรับบัตรจอดรถและชำระค่าธรรมเนียมได้ ถือว่าการสมัครเสร็จสมบูรณ์
2,การขนส่ง,ที่จอดรถของมหาวิทยาลัย,ข้อจำกัดและข้อบังคับสำหรับรถจักรในวิทยาเขตมีอะไรบ้าง?,ชีวิต,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,ตู้รถไฟถูกจำกัดอย่างเข้มงวดภายในบริเวณ ยกเว้นรถสายตรวจของทางสถานีตำรวจและกองรักษาการณ์และรถจักรยานยนต์สำหรับผู้พิการ ห้ามให้รถจักรยานยนต์อื่นผ่านในสนาม ควรจอดหัวรถจักรในที่จอดรถสำหรับหัวรถจักรที่กำหนดไว้ เว้นแต่จะได้รับอนุญาตพิเศษให้เข้าไปในโรงพยาบาลได้ในกรณีฉุกเฉิน
3,การขนส่ง,ข้อมูลการจราจร,ที่ตั้งของ Academia Sinica อยู่ที่ไหน?,ชีวิต,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Academia Sinica ตั้งอยู่ที่ No. 128, Section 2, Yuanyuan Road, Nangang District, Taipei City"
4,การขนส่ง,ข้อมูลการจราจร,จะสอบถามเกี่ยวกับรูปแบบการขนส่งต่างๆ ไปยัง Academia Sinica ได้อย่างไร?,ชีวิต,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,คุณสามารถดูเว็บไซต์นี้ (https://www.sinica.edu.tw/ch/articles/37) เพื่อเรียนรู้เกี่ยวกับวิธีการเดินทางต่างๆ ไปยัง Academia Sinica
5,การขนส่ง,ข้อมูลการจราจร,ฉันจะดาวน์โหลดแผนที่แนะนำวิทยาเขตได้ที่ไหน,ชีวิต,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,คุณสามารถดาวน์โหลดแผนที่แนะนำวิทยาเขตผ่านเว็บไซต์นี้: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf
6,การขนส่ง,ข้อมูลการจราจร,Academia Sinica มีสถานที่ท่องเที่ยวหรือสิ่งอำนวยความสะดวกพิเศษหรือไม่?,ชีวิต,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,สำหรับสถานที่ท่องเที่ยวพิเศษหรือสิ่งอำนวยความสะดวกของ Academia Sinica โปรดดูแผนที่แนะนำวิทยาเขตนี้: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf ซึ่งมีคำแนะนำโดยละเอียด
7,อยู่,ข้อมูลหอพัก,กู้หอพักรับน้องใหม่เมื่อไหร่ก็ได้ภายใน 5 ปี ?,ชีวิต,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,ได้ ภายในห้าปีหลังจากเข้ารับตำแหน่ง คุณสามารถยืมหอพักสำหรับผู้รับสมัครใหม่ได้ตลอดเวลา อย่างไรก็ตาม โปรดทราบว่าหอพักนักศึกษาใหม่แบบห้องเดี่ยวและหลายห้องสามารถยืมได้เพียงครั้งเดียวเท่านั้น
8,อยู่,ข้อมูลหอพัก,หอพักนักศึกษาใหม่แบบห้องเดียวและหลายห้องสามารถยืมได้ครั้งเดียวจริงหรือ?,ชีวิต,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,ได้ นักวิจัยที่ได้รับคัดเลือกใหม่สามารถยืมหอพักแบบห้องเดี่ยวและหอพักแบบหลายห้องสำหรับนักวิชาการที่เพิ่งคัดเลือกได้หนึ่งครั้งภายในห้าปี หลังจากยืมหอพักห้องเดี่ยว คุณจะไม่สามารถยืมหอพักห้องเดี่ยวที่เช่าใหม่ได้อีกต่อไป แต่คุณยังคงสามารถยืมหอพักหลายห้องที่เช่าใหม่ได้ภายในห้าปี
9,อยู่,ข้อมูลหอพัก,หากต้องการยืมหอพักควรสอบถามผู้จัดหอพักของแต่ละศูนย์ก่อนว่าจะสมัครในนามได้หรือไม่?,ชีวิต,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,ได้ ถ้าคุณต้องการยืมหอพัก คุณควรติดต่อผู้สนับสนุนหอพักของแต่ละศูนย์ก่อนและขอให้สมัครในนามของคุณ
