index,category,title,question,group,url,contact,answer
0,транспортування,Кампус Парковка,"Чи потрібно мені платити за проїзд, якщо я хочу припаркуватися на території кампусу в будні?",життя,хттпс://дга.синица.еду.тв/постс/167917,02-2789-9432,"Якщо ви в'їжджаєте на територію кампусу, щоб припаркуватися в будні дні, вам потрібно заплатити плату за лічильником. Період зарядки - з 7:00 до 22:00, а плата - 20 юанів за годину. Однак менше 30 хвилин протягом першої години є безкоштовним. З другої години менше 30 хвилин стягуватиметься за 10 юанів за півгодини, а більше 30 хвилин — за 20 юанів за годину."
1,транспортування,Кампус Парковка,Який процес подання заявки на регулярні збори?,життя,хттпс://дга.синица.еду.тв/постс/167917,02-2789-9432,"Щоб подати заяву на регулярну плату, необхідно спочатку завантажити форму заяви на дозвіл на паркування з веб-сайту Управління загальних справ, заповнити її, знайти печатку у віконці підрозділу, а потім надіслати її до Управління загальних питань для подання . Коли вам повідомлять, що ви можете отримати талон на паркування та сплатити збір, заявка вважається завершеною."
2,транспортування,Кампус Парковка,Які обмеження та правила для локомотивів у кампусі?,життя,хттпс://дга.синица.еду.тв/постс/167917,02-2789-9432,"Локомотиви суворо обмежені в межах комплексу. Крім службових патрульних автомобілів відділку міліції та гарнізонного наряду та мотоциклів-інвалідів, іншим мотоциклам проїзд у дворі заборонено. Локомотиви повинні бути припарковані на спеціально відведеній стоянці для локомотивів, якщо немає спеціального дозволу на в'їзд до лікарні в екстрених випадках."
3,транспортування,інформація про дорожній рух,Де знаходиться Academia Sinica?,життя,хттпс://ввв.синица.еду.тв/ч/артіцлес/зщ,02-2789-9827,"Academia Sinica розташована за адресою No. 128, Section 2, Yuanyuan Road, Nangang District, Taipei City."
4,транспортування,інформація про дорожній рух,Як дізнатися про різні види транспорту до Academia Sinica?,життя,хттпс://ввв.синица.еду.тв/ч/артіцлес/зщ,02-2789-9827,"Ви можете звернутися до цього веб-сайту (https://www.sinica.edu.tw/ch/articles/37), щоб дізнатися про різні способи транспортування до Academia Sinica."
5,транспортування,інформація про дорожній рух,Де я можу завантажити путівник по кампусу?,життя,хттпс://ввв.синица.еду.тв/ч/артіцлес/зщ,02-2789-9827,Ви можете завантажити карту путівника по кампусу на цьому веб-сайті: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf
6,транспортування,інформація про дорожній рух,Чи є в Academia Sinica якісь особливі пам'ятки чи зручності?,життя,хттпс://ввв.синица.еду.тв/ч/артіцлес/зщ,02-2789-9827,"Для отримання інформації про особливі пам’ятки та об’єкти Academia Sinica, будь ласка, зверніться до цієї карти путівника по кампусу: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf, яка містить детальний вступ."
7,залишитися,Інформація про гуртожиток,Чи можу я позичити гуртожиток для новобранців у будь-який час протягом 5 років?,життя,хттпс://дорм.апс.синица.еду.тв/,02-2789-8068 02-2789-8705,"Так, протягом п’яти років після вступу на посаду ви можете в будь-який час орендувати гуртожиток для новобранців. Однак слід зазначити, що однокімнатні та багатокімнатні нові студентські гуртожитки можна здавати лише один раз."
8,залишитися,Інформація про гуртожиток,"Чи правда, що однокімнатний гуртожиток і багатокімнатний новий студентський гуртожиток можна взяти одноразово?",життя,хттпс://дорм.апс.синица.еду.тв/,02-2789-8068 02-2789-8705,"Так, однокімнатний гуртожиток та багатокімнатний гуртожиток для новоспечених науковців можуть взяти в оренду один раз на п’ять років. Після оренди однокімнатного гуртожитку ви вже не можете орендувати однокімнатний гуртожиток, але протягом п’яти років можете взяти в оренду багатокімнатний гуртожиток."
9,залишитися,Інформація про гуртожиток,"Якщо я хочу позичити гуртожиток, я повинен спочатку попросити організаторів гуртожитків кожного центру подати заявку на це від мого імені?",життя,хттпс://дорм.апс.синица.еду.тв/,02-2789-8068 02-2789-8705,"Так, якщо ви хочете позичити гуртожиток, вам слід спочатку зв’язатися зі спонсорами гуртожитків кожного центру та попросити їх подати заявку від вашого імені."
10,залишитися,Інформація про гуртожиток,Які існують обмеження щодо оренди гуртожитку для новоприйнятих студентів?,життя,хттпс://дорм.апс.синица.еду.тв/,02-2789-8068 02-2789-8705,"Обмеження щодо позичання гуртожитків для новоприйнятих науковців, зокрема те, що науковці можуть позичати гуртожиток для новоприйнятих науковців (поділені на однокімнатні та багатокімнатні гуртожитки) у будь-який час протягом п’яти років після їх призначення, але кожен тип гуртожитку може бути позичений лише один раз. Щоб отримати докладні правила запозичення, зверніться на веб-сайт «Пункт управління гуртожитками Academia Sinica»: https://dga.sinica.edu.tw/posts/78695. При необхідності переведення інших типів гуртожитків також необхідно дотримуватися відповідних норм."
