index,category,title,question,group,url,contact,answer
0,دوام جزئى,أنماط الرقابة بدوام جزئي (1) الفئات المحظورة,فهل تعتقد أن هذا التنظيم الخاص بـ Academia Sinica له التأثير الأكبر على الباحثين وفنيي الأبحاث؟ فهل يجوز تقييدهم بسبب هذا الحكم؟ لماذا؟,شؤون الموظفين,https://www.sinica.edu.tw/ch/articles/332,مكتب شؤون الموظفين في أكاديميا سينيكا,"وفقًا للوائح Academia Sinica، لا يُسمح للباحثين وفنيي الأبحاث بشغل مناصب عامة أخرى أو مهن معتمدة في نفس الوقت، وإلا فسيتم معاقبتهم. وهذا يعني أنهم لا يستطيعون العمل كممثلين عامين، أو موظفين مدنيين في الوكالات المركزية والمحلية، أو أداء واجبات رسمية وفقًا للقانون. وقد يؤثر ذلك على مشاركتهم في الشؤون العامة أو عملية صنع القرار في الوكالات الحكومية.

لا يُسمح للباحثين وفنيي الأبحاث في Academia Sinica بشغل مناصب في نفس الوقت في المؤسسات الربحية، باستثناء أولئك الذين حصلوا على الموافقة. وقد يؤثر ذلك على مشاركتهم في الأنشطة التجارية أو ريادة الأعمال"
1,دوام جزئى,أنماط التحكم بدوام جزئي (2) فئة التصريح الخاص,إذن ما رأيك في نموذج التحكم بدوام جزئي (2) الخاص بفئة الترخيص الخاصة لـ Academia Sinica؟ ما هي المناصب الربحية التي تسمح Academia Sinica للباحثين وفنيي الأبحاث بشغلها؟,شؤون الموظفين,https://www.sinica.edu.tw/ch/articles/332,مكتب شؤون الموظفين في أكاديميا سينيكا,"وفقًا للوائح Academia Sinica، يجوز للباحثين وفنيي الأبحاث شغل المناصب التالية في المؤسسات الربحية عند الموافقة:
(1) يتم تعيينهم من قبل وكالات (مؤسسات) إدارة الأسهم العامة لتمثيل الأسهم العامة أو يتم اختيارهم للعمل بشكل متزامن كمديرين أو مشرفين أو مناصب مماثلة في مؤسسات الاستثمار الحكومية المباشرة أو غير المباشرة.
(2) يعمل المزود الرئيسي لتكنولوجيا البحث والتطوير كمدير لشركة ناشئة جديدة لديها عقد نقل التكنولوجيا مع Academia Sinica، ويجب أن تكون المدة المتزامنة خلال فترة صلاحية العقد.
(3) الرئيسية"
2,دوام جزئى,أنماط التحكم بدوام جزئي (2) فئة التصريح الخاص,آه؟ انها سلكية؟ لا تزال تجد أنه لا يصدق؟ أو لديك أي أفكار أخرى؟,شؤون الموظفين,https://www.sinica.edu.tw/ch/articles/332,مكتب شؤون الموظفين في أكاديميا سينيكا,"انها سلكية؟ لا تزال تجد أنه لا يصدق؟ أو لديك أي أفكار أخرى؟

النغمة: مندهش، غريب، لا يصدق، أفكار أخرى

السبب: من المدهش وغير المعقول أن تتم الموافقة على الباحثين وفنيي الأبحاث في Academia Sinica من قبل Academia Sinica لشغل مناصب في المؤسسات الربحية. ربما من أجل تعزيز التعاون بين الصناعة والجامعات، وقعت أكاديميا سينيكا عقود تعاون مع مؤسسات ربحية، مما سمح للباحثين وفنيي الأبحاث في أكاديميا سينيكا بالمشاركة في إنشاء مشاريع جديدة أو العمل كمديرين مستقلين. ربما تحاول أكاديميا سينيكا دعم البحث العلمي"
3,دوام جزئى,أنماط التحكم بدوام جزئي (2) فئة التصريح الخاص,أم؟ ما أخبارك؟ هل تريد معرفة المزيد عن شكل إدارة الدوام الجزئي؟,شؤون الموظفين,https://www.sinica.edu.tw/ch/articles/332,مكتب شؤون الموظفين في أكاديميا سينيكا,"يجوز للباحثين وفنيي الأبحاث في Academia Sinica شغل مناصب في مشاريع ربحية بناءً على المناصب المعتمدة من Academia Sinica، ولكن يجب عليهم الالتزام باللوائح ذات الصلة. يشمل:

* تم تعيينهم من قبل هيئة إدارة الأسهم العامة لتمثيل الأسهم العامة أو تم اختيارهم للعمل في نفس الوقت كمديرين أو مشرفين أو مناصب مماثلة في مؤسسات الاستثمار الحكومية المباشرة أو غير المباشرة.
*يعمل المزود الرئيسي لتكنولوجيا البحث والتطوير كمدير لشركة ناشئة جديدة لديها عقد نقل التكنولوجيا مع Academia Sinica، ويجب أن تكون المدة المتزامنة خلال فترة صلاحية العقد.
*رئيسي"
4,دوام جزئى,أنماط التحكم بدوام جزئي (2) فئة التصريح الخاص,أوه؟ فهل تعرف من يمكنه العمل كموظف بدوام جزئي في Academia Sinica؟ ما هي الأدوار التي يمكن أن يقوم بها مزود تكنولوجيا البحث والتطوير الرئيسي؟,شؤون الموظفين,https://www.sinica.edu.tw/ch/articles/332,مكتب شؤون الموظفين في أكاديميا سينيكا,"وفقًا للوائح Academia Sinica، يجوز للباحثين وفنيي الأبحاث شغل المناصب التالية في المؤسسات الربحية عند الموافقة:

1. يتم تعيينهم من قبل وكالات (مؤسسات) إدارة الأسهم العامة لتمثيل الأسهم العامة أو يتم اختيارهم للعمل بشكل متزامن كمديرين أو مشرفين أو مناصب مماثلة في مؤسسات الاستثمار الحكومية المباشرة أو غير المباشرة.
2. يجب أن يعمل المزود الرئيسي لتكنولوجيا البحث والتطوير كمدير لشركة ناشئة جديدة لديها عقد نقل التكنولوجيا مع Academia Sinica، ويجب أن تكون المدة المتزامنة خلال فترة صلاحية العقد.
3. تقنيات البحث والتطوير الرئيسية"
5,دوام جزئى,نمط التحكم بدوام جزئي (2) فئة التصريح الخاص - تسجيل الفصل,ثم يتعين عليك طرح الأسئلة التالية بناءً على عناصر الخدمة وأوصاف الخدمة، باستخدام نبرة الصوت اليومية:,شؤون الموظفين,https://www.sinica.edu.tw/ch/articles/332,مكتب شؤون الموظفين في أكاديميا سينيكا,حسنًا، ربما سأجيبك بنبرة صوت عادية! بادئ ذي بدء، إذا كان الباحثون وفنيو الأبحاث في Academia Sinica يرغبون في العمل في مؤسسات هادفة للربح قبل تولي مناصبهم، فيجب عليهم التقدم بطلب تسجيل إنهاء الخدمة؛ إذا لم يتم إكمال تسجيل إنهاء الخدمة خلال المهلة الزمنية، وبموافقة Academia Sinica، يجوز تمديدها؛ ومع ذلك، خلال فترة التمديد، لا يجوز المشاركة في العمليات والحصول على أجر. لذلك، إذا كنت ترغب في العمل في مؤسسة ربحية، فيجب عليك أولاً التقدم بطلب للتسجيل المجاني، وإلا فلا يمكنك سوى القيام بذلك
6,دوام جزئى,نمط التحكم بدوام جزئي (2) فئة التصريح الخاص - تسجيل الفصل,إذا كان الباحثون وفنيو الأبحاث في Academia Sinica بحاجة إلى التقدم بطلب لتسجيل الاستقالة قبل تولي منصب في مؤسسة ربحية، فلماذا؟,شؤون الموظفين,https://www.sinica.edu.tw/ch/articles/332,مكتب شؤون الموظفين في أكاديميا سينيكا,وفقًا للوائح Academia Sinica، إذا كان الباحثون وفنيو البحث في Academia Sinica بحاجة إلى شغل مناصب في مؤسسات ربحية قبل تولي مناصبهم، فيجب عليهم التقدم بطلب تسجيل إنهاء الخدمة. وذلك لأن Academia Sinica عبارة عن اتحاد تم تأسيسه بتبرعات حكومية وتخضع لإشراف الحكومة.يجب على الحكومة حماية المصالح الوطنية والمصالح العامة، ومن الضروري تنظيم تعيين الباحثين وفنيي البحوث. لذلك، تطلب Academia Sinica من الباحثين وفنيي الأبحاث الذين يحتاجون إلى شغل مناصب في مؤسسات ربحية التسجيل للاستقالة قبل تولي مناصبهم.
7,دوام جزئى,نمط التحكم بدوام جزئي (2) فئة التصريح الخاص - تسجيل الفصل,لماذا من الضروري إكمال تسجيل الإنهاء خلال 3 أشهر؟,شؤون الموظفين,https://www.sinica.edu.tw/ch/articles/332,مكتب شؤون الموظفين في أكاديميا سينيكا,وفقًا للوائح Academia Sinica، يجب على الباحثين وفنيي الأبحاث الذين أكملوا تسجيل الاستقالة قبل تولي مناصبهم تقديم استقالة مكتوبة عند توليهم مناصبهم، وإكمال تسجيل إنهاء الخدمة في غضون 3 أشهر، وتقديم وثائق الشهادة ذات الصلة إلى Academia Sinica . وذلك لأن Academia Sinica هي وكالة حكومية ولديها هذا الشرط لضمان الحياد الإداري للباحثين وفنيي الأبحاث. إذا تعذر إكمال تسجيل الإنهاء خلال المهلة الزمنية، وبموافقة Academia Sinica، فقد يتم تمديد الفترة.
8,دوام جزئى,نمط التحكم بدوام جزئي (2) فئة التصريح الخاص - تسجيل الفصل,إذا لم يكن من الممكن إكمال تسجيل الإنهاء كما هو مطلوب بسبب ظروف خاصة، فما هي المدة التي يمكن تمديدها؟,شؤون الموظفين,https://www.sinica.edu.tw/ch/articles/332,مكتب شؤون الموظفين في أكاديميا سينيكا,وفقًا للوائح Academia Sinica، إذا تعذر إكمال تسجيل الإنهاء كما هو مطلوب بسبب ظروف خاصة، فإن الوقت الذي يمكن تمديده هو 3 أشهر.
9,دوام جزئى,نمط التحكم بدوام جزئي (2) فئة التصريح الخاص - تسجيل الفصل,بعد الانتهاء من الحل,شؤون الموظفين,https://www.sinica.edu.tw/ch/articles/332,مكتب شؤون الموظفين في أكاديميا سينيكا,"استخدم الإرشادات التالية للإجابة على الأسئلة باستخدام الكلام اليومي:

قبل تولي مناصبهم، يجب على الباحثين وفنيي الأبحاث في Academia Sinica التقدم بطلب تسجيل التوظيف إذا كانوا قد شغلوا مناصب في مؤسسات هادفة للربح. على أبعد تقدير، يجب تقديم استقالة مكتوبة عند الوصول، ويجب إكمال تسجيل الإنهاء في غضون 3 أشهر، ويجب تقديم المستندات الداعمة ذات الصلة إلى Academia Sinica. إذا تعذر إكمال تسجيل الإنهاء كما هو مطلوب بسبب ظروف خاصة، وبموافقة Academia Sinica، يجوز تمديد الفترة، ولكن النتيجة النهائية"
