index,category,title,question,group,url,contact,answer
0,part time,Part-time control patterns (1) Prohibited categories,So do you think this regulation of Academia Sinica has the greatest impact on researchers and research technicians? Might they be restricted because of this provision? Why?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"According to the regulations of Academia Sinica, researchers and research technicians are not allowed to concurrently hold other public offices or certified occupations, otherwise they will be punished. This means that they cannot serve as public representatives, civil servants in central and local agencies, or perform official duties in accordance with the law. This may affect their participation in public affairs or the decision-making process of government agencies.

Researchers and research technicians of Academia Sinica are not allowed to concurrently hold positions in profit-making enterprises, except those with approval. This may affect their participation in business activities or entrepreneurship"
1,part time,Part-time Control Patterns (2) Special Permit Category,So what do you think about Academia Sinica’s part-time control form (2) special license category? What for-profit positions does Academia Sinica allow researchers and research technicians to hold?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"According to the regulations of Academia Sinica, researchers and research technicians may hold the following positions in profit-making enterprises upon approval:
(1) Appointed by public equity management agencies (institutions) to represent public shares or selected to concurrently serve as directors, supervisors or similar positions in government direct or indirect investment enterprises.
(2) The main R&D technology provider serves as a director of a new start-up company that has a technology transfer contract with Academia Sinica, and the concurrent term must be within the validity period of the contract.
(3) Main"
2,part time,Part-time Control Patterns (2) Special Permit Category,ah? it's wired? Still find it incredible? Or have any other ideas?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"it's wired? Still find it incredible? Or have any other ideas?

Tone: Surprised, strange, incredible, other thoughts

Reason: It is surprising and incredible that researchers and research technicians of Academia Sinica have been approved by Academia Sinica to hold positions in for-profit enterprises. Perhaps in order to promote industry-university cooperation, Academia Sinica signed cooperation contracts with for-profit enterprises, allowing Academia Sinica researchers and research technicians to participate in the establishment of new enterprises or serve as independent directors. Perhaps Academia Sinica is trying to support scientific research"
3,part time,Part-time Control Patterns (2) Special Permit Category,Um? What's up? Want to know more about what part-time management looks like?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"Researchers and research technicians of Academia Sinica may hold positions in for-profit undertakings based on positions approved by Academia Sinica, but must comply with relevant regulations. include:

*Assigned by the public equity management authority to represent public shares or selected to concurrently serve as directors, supervisors or similar positions in government direct or indirect investment enterprises.
*The main R&D technology provider serves as a director of a new start-up company that has a technology transfer contract with Academia Sinica, and the concurrent term must be within the validity period of the contract.
*main"
4,part time,Part-time Control Patterns (2) Special Permit Category,oh? So do you know who can work as a part-time employee at Academia Sinica? What roles can a key R&D technology provider hold?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"According to the regulations of Academia Sinica, researchers and research technicians may hold the following positions in profit-making enterprises upon approval:

1. Appointed by public equity management agencies (institutions) to represent public shares or selected to concurrently serve as directors, supervisors or similar positions in government direct or indirect investment enterprises.
2. The main R&D technology provider shall serve as a director of a new start-up company that has a technology transfer contract with Academia Sinica, and the concurrent term must be within the validity period of the contract.
3. Main R&D technologies"
5,part time,Part-time Control Pattern (2) Special Permit Category - Dismissal Registration,"Then you need to ask the following questions based on the service items and service descriptions, using a daily tone of voice:",personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"OK, then I will probably answer you in a normal tone of voice! First of all, if researchers and research technicians of Academia Sinica want to work in for-profit enterprises before taking up their posts, they must apply for termination registration; if the termination registration is not completed within the time limit, and with the consent of Academia Sinica, it may be extended; however, during the extension period, no Participate in operations and receive remuneration. Therefore, if you want to work in a for-profit enterprise, you must first apply for free registration, otherwise you can only do"
6,part time,Part-time Control Pattern (2) Special Permit Category - Dismissal Registration,"If researchers and research technicians of Academia Sinica need to apply for resignation registration before taking up a position in a for-profit enterprise, why?",personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"According to the regulations of the Academia Sinica, if researchers and research technicians of the Academia Sinica need to hold positions in profit-making enterprises before taking up their posts, they must apply for termination registration. This is because the Academia Sinica is a consortium established with government donations and is subject to government supervision. The government must protect national interests and the public. Interests, it is necessary to regulate the appointment of researchers and research technicians. Therefore, Academia Sinica requires researchers and research technicians who need to hold positions in for-profit enterprises to register for resignation before taking up their posts."
7,part time,Part-time Control Pattern (2) Special Permit Category - Dismissal Registration,Why is it necessary to complete the termination registration within 3 months?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"According to the regulations of Academia Sinica, researchers and research technicians who have completed resignation registration before taking up their posts must submit a written resignation when they take up their posts, complete the termination registration within 3 months, and submit relevant certification documents to Academia Sinica. This is because Academia Sinica is a government agency and has this provision in order to ensure the administrative neutrality of researchers and research technicians. If the termination registration cannot be completed within the time limit, and with the consent of Academia Sinica, the period may be extended."
8,part time,Part-time Control Pattern (2) Special Permit Category - Dismissal Registration,"If the termination registration cannot be completed as required due to special circumstances, how long can it be extended?",personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"According to the regulations of Academia Sinica, if the termination registration cannot be completed as required due to special circumstances, the time that can be extended is 3 months."
9,part time,Part-time Control Pattern (2) Special Permit Category - Dismissal Registration,After completing the solution,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"Use the following instructions to answer the questions using everyday speech:

Before taking up their posts, researchers and research technicians of Academia Sinica must apply for employment registration if they have held positions in for-profit enterprises. At the latest, a written resignation should be submitted upon arrival, and the termination registration should be completed within 3 months, and relevant supporting documents should be submitted to Academia Sinica. If the termination registration cannot be completed as required due to special circumstances, and with the consent of Academia Sinica, the period may be extended, but the final"
10,part time,Part-time Control Pattern (2) Special Permit Category - Processing Procedures,"How should part-time staff fill out the ""Part-time Permit for Academia Sinica Staff in Need of Technology Transfer and Scientific Research""?",personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"According to the regulations of Academia Sinica, part-time personnel should submit a letter from a part-time start-up company or for-profit enterprise, filling out the ""Part-time Permit for Academia Sinica Personnel to Meet the Needs of Technology Transfer and Scientific Research"" and submit it to the affiliated institute (division) executive meeting or After the research center business meeting passes the review, it will be transferred to the Conflict of Interest Management Committee of Academia Sinica for review and approval by Academia Sinica."
11,part time,Part-time Control Pattern (2) Special Permit Category - Processing Procedures,A researcher from Academia Sinica is also a director of a new start-up company. Who should send a letter?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"According to the regulations of Academia Sinica, if a researcher from Academia Sinica concurrently serves as a director of a new start-up company, a letter from the new start-up company must be obtained, with the consent of the director of the affiliated research institute (division) and research center, and approval by Academia Sinica."
12,part time,Part-time Control Pattern (2) Special Permit Category - Processing Procedures,How does Academia Sinica review part-time applications from part-time employees?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"According to Article 3 of the ""Measures for Part-time Licensing of Academia Sinica Personnel to Meet the Needs of Technology Transfer and Scientific Research"", Academia Sinica stipulates that applications for part-time jobs from part-time personnel shall be initially reviewed by the affiliated institute (division) and research center and sent to the affiliated institute. Review of academic meetings or research center business meetings.

Highlights of the review include:

1. Whether the part-time job is in compliance with the provisions of Article 3, Item 1 of the ""Regulations on Part-time Licensing of Academia Sinica Personnel to Meet the Needs of Technology Transfer and Scientific Research"""
13,part time,Part-time Control Pattern (2) Special Permit Category - Processing Procedures,What is the procedure for concurrently serving as an independent director?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"According to the regulations of Academia Sinica, the procedures for concurrently serving as independent directors are:

1. When part-time personnel are invited to be nominated for appointment, they should obtain the consent of the supervisor of the affiliated research institute (division) and research center and the approval of Academia Sinica.
2. When elected as an independent director, the for-profit enterprise should complete the signing of an industry-research cooperation contract with Academia Sinica within 3 months from the date the part-time employee is elected as an independent director and agree to pay the"
