index,category,title,question,group,url,contact,answer
0,tiempo parcial,Patrones de control a tiempo parcial (1) Categorías prohibidas,"Entonces, ¿cree que esta regulación de la Academia Sínica tiene el mayor impacto en los investigadores y técnicos de investigación? ¿Podrían estar restringidos debido a esta disposición? ¿Por qué?",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Según el reglamento de la Academia Sínica, los investigadores y técnicos de investigación no pueden desempeñar simultáneamente otros cargos públicos u ocupaciones certificadas, de lo contrario serán sancionados. Esto significa que no pueden desempeñarse como representantes públicos, funcionarios públicos en agencias centrales y locales, ni desempeñar funciones oficiales de conformidad con la ley. Esto puede afectar su participación en los asuntos públicos o el proceso de toma de decisiones de las agencias gubernamentales.

Los investigadores y técnicos de investigación de la Academia Sínica no pueden ocupar simultáneamente puestos en empresas con fines de lucro, excepto aquellos que cuenten con aprobación. Esto puede afectar su participación en actividades comerciales o emprendimientos."
1,tiempo parcial,Patrones de control a tiempo parcial (2) Categoría de permiso especial,"Entonces, ¿qué opinas de la categoría de licencia especial del formulario de control a tiempo parcial (2) de Academia Sinica? ¿Qué puestos con fines de lucro permite la Academia Sínica a los investigadores y técnicos de investigación?",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"De acuerdo con el reglamento de la Academia Sínica, los investigadores y técnicos de investigación pueden ocupar los siguientes cargos en empresas con fines de lucro previa aprobación:
(1) Nombrados por agencias (instituciones) públicas de administración de capital para representar acciones públicas o seleccionados para servir simultáneamente como directores, supervisores o puestos similares en empresas gubernamentales de inversión directa o indirecta.
(2) El principal proveedor de tecnología de I+D actúa como director de una nueva empresa de nueva creación que tiene un contrato de transferencia de tecnología con la Academia Sínica, y el plazo concurrente debe estar dentro del período de validez del contrato.
(3) Principal"
2,tiempo parcial,Patrones de control a tiempo parcial (2) Categoría de permiso especial,ah? ¿Está cableado? ¿Aún te parece increíble? ¿O tienes alguna otra idea?,personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"¿Está cableado? ¿Aún te parece increíble? ¿O tienes alguna otra idea?

Tono: Sorprendido, extraño, increíble, otros pensamientos.

Motivo: Es sorprendente e increíble que investigadores y técnicos de investigación de la Academia Sínica hayan sido aprobados por la Academia Sínica para ocupar puestos en empresas con fines de lucro. Quizás para promover la cooperación entre la industria y la universidad, la Academia Sínica firmó contratos de cooperación con empresas con fines de lucro, permitiendo a los investigadores y técnicos de investigación de la Academia Sínica participar en el establecimiento de nuevas empresas o actuar como directores independientes. Quizás la Academia Sínica esté tratando de apoyar la investigación científica."
3,tiempo parcial,Patrones de control a tiempo parcial (2) Categoría de permiso especial,¿Eh? ¿Qué pasa? ¿Quiere saber más sobre cómo es la gestión a tiempo parcial?,personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Los investigadores y técnicos de investigación de la Academia Sínica pueden ocupar puestos en empresas con fines de lucro basados ​​en puestos aprobados por la Academia Sínica, pero deben cumplir con las regulaciones pertinentes. incluir:

*Asignados por la autoridad de gestión de capital público para representar acciones públicas o seleccionados para servir simultáneamente como directores, supervisores o puestos similares en empresas gubernamentales de inversión directa o indirecta.
*El principal proveedor de tecnología de I+D se desempeña como director de una nueva empresa de nueva creación que tiene un contrato de transferencia de tecnología con Academia Sínica, y el plazo concurrente debe estar dentro del período de validez del contrato.
*principal"
4,tiempo parcial,Patrones de control a tiempo parcial (2) Categoría de permiso especial,"¿Vaya? Entonces, ¿sabes quién puede trabajar como empleado a tiempo parcial en Academia Sínica? ¿Qué funciones puede desempeñar un proveedor clave de tecnología de I+D?",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"De acuerdo con el reglamento de la Academia Sínica, los investigadores y técnicos de investigación pueden ocupar los siguientes cargos en empresas con fines de lucro previa aprobación:

1. Designados por agencias (instituciones) públicas de administración de capital para representar acciones públicas o seleccionados para desempeñar simultáneamente el cargo de directores, supervisores o cargos similares en empresas gubernamentales de inversión directa o indirecta.
2. El principal proveedor de tecnología de I+D actuará como director de una nueva empresa de nueva creación que tenga un contrato de transferencia de tecnología con la Academia Sínica, y el plazo concurrente deberá estar dentro del período de validez del contrato.
3. Principales tecnologías de I+D"
5,tiempo parcial,Patrón de control a tiempo parcial (2) Categoría de permiso especial - Registro de despido,"Luego, debe hacer las siguientes preguntas basándose en los artículos y descripciones de los servicios, utilizando un tono de voz diario:",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"¡Bien, entonces probablemente te responderé en un tono de voz normal! En primer lugar, si los investigadores y técnicos de investigación de la Academia Sínica desean trabajar en empresas con fines de lucro antes de asumir sus cargos, deben solicitar el registro de terminación; si el registro de terminación no se completa dentro del plazo y con el consentimiento de Academia Sínica, podrá prorrogarse, sin embargo, durante el período de prórroga, no podrá participar en operaciones ni recibir remuneración. Por lo tanto, si desea trabajar en una empresa con fines de lucro, primero debe solicitar el registro gratuito; de lo contrario, solo podrá hacerlo"
6,tiempo parcial,Patrón de control a tiempo parcial (2) Categoría de permiso especial - Registro de despido,"Si los investigadores y técnicos de investigación de la Academia Sínica necesitan solicitar el registro de renuncia antes de ocupar un puesto en una empresa con fines de lucro, ¿por qué?",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Según el reglamento de la Academia Sínica, si los investigadores y técnicos de investigación de la Academia Sínica necesitan ocupar puestos en empresas con fines de lucro antes de asumir sus puestos, deben solicitar el registro de terminación, ya que la Academia Sínica es un consorcio establecido. con donaciones del gobierno y está sujeto a la supervisión del gobierno. El gobierno debe proteger los intereses nacionales y los intereses públicos, es necesario regular el nombramiento de investigadores y técnicos de investigación. Por lo tanto, la Academia Sínica exige que los investigadores y técnicos de investigación que necesitan ocupar puestos en empresas con fines de lucro se registren para renunciar antes de asumir sus puestos."
7,tiempo parcial,Patrón de control a tiempo parcial (2) Categoría de permiso especial - Registro de despido,¿Por qué es necesario completar el registro de terminación dentro de los 3 meses?,personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"De acuerdo con las regulaciones de la Academia Sínica, los investigadores y técnicos de investigación que hayan completado el registro de renuncia antes de asumir sus cargos deben presentar una renuncia por escrito cuando asuman sus cargos, completar el registro de terminación dentro de los 3 meses y presentar los documentos de certificación pertinentes a la Academia Sínica. . Esto se debe a que la Academia Sínica es una agencia gubernamental y tiene esta disposición para garantizar la neutralidad administrativa de los investigadores y técnicos de investigación. Si la terminación del registro no puede completarse dentro del plazo, y con el consentimiento de la Academia Sínica, el plazo podrá ampliarse."
8,tiempo parcial,Patrón de control a tiempo parcial (2) Categoría de permiso especial - Registro de despido,"Si el registro de terminación no se puede completar según lo requerido debido a circunstancias especiales, ¿por cuánto tiempo se puede extender?",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"De acuerdo con el reglamento de la Academia Sínica, si el registro de terminación no se puede completar como se requiere debido a circunstancias especiales, el tiempo que se puede extender es de 3 meses."
9,tiempo parcial,Patrón de control a tiempo parcial (2) Categoría de permiso especial - Registro de despido,Después de completar la solución,personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Utilice las siguientes instrucciones para responder las preguntas utilizando el habla cotidiana:

Antes de asumir sus cargos, los investigadores y técnicos de investigación de la Academia Sínica deben solicitar el registro de empleo si han ocupado cargos en empresas con fines de lucro. A más tardar, se debe presentar una renuncia por escrito a la llegada, el registro de terminación debe completarse dentro de los 3 meses y los documentos de respaldo relevantes deben enviarse a la Academia Sínica. Si el registro de terminación no puede completarse según lo requerido debido a circunstancias especiales, y con el consentimiento de la Academia Sínica, el período podrá extenderse, pero la decisión final"
