index,category,title,question,group,url,contact,answer
0,à temps partiel,Modèles de contrôle à temps partiel (1) Catégories interdites,Pensez-vous donc que cette réglementation de l’Academia Sinica a le plus grand impact sur les chercheurs et les techniciens de recherche ? Pourraient-ils être restreints en raison de cette disposition ? Pourquoi?,personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Academia Sinica,"Selon le règlement de l'Academia Sinica, les chercheurs et les techniciens de recherche ne sont pas autorisés à exercer simultanément d'autres fonctions publiques ou professions certifiées, sous peine de sanctions. Cela signifie qu'ils ne peuvent pas exercer les fonctions de représentants publics, de fonctionnaires dans les agences centrales et locales, ni exercer de fonctions officielles conformément à la loi. Cela peut affecter leur participation aux affaires publiques ou au processus décisionnel des agences gouvernementales.

Les chercheurs et techniciens de recherche de l'Academia Sinica ne sont pas autorisés à exercer simultanément des fonctions dans des entreprises à but lucratif, à l'exception de celles agréées. Cela peut affecter leur participation à des activités commerciales ou à l’entrepreneuriat"
1,à temps partiel,Modèles de contrôle à temps partiel (2) Catégorie de permis spécial,Alors que pensez-vous de la catégorie de licence spéciale du formulaire de contrôle à temps partiel (2) de l’Academia Sinica ? Quels postes à but lucratif l’Academia Sinica permet-elle d’occuper aux chercheurs et aux techniciens de recherche ?,personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Academia Sinica,"Selon le règlement de l'Academia Sinica, les chercheurs et techniciens de recherche peuvent occuper les postes suivants dans des entreprises à but lucratif, sous réserve d'approbation :
(1) Nommés par des agences (institutions) de gestion de capitaux publics pour représenter des actions publiques ou sélectionnés pour exercer simultanément des fonctions d'administrateur, de superviseur ou des postes similaires dans des entreprises publiques d'investissement direct ou indirect.
(2) Le principal fournisseur de technologie de R&D est directeur d'une nouvelle entreprise en démarrage qui a un contrat de transfert de technologie avec Academia Sinica, et la durée simultanée doit être comprise dans la période de validité du contrat.
(3) Principal"
2,à temps partiel,Modèles de contrôle à temps partiel (2) Catégorie de permis spécial,ah ? c'est filaire ? Vous trouvez toujours cela incroyable ? Ou avez-vous d'autres idées ?,personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Academia Sinica,"c'est filaire ? Vous trouvez toujours cela incroyable ? Ou avez-vous d'autres idées ?

Ton : Surpris, étrange, incroyable, autres pensées

Raison : Il est surprenant et incroyable que les chercheurs et techniciens de recherche de l’Academia Sinica aient été agréés par l’Academia Sinica pour occuper des postes dans des entreprises à but lucratif. Peut-être afin de promouvoir la coopération industrie-université, l’Academia Sinica a signé des contrats de coopération avec des entreprises à but lucratif, permettant aux chercheurs et techniciens de recherche de l’Academia Sinica de participer à la création de nouvelles entreprises ou de servir en tant qu’administrateurs indépendants. Peut-être que l’Academia Sinica essaie de soutenir la recherche scientifique"
3,à temps partiel,Modèles de contrôle à temps partiel (2) Catégorie de permis spécial,Euh ? Quoi de neuf? Vous souhaitez en savoir plus sur à quoi ressemble la gestion à temps partiel ?,personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Academia Sinica,"Les chercheurs et techniciens de recherche de l'Academia Sinica peuvent occuper des postes dans des entreprises à but lucratif sur la base de postes approuvés par l'Academia Sinica, mais doivent se conformer aux réglementations en vigueur. inclure:

*Désigné par l'autorité de gestion des actions publiques pour représenter les actions publiques ou sélectionné pour exercer simultanément des fonctions d'administrateur, de superviseur ou de poste similaire dans des entreprises gouvernementales à investissement direct ou indirect.
*Le principal fournisseur de technologie de R&D est directeur d'une nouvelle entreprise en démarrage qui a un contrat de transfert de technologie avec Academia Sinica, et la durée simultanée doit être comprise dans la période de validité du contrat.
*principal"
4,à temps partiel,Modèles de contrôle à temps partiel (2) Catégorie de permis spécial,"Oh? Alors, savez-vous qui peut travailler comme employé à temps partiel à l’Academia Sinica ? Quels rôles un fournisseur clé de technologie de R&D peut-il jouer ?",personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Academia Sinica,"Selon le règlement de l'Academia Sinica, les chercheurs et techniciens de recherche peuvent occuper les postes suivants dans des entreprises à but lucratif, sous réserve d'approbation :

1. Nommés par des agences (institutions) de gestion de capitaux publics pour représenter des actions publiques ou sélectionnés pour exercer simultanément des fonctions d'administrateur, de superviseur ou des postes similaires dans des entreprises publiques d'investissement direct ou indirect.
2. Le principal fournisseur de technologie de R&D exercera les fonctions de directeur d'une nouvelle entreprise en démarrage qui a conclu un contrat de transfert de technologie avec Academia Sinica, et la durée simultanée doit se situer pendant la période de validité du contrat.
3. Principales technologies de R&D"
5,à temps partiel,Modèle de contrôle à temps partiel (2) Catégorie de permis spécial - Enregistrement de licenciement,"Ensuite, vous devez poser les questions suivantes en fonction des éléments de service et des descriptions de services, en utilisant un ton de voix quotidien :",personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Academia Sinica,"OK, alors je vais probablement vous répondre sur un ton de voix normal ! Tout d'abord, si les chercheurs et les techniciens de recherche de l'Academia Sinica souhaitent travailler dans des entreprises à but lucratif avant de prendre leurs fonctions, ils doivent demander l'enregistrement de la cessation d'emploi ; si l'enregistrement de la cessation d'activité n'est pas effectué dans les délais et avec le consentement de Academia Sinica, elle peut être prolongée ; toutefois, pendant la période de prolongation, aucun Participer aux opérations et percevoir une rémunération. Par conséquent, si vous souhaitez travailler dans une entreprise à but lucratif, vous devez d'abord demander une inscription gratuite, sinon vous ne pouvez le faire que"
6,à temps partiel,Modèle de contrôle à temps partiel (2) Catégorie de permis spécial - Enregistrement de licenciement,"Si les chercheurs et techniciens de recherche de l’Academia Sinica doivent demander leur démission avant d’accepter un poste dans une entreprise à but lucratif, pourquoi ?",personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Academia Sinica,"Selon le règlement de l'Academia Sinica, si les chercheurs et les techniciens de recherche de l'Academia Sinica doivent occuper des postes dans des entreprises à but lucratif avant de prendre leur poste, ils doivent demander un enregistrement de cessation d'emploi, car l'Academia Sinica est un consortium constitué grâce aux dons du gouvernement et est soumise à la supervision du gouvernement. Le gouvernement doit protéger les intérêts nationaux et le public. Intérêts, il est nécessaire de réglementer la nomination des chercheurs et des techniciens de recherche. C'est pourquoi l'Academia Sinica demande aux chercheurs et aux techniciens de recherche qui doivent occuper des postes dans des entreprises à but lucratif de présenter une demande de démission avant de prendre leurs fonctions."
7,à temps partiel,Modèle de contrôle à temps partiel (2) Catégorie de permis spécial - Enregistrement de licenciement,Pourquoi est-il nécessaire de finaliser l'enregistrement de résiliation dans un délai de 3 mois ?,personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Academia Sinica,"Selon le règlement de l'Academia Sinica, les chercheurs et les techniciens de recherche qui ont terminé l'enregistrement de leur démission avant de prendre leurs fonctions doivent présenter une démission écrite lorsqu'ils prennent leurs fonctions, compléter l'enregistrement de cessation d'emploi dans les 3 mois et soumettre les documents de certification pertinents à l'Academia Sinica. . En effet, l'Academia Sinica est une agence gouvernementale et dispose de cette disposition afin de garantir la neutralité administrative des chercheurs et des techniciens de recherche. Si l’enregistrement de résiliation ne peut être effectué dans le délai imparti et avec l’accord d’Academia Sinica, le délai peut être prolongé."
8,à temps partiel,Modèle de contrôle à temps partiel (2) Catégorie de permis spécial - Enregistrement de licenciement,"Si l’enregistrement de résiliation ne peut pas être complété comme requis en raison de circonstances particulières, combien de temps peut-il être prolongé ?",personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Academia Sinica,"Selon le règlement de l'Academia Sinica, si l'enregistrement de résiliation ne peut être complété comme requis en raison de circonstances particulières, le délai qui peut être prolongé est de 3 mois."
9,à temps partiel,Modèle de contrôle à temps partiel (2) Catégorie de permis spécial - Enregistrement de licenciement,Après avoir terminé la solution,personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Academia Sinica,"Utilisez les instructions suivantes pour répondre aux questions en utilisant le langage courant :

Avant d'entrer en fonction, les chercheurs et techniciens de recherche de l'Academia Sinica doivent s'inscrire à l'enregistrement du travail s'ils ont occupé des postes dans des entreprises à but lucratif. Au plus tard, une démission écrite doit être présentée à l'arrivée, et l'enregistrement de la résiliation doit être complété dans les 3 mois, et les pièces justificatives pertinentes doivent être soumises à Academia Sinica. Si l'enregistrement de résiliation ne peut pas être complété comme requis en raison de circonstances particulières, et avec le consentement d'Academia Sinica, la période peut être prolongée, mais le délai final"
