index,category,title,question,group,url,contact,answer
0,paruh waktu,Pola pengendalian paruh waktu (1) Kategori terlarang,Jadi menurut Anda apakah peraturan Academia Sinica ini memiliki dampak paling besar bagi peneliti dan teknisi penelitian? Mungkinkah mereka dibatasi karena ketentuan ini? Mengapa?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Menurut peraturan Academia Sinica, peneliti dan teknisi penelitian tidak diperbolehkan merangkap jabatan publik atau pekerjaan bersertifikat lainnya, jika tidak mereka akan dihukum. Artinya, mereka tidak bisa menjabat sebagai wakil masyarakat, pegawai negeri sipil di lembaga pusat dan daerah, atau menjalankan tugas resmi sesuai dengan undang-undang. Hal ini dapat mempengaruhi partisipasi mereka dalam urusan publik atau proses pengambilan keputusan di lembaga pemerintah.

Peneliti dan teknisi penelitian Academia Sinica tidak diperbolehkan merangkap posisi di perusahaan yang mencari keuntungan, kecuali yang mendapat persetujuan. Hal ini dapat mempengaruhi partisipasi mereka dalam kegiatan usaha atau kewirausahaan"
1,paruh waktu,Pola Pengendalian Paruh Waktu (2) Kategori Izin Khusus,Jadi apa pendapat Anda tentang kategori lisensi khusus formulir kontrol paruh waktu (2) Academia Sinica? Posisi nirlaba apa yang diizinkan oleh Academia Sinica untuk dipegang oleh para peneliti dan teknisi penelitian?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Menurut peraturan Academia Sinica, peneliti dan teknisi penelitian dapat memegang posisi berikut di perusahaan yang menghasilkan keuntungan setelah mendapat persetujuan:
(1) Ditunjuk oleh badan (lembaga) pengelola modal publik untuk mewakili saham publik atau dipilih untuk merangkap jabatan sebagai direktur, pengawas atau jabatan serupa pada perusahaan penanaman modal langsung atau tidak langsung milik pemerintah.
(2) Penyedia teknologi litbang utama menjabat sebagai direktur perusahaan start-up baru yang memiliki kontrak transfer teknologi dengan Academia Sinica, dan jangka waktu rangkapnya harus dalam masa berlaku kontrak.
(3) Utama"
2,paruh waktu,Pola Pengendalian Paruh Waktu (2) Kategori Izin Khusus,ah? itu kabel? Masih menganggapnya luar biasa? Atau punya ide lain?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"itu kabel? Masih menganggapnya luar biasa? Atau punya ide lain?

Nada: Terkejut, aneh, luar biasa, pemikiran lain

Alasan: Sungguh mengejutkan dan luar biasa bahwa para peneliti dan teknisi penelitian Academia Sinica telah disetujui oleh Academia Sinica untuk memegang posisi di perusahaan nirlaba. Mungkin untuk mempromosikan kerja sama industri-universitas, Academia Sinica menandatangani kontrak kerja sama dengan perusahaan nirlaba, yang memungkinkan peneliti dan teknisi penelitian Academia Sinica untuk berpartisipasi dalam pendirian perusahaan baru atau menjabat sebagai direktur independen. Mungkin Academia Sinica sedang mencoba mendukung penelitian ilmiah"
3,paruh waktu,Pola Pengendalian Paruh Waktu (2) Kategori Izin Khusus,eh? Ada apa? Ingin tahu lebih banyak tentang seperti apa manajemen paruh waktu?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Peneliti dan teknisi penelitian Academia Sinica dapat memegang posisi dalam perusahaan nirlaba berdasarkan posisi yang disetujui oleh Academia Sinica, namun harus mematuhi peraturan terkait. termasuk:

*Ditugaskan oleh otoritas manajemen ekuitas publik untuk mewakili saham publik atau dipilih untuk merangkap jabatan sebagai direktur, pengawas atau posisi serupa di perusahaan investasi langsung atau tidak langsung milik pemerintah.
*Penyedia teknologi R&D utama menjabat sebagai direktur perusahaan start-up baru yang memiliki kontrak transfer teknologi dengan Academia Sinica, dan jangka waktu bersamaan harus dalam masa berlaku kontrak.
*utama"
4,paruh waktu,Pola Pengendalian Paruh Waktu (2) Kategori Izin Khusus,Oh? Nah tahukah Anda siapa saja yang bisa bekerja paruh waktu di Academia Sinica? Peran apa yang dapat dimiliki oleh penyedia teknologi penelitian dan pengembangan utama?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Menurut peraturan Academia Sinica, peneliti dan teknisi penelitian dapat memegang posisi berikut di perusahaan yang menghasilkan keuntungan setelah mendapat persetujuan:

1. Ditunjuk oleh badan (lembaga) pengelola modal publik untuk mewakili saham publik atau dipilih untuk merangkap jabatan sebagai direktur, pengawas atau jabatan serupa pada perusahaan penanaman modal langsung atau tidak langsung milik pemerintah.
2. Penyedia teknologi R&D utama akan menjabat sebagai direktur perusahaan start-up baru yang memiliki kontrak transfer teknologi dengan Academia Sinica, dan masa jabatan rangkap harus dalam masa berlaku kontrak.
3. Teknologi penelitian dan pengembangan utama"
5,paruh waktu,Pola Kontrol Paruh Waktu (2) Kategori Izin Khusus - Pendaftaran Pemberhentian,"Kemudian Anda perlu mengajukan pertanyaan berikut berdasarkan item layanan dan deskripsi layanan, dengan menggunakan nada suara sehari-hari:",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Oke, kalau begitu saya mungkin akan menjawab Anda dengan nada suara normal! Pertama-tama, jika peneliti dan teknisi penelitian Academia Sinica ingin bekerja di perusahaan nirlaba sebelum mengambil posisi mereka, mereka harus mengajukan pendaftaran penghentian; jika pendaftaran penghentian tidak diselesaikan dalam batas waktu, dan dengan persetujuan dari Academia Sinica, dapat diperpanjang; namun, selama periode perpanjangan, tidak ada Berpartisipasi dalam operasi dan menerima remunerasi. Oleh karena itu, jika Anda ingin bekerja di perusahaan nirlaba, Anda harus terlebih dahulu mengajukan pendaftaran gratis, jika tidak, Anda hanya dapat melakukannya"
6,paruh waktu,Pola Kontrol Paruh Waktu (2) Kategori Izin Khusus - Pendaftaran Pemberhentian,"Jika peneliti dan teknisi penelitian di Academia Sinica perlu mengajukan permohonan pengunduran diri sebelum mengambil posisi di perusahaan nirlaba, mengapa?",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Menurut peraturan Academia Sinica, jika peneliti dan teknisi penelitian Academia Sinica perlu menduduki posisi di perusahaan yang mencari keuntungan sebelum menduduki jabatannya, mereka harus mengajukan permohonan pendaftaran penghentian, hal ini karena Academia Sinica merupakan konsorsium yang didirikan dengan sumbangan pemerintah dan berada dalam pengawasan pemerintah. Pemerintah harus melindungi kepentingan nasional dan masyarakat. Kepentingan tersebut perlu diatur dalam penunjukan peneliti dan teknisi penelitian. Oleh karena itu, Academia Sinica mewajibkan para peneliti dan teknisi penelitian yang perlu memegang posisi di perusahaan nirlaba untuk mengajukan pengunduran diri sebelum mengambil posisi mereka."
7,paruh waktu,Pola Kontrol Paruh Waktu (2) Kategori Izin Khusus - Pendaftaran Pemberhentian,Mengapa pendaftaran terminasi perlu diselesaikan dalam waktu 3 bulan?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Menurut peraturan Academia Sinica, peneliti dan teknisi penelitian yang telah menyelesaikan pendaftaran pengunduran diri sebelum mengambil jabatannya harus mengajukan pengunduran diri secara tertulis ketika mereka mengambil jabatannya, menyelesaikan pendaftaran pemberhentian dalam waktu 3 bulan, dan menyerahkan dokumen sertifikasi yang relevan ke Academia Sinica . Pasalnya, Academia Sinica merupakan lembaga pemerintah dan memiliki ketentuan tersebut guna menjamin netralitas administratif peneliti dan teknisi penelitian. Jika pendaftaran penghentian tidak dapat diselesaikan dalam batas waktu, dan dengan persetujuan Academia Sinica, jangka waktu dapat diperpanjang."
8,paruh waktu,Pola Kontrol Paruh Waktu (2) Kategori Izin Khusus - Pendaftaran Pemberhentian,"Jika pendaftaran penghentian tidak dapat diselesaikan sesuai kebutuhan karena keadaan khusus, berapa lama pendaftaran dapat diperpanjang?",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Menurut peraturan Academia Sinica, jika pendaftaran penghentian tidak dapat diselesaikan sesuai kebutuhan karena keadaan khusus, maka waktu yang dapat diperpanjang adalah 3 bulan."
9,paruh waktu,Pola Kontrol Paruh Waktu (2) Kategori Izin Khusus - Pendaftaran Pemberhentian,Setelah menyelesaikan solusinya,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Gunakan petunjuk berikut untuk menjawab pertanyaan menggunakan percakapan sehari-hari:

Sebelum mengambil posisi mereka, peneliti dan teknisi penelitian Academia Sinica harus mengajukan permohonan pendaftaran pekerjaan jika mereka pernah memegang posisi di perusahaan nirlaba. Paling lambat, pengunduran diri tertulis harus diserahkan pada saat kedatangan, dan pendaftaran pemberhentian harus diselesaikan dalam waktu 3 bulan, dan dokumen pendukung yang relevan harus diserahkan ke Academia Sinica. Jika pendaftaran penghentian tidak dapat diselesaikan sesuai kebutuhan karena keadaan khusus, dan dengan persetujuan dari Academia Sinica, jangka waktu dapat diperpanjang, tetapi batas akhir"
10,paruh waktu,Pola Pengendalian Paruh Waktu (2) Kategori Izin Khusus - Prosedur Pengolahan,"Bagaimana seharusnya staf paruh waktu mengisi ""Izin Paruh Waktu untuk Staf Akademisi Sinica yang Membutuhkan Transfer Teknologi dan Penelitian Ilmiah""?",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Menurut peraturan Academia Sinica, personel paruh waktu harus menyerahkan surat dari perusahaan start-up paruh waktu atau perusahaan nirlaba, mengisi ""Izin Paruh Waktu Personil Academia Sinica untuk Memenuhi Kebutuhan Transfer Teknologi dan Penelitian Ilmiah"" dan menyerahkannya ke rapat eksekutif lembaga (divisi) afiliasi atau Setelah rapat bisnis pusat penelitian lolos peninjauan, maka akan ditransfer ke Komite Manajemen Konflik Kepentingan Academia Sinica untuk ditinjau dan disetujui oleh Academia Sinica."
11,paruh waktu,Pola Pengendalian Paruh Waktu (2) Kategori Izin Khusus - Prosedur Pengolahan,"Peneliti dari Academia Sinica juga merupakan direktur sebuah perusahaan start-up baru, Siapa yang harus mengirim surat?",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Sesuai peraturan Academia Sinica, apabila peneliti dari Academia Sinica merangkap sebagai direktur perusahaan start-up baru, maka harus diperoleh surat dari perusahaan start-up baru tersebut, dengan persetujuan direktur penelitian afiliasi. institut (divisi) dan pusat penelitian, dan persetujuan oleh Academia Sinica."
12,paruh waktu,Pola Pengendalian Paruh Waktu (2) Kategori Izin Khusus - Prosedur Pengolahan,Bagaimana Academia Sinica meninjau lamaran paruh waktu dari karyawan paruh waktu?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Menurut Pasal 3 ""Langkah-langkah Perizinan Paruh Waktu Personil Academia Sinica untuk Memenuhi Kebutuhan Transfer Teknologi dan Penelitian Ilmiah"", Academia Sinica menetapkan bahwa lamaran pekerjaan paruh waktu dari personel paruh waktu harus ditinjau terlebih dahulu oleh lembaga (divisi) terafiliasi dan pusat penelitian dan dikirim ke lembaga terafiliasi Review pertemuan akademik atau pertemuan bisnis pusat penelitian.

Sorotan dari ulasan ini meliputi:

1. Apakah pekerjaan paruh waktu tersebut telah memenuhi ketentuan Pasal 3 Angka 1 ""Peraturan Perizinan Paruh Waktu Personel Academia Sinica untuk Memenuhi Kebutuhan Alih Teknologi dan Penelitian Ilmiah"""
13,paruh waktu,Pola Pengendalian Paruh Waktu (2) Kategori Izin Khusus - Prosedur Pengolahan,Bagaimana prosedur merangkap jabatan sebagai direktur independen?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Sesuai peraturan Academia Sinica, tata cara merangkap direktur independen adalah:

1. Ketika personel paruh waktu diundang untuk dicalonkan untuk diangkat, mereka harus mendapatkan persetujuan dari pengawas lembaga penelitian (divisi) dan pusat penelitian yang berafiliasi dan persetujuan dari Academia Sinica.
2. Ketika terpilih sebagai direktur independen, perusahaan nirlaba harus menyelesaikan penandatanganan kontrak kerja sama penelitian industri dengan Academia Sinica dalam waktu 3 bulan sejak tanggal karyawan paruh waktu terpilih sebagai direktur independen dan setuju untuk membayar gaji"
14,paruh waktu,Pola Pengendalian Paruh Waktu (2) Kategori Izin Khusus - Prosedur Pengolahan,"Jika staf paruh waktu tidak dapat menyelesaikan kontrak kerja sama penelitian industri dan setuju untuk membayar masukan akademis, bagaimana Academia Sinica akan menanganinya?",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Menurut peraturan Academia Sinica, jika karyawan paruh waktu tidak dapat menyelesaikan kontrak kerja sama penelitian industri dan setuju untuk membayar umpan balik akademis, Academia Sinica tidak akan menyetujui pekerjaan paruh waktunya. Dengan kata lain, jika karyawan paruh waktu tidak dapat menyelesaikan prosedur di atas sesuai jadwal, Academia Sinica tidak akan mengizinkan mereka bekerja paruh waktu."
15,paruh waktu,"Pola Pengendalian Paruh Waktu (2) Kategori Izin Khusus - Penghindaran Kepentingan, Pengungkapan Kepentingan",Personil mana yang disebutkan dalam konten layanan tersebut yang perlu mengungkapkan kepentingan mereka?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Academia Sinica,"Menurut peraturan Academia Sinica, orang-orang yang perlu mengungkapkan kepentingannya meliputi:

1. Peneliti dan teknisi penelitian Academia Sinica merangkap sebagai direktur perusahaan start-up baru atau posisi bisnis non-eksekutif di perusahaan nirlaba.
2. Peneliti dan teknisi penelitian Academia Sinica merangkap posisi bisnis non-operasional sebagai direktur perusahaan start-up baru atau perusahaan nirlaba yang memiliki transfer teknologi atau kontrak penelitian yang didanai dengan Academia Sinica.
3. Peneliti dan teknisi penelitian Academia Sinica dan pasangannya, anak di bawah umur, orang tua, dan kakek nenek"
