index,category,title,question,group,url,contact,answer
0,ไม่เต็มเวลา,รูปแบบการควบคุมนอกเวลา (1) หมวดหมู่ต้องห้าม,คุณคิดว่ากฎระเบียบของ Academia Sinica นี้มีผลกระทบมากที่สุดต่อนักวิจัยและช่างเทคนิคการวิจัยหรือไม่ เพราะเหตุใด พวกเขาอาจถูกจำกัดเนื่องจากบทบัญญัตินี้หรือไม่? ทำไม,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,"ตามข้อบังคับของ Academia Sinica นักวิจัยและช่างเทคนิคการวิจัยจะไม่ได้รับอนุญาตให้ดำรงตำแหน่งสาธารณะหรืออาชีพที่ได้รับการรับรองพร้อมกัน มิฉะนั้นจะถูกลงโทษ ซึ่งหมายความว่าไม่สามารถทำหน้าที่เป็นตัวแทนสาธารณะ ข้าราชการในหน่วยงานส่วนกลางและท้องถิ่น หรือปฏิบัติหน้าที่ราชการตามกฎหมายได้ ซึ่งอาจส่งผลต่อการมีส่วนร่วมในกิจการสาธารณะหรือกระบวนการตัดสินใจของหน่วยงานของรัฐ

นักวิจัยและช่างเทคนิคการวิจัยของ Academia Sinica ไม่ได้รับอนุญาตให้ดำรงตำแหน่งในองค์กรที่แสวงหาผลกำไรพร้อมกัน ยกเว้นผู้ที่ได้รับการอนุมัติ ซึ่งอาจส่งผลต่อการเข้าร่วมกิจกรรมทางธุรกิจหรือการเป็นผู้ประกอบการ"
1,ไม่เต็มเวลา,รูปแบบการควบคุมนอกเวลา (2) หมวดใบอนุญาตพิเศษ,คุณคิดอย่างไรเกี่ยวกับแบบฟอร์มการควบคุมนอกเวลา (2) หมวดหมู่ใบอนุญาตพิเศษของ Academia Sinica Academia Sinica ตำแหน่งที่แสวงหาผลกำไรอนุญาตให้นักวิจัยและช่างเทคนิคการวิจัยดำรงตำแหน่งใดได้บ้าง,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,"ตามข้อบังคับของ Academia Sinica นักวิจัยและช่างเทคนิคการวิจัยสามารถดำรงตำแหน่งต่อไปนี้ในองค์กรที่ทำกำไรได้เมื่อได้รับอนุมัติ:
(1) ได้รับการแต่งตั้งจากหน่วยงาน (สถาบัน) บริหารทุนสาธารณะให้เป็นตัวแทนหุ้นสาธารณะหรือได้รับคัดเลือกให้ดำรงตำแหน่งกรรมการ ผู้บังคับบัญชา หรือตำแหน่งที่คล้ายกันในกิจการลงทุนโดยตรงหรือโดยอ้อมของรัฐบาล
(2) ผู้ให้บริการเทคโนโลยี R&D หลักทำหน้าที่เป็นผู้อำนวยการของบริษัทสตาร์ทอัพแห่งใหม่ที่มีสัญญาถ่ายทอดเทคโนโลยีกับ Academia Sinica และระยะเวลาที่เกิดขึ้นพร้อมกันจะต้องอยู่ภายในระยะเวลาที่มีผลบังคับใช้ของสัญญา
(3) หลัก"
2,ไม่เต็มเวลา,รูปแบบการควบคุมนอกเวลา (2) หมวดใบอนุญาตพิเศษ,อา? มีสายเหรอ? ยังคงพบว่ามันเหลือเชื่อใช่ไหม? หรือมีความคิดอื่นใด?,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,"มีสายเหรอ? ยังคงพบว่ามันเหลือเชื่อใช่ไหม? หรือมีความคิดอื่นใด?

น้ำเสียง: ประหลาดใจ แปลก เหลือเชื่อ ความคิดอื่น ๆ

เหตุผล: เป็นเรื่องที่น่าประหลาดใจและเหลือเชื่อที่นักวิจัยและช่างเทคนิคการวิจัยของ Academia Sinica ได้รับการอนุมัติจาก Academia Sinica ให้ดำรงตำแหน่งในองค์กรที่แสวงหาผลกำไร บางที เพื่อส่งเสริมความร่วมมือในอุตสาหกรรมและมหาวิทยาลัย Academia Sinica ได้ลงนามในสัญญาความร่วมมือกับองค์กรที่แสวงหาผลกำไร โดยอนุญาตให้นักวิจัยของ Academia Sinica และช่างเทคนิคการวิจัยมีส่วนร่วมในการก่อตั้งองค์กรใหม่หรือทำหน้าที่เป็นกรรมการอิสระ บางที Academia Sinica กำลังพยายามสนับสนุนการวิจัยทางวิทยาศาสตร์"
3,ไม่เต็มเวลา,รูปแบบการควบคุมนอกเวลา (2) หมวดใบอนุญาตพิเศษ,เอิ่ม? ว่าไง? ต้องการทราบข้อมูลเพิ่มเติมเกี่ยวกับการจัดการนอกเวลาว่าเป็นอย่างไร,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,"นักวิจัยและช่างเทคนิคการวิจัยของ Academia Sinica อาจดำรงตำแหน่งในกิจการที่แสวงหาผลกำไรตามตำแหน่งที่ได้รับอนุมัติจาก Academia Sinica แต่ต้องปฏิบัติตามกฎระเบียบที่เกี่ยวข้อง รวม:

*ได้รับมอบหมายจากหน่วยงานจัดการทุนสาธารณะให้เป็นตัวแทนหุ้นสาธารณะหรือได้รับเลือกให้ดำรงตำแหน่งกรรมการ ผู้บังคับบัญชา หรือตำแหน่งที่คล้ายกันในวิสาหกิจการลงทุนโดยตรงหรือโดยอ้อมของรัฐบาล
*ผู้ให้บริการเทคโนโลยี R&D หลักทำหน้าที่เป็นผู้อำนวยการของบริษัทสตาร์ทอัพแห่งใหม่ที่มีสัญญาถ่ายโอนเทคโนโลยีกับ Academia Sinica และระยะเวลาที่เกิดขึ้นพร้อมกันจะต้องอยู่ภายในระยะเวลาที่มีผลบังคับใช้ของสัญญา
*หลัก"
4,ไม่เต็มเวลา,รูปแบบการควบคุมนอกเวลา (2) หมวดใบอนุญาตพิเศษ,โอ้? คุณรู้ไหมว่าใครสามารถทำงานเป็นพนักงานพาร์ทไทม์ที่ Academia Sinica ได้บ้าง? ผู้ให้บริการเทคโนโลยี R&D หลักสามารถมีบทบาทอะไรได้บ้าง?,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,"ตามข้อบังคับของ Academia Sinica นักวิจัยและช่างเทคนิคการวิจัยสามารถดำรงตำแหน่งต่อไปนี้ในองค์กรที่ทำกำไรได้เมื่อได้รับอนุมัติ:

1. ได้รับการแต่งตั้งจากหน่วยงาน (สถาบัน) บริหารทุนสาธารณะเพื่อเป็นตัวแทนของหุ้นสาธารณะหรือได้รับเลือกให้ดำรงตำแหน่งกรรมการ ผู้บังคับบัญชา หรือตำแหน่งที่คล้ายกันในวิสาหกิจการลงทุนโดยตรงหรือโดยอ้อมของรัฐบาล
2. ผู้ให้บริการเทคโนโลยี R&D หลักจะทำหน้าที่เป็นผู้อำนวยการของบริษัทสตาร์ทอัพแห่งใหม่ที่มีสัญญาถ่ายทอดเทคโนโลยีกับ Academia Sinica และระยะเวลาพร้อมกันจะต้องอยู่ภายในระยะเวลาที่มีผลใช้บังคับของสัญญา
3. เทคโนโลยีการวิจัยและพัฒนาหลัก"
5,ไม่เต็มเวลา,รูปแบบการควบคุมนอกเวลา (2) หมวดใบอนุญาตพิเศษ - การลงทะเบียนไล่ออก,จากนั้นคุณจะต้องถามคำถามต่อไปนี้ตามรายการบริการและคำอธิบายบริการ โดยใช้น้ำเสียงในแต่ละวัน:,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,ตกลง ฉันอาจจะตอบคุณด้วยน้ำเสียงปกติ! ก่อนอื่น หากนักวิจัยและช่างเทคนิคการวิจัยของ Academia Sinica ต้องการทำงานในองค์กรที่แสวงหาผลกำไรก่อนที่จะเข้ารับตำแหน่ง พวกเขาจะต้องยื่นขอจดทะเบียนเลิกจ้าง หากการลงทะเบียนเลิกจ้างไม่เสร็จสิ้นภายในระยะเวลาที่กำหนด และได้รับความยินยอมจาก Academia Sinica อาจขยายเวลาออกไปได้ แต่ในช่วงขยายเวลา ห้ามมิให้เข้าร่วมการดำเนินงานและรับค่าตอบแทน ดังนั้น หากคุณต้องการทำงานในองค์กรที่แสวงหาผลกำไร คุณต้องสมัครลงทะเบียนฟรีก่อน ไม่อย่างนั้นคุณก็ทำได้เท่านั้น
6,ไม่เต็มเวลา,รูปแบบการควบคุมนอกเวลา (2) หมวดใบอนุญาตพิเศษ - การลงทะเบียนไล่ออก,หากนักวิจัยและช่างเทคนิคการวิจัยของ Academia Sinica จำเป็นต้องยื่นขอลาออกก่อนเข้ารับตำแหน่งในองค์กรที่แสวงหาผลกำไร เพราะเหตุใด?,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,ตามข้อบังคับของ Academia Sinica หากนักวิจัยและช่างเทคนิคการวิจัยของ Academia Sinica จำเป็นต้องดำรงตำแหน่งในองค์กรที่ทำกำไรก่อนเข้ารับตำแหน่งจะต้องยื่นขอจดทะเบียนเลิกจ้าง เนื่องจาก Academia Sinica เป็นสมาคมที่จัดตั้งขึ้น ด้วยการบริจาคของรัฐบาลและอยู่ภายใต้การกำกับดูแลของรัฐบาลรัฐบาลจะต้องปกป้องผลประโยชน์ของชาติและสาธารณะ ผลประโยชน์ มีความจำเป็นต้องกำกับดูแลการแต่งตั้งนักวิจัยและช่างเทคนิคการวิจัย ดังนั้น Academia Sinica จึงกำหนดให้นักวิจัยและช่างเทคนิคการวิจัยที่ต้องดำรงตำแหน่งในองค์กรที่แสวงหาผลกำไรต้องลงทะเบียนลาออกก่อนเข้ารับตำแหน่ง
7,ไม่เต็มเวลา,รูปแบบการควบคุมนอกเวลา (2) หมวดใบอนุญาตพิเศษ - การลงทะเบียนไล่ออก,เหตุใดจึงต้องจดทะเบียนเลิกจ้างให้แล้วเสร็จภายใน 3 เดือน?,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,ตามข้อบังคับของ Academia Sinica นักวิจัยและช่างเทคนิคการวิจัยที่ได้ลงทะเบียนลาออกก่อนเข้ารับตำแหน่งจะต้องยื่นหนังสือลาออกเมื่อเข้ารับตำแหน่ง ดำเนินการลงทะเบียนเลิกจ้างให้เสร็จสิ้นภายใน 3 เดือน และส่งเอกสารการรับรองที่เกี่ยวข้องไปยัง Academia Sinica . เนื่องจาก Academia Sinica เป็นหน่วยงานของรัฐและมีข้อกำหนดนี้เพื่อให้มั่นใจว่านักวิจัยและช่างเทคนิคการวิจัยมีความเป็นกลางในการบริหาร หากไม่สามารถดำเนินการลงทะเบียนยุติได้ภายในระยะเวลาที่กำหนด และหากได้รับความยินยอมจาก Academia Sinica ระยะเวลาดังกล่าวอาจขยายออกไปได้
8,ไม่เต็มเวลา,รูปแบบการควบคุมนอกเวลา (2) หมวดใบอนุญาตพิเศษ - การลงทะเบียนไล่ออก,หากไม่สามารถดำเนินการจดทะเบียนเลิกจ้างได้สำเร็จตามที่กำหนดเนื่องด้วยสถานการณ์พิเศษ จะสามารถต่ออายุได้นานแค่ไหน?,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,ตามข้อบังคับของ Academia Sinica หากไม่สามารถดำเนินการลงทะเบียนเพิกถอนได้เนื่องจากสถานการณ์พิเศษ ระยะเวลาที่สามารถขยายได้คือ 3 เดือน
9,ไม่เต็มเวลา,รูปแบบการควบคุมนอกเวลา (2) หมวดใบอนุญาตพิเศษ - การลงทะเบียนไล่ออก,หลังจากแก้โจทย์เสร็จแล้ว,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,"ใช้คำแนะนำต่อไปนี้เพื่อตอบคำถามโดยใช้คำพูดในชีวิตประจำวัน:

ก่อนที่จะเข้ารับตำแหน่ง นักวิจัยและช่างเทคนิคการวิจัยของ Academia Sinica จะต้องสมัครขอขึ้นทะเบียนการจ้างงานหากพวกเขาดำรงตำแหน่งในองค์กรที่แสวงหาผลกำไร อย่างช้าที่สุด ควรยื่นใบลาออกเป็นลายลักษณ์อักษรเมื่อเดินทางมาถึง และการลงทะเบียนการเลิกจ้างควรเสร็จสิ้นภายใน 3 เดือน และควรส่งเอกสารประกอบที่เกี่ยวข้องไปยัง Academia Sinica หากไม่สามารถดำเนินการลงทะเบียนเลิกจ้างได้ตามความต้องการเนื่องจากสถานการณ์พิเศษและด้วยความยินยอมของ Academia Sinica ระยะเวลาดังกล่าวอาจขยายออกไปได้ แต่สุดท้าย"
