index,category,title,question,group,url,contact,answer
0,bán thời gian,Các kiểu kiểm soát bán thời gian (1) Các danh mục bị cấm,"Vậy bạn có cho rằng quy định này của Academia Sinica có tác động lớn nhất đến các nhà nghiên cứu, kỹ thuật viên nghiên cứu? Họ có thể bị hạn chế vì điều khoản này không? Tại sao?",nhân viên,https://www.sinica.edu.tw/ch/articles/332,Văn phòng nhân sự Academia Sinica,"Theo quy định của Academia Sinica, các nhà nghiên cứu và kỹ thuật viên nghiên cứu không được phép kiêm nhiệm các chức vụ công hoặc ngành nghề được chứng nhận khác, nếu không sẽ bị trừng phạt. Điều này có nghĩa là họ không được giữ chức vụ đại diện công quyền, công chức trong các cơ quan ở trung ương và địa phương hoặc thực hiện công vụ theo quy định của pháp luật. Điều này có thể ảnh hưởng đến sự tham gia của họ vào các vấn đề công cộng hoặc quá trình ra quyết định của các cơ quan chính phủ.

Các nhà nghiên cứu và kỹ thuật viên nghiên cứu của Academia Sinica không được phép đồng thời đảm nhiệm các vị trí trong các doanh nghiệp sinh lời, trừ những doanh nghiệp được phê duyệt. Điều này có thể ảnh hưởng đến sự tham gia của họ vào các hoạt động kinh doanh hoặc tinh thần kinh doanh"
1,bán thời gian,Các mô hình kiểm soát bán thời gian (2) Danh mục giấy phép đặc biệt,Vậy bạn nghĩ gì về danh mục giấy phép đặc biệt (2) của Academia Sinica? Academia Sinica cho phép các nhà nghiên cứu và kỹ thuật viên nghiên cứu nắm giữ những vị trí vì lợi nhuận nào?,nhân viên,https://www.sinica.edu.tw/ch/articles/332,Văn phòng nhân sự Academia Sinica,"Theo quy định của Academia Sinica, các nhà nghiên cứu và kỹ thuật viên nghiên cứu có thể nắm giữ các vị trí sau trong các doanh nghiệp sinh lời sau khi được phê duyệt:
(1) Được các cơ quan (tổ chức) quản lý vốn cổ phần đại chúng bổ nhiệm làm đại diện cho cổ phiếu đại chúng hoặc được chọn để đồng thời làm giám đốc, giám sát viên hoặc các vị trí tương tự trong các doanh nghiệp đầu tư trực tiếp hoặc gián tiếp của chính phủ.
(2) Nhà cung cấp công nghệ R&D chính là giám đốc của một công ty mới thành lập có hợp đồng chuyển giao công nghệ với Academia Sinica và thời hạn đồng thời phải trong thời hạn hiệu lực của hợp đồng.
(3) Chính"
2,bán thời gian,Các mô hình kiểm soát bán thời gian (2) Danh mục giấy phép đặc biệt,Ah? nó có dây à? Vẫn thấy nó đáng kinh ngạc? Hoặc có ý tưởng nào khác?,nhân viên,https://www.sinica.edu.tw/ch/articles/332,Văn phòng nhân sự Academia Sinica,"nó có dây à? Vẫn thấy nó đáng kinh ngạc? Hoặc có ý tưởng nào khác?

Giọng điệu: Ngạc nhiên, lạ lùng, khó tin, những suy nghĩ khác

Lý do: Thật bất ngờ và khó tin khi các nhà nghiên cứu và kỹ thuật viên nghiên cứu của Academia Sinica lại được Academia Sinica chấp thuận giữ các vị trí trong doanh nghiệp vì lợi nhuận. Có lẽ để thúc đẩy hợp tác công nghiệp-trường đại học, Academia Sinica đã ký hợp đồng hợp tác với các doanh nghiệp vì lợi nhuận, cho phép các nhà nghiên cứu và kỹ thuật viên nghiên cứu của Academia Sinica tham gia thành lập doanh nghiệp mới hoặc làm giám đốc độc lập. Có lẽ Academia Sinica đang cố gắng hỗ trợ nghiên cứu khoa học"
3,bán thời gian,Các mô hình kiểm soát bán thời gian (2) Danh mục giấy phép đặc biệt,Ừm? Có chuyện gì vậy? Bạn muốn biết thêm về quản lý bán thời gian trông như thế nào?,nhân viên,https://www.sinica.edu.tw/ch/articles/332,Văn phòng nhân sự Academia Sinica,"Các nhà nghiên cứu và kỹ thuật viên nghiên cứu của Academia Sinica có thể giữ các vị trí trong các công ty vì lợi nhuận dựa trên các vị trí đã được Academia Sinica phê duyệt nhưng phải tuân thủ các quy định liên quan. bao gồm:

*Được cơ quan quản lý vốn cổ phần đại chúng chỉ định làm đại diện cho cổ phiếu đại chúng hoặc được chọn để đồng thời làm giám đốc, giám sát viên hoặc các vị trí tương tự trong các doanh nghiệp đầu tư trực tiếp hoặc gián tiếp của chính phủ.
*Nhà cung cấp công nghệ R&D chính đóng vai trò là giám đốc của một công ty mới thành lập có hợp đồng chuyển giao công nghệ với Academia Sinica và thời hạn đồng thời phải trong thời hạn hiệu lực của hợp đồng.
*chủ yếu"
4,bán thời gian,Các mô hình kiểm soát bán thời gian (2) Danh mục giấy phép đặc biệt,Ồ? Vậy bạn có biết ai có thể làm nhân viên bán thời gian tại Academia Sinica không? Nhà cung cấp công nghệ R&D chủ chốt có thể nắm giữ những vai trò gì?,nhân viên,https://www.sinica.edu.tw/ch/articles/332,Văn phòng nhân sự Academia Sinica,"Theo quy định của Academia Sinica, các nhà nghiên cứu và kỹ thuật viên nghiên cứu có thể nắm giữ các vị trí sau trong các doanh nghiệp sinh lời sau khi được phê duyệt:

1. Được các cơ quan (tổ chức) quản lý vốn cổ phần đại chúng bổ nhiệm làm đại diện cho cổ phiếu đại chúng hoặc được lựa chọn để đồng thời làm giám đốc, giám sát viên hoặc các vị trí tương tự trong các doanh nghiệp đầu tư trực tiếp hoặc gián tiếp của chính phủ.
2. Nhà cung cấp công nghệ R&D chính là giám đốc của công ty khởi nghiệp mới có hợp đồng chuyển giao công nghệ với Academia Sinica và thời hạn đồng thời phải trong thời hạn hiệu lực của hợp đồng.
3. Các công nghệ R&D chính"
5,bán thời gian,Mẫu kiểm soát bán thời gian (2) Danh mục giấy phép đặc biệt - Đăng ký sa thải,"Sau đó, bạn cần hỏi những câu hỏi sau dựa trên các hạng mục dịch vụ và mô tả dịch vụ, sử dụng giọng điệu hàng ngày:",nhân viên,https://www.sinica.edu.tw/ch/articles/332,Văn phòng nhân sự Academia Sinica,"Được rồi, có lẽ tôi sẽ trả lời bạn bằng giọng điệu bình thường! Trước hết, nếu các nhà nghiên cứu và kỹ thuật viên nghiên cứu của Academia Sinica muốn làm việc trong các doanh nghiệp vì lợi nhuận trước khi đảm nhận vị trí của mình thì phải nộp đơn đăng ký chấm dứt; nếu việc đăng ký chấm dứt không được hoàn thành trong thời hạn và được sự đồng ý của Academia Sinica, nó có thể được gia hạn; tuy nhiên, trong thời gian gia hạn, không được tham gia hoạt động và nhận thù lao. Vì vậy, nếu bạn muốn làm việc trong một doanh nghiệp vì lợi nhuận, trước tiên bạn phải đăng ký miễn phí, nếu không bạn chỉ có thể làm"
6,bán thời gian,Mẫu kiểm soát bán thời gian (2) Danh mục giấy phép đặc biệt - Đăng ký sa thải,Nếu các nhà nghiên cứu và kỹ thuật viên nghiên cứu của Academia Sinica cần nộp đơn đăng ký từ chức trước khi đảm nhận một vị trí trong một doanh nghiệp vì lợi nhuận thì tại sao?,nhân viên,https://www.sinica.edu.tw/ch/articles/332,Văn phòng nhân sự Academia Sinica,"Theo quy định của Academia Sinica, nếu các nhà nghiên cứu và kỹ thuật viên nghiên cứu của Academia Sinica cần đảm nhiệm các vị trí trong các doanh nghiệp tạo ra lợi nhuận trước khi đảm nhận vị trí của mình thì họ phải nộp đơn xin đăng ký chấm dứt hợp đồng vì Academia Sinica là một tập đoàn được thành lập với sự đóng góp của chính phủ và chịu sự giám sát của chính phủ.Chính phủ phải bảo vệ lợi ích quốc gia và công chúng.Lợi ích, cần có quy định về việc bổ nhiệm các nhà nghiên cứu và kỹ thuật viên nghiên cứu. Vì vậy, Academia Sinica yêu cầu các nhà nghiên cứu và kỹ thuật viên nghiên cứu cần đảm nhiệm các vị trí trong doanh nghiệp vì lợi nhuận phải đăng ký từ chức trước khi đảm nhận vị trí của mình."
7,bán thời gian,Mẫu kiểm soát bán thời gian (2) Danh mục giấy phép đặc biệt - Đăng ký sa thải,Tại sao cần phải hoàn tất việc đăng ký chấm dứt trong vòng 3 tháng?,nhân viên,https://www.sinica.edu.tw/ch/articles/332,Văn phòng nhân sự Academia Sinica,"Theo quy định của Academia Sinica, các nhà nghiên cứu và kỹ thuật viên nghiên cứu đã hoàn tất đăng ký từ chức trước khi đảm nhận chức vụ của mình phải nộp đơn từ chức khi đảm nhận chức vụ, hoàn tất đăng ký chấm dứt trong vòng 3 tháng và nộp các tài liệu chứng nhận liên quan cho Academia Sinica . Điều này là do Academia Sinica là cơ quan chính phủ và có điều khoản này nhằm đảm bảo tính trung lập về hành chính của các nhà nghiên cứu và kỹ thuật viên nghiên cứu. Nếu việc đăng ký chấm dứt không thể được hoàn thành trong thời hạn và được sự đồng ý của Academia Sinica thì thời hạn có thể được gia hạn."
8,bán thời gian,Mẫu kiểm soát bán thời gian (2) Danh mục giấy phép đặc biệt - Đăng ký sa thải,Nếu việc đăng ký chấm dứt không thể hoàn thành theo yêu cầu do hoàn cảnh đặc biệt thì có thể gia hạn trong bao lâu?,nhân viên,https://www.sinica.edu.tw/ch/articles/332,Văn phòng nhân sự Academia Sinica,"Theo quy định của Academia Sinica, nếu vì lý do đặc biệt không thể hoàn tất việc đăng ký chấm dứt theo yêu cầu thì thời gian có thể gia hạn là 3 tháng."
9,bán thời gian,Mẫu kiểm soát bán thời gian (2) Danh mục giấy phép đặc biệt - Đăng ký sa thải,Sau khi giải quyết xong,nhân viên,https://www.sinica.edu.tw/ch/articles/332,Văn phòng nhân sự Academia Sinica,"Sử dụng các hướng dẫn sau để trả lời các câu hỏi bằng lời nói hàng ngày:

Trước khi đảm nhận vị trí của mình, các nhà nghiên cứu và kỹ thuật viên nghiên cứu của Academia Sinica phải nộp đơn đăng ký việc làm nếu họ đã từng giữ chức vụ trong các doanh nghiệp vì lợi nhuận. Chậm nhất, phải nộp đơn từ chức khi đến nơi và việc đăng ký chấm dứt phải được hoàn thành trong vòng 3 tháng và các tài liệu hỗ trợ liên quan phải được nộp cho Academia Sinica. Nếu việc đăng ký chấm dứt không thể được hoàn thành theo yêu cầu do hoàn cảnh đặc biệt và với sự đồng ý của Academia Sinica, thời hạn có thể được gia hạn, nhưng quyết định cuối cùng"
