category,title,question,group,url,contact,answer
兼職,兼職管制態樣(一)禁止類,中研院的研究人員和研究技術人員可以兼任其他的公職嗎？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,除非法律有特別規定，否則中研院的研究人員和研究技術人員不能兼任其他公職。
兼職,兼職管制態樣(一)禁止類,如果是領證職業，中研院的研究人員和研究技術人員可以兼任嗎？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,中研院的研究人員和研究技術人員除非獲得特別的法令規定，否則一般都不能兼任領證職業。領證職業是指需要執照或證書才能進行的工作，例如醫生或律師等是屬於領證職業。不過，若他們在工作時間以外參與社會公益活動或其他不常規、不持續的工作，或者他們的副業是中研院審查認定的教學或研究工作內容，這些情況是可以的。
兼職,兼職管制態樣(一)禁止類,進行社會公益的活動，或者是非經常性的工作，中研院的研究人員和研究技術人員能不能在工作時間以外進行呢？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,可以，只要它們在工作時間外進行社會公益活動或其他不經常的、不持久的工作，並且這些活動不會影響他們的主要工作。
兼職,兼職管制態樣(一)禁止類,對於屬於教學或研究的工作，中研院的研究人員和研究技術人員可以兼任嗎？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,如果中研院經過審查後確認這份工作是屬於教學或研究範疇的，那麼研究人員和研究技術人員是可以兼任的。
兼職,兼職管制態樣(一)禁止類,中研院的研究人員和研究技術人員可以兼任營利事業的職務嗎？如果經過中研院核准，那麼是否可以？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,中研院的研究人員和研究技術人員原則上不能兼任營利事業的職務。但如果先經過中研院核准的話，那麼就可以。
兼職,兼職管制態樣(一)禁止類,如果是兼任學術期刊、叢書和教育部訂定的課程綱要編輯教科用書出版組織的職務，中研院的研究人員和研究技術人員可以兼任嗎？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,可以呀，只要這些工作沒有涉及營利事業就可以。但如果是特定的營利事業職務，需要先得到中研院的核准才能兼任。
兼職,兼職管制態樣(二)特別許可類,中研院的研究人員跟研究技術人員能做哪些兼職工作呢？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,"中研院的研究人員跟研究技術人員得到核准後，可以承擔幾種營利事業的職務。首先，他們可以被公股股權管理機構選為代表公股，或是被推薦來兼任政府直接或間接投資事業的董事、監察人等類似職務。

另外，如果他們是主要的研發技術提供者，可以擔任和中研院有科技移轉契約的新創公司的董事，但是兼任期間一定要在契約有效期限內。同樣，如果他們是主要研發技術提供者，並用中研院研發的成果參與創辦新事業，他們可以擔任發起人，但如果他們還兼任中研院的行政職務，就不能擔任。

再來，他們可以以獨立董事的身分，在和中研院有產研合作契約的國營事業、已上市公司、金融控股公司百分之百持有的銀行等子公司裡工作，但是也不能兼任中研院的行政職務。

最後，如果是基於科學研究的需要，他們可以在和中研院有契約的營利事業裡擔任非執行經營業務的職務，兼任期間也一定要在契約有效期限內。如果他們並沒有和中研院簽署科技移轉或資助研究的契約，那他們在同一個營利事業裡的兼任期間就只能是一年，最多可以延長一年。"
兼職,兼職管制態樣(二)特別許可類,如果是主要的研發技術提供者，能在哪些情況下兼任新創公司的董事？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,如果你是主要的研發技術提供者，有兩種情況可以兼任新創公司的董事。第一，如果你與中研院簽有科技移轉契約的公司，那你可以擔任該公司的董事，但是兼任期間必須在合約有效期間內。第二，你可以運用中研院的研發成果參與創立新事業的話，也可以擔任新公司的發起人。不過，如果你同時兼任中研院的行政職務的話，那你就不能進行這些活動了。
兼職,兼職管制態樣(二)特別許可類,中研院的研究人員能否參與新事業的創辦並擔任發起人呢？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,中研院的研究人員如果是主要的研發技術提供者，且是利用中研院的研發成果去創新事業的話，是可以擔任這個新事業的發起人的。但是，如果這個研究人員還有兼任中研院的行政職務，那他就不能擔任發起人了。
兼職,兼職管制態樣(二)特別許可類,可以在哪些公司擔任獨立董事，如果是中研院行政職員能夠擔任嗎？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,中研院的研究人員和研究技術人員可以在與中研院訂有產研合作契約的國營事業、已上市的公司、金融控股公司全資擁有的銀行、票券、保險和綜合證券商等子公司，也可以在董事會或股東會決議計劃申請上市的未上市公開發行公司擔任獨立董事。不過如果是同時兼任中研院行政職務的研究人員和研究技術人員就不能擔任這樣的職務。
兼職,兼職管制態樣(二)特別許可類,中研院的研究人員為了科學研究需要，可以兼任哪些營利事業的職務？這樣的兼任期是多長時間呢？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,中研院的研究人員為了科學研究，可以兼任跟中研院有契約的營利事業非執行經營業務的職務。至於兼任的期間得在契約有效期限內。但如果是沒有跟中研院簽訂科技移轉或資助研究契約的營利事業，那同一個營利事業的兼任期間就只能有1年，最多只能延長1年。
兼職,兼職管制態樣(二)特別許可類-解任登記,如果我在中研院工作前有在營利事業中擔任職務，我該如何進行解任登記呢？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,在你開始在中研院上班之前，你需要提出書面辭職，並且在三個月內完成解任登記，然後再把必要的證明文件交給中研院。如果有特別的情況造成你無法在限定時間內完成登記，中研院是可以同意你延長的，但是最多也只能延長三個月。記得在你完成解任登記之前，是不能參與營業活動或者領取報酬的喔。
兼職,兼職管制態樣(二)特別許可類-解任登記,如果我沒辦法在3個月內完成解任登記，可以申請延長嗎？,人事,https://www.sinica.edu.tw/ch/articles/332,中研院人事室,可以的，如果你有特殊情況導致無法在三個月內完成解任登記，而且獲得中研院的同意，就可以申請延長。但是要注意的是，延長的時間最長也只能到三個月。而且在完成解任登記之前，你不能參與營業或者領取報酬哦。
