index,category,title,question,group,url,contact,answer
0,دوام جزئى,أسلوب التحكم في العمل بدوام جزئي (1) فئة محظورة,هل يمكن للباحثين أو الفنيين في Academia Sinica شغل مناصب عامة أخرى بدوام كامل؟,شؤون الموظفين,هتبص://وو.سينسى.عضو.تو/ش/أرتكلص/٣٣٢,مكتب شؤون الموظفين أكاديميا سينيكا,لا ، ما لم تنص القوانين واللوائح على خلاف ذلك ، لا يمكن للباحثين أو الفنيين في Academia Sinica تولي مناصب عامة أخرى بدوام كامل في نفس الوقت.
1,دوام جزئى,أسلوب التحكم في العمل بدوام جزئي (1) فئة محظورة,إذا كان هناك ترخيص للقيام بأعمال أخرى ، فهل يمكن لباحثي Academia Sinica تولي وظائف أخرى مرخصة في نفس الوقت؟,شؤون الموظفين,هتبص://وو.سينسى.عضو.تو/ش/أرتكلص/٣٣٢,مكتب شؤون الموظفين أكاديميا سينيكا,بشكل عام ، لا يمكن للباحثين وفنيي الأبحاث في Academia Sinica شغل وظائف أخرى مرخصة في نفس الوقت. يشير هذا إلى الوظائف التي تتطلب ترخيصًا خاصًا أو ترخيصًا لأدائها. بالطبع ، إذا كان العمل ذا طبيعة رعاية اجتماعية ، أو عمل غير منتظم ومستمر ، فيمكن القيام به خارج ساعات العمل. بالإضافة إلى ذلك ، إذا أكدت Academia Sinica أن هذه المهام تنتمي إلى فئة التدريس أو البحث ، فمن الممكن أيضًا.
2,دوام جزئى,أسلوب التحكم في العمل بدوام جزئي (1) فئة محظورة,إذا كنت باحثًا في Academia Sinica ، فهل يمكنني المشاركة في أنشطة الرعاية الاجتماعية خارج ساعات العمل؟,شؤون الموظفين,هتبص://وو.سينسى.عضو.تو/ش/أرتكلص/٣٣٢,مكتب شؤون الموظفين أكاديميا سينيكا,بالطبع يمكنك ذلك ، طالما أن أنشطة الرعاية الاجتماعية الخاصة بك خارج ساعات العمل ولا تؤثر على عملك ، فلا توجد مشكلة على الإطلاق.
3,دوام جزئى,أسلوب التحكم في العمل بدوام جزئي (1) فئة محظورة,هل يمكن للباحثين في Academia Sinica شغل مناصب ربحية محددة؟,شؤون الموظفين,هتبص://وو.سينسى.عضو.تو/ش/أرتكلص/٣٣٢,مكتب شؤون الموظفين أكاديميا سينيكا,نعم ، ولكن فقط بعد مراجعتها واعتمادها من قبل Academia Sinica.
4,دوام جزئى,أسلوب التحكم في العمل بدوام جزئي (1) فئة محظورة,إذا كنت باحثًا في Academia Sinica ، فهل يمكنني أن أعمل في نفس الوقت كمحرر لمنهج المناهج الذي وضعته وزارة التربية والتعليم وناشرًا للكتب المدرسية؟,شؤون الموظفين,هتبص://وو.سينسى.عضو.تو/ش/أرتكلص/٣٣٢,مكتب شؤون الموظفين أكاديميا سينيكا,إذا كنت باحثًا في Academia Sinica ، فلا بأس أن تعمل في نفس الوقت كمنظمة لنشر الكتب المدرسية لتحرير مناهج المناهج الدراسية التي وضعتها وزارة التعليم ، لأن هذا لا يشمل العمليات التجارية.
5,دوام جزئى,أسلوب التحكم في العمل بدوام جزئي (1) فئة محظورة,لنفترض أنني أرغب في القيام بعمل آخر في نفس الوقت ، فهل يجب علي مراجعة Academia Sinica أولاً؟,شؤون الموظفين,هتبص://وو.سينسى.عضو.تو/ش/أرتكلص/٣٣٢,مكتب شؤون الموظفين أكاديميا سينيكا,نعم ، إذا كنت ترغب في تولي أعمال أخرى في نفس الوقت ، فأنت بحاجة إلى الحصول على موافقة Academia Sinica أولاً. ما لم تكن مؤسسة نشر تعمل أيضًا كمحرر للمجلات الأكاديمية ، وسلسلة الكتب ، ومخططات الدورة التي تحددها وزارة التعليم ، فإن هذه المناصب لا تنطوي على عمليات تجارية ، أو تحددها Academia Sinica على أنها تنتمي إلى نطاق التدريس أو العمل البحثي. إذا كنت تشارك في أنشطة الرعاية الاجتماعية أو غيرها من الأعمال المستمرة وغير المتكررة خارج ساعات العمل ، فلا داعي للحد من ذلك. ومع ذلك ، لا يمكن شغل المناصب العامة وصناعة الشهادات ذات اللوائح الإدارية الحصرية بشكل متزامن.
6,دوام جزئى,أسلوب التحكم في العمل بدوام جزئي (1) فئة محظورة,إذا كنت أشارك غالبًا في وظيفة ما ، لكنها لا تؤثر على وظيفتي الأصلية ، فهل يمكنني القيام بذلك بشكل متزامن؟,شؤون الموظفين,هتبص://وو.سينسى.عضو.تو/ش/أرتكلص/٣٣٢,مكتب شؤون الموظفين أكاديميا سينيكا,إذا كنت باحثًا أو فني أبحاث في Academia Sinica ، فلا يمكنك عادةً شغل وظائف أخرى في نفس الوقت. لكن هناك استثناءات ، على سبيل المثال ، إذا كنت منخرطًا في أنشطة الرعاية الاجتماعية خارج ساعات العمل ، أو في بعض الأحيان بشكل عرضي وغير مستمر ، فلا بأس بذلك. أو ، إذا كانت الوظيفة عبارة عن وظيفة تدريس أو بحث ، طالما قامت Academia Sinica بمراجعتها وقررت أنها تنتمي إلى هذه الفئة ، فيمكنك القيام بها في نفس الوقت. لذلك عليك معرفة ما إذا كانت الوظيفة التي تشارك فيها غالبًا تفي بهذه الشروط.
7,دوام جزئى,أسلوب التحكم في العمل بدوام جزئي (1) فئة محظورة,ما هو نطاق مناصب تجارية محددة للربح ، وما هي الإجراءات المطلوبة للحصول على موافقة Academia Sinica؟,شؤون الموظفين,هتبص://وو.سينسى.عضو.تو/ش/أرتكلص/٣٣٢,مكتب شؤون الموظفين أكاديميا سينيكا,قد تشير المناصب التجارية الهادفة للربح إلى الوظائف المتعلقة بمهنة الباحث ، والتي يجب تطبيقها على Academia Sinica أولاً ، ولا يمكن استخدامها إلا بشكل متزامن بعد مراجعتها والموافقة عليها. لم يتم تحديد إجراءات المراجعة المحددة بوضوح في النص ، وقد تحتاج إلى الرجوع إلى اللوائح ذات الصلة من Academia Sinica لتعرف.
8,دوام جزئى,أسلوب التحكم في الوظائف بدوام جزئي (2) فئة الإذن الخاص,تحت أي ظروف يمكن للباحثين والفنيين في Academia Sinica تولي مناصب في المؤسسات الربحية؟,شؤون الموظفين,هتبص://وو.سينسى.عضو.تو/ش/أرتكلص/٣٣٢,مكتب شؤون الموظفين أكاديميا سينيكا,يجب أن يحصل باحثو وفنيو Academia Sinica أولاً على إذن من Academia Sinica إذا كانوا يريدون تولي مناصب تجارية مربحة. بمجرد استيفاء هذا الشرط ، هناك خمسة سيناريوهات محتملة. الأول هو أن يتم تعيينه أو التوصية به من قبل وكالة إدارة الأسهم العامة ليكون مديرًا أو مشرفًا أو منصبًا مشابهًا لمؤسسة الاستثمار الحكومية المباشرة أو غير المباشرة. والثاني هو أن الشخص الذي يقود تقنية البحث والتطوير يمكن أن يكون مديرًا لشركة ناشئة لديها عقد لنقل التكنولوجيا مع Academia Sinica ، ولكن خلال فترة صلاحية العقد. والثالث هو أنهم يستخدمون إنجازات البحث والتطوير الخاصة بـ Academia Sinica لبدء عمل تجاري ويصبحوا رواد أعمال ، ولكن إذا كان لديهم منصب إداري في Academia Sinica ، فلن يتمكنوا من القيام بذلك. الرابع هو أنه يمكنهم العمل كمديرين مستقلين للمؤسسات المملوكة للدولة أو الشركات المدرجة أو البنوك أو الشركات التابعة للأوراق المالية التي لديها عقد تعاون في مجال البحث الصناعي مع Academia Sinica ، ولكن بالمثل ، لا يمكنهم القيام بذلك إذا كان لديهم مناصب إدارية في Academia Sinica . الموقف الأخير هو أنه يمكنهم تولي مناصب تجارية غير تشغيلية في المؤسسات الربحية التي لديها عقد مع Academia Sinica خلال فترة صلاحية العقد. إذا لم يوقعوا عقدًا لنقل التكنولوجيا أو تمويل الأبحاث مع Academia Sinica ، فلا يمكن أن تتجاوز فترة عملهم المتزامنة في نفس الشركة عامًا واحدًا ، ولكن يمكن تمديدها لمدة عام واحد.
9,دوام جزئى,أسلوب التحكم في الوظائف بدوام جزئي (2) فئة الإذن الخاص,ما هي الفترة التي يستغرقها مزود تكنولوجيا البحث والتطوير التابع لـ Academia Sinica للعمل كمدير للشركة الناشئة؟,شؤون الموظفين,هتبص://وو.سينسى.عضو.تو/ش/أرتكلص/٣٣٢,مكتب شؤون الموظفين أكاديميا سينيكا,موفر تكنولوجيا البحث والتطوير في Academia Sinica هو مدير الشركة الناشئة ، ويجب أن تكون المدة المتزامنة ضمن فترة صلاحية عقد نقل التكنولوجيا.
