index,category,title,question,group,url,contact,answer
0,Teilzeit,Status der Teilzeitbeschäftigung (1) Verbotene Kategorie,Können Forscher und Forschungstechniker der Academia Sinica gleichzeitig andere öffentliche Positionen bekleiden?,Personal,https://www.sinica.edu.tw/ch/articles/332,Personalbüro der Academia Sinica,"Sofern gesetzlich nichts anderes bestimmt ist, können Forscher und Forschungstechniker der Academia Sinica nicht gleichzeitig andere öffentliche Ämter bekleiden."
1,Teilzeit,Status der Teilzeitbeschäftigung (1) Verbotene Kategorie,"Können die Forscher und Forschungstechniker der Academia Sinica gleichzeitig arbeiten, wenn es sich um einen lizenzierten Beruf handelt?",Personal,https://www.sinica.edu.tw/ch/articles/332,Personalbüro der Academia Sinica,"Den Forschern und Forschungstechnikern der Academia Sinica ist es grundsätzlich nicht gestattet, gleichzeitig eine lizenzierte Tätigkeit auszuüben, es sei denn, dies ist durch Gesetze und Vorschriften ausdrücklich vorgeschrieben. Zugelassene Berufe beziehen sich auf Berufe, die eine Zulassung oder ein Zertifikat erfordern, wie z. B. Ärzte oder Rechtsanwälte, und sind zugelassene Berufe. Wenn sie jedoch an sozialen Aktivitäten oder anderen unregelmäßigen und nicht kontinuierlichen Arbeiten außerhalb der Arbeitszeit teilnehmen oder ihre Nebentätigkeit den Inhalt einer von der Academia Sinica identifizierten Lehr- oder Forschungstätigkeit darstellt, sind diese Situationen akzeptabel."
2,Teilzeit,Status der Teilzeitbeschäftigung (1) Verbotene Kategorie,Können die Forscher und Forschungstechniker der Academia Sinica soziale Aktivitäten oder einmalige Arbeiten außerhalb der Arbeitszeit erledigen?,Personal,https://www.sinica.edu.tw/ch/articles/332,Personalbüro der Academia Sinica,"Ja, solange sie außerhalb der Arbeitszeit soziale Dienste oder andere seltene, nicht nachhaltige Arbeiten verrichten und diese Tätigkeiten ihre Hauptarbeit nicht beeinträchtigen."
3,Teilzeit,Status der Teilzeitbeschäftigung (1) Verbotene Kategorie,Können die Forscher und Forschungstechniker der Academia Sinica gleichzeitig für Lehr- oder Forschungsarbeiten arbeiten?,Personal,https://www.sinica.edu.tw/ch/articles/332,Personalbüro der Academia Sinica,"Wenn die Academia Sinica nach Prüfung bestätigt, dass die Stelle der Kategorie Lehre oder Forschung zuzuordnen ist, können Forscher und Forschungstechniker gleichzeitig beschäftigt werden."
4,Teilzeit,Status der Teilzeitbeschäftigung (1) Verbotene Kategorie,"Können die Forscher und Forschungstechniker der Academia Sinica gleichzeitig Positionen in gewinnorientierten Unternehmen bekleiden? Ist es möglich, wenn es von der Academia Sinica genehmigt wird?",Personal,https://www.sinica.edu.tw/ch/articles/332,Personalbüro der Academia Sinica,"Grundsätzlich können Forscher und Forschungstechniker der Academia Sinica nicht gleichzeitig Positionen in gewinnorientierten Unternehmen bekleiden. Aber wenn es zuerst von der Academia Sinica genehmigt wird, dann ist es machbar."
5,Teilzeit,Status der Teilzeitbeschäftigung (1) Verbotene Kategorie,"Können die Forscher und Forschungstechniker der Academia Sinica gleichzeitig als Herausgeber wissenschaftlicher Zeitschriften, Buchreihen und Lehrbuchverlagsorganisationen fungieren, die vom Bildungsministerium eingerichtet wurden?",Personal,https://www.sinica.edu.tw/ch/articles/332,Personalbüro der Academia Sinica,"Ja, solange es sich bei der Arbeit nicht um ein gewinnorientiertes Unternehmen handelt. Wenn es sich jedoch um eine bestimmte gewinnbringende Position handelt, muss diese von der Academia Sinica genehmigt werden, bevor sie gleichzeitig genutzt werden kann."
6,Teilzeit,Teilzeitjob-Kontrollstil (2) Sonderberechtigungskategorie,Welche Teilzeitjobs können Forscher und Forschungstechniker der Academia Sinica ausüben?,Personal,https://www.sinica.edu.tw/ch/articles/332,Personalbüro der Academia Sinica,"Nachdem die Forscher und Forschungstechniker der Academia Sinica zugelassen wurden, können sie die Positionen mehrerer gewinnbringender Unternehmen übernehmen. Erstens können sie von öffentlichen Aktienverwaltungsinstituten als repräsentative öffentliche Aktien ausgewählt oder für die Tätigkeit als Direktoren, Vorgesetzte und andere ähnliche Positionen in Unternehmen mit direkter oder indirekter staatlicher Beteiligung empfohlen werden.

Darüber hinaus können sie, wenn sie die wichtigsten Anbieter von F&E-Technologie sind, als Direktoren von Start-up-Unternehmen fungieren, die einen Technologietransfervertrag mit der Academia Sinica haben, die gleichzeitige Ernennungsperiode muss jedoch innerhalb der Gültigkeitsdauer des Vertrags liegen. Ebenso können sie als Initiatoren fungieren, wenn sie die Hauptanbieter von F&E-Technologie sind und die Forschungs- und Entwicklungsergebnisse der Academia Sinica nutzen, um sich an der Gründung neuer Unternehmen zu beteiligen. Wenn sie jedoch auch Verwaltungspositionen in der Academia Sinica innehaben, können sie dies nicht tun.

Darüber hinaus können sie als unabhängige Direktoren in staatseigenen Unternehmen, börsennotierten Unternehmen, Banken und anderen Tochtergesellschaften arbeiten, die sich zu 100 % im Besitz von Finanzholdinggesellschaften befinden, die einen Industrie-Forschungs-Kooperationsvertrag mit der Academia Sinica haben, sie können jedoch nicht auch Verwaltungspositionen in der Academia Sinica bekleiden.

Wenn es sich schließlich an den Erfordernissen der wissenschaftlichen Forschung orientiert, können sie nicht leitende Geschäftspositionen in gewinnorientierten Unternehmen übernehmen, die einen Vertrag mit der Academia Sinica haben, und die gleichzeitige Beschäftigungsdauer muss ebenfalls innerhalb der Gültigkeitsdauer des Vertrags liegen. Wenn sie keinen Vertrag mit der Academia Sinica über Technologietransfer oder Forschungsfinanzierung unterzeichnet haben, kann ihre gleichzeitige Beschäftigung im selben gewinnorientierten Unternehmen nur ein Jahr dauern und um maximal ein Jahr verlängert werden."
7,Teilzeit,Teilzeitjob-Kontrollstil (2) Sonderberechtigungskategorie,"Wenn es sich um einen großen Anbieter von F&E-Technologie handelt, unter welchen Umständen kann es als Direktor eines Start-up-Unternehmens fungieren?",Personal,https://www.sinica.edu.tw/ch/articles/332,Personalbüro der Academia Sinica,"Wenn Sie der Hauptanbieter von F&E-Technologie sind, gibt es zwei Situationen, in denen Sie auch als Direktor des Start-up-Unternehmens fungieren können. Erstens: Wenn Sie einen Technologietransfervertrag mit der Academia Sinica unterzeichnet haben, können Sie als Direktor des Unternehmens fungieren, die gleichzeitige Amtszeit muss jedoch innerhalb der Gültigkeitsdauer des Vertrags liegen. Zweitens: Wenn Sie die Forschungs- und Entwicklungsleistungen der Academia Sinica nutzen können, um sich an der Gründung neuer Unternehmen zu beteiligen, können Sie auch als Sponsor des neuen Unternehmens fungieren. Wenn Sie jedoch gleichzeitig die Verwaltungsfunktion der Academia Sinica innehaben, können Sie diese Tätigkeiten nicht ausüben."
8,Teilzeit,Teilzeitjob-Kontrollstil (2) Sonderberechtigungskategorie,Können sich Forscher der Academia Sinica an der Gründung neuer Unternehmen beteiligen und als Initiatoren fungieren?,Personal,https://www.sinica.edu.tw/ch/articles/332,Personalbüro der Academia Sinica,"Wenn die Forscher der Academia Sinica die wichtigsten Anbieter von F&E-Technologie sind und die F&E-Ergebnisse der Academia Sinica zur Gründung neuer Unternehmen nutzen, können sie die Initiatoren dieser neuen Unternehmen sein. Wenn der Forscher jedoch auch die Verwaltungsfunktion der Academia Sinica innehat, kann er nicht der Sponsor sein."
9,Teilzeit,Teilzeitjob-Kontrollstil (2) Sonderberechtigungskategorie,"In welchen Unternehmen kann ich als unabhängiger Direktor fungieren, und wenn ich Verwaltungsmitarbeiter der Academia Sinica bin, kann ich dann als unabhängiger Direktor fungieren?",Personal,https://www.sinica.edu.tw/ch/articles/332,Personalbüro der Academia Sinica,"Die Forscher und Forschungstechniker der Academia Sinica können als unabhängige Direktoren in staatseigenen Unternehmen, börsennotierten Unternehmen und hundertprozentigen Tochtergesellschaften von Banken, Wertpapier-, Versicherungs- und Wertpapiergesellschaften fungieren, die mit der Academia Sinica einen Branchen-Forschungskooperationsvertrag unterzeichnet haben, und können auch als unabhängige Direktoren in nicht börsennotierten öffentlichen Unternehmen fungieren, die einen Antrag auf Notierung beim Vorstand oder bei der Aktionärsversammlung stellen möchten. Allerdings können Forscher und Forschungstechniker, die gleichzeitig Verwaltungspositionen in der Academia Sinica innehaben, diese Positionen nicht bekleiden."
