index,category,title,question,group,url,contact,answer
0,part time,Part-time job control status (1) Prohibited category,Can the researchers and research technicians of Academia Sinica hold other public positions concurrently?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"Unless otherwise specified by law, researchers and research technicians of Academia Sinica cannot concurrently hold other public positions."
1,part time,Part-time job control status (1) Prohibited category,"If it is a licensed occupation, can the researchers and research technicians of the Academia Sinica work concurrently?",personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"The researchers and research technicians of Academia Sinica are generally not allowed to concurrently serve as licensed occupations unless they are specifically stipulated by laws and regulations. Licensed occupations refer to jobs that require licenses or certificates, such as doctors or lawyers, are licensed occupations. However, if they participate in social welfare activities or other irregular and non-continuous work outside of working hours, or their sideline job is the content of teaching or research work identified by Academia Sinica, these situations are acceptable."
2,part time,Part-time job control status (1) Prohibited category,"For social welfare activities or non-recurring work, can the researchers and research technicians of Academia Sinica do it outside of working hours?",personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"Yes, as long as they perform social service activities or other infrequent, non-sustainable work outside of working hours and these activities do not interfere with their primary work."
3,part time,Part-time job control status (1) Prohibited category,Can the researchers and research technicians of Academia Sinica concurrently work for teaching or research work?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"If the Academia Sinica confirms that the job belongs to the category of teaching or research after review, then researchers and research technicians can be employed concurrently."
4,part time,Part-time job control status (1) Prohibited category,"Can the researchers and research technicians of Academia Sinica concurrently hold positions in for-profit enterprises? If it is approved by Academia Sinica, is it possible?",personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"In principle, researchers and research technicians of Academia Sinica cannot concurrently hold positions in profit-making enterprises. But if it is first approved by the Academia Sinica, then it can be done."
5,part time,Part-time job control status (1) Prohibited category,"If they concurrently serve as editors of academic journals, series of books, and textbook publishing organizations set by the Ministry of Education, can the researchers and research technicians of Academia Sinica concurrently serve?",personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"Yes, as long as the work does not involve a for-profit business. However, if it is a specific profit-making position, it needs to be approved by the Academia Sinica before it can be used concurrently."
6,part time,Part-time job control style (2) special permission category,What kind of part-time jobs can researchers and research technicians of Academia Sinica do?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"After the researchers and research technicians of Academia Sinica are approved, they can assume the positions of several profit-making enterprises. First of all, they can be selected by public stock equity management institutions as representative public stocks, or be recommended to serve as directors, supervisors, and other similar positions in direct or indirect government investment enterprises.

In addition, if they are the main R&D technology providers, they can serve as directors of start-up companies that have a technology transfer contract with Academia Sinica, but the concurrent term must be within the validity period of the contract. Similarly, if they are the main R&D technology providers and use the results of Academia Sinica to participate in the establishment of new businesses, they can act as initiators, but if they also hold administrative positions in Academia Sinica, they cannot do so.

Furthermore, as independent directors, they can work in state-owned enterprises, listed companies, banks and other subsidiaries 100% owned by financial holding companies that have an industry-research cooperation contract with Academia Sinica, but they cannot also hold administrative positions in Academia Sinica.

Finally, if it is based on the needs of scientific research, they can take up non-executive business positions in a profit-making enterprise that has a contract with Academia Sinica, and the concurrent employment period must also be within the validity period of the contract. If they have not signed a contract with Academia Sinica for technology transfer or funding research, then their concurrent tenure in the same for-profit enterprise can only be one year, and can be extended by one year at most."
7,part time,Part-time job control style (2) special permission category,"If it is a major R&D technology provider, under what circumstances can it serve as a director of a start-up company?",personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"If you are the main R&D technology provider, there are two situations in which you can also serve as the director of the start-up company. First, if you have signed a technology transfer contract with Academia Sinica, you can serve as a director of the company, but the concurrent term must be within the valid period of the contract. Second, if you can use the research and development achievements of Academia Sinica to participate in the creation of new businesses, you can also serve as the sponsor of the new company. However, if you concurrently hold the administrative position of Academia Sinica, then you cannot carry out these activities."
8,part time,Part-time job control style (2) special permission category,Can researchers from Academia Sinica participate in the establishment of new businesses and act as initiators?,personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"If the researchers of the Academia Sinica are the main R&D technology providers and use the R&D results of the Academia Sinica to create new businesses, they can be the initiators of this new business. However, if the researcher also holds the administrative position of Academia Sinica, he cannot be the sponsor."
9,part time,Part-time job control style (2) special permission category,"In which companies can I serve as an independent director, and if I am an administrative staff of Academia Sinica, can I serve as an independent director?",personnel,https://www.sinica.edu.tw/ch/articles/332,Academia Sinica Personnel Office,"The researchers and research technicians of Academia Sinica can serve as independent directors in state-owned enterprises, listed companies, wholly-owned subsidiaries of financial holding companies such as banks, securities, insurance, and comprehensive securities companies that have entered into an industry-research cooperation contract with Academia Sinica, and can also serve as independent directors in unlisted public companies that plan to apply for listing through the resolution of the board of directors or shareholders' meeting. However, researchers and research technicians who concurrently hold administrative positions in Academia Sinica cannot hold such positions."
