index,category,title,question,group,url,contact,answer
0,tiempo parcial,Estado de control de trabajo a tiempo parcial (1) Categoría prohibida,¿Los investigadores y técnicos de investigación de la Academia Sínica pueden ocupar otros cargos públicos simultáneamente?,personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Salvo disposición en contrario de la ley, los investigadores y técnicos de investigación de la Academia Sínica no pueden desempeñar simultáneamente otros cargos públicos."
1,tiempo parcial,Estado de control de trabajo a tiempo parcial (1) Categoría prohibida,"Si se trata de una ocupación con licencia, ¿pueden trabajar simultáneamente los investigadores y los técnicos de investigación de la Academia Sínica?",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Por lo general, los investigadores y los técnicos de investigación de la Academia Sínica no pueden ejercer al mismo tiempo ocupaciones con licencia, a menos que las leyes y los reglamentos lo estipulen específicamente. Las ocupaciones con licencia se refieren a trabajos que requieren licencias o certificados, como médicos o abogados, son ocupaciones con licencia. Sin embargo, si participan en actividades de bienestar social u otros trabajos irregulares y no continuos fuera del horario laboral, o si su trabajo secundario es el contenido del trabajo de enseñanza o investigación identificado por Academia Sínica, estas situaciones son aceptables."
2,tiempo parcial,Estado de control de trabajo a tiempo parcial (1) Categoría prohibida,"Para actividades de bienestar social o trabajo no recurrente, ¿los investigadores y técnicos de investigación de la Academia Sínica pueden hacerlo fuera del horario laboral?",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Sí, siempre y cuando realicen actividades de servicio social u otro trabajo poco frecuente y no sostenible fuera del horario laboral y estas actividades no interfieran con su trabajo principal."
3,tiempo parcial,Estado de control de trabajo a tiempo parcial (1) Categoría prohibida,¿Pueden los investigadores y técnicos de investigación de la Academia Sínica trabajar simultáneamente para labores de docencia o investigación?,personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Si la Academia Sínica confirma que el trabajo pertenece a la categoría de docencia o investigación después de la revisión, entonces los investigadores y los técnicos de investigación pueden ser contratados simultáneamente."
4,tiempo parcial,Estado de control de trabajo a tiempo parcial (1) Categoría prohibida,"¿Pueden los investigadores y técnicos de investigación de la Academia Sínica ocupar simultáneamente cargos en empresas con fines de lucro? Si es aprobado por la Academia Sínica, ¿es posible?",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"En principio, los investigadores y técnicos de investigación de la Academia Sínica no pueden ocupar simultáneamente cargos en empresas con fines lucrativos. Pero si primero es aprobado por la Academia Sínica, entonces se puede hacer."
5,tiempo parcial,Estado de control de trabajo a tiempo parcial (1) Categoría prohibida,"Si se desempeñan simultáneamente como editores de revistas académicas, series de libros y organizaciones editoriales de libros de texto establecidas por el Ministerio de Educación, ¿pueden los investigadores y técnicos de investigación de la Academia Sínica desempeñarse simultáneamente?",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Sí, siempre que el trabajo no implique un negocio con fines de lucro. Sin embargo, si se trata de un puesto específico con fines de lucro, debe ser aprobado por la Academia Sínica antes de que pueda usarse simultáneamente."
6,tiempo parcial,Estilo de control de trabajo a tiempo parcial (2) categoría de permiso especial,¿Qué tipo de trabajos a tiempo parcial pueden realizar los investigadores y técnicos de investigación de la Academia Sínica?,personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Una vez aprobados, los investigadores y técnicos de investigación de la Academia Sínica pueden asumir los cargos de varias empresas con fines de lucro. En primer lugar, pueden ser seleccionados por las instituciones de gestión de acciones públicas como acciones públicas representativas, o ser recomendados para desempeñarse como directores, supervisores y otros cargos similares en empresas de inversión pública directa o indirecta.

Además, si son los principales proveedores de tecnología de I+D, pueden desempeñarse como directores de empresas de nueva creación que tengan un contrato de transferencia de tecnología con Academia Sínica, pero el término concurrente debe estar dentro del período de vigencia del contrato. De igual forma, si son los principales proveedores de tecnología de I+D y utilizan los resultados de Academia Sínica para participar en el establecimiento de nuevos negocios, pueden actuar como iniciadores, pero si además ocupan cargos administrativos en Academia Sínica, no pueden hacerlo.

Además, como directores independientes, pueden trabajar en empresas estatales, sociedades cotizadas, bancos y otras subsidiarias 100% propiedad de sociedades controladoras financieras que tienen un contrato de cooperación de investigación industrial con Academia Sínica, pero no pueden también ocupar cargos administrativos en Academia Sínica.

Finalmente, si se basa en las necesidades de la investigación científica, pueden ocupar cargos empresariales no ejecutivos en una empresa con fines de lucro que tenga un contrato con Academia Sínica, y el período de empleo concurrente también debe estar dentro del período de vigencia del contrato. Si no han firmado un contrato con la Academia Sínica para la transferencia de tecnología o la financiación de la investigación, entonces su permanencia simultánea en la misma empresa con fines de lucro solo puede ser de un año y puede extenderse por un año como máximo."
7,tiempo parcial,Estilo de control de trabajo a tiempo parcial (2) categoría de permiso especial,"Si es un importante proveedor de tecnología de I+D, ¿bajo qué circunstancias puede actuar como director de una empresa de nueva creación?",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Si usted es el principal proveedor de tecnología de I+D, hay dos situaciones en las que también puede actuar como director de la empresa de nueva creación. Primero, si ha firmado un contrato de transferencia de tecnología con Academia Sínica, puede desempeñarse como director de la empresa, pero el término concurrente debe estar dentro del período de vigencia del contrato. En segundo lugar, si puede utilizar los logros de investigación y desarrollo de la Academia Sínica para participar en la creación de nuevos negocios, también puede actuar como patrocinador de la nueva empresa. Sin embargo, si al mismo tiempo ocupa el cargo administrativo de la Academia Sínica, entonces no puede realizar estas actividades."
8,tiempo parcial,Estilo de control de trabajo a tiempo parcial (2) categoría de permiso especial,¿Los investigadores de la Academia Sínica pueden participar en el establecimiento de nuevos negocios y actuar como iniciadores?,personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Si los investigadores de la Academia Sínica son los principales proveedores de tecnología de I+D y utilizan los resultados de I+D de la Academia Sínica para crear nuevos negocios, pueden servir como iniciadores de este nuevo negocio. Sin embargo, si el investigador también ocupa el cargo administrativo de la Academia Sínica, no puede ser el patrocinador."
9,tiempo parcial,Estilo de control de trabajo a tiempo parcial (2) categoría de permiso especial,"¿En qué empresas puedo desempeñarme como director independiente, y si soy personal administrativo de Academia Sínica, puedo desempeñarme como director independiente?",personal,https://www.sinica.edu.tw/ch/articles/332,Oficina de Personal de la Academia Sínica,"Los investigadores y técnicos de investigación de Academia Sínica pueden desempeñarse como directores independientes en empresas estatales, empresas que cotizan en bolsa y subsidiarias de propiedad total de bancos, empresas de valores, seguros y sociedades de valores integrales que hayan firmado un contrato de cooperación en investigación industrial con Academia Sínica, y también pueden actuar como directores independientes en empresas públicas no cotizadas que planean solicitar su cotización por parte de la junta directiva o la asamblea de accionistas. Sin embargo, los investigadores y técnicos de investigación que desempeñen simultáneamente cargos administrativos en la Academia Sínica no podrán desempeñar dichos cargos."
