index,category,title,question,group,url,contact,answer
0,à temps partiel,Style de contrôle du travail à temps partiel (1) Catégorie interdite,Les chercheurs ou techniciens de l'Academia Sinica peuvent-ils occuper d'autres fonctions publiques à plein temps ?,personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Académie Sinica,"Non, sauf dispositions législatives et réglementaires contraires, les chercheurs ou techniciens de l'Academia Sinica ne peuvent cumuler d'autres fonctions publiques à plein temps."
1,à temps partiel,Style de contrôle du travail à temps partiel (1) Catégorie interdite,"S'il existe une licence pour effectuer d'autres travaux, les chercheurs de l'Academia Sinica peuvent-ils exercer simultanément d'autres professions sous licence ?",personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Académie Sinica,"En règle générale, les chercheurs et techniciens de recherche de l'Academia Sinica ne peuvent pas exercer simultanément d'autres professions autorisées. Cela fait référence aux travaux qui nécessitent une licence ou une licence spéciale pour être exécutés. Bien entendu, s'il s'agit d'un travail à caractère social, ou d'un travail irrégulier et continu, il peut être effectué en dehors des heures de travail. De plus, si l'Academia Sinica confirme que ces tâches appartiennent à la catégorie de l'enseignement ou de la recherche, cela est également possible."
2,à temps partiel,Style de contrôle du travail à temps partiel (1) Catégorie interdite,"Si je suis chercheur à l'Academia Sinica, puis-je participer à des activités d'aide sociale en dehors des heures de travail ?",personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Académie Sinica,"Bien sûr, tant que vos activités sociales se déroulent en dehors des heures de travail et n'affectent pas votre travail, il n'y a aucun problème."
3,à temps partiel,Style de contrôle du travail à temps partiel (1) Catégorie interdite,Les chercheurs de l'Academia Sinica peuvent-ils occuper des postes spécifiques à but lucratif ?,personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Académie Sinica,"Oui, mais seulement après avoir été examiné et approuvé par l'Academia Sinica."
4,à temps partiel,Style de contrôle du travail à temps partiel (1) Catégorie interdite,"Si je suis chercheur à l'Academia Sinica, puis-je être à la fois éditeur du programme d'études établi par le ministère de l'Éducation et éditeur de manuels ?",personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Académie Sinica,"Si vous êtes chercheur à l'Academia Sinica, vous pouvez servir simultanément d'organisme d'édition de manuels pour l'édition du programme d'études établi par le ministère de l'Éducation, car cela n'implique pas d'opérations commerciales."
5,à temps partiel,Style de contrôle du travail à temps partiel (1) Catégorie interdite,"Supposons que je veuille reprendre une autre entreprise en même temps, dois-je d'abord passer par l'examen de l'Academia Sinica ?",personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Académie Sinica,"Oui, si vous souhaitez vous lancer dans d'autres activités en même temps, vous devez d'abord obtenir l'approbation de l'Academia Sinica. À moins qu'il ne s'agisse d'un organisme d'édition qui sert simultanément d'éditeur de revues universitaires, de séries de livres et de plans de cours stipulés par le ministère de l'Éducation, ces postes n'impliquent pas d'opérations commerciales ou sont déterminés par l'Academia Sinica comme faisant partie du champ d'application de travaux d'enseignement ou de recherche. Si vous participez à des activités d'aide sociale ou à d'autres travaux non récurrents et continus en dehors des heures de travail, il n'est pas nécessaire de le limiter. Cependant, la fonction publique et l'industrie de la certification avec des règles de gestion exclusives ne peuvent pas être détenues simultanément."
6,à temps partiel,Style de contrôle du travail à temps partiel (1) Catégorie interdite,"Si je participe souvent à un travail, mais que cela n'affecte pas mon travail d'origine, puis-je le faire en même temps ?",personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Académie Sinica,"Si vous êtes chercheur ou technicien de recherche à l'Academia Sinica, vous ne pouvez généralement pas occuper d'autres emplois simultanément. Mais il y a des exceptions, par exemple si vous êtes engagé dans des activités sociales en dehors des heures de travail, ou un travail très occasionnel et non continu, alors c'est OK. Ou, si le travail est un travail d'enseignement ou de recherche, tant que l'Academia Sinica l'a examiné et a déterminé qu'il appartient à cette catégorie, vous pouvez le faire simultanément. Vous devez donc voir si le travail auquel vous participez souvent remplit ces conditions."
7,à temps partiel,Style de contrôle du travail à temps partiel (1) Catégorie interdite,Quelle est la portée des postes commerciaux spécifiques à but lucratif et quelles sont les procédures requises pour obtenir l'approbation de l'Academia Sinica ?,personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Académie Sinica,"Des postes commerciaux spécifiques à but lucratif peuvent faire référence à des postes liés à la profession du chercheur, qui doivent d'abord être appliqués à l'Academia Sinica, et ne peuvent être utilisés simultanément qu'après leur examen et leur approbation. Les procédures d'examen spécifiques ne sont pas clairement énoncées dans le texte, et vous devrez peut-être consulter les règlements pertinents de l'Academia Sinica pour le savoir."
8,à temps partiel,Style de contrôle des emplois à temps partiel (2) catégorie d'autorisation spéciale,Dans quelles circonstances les chercheurs et techniciens de l'Academia Sinica peuvent-ils occuper des postes dans des entreprises à but lucratif ?,personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Académie Sinica,"Les chercheurs et techniciens de l'Academia Sinica doivent d'abord obtenir l'autorisation de l'Academia Sinica s'ils souhaitent occuper des postes commerciaux à but lucratif. Une fois cette condition remplie, cinq scénarios sont possibles. Le premier est d'être nommé ou recommandé par l'agence publique de gestion des actions pour être directeur, superviseur ou poste similaire de l'entreprise d'investissement direct ou indirect du gouvernement. La seconde est que la personne qui dirige la technologie R&D peut être administrateur d'une start-up qui a un contrat de transfert de technologie avec l'Academia Sinica, mais dans la période de validité du contrat. La troisième est qu'ils utilisent les réalisations de R&D de l'Academia Sinica pour démarrer une entreprise et devenir entrepreneurs, mais s'ils ont un poste administratif à l'Academia Sinica, ils ne peuvent pas le faire. La quatrième est qu'ils peuvent servir d'administrateurs indépendants d'entreprises publiques, de sociétés cotées, de banques ou de filiales de valeurs mobilières qui ont un contrat de coopération de recherche industrielle avec l'Academia Sinica, mais de même, ils ne peuvent pas le faire s'ils occupent des postes administratifs à l'Academia Sinica. . La dernière situation est qu'ils peuvent occuper des postes commerciaux non opérationnels dans des entreprises à but lucratif qui ont un contrat avec l'Academia Sinica pendant la période de validité du contrat. S'ils n'ont pas signé de contrat de transfert de technologie ou de financement de la recherche avec l'Academia Sinica, leur mandat cumulé dans la même entreprise ne peut excéder un an, mais il peut être prolongé d'un an."
9,à temps partiel,Style de contrôle des emplois à temps partiel (2) catégorie d'autorisation spéciale,Quelle est la durée du mandat du fournisseur de technologie R&D de l'Academia Sinica en tant que directeur de la start-up ?,personnel,https://www.sinica.edu.tw/ch/articles/332,Bureau du personnel de l'Académie Sinica,"Le fournisseur de technologie R&D d'Academia Sinica est le directeur de la start-up, et la durée concomitante doit être comprise dans la période de validité du contrat de transfert de technologie."
