index,category,title,question,group,url,contact,answer
0,paruh waktu,Gaya kontrol pekerjaan paruh waktu (1) Kategori terlarang,Bisakah peneliti atau teknisi Academia Sinica memegang posisi publik penuh waktu lainnya?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Akademia Sinica,"Tidak, kecuali ditentukan lain oleh undang-undang dan peraturan, peneliti atau teknisi Academia Sinica tidak dapat merangkap posisi publik penuh waktu lainnya."
1,paruh waktu,Gaya kontrol pekerjaan paruh waktu (1) Kategori terlarang,"Jika ada izin untuk melakukan pekerjaan lain, apakah peneliti Academia Sinica dapat merangkap pekerjaan lain yang berizin?",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Akademia Sinica,"Secara umum, peneliti dan teknisi penelitian Academia Sinica tidak dapat merangkap pekerjaan berlisensi lainnya. Ini mengacu pada pekerjaan yang memerlukan lisensi atau lisensi khusus untuk dilakukan. Tentu saja, jika pekerjaan tersebut bersifat kesejahteraan sosial, atau pekerjaan yang tidak teratur dan terus menerus, dapat dilakukan di luar jam kerja. Selain itu, jika Academia Sinica menegaskan bahwa tugas-tugas tersebut termasuk dalam kategori pengajaran atau penelitian, maka hal itu juga dimungkinkan."
2,paruh waktu,Gaya kontrol pekerjaan paruh waktu (1) Kategori terlarang,"Jika saya seorang peneliti di Academia Sinica, apakah saya dapat berpartisipasi dalam kegiatan kesejahteraan sosial di luar jam kerja?",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Akademia Sinica,"Tentu saja bisa, selama kegiatan kesejahteraan sosial Anda di luar jam kerja dan tidak mengganggu pekerjaan Anda, maka tidak ada masalah sama sekali."
3,paruh waktu,Gaya kontrol pekerjaan paruh waktu (1) Kategori terlarang,Bisakah peneliti di Academia Sinica memegang posisi nirlaba khusus?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Akademia Sinica,"Ya, tetapi hanya setelah ditinjau dan disetujui oleh Academia Sinica."
4,paruh waktu,Gaya kontrol pekerjaan paruh waktu (1) Kategori terlarang,"Jika saya seorang peneliti di Academia Sinica, apakah saya dapat merangkap sebagai editor silabus kurikulum yang ditetapkan oleh Kementerian Pendidikan dan penerbit buku pelajaran?",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Akademia Sinica,"Jika Anda seorang peneliti di Academia Sinica, tidak apa-apa untuk merangkap sebagai organisasi penerbit buku teks untuk mengedit silabus kurikulum yang ditetapkan oleh Kementerian Pendidikan, karena ini tidak melibatkan operasi bisnis."
5,paruh waktu,Gaya kontrol pekerjaan paruh waktu (1) Kategori terlarang,"Misalkan saya ingin merangkap bisnis lain, apakah saya harus melalui review Academia Sinica terlebih dahulu?",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Akademia Sinica,"Ya, jika Anda ingin menjalankan bisnis lain secara bersamaan, Anda harus mendapatkan persetujuan dari Academia Sinica terlebih dahulu. Kecuali itu adalah organisasi penerbit yang juga berfungsi sebagai editor jurnal akademik, seri buku, dan garis besar kursus yang ditetapkan oleh Kementerian Pendidikan, posisi ini tidak melibatkan operasi bisnis, atau ditentukan oleh Academia Sinica termasuk dalam ruang lingkup mengajar atau pekerjaan penelitian. Jika Anda berpartisipasi dalam kegiatan kesejahteraan sosial atau pekerjaan lain yang tidak berulang dan terus-menerus di luar jam kerja, tidak perlu membatasinya. Namun, jabatan publik dan industri sertifikasi dengan peraturan manajemen eksklusif tidak dapat diselenggarakan secara bersamaan."
6,paruh waktu,Gaya kontrol pekerjaan paruh waktu (1) Kategori terlarang,"Jika saya sering berpartisipasi dalam suatu pekerjaan, tetapi tidak mempengaruhi pekerjaan awal saya, apakah saya dapat melakukannya secara bersamaan?",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Akademia Sinica,"Jika Anda seorang peneliti atau teknisi penelitian di Academia Sinica, biasanya Anda tidak dapat merangkap pekerjaan lain. Namun ada pengecualian, misalnya jika Anda terlibat dalam kegiatan kesejahteraan sosial di luar jam kerja, atau pekerjaan yang sangat sesekali dan tidak terus-menerus, maka tidak apa-apa. Atau, jika pekerjaan tersebut adalah pekerjaan mengajar atau penelitian, selama Academia Sinica telah meninjaunya dan menetapkan bahwa itu termasuk dalam kategori ini, maka Anda dapat melakukannya secara bersamaan. Jadi Anda harus melihat apakah pekerjaan yang sering Anda ikuti memenuhi syarat tersebut."
7,paruh waktu,Gaya kontrol pekerjaan paruh waktu (1) Kategori terlarang,"Apa ruang lingkup posisi bisnis yang menghasilkan keuntungan tertentu, dan prosedur apa yang diperlukan untuk mendapatkan persetujuan dari Academia Sinica?",personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Akademia Sinica,"Posisi bisnis nirlaba khusus dapat merujuk ke posisi yang terkait dengan profesi peneliti, yang perlu diterapkan ke Academia Sinica terlebih dahulu, dan hanya dapat digunakan secara bersamaan setelah ditinjau dan disetujui. Prosedur peninjauan khusus tidak dinyatakan dengan jelas dalam teks, dan Anda mungkin perlu berkonsultasi dengan peraturan yang relevan dari Academia Sinica untuk mengetahuinya."
8,paruh waktu,Gaya kontrol pekerjaan paruh waktu (2) kategori izin khusus,Dalam keadaan apa peneliti dan teknisi Academia Sinica dapat mengambil posisi di perusahaan yang menghasilkan laba?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Akademia Sinica,"Peneliti dan teknisi Academia Sinica harus terlebih dahulu mendapatkan izin dari Academia Sinica jika mereka ingin mengambil posisi bisnis yang menghasilkan keuntungan. Setelah kondisi ini terpenuhi, ada lima kemungkinan skenario. Yang pertama ditunjuk atau direkomendasikan oleh badan pengelola ekuitas publik untuk menjadi direktur, pengawas atau posisi serupa dari perusahaan investasi langsung atau tidak langsung milik pemerintah. Kedua, orang yang memimpin R&D teknologi dapat menjadi direktur perusahaan start-up yang memiliki kontrak alih teknologi dengan Academia Sinica, namun dalam masa berlaku kontrak. Yang ketiga adalah mereka menggunakan prestasi R&D Academia Sinica untuk memulai bisnis dan menjadi pengusaha, tetapi jika mereka memiliki posisi administratif di Academia Sinica, mereka tidak dapat melakukannya. Yang keempat adalah mereka dapat menjabat sebagai direktur independen perusahaan milik negara, perusahaan terbuka, bank atau anak perusahaan sekuritas yang memiliki kontrak kerja sama riset industri dengan Academia Sinica, tetapi demikian pula, mereka tidak dapat melakukannya jika mereka memiliki posisi administratif di Academia Sinica. . Situasi terakhir adalah mereka dapat mengambil posisi bisnis non-operasional di perusahaan penghasil laba yang memiliki kontrak dengan Academia Sinica dalam masa berlaku kontrak. Jika mereka belum menandatangani transfer teknologi atau kontrak pendanaan penelitian dengan Academia Sinica, masa jabatan mereka di perusahaan yang sama tidak boleh lebih dari satu tahun, tetapi dapat diperpanjang selama satu tahun."
9,paruh waktu,Gaya kontrol pekerjaan paruh waktu (2) kategori izin khusus,Berapa lama periode penyedia teknologi R&D Academia Sinica untuk menjabat sebagai direktur perusahaan start-up?,personil,https://www.sinica.edu.tw/ch/articles/332,Kantor Personalia Akademia Sinica,"Penyedia teknologi R&D Academia Sinica adalah direktur perusahaan start-up, dan jangka waktu bersamaan harus dalam masa berlaku kontrak transfer teknologi."
