index,category,title,question,group,url,contact,answer
0,part time,Stile di controllo del lavoro part-time (1) Categoria vietata,I ricercatori ei tecnici di ricerca di Academia Sinica possono ricoprire contemporaneamente altri incarichi pubblici?,personale,https://www.sinica.edu.tw/ch/articles/332,Ufficio del Personale di Academia Sinica,"Salvo quanto diversamente disposto dalla legge, i ricercatori ei tecnici di ricerca di Academia Sinica non possono ricoprire contemporaneamente altri incarichi pubblici."
1,part time,Stile di controllo del lavoro part-time (1) Categoria vietata,"Se si tratta di una professione autorizzata, i ricercatori ei tecnici di ricerca di Academia Sinica possono lavorare contemporaneamente?",personale,https://www.sinica.edu.tw/ch/articles/332,Ufficio del Personale di Academia Sinica,"I ricercatori ei tecnici di ricerca dell'Academia Sinica non sono generalmente autorizzati a lavorare contemporaneamente come professioni autorizzate a meno che non siano specificatamente previste da leggi e regolamenti. Le occupazioni con licenza si riferiscono a lavori che richiedono licenze o certificati, come medici o avvocati, ecc. Sono occupazioni con licenza. Tuttavia, se partecipano ad attività di assistenza sociale o altro lavoro irregolare e non continuativo al di fuori dell'orario di lavoro, o il loro lavoro collaterale è il contenuto del lavoro di insegnamento o ricerca individuato da Academia Sinica, queste situazioni sono accettabili."
2,part time,Stile di controllo del lavoro part-time (1) Categoria vietata,"Per attività socio-assistenziali o lavori non ricorrenti, i ricercatori e i tecnici di ricerca di Academia Sinica possono svolgerlo al di fuori dell'orario di lavoro?",personale,https://www.sinica.edu.tw/ch/articles/332,Ufficio del Personale di Academia Sinica,"Sì, purché svolgano attività di servizio sociale o altri lavori poco frequenti e non sostenibili al di fuori dell'orario di lavoro e tali attività non interferiscano con il loro lavoro principale."
3,part time,Stile di controllo del lavoro part-time (1) Categoria vietata,Per attività didattiche o di ricerca possono prestare la collaborazione contemporaneamente ricercatori e tecnici di ricerca di Academia Sinica?,personale,https://www.sinica.edu.tw/ch/articles/332,Ufficio del Personale di Academia Sinica,"Se l'Academia Sinica conferma che l'incarico appartiene alla categoria dell'insegnamento o della ricerca dopo la revisione, allora i ricercatori ei tecnici di ricerca possono essere assunti contemporaneamente."
4,part time,Stile di controllo del lavoro part-time (1) Categoria vietata,"I ricercatori ei tecnici di ricerca di Academia Sinica possono ricoprire contemporaneamente incarichi in imprese for profit? Se è approvato da Academia Sinica, è possibile?",personale,https://www.sinica.edu.tw/ch/articles/332,Ufficio del Personale di Academia Sinica,"In linea di principio, ricercatori e tecnici di ricerca dell'Academia Sinica non possono ricoprire contemporaneamente incarichi in imprese a scopo di lucro. Ma se prima viene approvato dall'Academia Sinica, allora si può fare."
5,part time,Stile di controllo del lavoro part-time (1) Categoria vietata,"Se contemporaneamente servono come editori di riviste accademiche, collane di libri e organizzazioni editoriali di libri di testo stabilite dal Ministero dell'Istruzione, i ricercatori e i tecnici di ricerca di Academia Sinica possono servire contemporaneamente?",personale,https://www.sinica.edu.tw/ch/articles/332,Ufficio del Personale di Academia Sinica,"Sì, purché il lavoro non comporti un'attività a scopo di lucro. Tuttavia, se si tratta di una specifica posizione commerciale a scopo di lucro, deve essere approvata dall'Academia Sinica prima di poter essere utilizzata contemporaneamente."
6,part time,Stile di controllo del lavoro part-time (2) categoria di autorizzazione speciale,Che tipo di lavoro part-time possono svolgere i ricercatori ei tecnici di ricerca di Academia Sinica?,personale,https://www.sinica.edu.tw/ch/articles/332,Ufficio del Personale di Academia Sinica,"Dopo l'approvazione, i ricercatori ei tecnici di ricerca dell'Academia Sinica possono assumere gli incarichi di diverse imprese a scopo di lucro. Prima di tutto, possono essere selezionati dalle istituzioni di gestione del capitale azionario pubblico come azioni pubbliche rappresentative o essere raccomandati per ricoprire la carica di direttori, supervisori e altre posizioni simili in imprese di investimento pubblico diretto o indiretto.

Inoltre, se sono i principali fornitori di tecnologia di R&S, possono ricoprire il ruolo di amministratori di società start-up che hanno un contratto di trasferimento di tecnologia con Academia Sinica, ma il termine concomitante deve essere compreso nel periodo di validità del contratto. Allo stesso modo, se sono i principali fornitori di tecnologia di R&S e utilizzano i risultati di Academia Sinica per partecipare alla costituzione di nuove imprese, possono agire come iniziatori, ma se ricoprono anche incarichi amministrativi in ​​Academia Sinica, non possono farlo.

Inoltre, in qualità di amministratori indipendenti, possono lavorare in imprese statali, società quotate, banche e altre società partecipate al 100% da società di partecipazione finanziaria che hanno un contratto di collaborazione nel settore della ricerca con Academia Sinica, ma non possono ricoprire anche incarichi amministrativi in ​​Academia Sinica.

Infine, se si basa su esigenze di ricerca scientifica, possono assumere posizioni imprenditoriali non dirigenziali in un'impresa con scopo di lucro che ha un contratto con Academia Sinica, e il periodo di lavoro concomitante deve essere anche entro il periodo di validità del contratto. Se non hanno firmato un contratto con Academia Sinica per il trasferimento tecnologico o per il finanziamento della ricerca, la loro permanenza simultanea nella stessa impresa a scopo di lucro può essere solo di un anno, e può essere prorogata di un anno al massimo."
7,part time,Stile di controllo del lavoro part-time (2) categoria di autorizzazione speciale,"Se si tratta di un importante fornitore di tecnologia di ricerca e sviluppo, in quali circostanze può ricoprire il ruolo di direttore di una start-up?",personale,https://www.sinica.edu.tw/ch/articles/332,Ufficio del Personale di Academia Sinica,"Se sei il principale fornitore di tecnologia di ricerca e sviluppo, ci sono due situazioni in cui puoi anche ricoprire il ruolo di direttore della start-up. Innanzitutto, se hai firmato un contratto di trasferimento di tecnologia con Academia Sinica, puoi ricoprire la carica di amministratore della società, ma il termine concomitante deve essere compreso nel periodo di validità del contratto. In secondo luogo, se puoi utilizzare i risultati della ricerca e dello sviluppo di Academia Sinica per partecipare alla creazione di nuove imprese, puoi anche fungere da sponsor della nuova società. Tuttavia, se ricopri contemporaneamente la carica amministrativa di Academia Sinica, non puoi svolgere queste attività."
8,part time,Stile di controllo del lavoro part-time (2) categoria di autorizzazione speciale,I ricercatori di Academia Sinica possono partecipare alla creazione di nuove imprese e agire come iniziatori?,personale,https://www.sinica.edu.tw/ch/articles/332,Ufficio del Personale di Academia Sinica,"Se i ricercatori dell'Academia Sinica sono i principali fornitori di tecnologia di R&S e utilizzano i risultati di R&S dell'Academia Sinica per creare nuove imprese, possono essere gli iniziatori di questa nuova attività. Tuttavia, se il ricercatore ricopre anche la carica amministrativa di Academia Sinica, non può essere sponsor."
9,part time,Stile di controllo del lavoro part-time (2) categoria di autorizzazione speciale,"In quali società posso ricoprire la carica di amministratore indipendente e, se sono uno staff amministrativo di Academia Sinica, posso ricoprire la carica di amministratore indipendente?",personale,https://www.sinica.edu.tw/ch/articles/332,Ufficio del Personale di Academia Sinica,"I ricercatori e i tecnici di ricerca di Academia Sinica possono ricoprire la carica di amministratori indipendenti in imprese statali, società quotate e società controllate al 100% da banche, società mobiliari, assicurative e di titoli globali che hanno sottoscritto un contratto di cooperazione nel settore della ricerca con Academia Sinica, nonché possono ricoprire la carica di amministratori indipendenti in società pubbliche non quotate che intendono presentare domanda di quotazione da parte del consiglio di amministrazione o dell'assemblea dei soci. Tuttavia, i ricercatori ei tecnici di ricerca che ricoprono contemporaneamente incarichi amministrativi in ​​Academia Sinica non possono ricoprire tali incarichi."
