index,category,title,question,group,url,contact,answer
0,パートタイム,アルバイトの管理状況 (1) 禁止カテゴリー,中央研究院の研究者や研究技術者は他の公職を兼務できますか?,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,法律で別段の定めがない限り、中央研究院の研究者および研究技術者は、他の公職を兼務することはできません。
1,パートタイム,アルバイトの管理状況 (1) 禁止カテゴリー,認可された職業であれば、中央研究院の研究者や研究技術者は兼務できますか？,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,中央研究院の研究者および研究技術者は、法律や規定で特別に定められている場合を除き、通常、資格のある職業と兼務することはできません。免許のある職業とは、免許や証明書が必要な仕事のことで、医師や弁護士などが免許のある職業です。ただし、勤務時間外に社会福祉活動やその他の不定期かつ非連続的な仕事に参加している場合、または副業が中央研究院が認定した教育や研究の内容である場合は、これらの状況は許容されます。
2,パートタイム,アルバイトの管理状況 (1) 禁止カテゴリー,中央研究院の研究者や研究技術者は、社会福祉活動や臨時の仕事を勤務時間外に行うことはできますか?,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,はい、勤務時間外に社会奉仕活動やその他の頻度の低い持続不可能な仕事を行っており、これらの活動が本来の仕事を妨げない限り、可能です。
3,パートタイム,アルバイトの管理状況 (1) 禁止カテゴリー,中央研究院の研究者や研究技術者は教育や研究の仕事を兼務できますか？,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,中央研究院が審査の上、教育または研究の範疇に属すると認めた場合には、研究者と研究技術者を兼務することができます。
4,パートタイム,アルバイトの管理状況 (1) 禁止カテゴリー,中央研究院の研究者や研究技術者は営利企業と兼務できますか？中央研究院の承認があれば可能でしょうか？,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,中央研究院の研究者や研究技術者は、原則として営利企業との兼職はできない。ただし、中央研究院によって最初に承認されれば、実行できます。
5,パートタイム,アルバイトの管理状況 (1) 禁止カテゴリー,中央研究院の研究者や研究技術者は、教育部が定める学術誌、書籍シリーズ、教科書発行機関の編集者を兼務する場合、兼務することができますか。,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,はい、営利目的の仕事ではない限り可能です。ただし、特定の営利を目的とする職種の場合は、兼務する前に中央研究院の承認が必要となります。
6,パートタイム,アルバイト管理様式（２）特別許可区分,中央研究院の研究者や研究技術者はどのようなアルバイトをすることができますか？,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,"中央研究院の研究者や研究技術者は承認後、複数の営利企業の役職に就くことができる。まず、公開株式管理機関によって代表的な公開株式として選出されるか、直接または間接の政府投資企業の取締役、監督者、その他同様の役職に推薦されることがあります。

また、主要な研究開発技術提供者であれば、中央研究院と技術移転契約を結んでいる新興企業の取締役を務めることができるが、兼任期間は契約の有効期間内でなければならない。同様に、彼らが主要な研究開発技術提供者であり、中央研究院の成果を利用して新規事業の設立に参加する場合、イニシエーターとして行動することができますが、中央研究院で管理職を兼任している場合は、そのような役割を果たすことはできません。

さらに、独立取締役として、中央研究院と産業研究協力契約を結んでいる国有企業、上場企業、銀行、その他金融持ち株会社が100％所有する子会社に勤務することはできるが、中央研究院で管理職に就くことはできない。

最後に、科学研究の必要に基づく場合、中央研究院と契約を結んだ営利企業において業務執行以外の業務職に就くことができ、兼職期間も契約の有効期間内である必要がある。中央研究院と技術移転や研究資金提供に関する契約を結んでいない場合、同じ営利企業での兼任期間は1年に限られ、最長でも1年延長できる。"
7,パートタイム,アルバイト管理様式（２）特別許可区分,大手の研究開発技術提供会社であれば、どのような場合にベンチャー企業の取締役を務めることができるのでしょうか？,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,あなたが主要な研究開発技術プロバイダーである場合、新興企業の取締役を兼任できる状況が 2 つあります。まず、中央研究院と技術移転契約を結んでいれば、会社の取締役に就任することができますが、兼任期間は契約の有効期間内である必要があります。 2つ目は、中央研究院の研究開発成果を活用して新事業創出に参加していただける場合には、新会社のスポンサーとなることも可能です。ただし、中央研究院の事務職を兼務している場合は、これらの活動を行うことはできません。
8,パートタイム,アルバイト管理様式（２）特別許可区分,中央研究院の研究者が新規事業の立ち上げに参加し、イニシエーターとして活動することはできますか?,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,中央研究院の研究者が研究開発技術の主体となり、中央研究院の研究開発成果を利用して新たな事業を創出する場合、彼らがその新たな事業のイニシエーターとなることができます。ただし、研究者が中央研究院の管理職を兼務している場合は、スポンサーになることはできません。
9,パートタイム,アルバイト管理様式（２）特別許可区分,どの会社で独立取締役を務めることができますか?また、私が中央研究院の管理スタッフである場合、独立取締役を務めることができますか?,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,中央研究院の研究者および研究技術者は、中央研究院と業界研究協力契約を締結している国有企業、上場企業、銀行、証券、保険、総合証券会社の完全子会社の独立役員となることができるほか、取締役会や株主総会による上場申請を予定している非上場公開企業の独立役員となることもできる。ただし、中央研究院の管理職を兼務する研究者及び研究技術者は、当該職を兼務することはできない。
10,パートタイム,アルバイト管理様式（２）特別許可区分,科学研究の必要性のために、中央研究院の研究者はどのような利益をもたらすキャリアを兼務することができますか?この兼任期間はどれくらいですか？,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,中央研究院の研究者は、中央研究院と科学研究のために契約した営利企業の非執行職を兼務する場合があります。兼任期間については、契約の有効期間内である必要があります。ただし、中央研究院と技術移転や研究資金契約を締結していない営利企業の場合、同一営利企業の兼任期間は1年に限られ、延長も最長1年に限られます。
11,パートタイム,アルバイト管理様式（２）特別許可区分－解雇登録,中央研究院で働く前に営利企業で役職に就いていた場合、どのように解雇を登録すればよいですか?,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,中央研究院で働き始める前に、書面による退職届を提出し、3か月以内に解雇登録を完了し、必要な添付書類を中央研究院に提出する必要があります。期限内に登録を完了できない特別な事情がある場合、中央研究院は延長を許可する場合がありますが、延長できるのは最長 3 か月までです。解雇届を提出するまでは、営業活動への参加や報酬の受け取りはできませんのでご注意ください。
12,パートタイム,アルバイト管理様式（２）特別許可区分－解雇登録,3ヶ月以内に解雇登録が完了できない場合、延長申請はできますか？,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,はい、3 か月以内に解雇登録を完了できない特別な事情があり、中央研究院の同意を得た場合は、延長を申請することができます。ただし、延長期間は最長3か月までとなりますのでご注意ください。そして、解雇届を提出するまでは、事業に参加したり、報酬を受け取ったりすることはできません。
13,パートタイム,アルバイト管理様式（２）特別許可区分－解雇登録,退院登録をする前に営利事業の運営に参加したり報酬を受け取ったりすることはできますか？,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,いいえ、解雇届を提出する前に営利企業の運営に参加し、報酬を受け取ることはできません。
14,パートタイム,アルバイト管理様式（２）特別許可区分－解雇登録,解雇登録を完了するには、どのような関連裏付け書類を中央研究院に提出する必要がありますか?,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,解雇登録を完了するには、中央研究院に退職証明書を提出する必要があります。
15,パートタイム,アルバイト管理様式（２）特別許可区分－解雇登録,特別な事情がある場合、解雇登録はどれくらいの期間延長できますか?,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,特別な事情がある場合には、解雇登録を最長3か月まで延長することができます。
16,パートタイム,アルバイト管理様式（２）特別許可区分 取扱い手順,中央研究院の研究者が株式の代表者や政府投資企業の取締役に就任したい場合、どのような手続きを踏む必要がありますか?,人事,ｈっｔｐｓ：／／ｗっｗ。しにか。えづ。ｔｗ／ｃｈ／あｒちｃぇｓ／３３２,中央研究院人事室,中央研究院の研究者が株式代表者または政府投資企業の取締役を兼務したい場合は、公開株式資本管理機関からの書簡を取得し、所属する研究所または研究センターの所長の同意を得て、最終的に中央研究院の承認を得る必要がある。
