index,category,title,question,group,url,contact,answer
0,ไม่เต็มเวลา,รูปแบบการควบคุมงานนอกเวลา (1) หมวดต้องห้าม,นักวิจัยหรือช่างเทคนิคของ Academia Sinica สามารถดำรงตำแหน่งสาธารณะเต็มเวลาอื่น ๆ ได้หรือไม่,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,ไม่ได้ เว้นแต่จะกำหนดไว้เป็นอย่างอื่นโดยกฎหมายและข้อบังคับ นักวิจัยหรือช่างเทคนิคของ Academia Sinica ไม่สามารถดำรงตำแหน่งสาธารณะเต็มเวลาอื่นๆ พร้อมกันได้
1,ไม่เต็มเวลา,รูปแบบการควบคุมงานนอกเวลา (1) หมวดต้องห้าม,หากมีใบอนุญาตให้ทำงานอื่น นักวิจัยของ Academia Sinica สามารถประกอบอาชีพอื่นที่มีใบอนุญาตได้หรือไม่?,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,โดยทั่วไปแล้ว นักวิจัยและเจ้าหน้าที่เทคนิคการวิจัยของ Academia Sinica ไม่สามารถประกอบอาชีพอื่นที่มีใบอนุญาตได้ นี่หมายถึงงานที่ต้องมีใบอนุญาตหรือใบอนุญาตพิเศษในการดำเนินการ แน่นอนว่าหากงานนั้นมีลักษณะเป็นสวัสดิการสังคมหรืองานที่ไม่สม่ำเสมอและต่อเนื่อง ก็สามารถทำนอกเวลาทำงานได้ นอกจากนี้ หาก Academia Sinica ยืนยันว่างานเหล่านี้อยู่ในหมวดหมู่ของการสอนหรือการวิจัย ก็เป็นไปได้เช่นกัน
2,ไม่เต็มเวลา,รูปแบบการควบคุมงานนอกเวลา (1) หมวดต้องห้าม,หากฉันเป็นนักวิจัยที่ Academia Sinica ฉันสามารถเข้าร่วมกิจกรรมสวัสดิการสังคมนอกเวลาทำงานได้หรือไม่,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,แน่นอน คุณทำได้ ตราบใดที่กิจกรรมสวัสดิการสังคมของคุณอยู่นอกเวลาทำงานและไม่ส่งผลกระทบต่องานของคุณ ก็ไม่มีปัญหาแต่อย่างใด
3,ไม่เต็มเวลา,รูปแบบการควบคุมงานนอกเวลา (1) หมวดต้องห้าม,นักวิจัยที่ Academia Sinica สามารถดำรงตำแหน่งเฉพาะเพื่อผลกำไรได้หรือไม่?,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,ใช่ แต่หลังจากได้รับการตรวจสอบและรับรองโดย Academia Sinica แล้วเท่านั้น
4,ไม่เต็มเวลา,รูปแบบการควบคุมงานนอกเวลา (1) หมวดต้องห้าม,หากฉันเป็นนักวิจัยที่ Academia Sinica ฉันสามารถทำหน้าที่เป็นบรรณาธิการของหลักสูตรที่กำหนดโดยกระทรวงศึกษาธิการและผู้จัดพิมพ์ตำราเรียนพร้อมกันได้หรือไม่,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,หากคุณเป็นนักวิจัยที่ Academia Sinica คุณสามารถทำหน้าที่เป็นองค์กรจัดพิมพ์ตำราเรียนพร้อมกันเพื่อแก้ไขหลักสูตรที่กำหนดโดยกระทรวงศึกษาธิการได้ เนื่องจากไม่เกี่ยวข้องกับการดำเนินธุรกิจ
5,ไม่เต็มเวลา,รูปแบบการควบคุมงานนอกเวลา (1) หมวดต้องห้าม,สมมติว่าฉันต้องการทำธุรกิจอื่นควบคู่กันไป ฉันต้องผ่านการพิจารณาของ Academia Sinica ก่อนหรือไม่,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,ใช่ หากคุณต้องการทำธุรกิจอื่นพร้อมกัน คุณต้องได้รับการอนุมัติจาก Academia Sinica ก่อน เว้นแต่เป็นองค์กรสำนักพิมพ์ที่ทำหน้าที่เป็นบรรณาธิการวารสารวิชาการ ชุดหนังสือ และโครงร่างหลักสูตรที่กำหนดโดยกระทรวงศึกษาธิการ ตำแหน่งเหล่านี้ไม่เกี่ยวข้องกับการดำเนินธุรกิจ หรือถูกกำหนดโดย Academia Sinica ให้อยู่ในขอบเขตของ งานสอนหรืองานวิจัย หากคุณเข้าร่วมกิจกรรมสวัสดิการสังคมหรืองานต่อเนื่องนอกเวลาทำงานอื่นๆ ที่ไม่เกิดซ้ำ ไม่จำเป็นต้องจำกัด อย่างไรก็ตาม สำนักงานสาธารณะและอุตสาหกรรมการรับรองที่มีระเบียบการจัดการเฉพาะไม่สามารถจัดขึ้นพร้อมกันได้
6,ไม่เต็มเวลา,รูปแบบการควบคุมงานนอกเวลา (1) หมวดต้องห้าม,ถ้าฉันร่วมงานบ่อยแต่ไม่กระทบกับงานเดิม ฉันจะทำควบคู่กันไปได้หรือไม่?,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,หากคุณเป็นนักวิจัยหรือช่างเทคนิคการวิจัยใน Academia Sinica โดยปกติแล้ว คุณไม่สามารถทำงานอื่นไปพร้อมกันได้ แต่มีข้อยกเว้น ตัวอย่างเช่น หากคุณมีส่วนร่วมในกิจกรรมสวัสดิการสังคมนอกเวลาทำงานหรืองานเป็นครั้งคราวและไม่ต่อเนื่องก็ไม่เป็นไร หรือหากงานนั้นเป็นงานสอนหรือวิจัย ตราบเท่าที่ Academia Sinica ตรวจสอบแล้วและระบุว่าอยู่ในหมวดหมู่นี้ คุณก็สามารถทำควบคู่กันไปได้ ดังนั้นคุณต้องดูว่างานที่คุณเข้าร่วมบ่อยตรงตามเงื่อนไขเหล่านี้หรือไม่
7,ไม่เต็มเวลา,รูปแบบการควบคุมงานนอกเวลา (1) หมวดต้องห้าม,ขอบเขตของตำแหน่งทางธุรกิจที่ทำกำไรเฉพาะเจาะจงคืออะไร และต้องมีขั้นตอนใดบ้างในการขออนุมัติจาก Academia Sinica,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,ตำแหน่งทางธุรกิจที่แสวงหาผลกำไรโดยเฉพาะอาจหมายถึงตำแหน่งที่เกี่ยวข้องกับวิชาชีพของนักวิจัย ซึ่งจำเป็นต้องนำไปใช้กับ Academia Sinica ก่อน และสามารถใช้ได้พร้อมกันหลังจากการตรวจสอบและอนุมัติแล้วเท่านั้น ขั้นตอนการตรวจสอบที่เฉพาะเจาะจงไม่ได้ระบุไว้อย่างชัดเจนในข้อความ และคุณอาจต้องศึกษาข้อบังคับที่เกี่ยวข้องของ Academia Sinica เพื่อทราบ
8,ไม่เต็มเวลา,ลักษณะการควบคุมงานนอกเวลา (2) หมวดอนุญาตพิเศษ,นักวิจัยและช่างเทคนิคของ Academia Sinica สามารถเข้ารับตำแหน่งในองค์กรที่ทำกำไรได้ภายใต้สถานการณ์ใดบ้าง,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,นักวิจัยและช่างเทคนิคของ Academia Sinica ต้องได้รับอนุญาตจาก Academia Sinica ก่อน หากต้องการรับตำแหน่งทางธุรกิจที่ทำกำไร เมื่อตรงตามเงื่อนไขนี้ จะมีห้าสถานการณ์ที่เป็นไปได้ อย่างแรกคือได้รับการแต่งตั้งหรือแนะนำโดยหน่วยงานจัดการทุนสาธารณะให้เป็นกรรมการ ผู้ควบคุมงาน หรือตำแหน่งที่คล้ายคลึงกันขององค์กรการลงทุนทางตรงหรือทางอ้อมของรัฐบาล ประการที่สองคือบุคคลที่เป็นผู้นำด้านเทคโนโลยี R&D สามารถเป็นผู้อำนวยการของบริษัทเริ่มต้นที่มีสัญญาการถ่ายโอนเทคโนโลยีกับ Academia Sinica แต่อยู่ภายในระยะเวลาที่สัญญามีผลบังคับใช้ ประการที่สามคือพวกเขาใช้ความสำเร็จด้าน R&D ของ Academia Sinica เพื่อเริ่มต้นธุรกิจและกลายเป็นผู้ประกอบการ แต่ถ้าพวกเขามีตำแหน่งผู้บริหารใน Academia Sinica พวกเขาจะทำเช่นนั้นไม่ได้ ประการที่สี่คือพวกเขาสามารถทำหน้าที่เป็นกรรมการอิสระของรัฐวิสาหกิจ บริษัทจดทะเบียน ธนาคาร หรือบริษัทหลักทรัพย์ที่มีสัญญาความร่วมมือการวิจัยอุตสาหกรรมกับ Academia Sinica แต่เช่นเดียวกัน พวกเขาไม่สามารถทำเช่นนั้นได้หากมีตำแหน่งบริหารใน Academia Sinica . สถานการณ์สุดท้ายคือพวกเขาสามารถรับตำแหน่งทางธุรกิจที่ไม่ได้ดำเนินการในองค์กรที่ทำกำไรซึ่งมีสัญญากับ Academia Sinica ภายในระยะเวลาที่สัญญามีผลบังคับใช้ หากพวกเขาไม่ได้ลงนามในสัญญาการถ่ายทอดเทคโนโลยีหรือทุนวิจัยกับ Academia Sinica การดำรงตำแหน่งพร้อมกันในบริษัทเดียวกันจะต้องไม่เกินหนึ่งปี แต่สามารถขยายออกไปได้หนึ่งปี
9,ไม่เต็มเวลา,ลักษณะการควบคุมงานนอกเวลา (2) หมวดอนุญาตพิเศษ,ระยะเวลานานเท่าใดที่ผู้ให้บริการเทคโนโลยี R&D ของ Academia Sinica จะดำรงตำแหน่งผู้อำนวยการของบริษัทเริ่มต้น,บุคลากร,https://www.sinica.edu.tw/ch/articles/332,สำนักงานบุคลากร Academia Sinica,ผู้ให้บริการเทคโนโลยี R&D ของ Academia Sinica เป็นผู้อำนวยการของบริษัทเริ่มต้นใหม่ และวาระการทำงานพร้อมกันจะต้องอยู่ภายในระยะเวลาที่มีผลบังคับของสัญญาการถ่ายโอนเทคโนโลยี
