category,title,question,group,url,contact,answer
授權,技術移轉,"好!根據提供的服務項目與服務說明,我提出以下問題:",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","好!根據中研院「中央研究院科學研究發展成果歸屬及運用辦法」辦理,中研院辦理科技移轉的法規依據為「中央研究院科學研究發展成果歸屬及運用辦法」。"
授權,技術移轉,中研院「中央研究院科學研究發展成果歸屬及運用辦法」是哪年制定的?,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw",根據中研院「中央研究院科學研究發展成果歸屬及運用辦法」第3條規定，該辦法於民國88年12月1日制定公布。
授權,技術移轉,"OK, here are some questions that end with a question mark:",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","Sure, I'd be happy to answer your questions without using any auxiliary words. Here are my responses:

Question 1: What do you mean by 'technical transfer'?
Answer: Technical transfer refers to the transfer of knowledge, skills, or techniques from one party to another without assigning any intellectual property rights.

Question 2: Can you explain the difference between 'knowledge' and 'technical data'?
Answer: Knowledge refers to"
授權,技術移轉,Service item: {Technology Transfer},學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","好!根據上述文字說明，我回答您的問題如下：

技術移轉：不需要先取得專利權才能進行。

語氣：日常說話語氣

語助詞：無"
授權,技術移轉,"Service description: ""{Research results do not need to obtain patent rights before they can be transferred. However, any knowledge, technology, or works that are produced, including patents, patents in progress, technical data, materials, biological materials, software, professional knowledge, and literary works, can be transferred as the object of technology transfer.""",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","依據上述文字說明，我回答問題時，將使用日常說話語氣，避免使用語助詞。

問題：建立Research results不須先取得專利權，才能進行技術移轉。但產生之知識、技術或作品，包含專利、申請中的專利、技術資料、材料、生物材料、軟體、專業知識、著作等智慧財產權，皆可作為技術移轉之標的。"
授權,著作權申報,"OK, here are some questions for you:",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","OK, I'll answer your questions in a casual tone without using any auxiliary verbs.

Question 1: What does ""申報之著作權"" mean?
Answer: The term ""申報之著作權"" refers to the copyright of works completed by full-time employees of Academia Sinica, but excludes articles, theses, or collections of theses that should be submitted to the Intellectual Property Office for registration.

Question 2:"
授權,著作權申報,What is the difference between a '著作權申報表' and a '期刊、論文或論文集'?,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","好!根據日常說話語氣, 回答你的問題如下：

「申報著作權」的意思是，中研院專任人員在工作上完成的著作，除期刊、論文或論文集外，都應該向智財處申報。「申報著作權申報表」就是填報這些著作的申報書，由所屬單位向智財處申報。

至於「期刊、論文或論文集」，則是指專任人員在期刊、論文"
授權,技術移轉,"Okay, here are some questions that could be used at the end of the service description, using a casual tone:",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","Great! Here are some questions that could be used at the end of the service description, using a casual tone:

1. How can the creator help highlight the benefits of the new product and explain the limitations?
2. Who are the interested companies that the creator could provide?
3. Did the market evaluation process go smoothly?

Note: The creator should avoid answering questions related to the authorization negotiation."
授權,技術移轉,"Question: If the creator is not involved in the authorization negotiations, what are they doing instead? (Wait, is that a rhetorical question?)",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","根據文字說明，如果創作人未參與授權談判，則他們可能在以下幾件事情中扮演角色：

1. 彰顯新發明的好處，並解釋新發明可能限制。（此處可能指創作人向廠商解釋新發明的優點與限制，以協助廠商評估新發明價值。）
2. 提供對此新發明有興趣的廠商名單。（此處可能指創作人提供有意願購買或合作開發新發明的"
授權,技術移轉,"Question: Does the creator get a cut of the royalties for the new invention? (Curious, right?)",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw",創作人不會分得新發明的版稅。
授權,技術移轉,Question: Is the creator's role mainly,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","根據文字說明，創作人的主要角色為：

1. 彰顯新發明的好處並解釋新發明可能限制。
2. 提供對此新發明有興趣的廠商名單。
3. 確定市場評估有無差錯。
因此，創作人應避免參與授權談判。"
授權,技術移轉權益收入,那很好！根據提供的服務項目與服務說明，我提出以下問題：,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw",好！根據日常說話語氣，我將回答你的問題。關於技轉收益的定義，依據文字說明，技轉收益是指扣除必要衍生費用後的淨收入，包含現金及股票。至於技轉收益分配原則，依據中研院「中央研究院科學研究發展成果歸屬及運用辦法」第7條規定，技轉收益的20%將分配予國庫或資助機關，至多10%分配予創作人所屬單位，
授權,技術移轉權益收入,問：技轉收益分配比例中，%分配予國庫或資助機關，上限為多少？,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw",根據「中央研究院科學研究發展成果歸屬及運用辦法」第7條規定，技轉收益的分配比例為：20%分配予國庫或資助機關；至多10%分配予創作人所屬單位；至多10%分配予創作人實驗室；至多40%分配予創作人；剩餘部分歸屬於中研院。因此，技轉收益分配比例的上限為40%。
授權,技術移轉權益收入,（答案：依照中研院「中央研究院科學研究發展成果歸屬及運用辦法」第規定，20%的分配上限為新台幣100萬元。）,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw",依據上述文字說明，技轉收益是指扣除必要衍生費用後的淨收入，包含現金及股票。技轉收益分配原則為依照中研院「中央研究院科學研究發展成果歸屬及運用辦法」第7條規定，20%分配予國庫或資助機關；至多10%分配予創作人所屬單位；至多10%分配予創作人實驗室；至多40%分配予創作人；剩餘部分歸屬於
授權,材料移轉(移出中研院)MTA out,好，那我們來討論一下這個服務項目和服務說明。,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw",好，我看我們來討論一下這個服務項目和服務說明。依據中研院法制處制定的現行利益衝突規範，學研單位中除本國公立學研單位屬於公部門，不須進行利衝揭露外；其餘非本國公立學研單位皆歸類為私部門，均需進行利益衝突揭露。這意味著非本國公立學研單位，包括本國私立學研單位、國外公立及
授權,材料移轉(移出中研院)MTA out,問題 如果我是一個非本國公立學研單位的學者，並且和中研院有合作關係，那我需要揭露什麼資訊嗎？根據服務說明，非本國公立學研單位都歸類為私部門，所以應該需要揭露利益衝突嗎？,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","根據中研院法制處制定的現行利益衝突規範，非本國公立學研單位都歸類為私部門，所以如果你是非本國公立學研單位的學者，且和中研院有合作關係，就需要進行利益衝突揭露。

理由：

依據中研院法制處制定的現行利益衝突規範，非本國公立學研單位都歸類為私部門，所以如果你是非本國公立"
授權,材料移轉(移出中研院)MTA out,"Okay, here are some questions that end with a question mark:",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","Sure, I'd be happy to answer your questions in a casual tone and avoid using auxiliary words. Here are my answers:

Question 1: What is the exclusive license agreement between Academia Sinica and the vendor?
Answer: According to the exclusive license agreement, the vendor has exclusive rights to use, implement, reproduce, modify, and sell the materials in a specific area and field. Unless otherwise agreed upon in the contract, the vendor has sole ownership of the rights"
授權,材料移轉(移出中研院)MTA out,Service item: {Material Transfer (MTA out) },學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","依據文字說明，使用日常說話語氣回答問題如下：

「中研院授權契約的內容為，授權廠商於特定地區、特定領域有專屬使用、實施、重製、修改並販賣、銷售的權利。已授權出去的材料，除非契約特別約定中研院保留學術使用之權利，否則無法再將同成果材料移轉予他方。」"
授權,材料移轉(移出中研院)MTA out,"Service description: ""{Exclusive authorization contract with the Academia Sinica, granting the right to a specific entity in a specific region for the exclusive use, implementation, reproduction, modification, and commercialization of certain results. Thus, any materials that have been exclusively authorized are now the property of the entity, unless the contract explicitly states",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","依據上述文字說明，我將回答問題時使用日常說話語氣，並避免使用語助詞。

問題：請說明中研院專屬授權契約的內容為何？

答案：依據文字說明，中研院專屬授權契約的內容為：「中研院之專屬授權契約，將某成果授權廠商於特定地區特定領域有專屬使用、實施、重製、修改並販賣、銷售之權利。故已經專屬授權出去的材料，有關上述之"
授權,材料移轉(移出中研院)MTA out,"Okay, here are some questions that end in a question mark:",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","Sure, I'd be happy to answer your questions in a conversational tone, without using any auxiliary words. Here are my answers:

Question: What is the exclusive license agreement between Academia Sinica and a company?
Answer: According to the exclusive license agreement, the company has exclusive rights to use, implement, reproduce, modify, and sell the materials in a specific area and field. Therefore, any materials that have been exclusively licensed cannot be transferred to third parties"
授權,材料移轉(移出中研院)MTA out,Service item: {Material Transfer (MTA out) },學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","依據文字說明，使用日常說話語氣回答問題如下：

中研院專屬授權契約的內容為：授權廠商於特定地區、特定領域有專屬使用、實施、重製、修改並販賣、銷售該機構授權的成果。除非契約特別約定中研院保留學術使用權利，否則授權契約所授權的成果，不得再移轉給其他單位。"
授權,材料移轉(移出中研院)MTA out,"Service description: ""{Exclusive authorization contract with the Academia Sinica, granting the right to a specific entity in a specific region for the exclusive use, implementation, reproduction, modification, and commercialization of certain results. Thus, any materials that have been exclusively authorized are now owned by the entity, unless the contract specifically provides that",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw","依據上述文字說明，我將回答問題時使用日常說話語氣，並避免使用語助詞。

問題：請說明授權契約中「專屬授權」的意思。

答案：依據授權契約，「專屬授權」的意思是指授權廠商擁有在特定地區、特定領域、特定材料上使用的專屬權利。"
