index,category,title,question,group,url,contact,answer
257,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,"حسنًا، إليك بعض الأسئلة المستندة إلى ""طرق إسناد واستخدام البحث العلمي والتكنولوجي وإنجازات التطوير في أكاديميا سينيكا"":",أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw","يرجى الإجابة على الأسئلة وفقا للتعليمات النصية التالية، وذلك باستخدام لهجة الحديث اليومي وتجنب استخدام الجزيئات:

سؤال: يرجى توضيح المعنى والفرق بين ""المادة 6، الفقرة 3 من القانون الأساسي للعلوم والتكنولوجيا"" و""المادة 13، الفقرة 4 من القانون الأساسي للعلوم والتكنولوجيا"".

الإجابة: تنظم الفقرة 3 من المادة 6 من القانون الأساسي للعلوم والتكنولوجيا إسناد واستخدام نتائج البحث والتطوير ودخلها، وينبغي مراعاة نسبة ومساهمة رأس المال والعمالة وفقا لمبادئ العدالة والكفاءة."
258,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,وفقًا للبندين الأولين من المادة 6، الفقرة 3، من القانون الأساسي للعلوم والتكنولوجيا، أكاديميا سينيكا، ما هي طرق ملكية واستخدام حقوق الملكية الفكرية والدخل من نتائج البحث والتطوير التابعة لأكاديميا سينيكا؟,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw","وفقًا للبندين الأولين من المادة 6، الفقرة 3، من القانون الأساسي للعلوم والتكنولوجيا، قامت أكاديميا سينيكا بصياغة ""تدابير إسناد واستخدام البحث العلمي والتكنولوجي وإنجازات التنمية لأكاديميا سينيكا"" وفقًا لـ أحكام المادة 13، الفقرة 4، البند 1 من القانون الأساسي للعلوم والتكنولوجيا. ""، من أجل الإدارة الفعالة للبحث والتطوير العلمي والتكنولوجي الذي تقوم به أكاديميا سينيكا وفقًا لميزانية البحث والتطوير العلمي والتكنولوجي تم تجميعها بواسطة Academia Sinica وفقًا للقانون، وحقوق الملكية الفكرية ونتائج الدخل المنسوب إلى Academia Sinica."
259,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,وفقا لأحكام المادة 13، الفقرة 4، الفقرة 1، من القانون الأساسي للعلوم والتكنولوجيا، تقوم الأكاديمية الصينية بتخصيص,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw",وفقًا لأحكام المادة 6، الفقرة 3، والمادة 13، الفقرة 4 من القانون الأساسي للعلوم والتكنولوجيا، تقوم الأكاديمية الصينية بتجميع ميزانيات البحث والتطوير العلمي والتكنولوجي وفقًا للقانون. يجب أن تقوم أكاديميا سينيكا بصياغة نتائج البحث والتطوير التكنولوجي. تنطبق هذه الطريقة على نتائج البحث والتطوير العلمي والتكنولوجي الذي تجريه Academia Sinica بمفردها أو بتكليف من الوكالات الحكومية. وتنص اللوائح بوضوح على أنه يجوز لأكاديميا سينيكا تخصيص أموال للبحث العلمي من خلال ميزانية الوحدات التابعة لها والمشاركة في المشاريع البحثية وفقًا لمبادئ العدالة والكفاءة.
260,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,"حسنًا، فيما يلي الأسئلة المستندة إلى ""تدابير إسناد واستخدام البحث العلمي والتكنولوجي وإنجازات التنمية في أكاديميا سينيكا"":",أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw","حسنًا، وفقًا للمادة 2 من ""تدابير إسناد واستخدام البحث العلمي والتكنولوجي وإنجازات التطوير لأكاديميا سينيكا""، تشير نتائج البحث والتطوير إلى المعرفة والتكنولوجيا والأعمال التي ينتجها موظفو أكاديميا سينيكا بسبب واجباتهم والمنتجات المنتجة داخل الأكاديمية، وتخطيطات الدوائر المتكاملة، وبرامج الكمبيوتر، والأسرار التجارية، والمعرفة المهنية والبيانات الفنية الأخرى، بالإضافة إلى حقوق براءات الاختراع المحلية والأجنبية التي تم الحصول عليها، ومنشورات Academia Sinica، وحقوق الملكية الفكرية الأخرى وجميع الحقوق المشتقة.

أما فيما يتعلق بإدارة وتطبيق نتائج البحث والتطوير فهو يعتمد على"
261,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,س: ما هي العناصر المتضمنة في تعريف نتائج البحث والتطوير؟ ما هي حقوق الملكية الفكرية التي يمكن استخلاصها؟,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw",وفقًا لنص المادة 2، يشمل نطاق تعريف نتائج البحث والتطوير المعرفة والتكنولوجيا والأعمال والمنتجات المصنوعة في المعهد وتخطيطات الدوائر المتكاملة وبرامج الكمبيوتر والأسرار التجارية والمعرفة المهنية والبيانات الفنية الأخرى. وتشمل حقوق الملكية الفكرية التي قد تستمد من هذه المشاريع حقوق براءات الاختراع المحلية والأجنبية، ومنشورات أكاديميا سينيكا، وحقوق الملكية الفكرية الأخرى وجميع الحقوق المشتقة.
262,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,س: كيف يتم إجراء الاستشارة والتشاور والمراجعة أثناء إدارة وتطبيق نتائج البحث والتطوير؟,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw","وفقًا للمادة 2، تشمل إدارة واستخدام نتائج البحث والتطوير التشاور والتشاور والمراجعة والتطبيق والدخل والاستخدام ونقل التكنولوجيا والترخيص والتعيين والثقة والاستشارات القضائية والصيانة وغيرها من الأمور المتعلقة بحقوق نتائج البحث والتطوير. لذلك، أثناء إدارة وتطبيق نتائج البحث والتطوير، سيتم إجراء التشاور والتشاور والمراجعة وغيرها من الأعمال.

مثال:

س: هل ستشمل إدارة وتطبيق نتائج البحث والتطوير حقوق الملكية الفكرية؟

الجواب: حسب رقم 2"
263,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,"سؤال: في لوائح إدارة المنشورات واستخدامها في Academia Sinica، كيف ينبغي التعامل مع ""بنية الدوائر المتكاملة"" و""برامج الكمبيوتر وأدلتها والتعليمات والأعمال المشتقة الأخرى""؟",أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw","وفقًا للمادة 2 من اللوائح المتعلقة بإسناد واستخدام نتائج البحث والتطوير العلمي والتكنولوجي لأكاديميا سينيكا، تشمل ""نتائج البحث والتطوير"" المعرفة والتكنولوجيا والأعمال والمنتجات المصنوعة داخل المعهد وتخطيطات الدوائر المتكاملة وبرامج الكمبيوتر والأسرار التجارية. والمعرفة المهنية والمواد التكنولوجية الأخرى. ومن بينها ""تخطيط الدوائر المتكاملة"" و""برامج الكمبيوتر وأدلته وتعليماته وغيرها من الأعمال المشتقة"" التي تعتبر من نتائج البحث والتطوير، لذا يجب التعامل معها وفقاً لأحكام البندين 3 و4 من هذه التدابير.

ممارسات محددة"
264,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,"إذن لماذا تعتقد أنه يجب على لجنة البحث والإدارة في أكاديميا سينيكا مراجعة مشروع ""طريقة أكاديميا سينيكا الحصرية لنقل التكنولوجيا المستهدفة إلى مناطق خارج تايوان""؟ ماذا يريدون أن يضمنوا؟",أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw","ووفقا للنص، قامت لجنة البحث والإدارة التابعة لأكاديميا سينيكا بمراجعة مشروع ""نقل تكنولوجيا أكاديميا سينيكا إلى مناطق خارج تايوان بطريقة حصرية"" بشكل أساسي لضمان امتثال نقل تكنولوجيا أكاديميا سينيكا للقوانين واللوائح ذات الصلة. تعتقد لجنة البحث والإدارة أن هذا أمر مهم للغاية، لذلك يجب على أعضاء اللجنة مراجعة محتوى العقد للتأكد من أن نقل التكنولوجيا لـ Academia Sinica يتوافق مع لوائح مثل الأساليب الحصرية ونقل التكنولوجيا مجانًا."
265,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,حسنًا، دعنا نطرح بعض الأسئلة لنطلب رأيك بناءً على عناصر الخدمة وأوصاف الخدمة المقدمة:,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw",حسنا بالطبع! وفقًا لنص المادة 3-1، تتم مراجعة الكشف عن تضارب المصالح في نقل التكنولوجيا الخاص بـ Academia Sinica من قبل لجنة إدارة تضارب المصالح. لذلك، ستحدد لجنة إدارة المصالح بشكل منفصل المصالح التي يجب الكشف عنها وطريقة الكشف عنها. إفشاء. أما بالنسبة للأسئلة الأخرى ذات الصلة، يرجى السؤال عن بنود الخدمة وأوصاف الخدمة، وسأبذل قصارى جهدي للإجابة عليها.
266,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,سؤال: أثناء عملية نقل التكنولوجيا في Academia Sinica، إذا تم اكتشاف تضارب في المصالح، فكيف يجب التعامل معه؟ (علامة استفهام),أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw","بناءً على لهجة الحديث اليومي، يمكن الإجابة على هذا السؤال على النحو التالي: ""إذا حدث تضارب في المصالح أثناء عملية نقل التكنولوجيا، فيجب الكشف عنه إلى مجلس منطقة هونغ كونغ الإدارية الخاصة. وستقوم لجنة LCMC بمراجعة المصالح التي يجب الكشف عنها وتحديدها طريقة الإفصاح."" (علامة استفهام)"
