index,category,title,question,group,url,contact,answer
257,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"Okay, here are some questions based on the ""Methods for Attribution and Utilization of Scientific and Technological Research and Development Achievements of Academia Sinica"":",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Please answer the questions according to the following text instructions, using the tone of everyday speech and avoiding the use of particles:

Question: Please explain the meaning and difference between ""Article 6, Paragraph 3 of the Basic Law of Science and Technology"" and ""Article 13, Paragraph 4 of the Basic Law of Science and Technology"".

Answer: Paragraph 3 of Article 6 of the Basic Law of Science and Technology regulates the attribution and use of research and development results and their income. The proportion and contribution of capital and labor should be considered in accordance with the principles of fairness and efficiency."
258,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"According to the first two items of Article 6, Paragraph 3, of the Basic Law of Science and Technology, Academia Sinica, what are the ownership and utilization methods of the intellectual property rights and income from research and development results belonging to Academia Sinica?",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","In accordance with the first two items of Article 6, Paragraph 3, of the Basic Law of Science and Technology, Academia Sinica has formulated the ""Measures for the Attribution and Utilization of Scientific and Technological Research and Development Achievements of Academia Sinica"" in accordance with the provisions of Article 13, Paragraph 4, Item 1 of the Basic Law of Science and Technology. ”, in order to effectively manage the scientific and technological research and development carried out by Academia Sinica in accordance with the scientific and technological research and development budget compiled by the Academia Sinica in accordance with the law, and the intellectual property rights and results of the income attributable to Academia Sinica."
259,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"In accordance with the provisions of Article 13, Paragraph 4, Paragraph 1, of the Basic Law of Science and Technology, Academia Sinica shall allocate",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","In accordance with the provisions of Article 6, Paragraph 3, and Article 13, Paragraph 4 of the Basic Law of Science and Technology, Academia Sinica compiles scientific and technological research and development budgets in accordance with the law. The ownership and utilization of scientific and technological research and development results shall be formulated by Academia Sinica. This method applies to the results of scientific and technological research and development conducted by Academia Sinica on its own or commissioned by government agencies. The regulations clearly stipulate that Academia Sinica may allocate scientific research funds through the budget of affiliated units and participate in research projects in accordance with the principles of fairness and efficiency."
260,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"Okay, the following are questions based on the ""Measures for the Attribution and Utilization of Scientific and Technological Research and Development Achievements of Academia Sinica"":",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Well, according to Article 2 of the ""Measures for the Attribution and Utilization of Scientific and Technological Research and Development Achievements of Academia Sinica"", R&D results refer to the knowledge, technology, works produced by Academia Sinica personnel due to their duties, products produced within the academy, integrated circuit layouts, Computer software, trade secrets, professional knowledge and other technical data, as well as domestic and foreign patent rights obtained thereby, Academia Sinica publications, other intellectual property rights and all derivative rights.

As for the management and application of R&D results, it is based on"
261,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,Q: What items are included in the definition of R&D results? What intellectual property rights may be derived?,academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","According to the text of Article 2, the scope of the definition of research and development results includes knowledge, technology, works, products made in the institute, integrated circuit layouts, computer software, trade secrets, professional knowledge and other technical data. The intellectual property rights that may be derived from these projects include domestic and foreign patent rights, Academia Sinica publications, other intellectual property rights and all derivative rights."
262,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"Q: How to carry out consultation, consultation and review during the management and application of R&D results?",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","According to Article 2, the management and use of R&D results includes consultation, consultation, review, application, income, utilization, technology transfer, authorization, appointment, trust, litigation consultation, maintenance and other matters related to the rights to R&D results. . Therefore, during the management and application of R&D results, consultation, consultation, review and other work will be carried out.

example:

Q: Will the management and application of R&D results involve intellectual property rights?

Answer: According to No. 2"
263,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"Question: In the Academia Sinica Publications Management and Utilization Regulations, how should ""Integrated Circuit Structure"", ""Computer Software and Its Manuals, Instructions and Other Derivative Works"" be handled?",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","According to Article 2 of the Regulations on the Attribution and Utilization of Scientific and Technological Research and Development Results of Academia Sinica, “R&D results” include knowledge, technology, works, products made within the institute, integrated circuit layouts, computer software, trade secrets, professional knowledge and other technologies material. Among them, ""integrated circuit layout"", ""computer software and its manuals, instructions and other derivative works"" are one of the research and development results, so they should be handled in accordance with the provisions of Items 3 and 4 of these Measures.

Specific practices"
264,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"Then why do you think the Research and Management Committee of Academia Sinica should review the project of ""Academia Sinica's exclusive method of transfer of target technology to areas outside Taiwan""? What do they want to ensure?",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","According to the text, the Research and Management Committee of Academia Sinica reviewed the project of ""Academia Sinica's technology transfer to areas outside Taiwan in an exclusive manner"" mainly to ensure that Academia Sinica's technology transfer complies with relevant laws and regulations. The Research and Management Committee believes that this is a very important matter, so the committee members must review the content of the contract to ensure that the technology transfer of Academia Sinica complies with regulations such as exclusive methods and free technology transfer."
265,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"Okay, then let’s ask some questions to ask for your opinion based on the service items and service descriptions provided:",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Well, of course! According to the text of Article 3-1, the disclosure of conflicts of interest in Academia Sinica’s technology transfer is reviewed by the Conflict of Interest Management Committee. Therefore, the Interest Management Committee will separately determine the interests that should be disclosed and the method of disclosure. As for other related questions, please ask about the service items and service descriptions, and I will try my best to answer them."
266,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"Question: During the technology transfer process of Academia Sinica, if a conflict of interest is discovered, how should it be handled? (question mark)",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Based on the tone of everyday speech, this question can be answered as: ""If a conflict of interest occurs during the technology transfer process, it should be disclosed to the HKSAR Council. The LCMC will review and decide the interests that should be disclosed and the method of disclosure."" (question mark)"
267,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,What do you think about this issue?,academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Okay, according to the text, the Frozen Conflict Management Committee is the organization that reviews the disclosure of conflicts of interest in the technology transfer of Academia Sinica. The interests it should disclose and the method of disclosure shall be determined separately. My personal view is that the LMC should carefully review and disclose conflicts of interest in accordance with its powers and relevant regulations."
268,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"In terms of the ownership and utilization of scientific and technological research and development results of Academia Sinica, what subsidies can members receive?",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","According to Article 4, all members of the Research and Management Committee are unpaid, but outside members may pay review fees at their own discretion. In other words, committee members do not receive a fixed salary or allowance."
