index,category,title,question,group,url,contact,answer
257,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,"Oke, berikut beberapa pertanyaan berdasarkan ""Metode Atribusi dan Pemanfaatan Capaian Penelitian dan Pengembangan Ilmu Pengetahuan dan Teknologi Academia Sinica"":",akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Jawablah pertanyaan sesuai petunjuk teks berikut, dengan menggunakan nada bicara sehari-hari dan hindari penggunaan partikel:

Pertanyaan: Mohon dijelaskan pengertian dan perbedaan antara “Pasal 6 Ayat 3 Undang-Undang Dasar Ilmu Pengetahuan dan Teknologi” dan “Pasal 13 Ayat 4 Undang-Undang Dasar Ilmu Pengetahuan dan Teknologi”.

Jawaban: Ayat 3 Pasal 6 Undang-Undang Pokok Ilmu Pengetahuan dan Teknologi mengatur tentang atribusi dan pemanfaatan hasil penelitian dan pengembangan serta penghasilannya, proporsi dan kontribusi modal dan tenaga kerja harus diperhatikan sesuai dengan prinsip keadilan dan efisiensi."
258,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,"Menurut dua butir pertama Pasal 6 Ayat 3 Undang-Undang Dasar Ilmu Pengetahuan dan Teknologi Academia Sinica, bagaimana cara kepemilikan dan pemanfaatan hak kekayaan intelektual serta pendapatan hasil penelitian dan pengembangan milik Academia Sinica?",akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Sesuai dengan dua butir pertama Pasal 6 Ayat 3 Undang-Undang Dasar Ilmu Pengetahuan dan Teknologi, Academia Sinica telah merumuskan ""Langkah-langkah Atribusi dan Pemanfaatan Hasil Penelitian dan Pengembangan Iptek Academia Sinica"" sesuai dengan ketentuan Pasal 13 Ayat 4 Angka 1 Undang-Undang Dasar Ilmu Pengetahuan dan Teknologi ”, guna efektif mengelola penelitian dan pengembangan ilmu pengetahuan dan teknologi yang dilakukan oleh Academia Sinica sesuai dengan anggaran penelitian dan pengembangan ilmu pengetahuan dan teknologi disusun oleh Academia Sinica sesuai dengan hukum, dan hak kekayaan intelektual serta hasil pendapatan yang diatribusikan kepada Academia Sinica."
259,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,"Sesuai dengan ketentuan Pasal 13 Ayat 4 Ayat 1 Undang-Undang Dasar Ilmu Pengetahuan dan Teknologi, Academia Sinica mengalokasikan",akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Sesuai dengan ketentuan Pasal 6 Ayat 3 dan Pasal 13 Ayat 4 Undang-Undang Dasar Ilmu Pengetahuan dan Teknologi, Academia Sinica menyusun anggaran penelitian dan pengembangan ilmu pengetahuan dan teknologi sesuai dengan undang-undang. hasil penelitian dan pengembangan teknologi akan dirumuskan oleh Academia Sinica. Metode ini berlaku untuk hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi yang dilakukan oleh Academia Sinica sendiri atau atas perintah lembaga pemerintah. Peraturan tersebut dengan jelas mengatur bahwa Academia Sinica dapat mengalokasikan dana penelitian ilmiah melalui anggaran unit afiliasi dan berpartisipasi dalam proyek penelitian sesuai dengan prinsip keadilan dan efisiensi."
260,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,"Oke, berikut pertanyaan-pertanyaan berdasarkan ""Langkah-Langkah Atribusi dan Pemanfaatan Capaian Penelitian dan Pengembangan Ilmiah dan Teknologi Academia Sinica"":",akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Nah, menurut Pasal 2 “Tindakan Atribusi dan Pemanfaatan Hasil Penelitian dan Pengembangan Ilmiah dan Teknologi Academia Sinica”, hasil litbang mengacu pada ilmu pengetahuan, teknologi, karya yang dihasilkan oleh personel Academia Sinica karena tugasnya, produk yang dihasilkan. dalam akademi, tata letak sirkuit terpadu, perangkat lunak komputer, rahasia dagang, pengetahuan profesional dan data teknis lainnya, serta hak paten dalam dan luar negeri yang diperoleh, publikasi Academia Sinica, hak kekayaan intelektual lainnya dan semua hak turunan.

Adapun pengelolaan dan penerapan hasil litbang didasarkan pada"
261,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,T: Hal apa saja yang termasuk dalam definisi hasil R&D? Hak kekayaan intelektual apa yang dapat diperoleh?,akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Menurut teks Pasal 2, ruang lingkup pengertian hasil penelitian dan pengembangan meliputi ilmu pengetahuan, teknologi, karya, produk buatan lembaga, tata letak sirkuit terpadu, perangkat lunak komputer, rahasia dagang, pengetahuan profesi, dan data teknis lainnya. Hak kekayaan intelektual yang dapat diperoleh dari proyek-proyek ini meliputi hak paten dalam dan luar negeri, publikasi Academia Sinica, hak kekayaan intelektual lainnya dan seluruh hak turunan."
262,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,"Q: Bagaimana cara melakukan konsultasi, konsultasi dan review selama pengelolaan dan penerapan hasil R&D?",akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Menurut Pasal 2, pengelolaan dan pemanfaatan hasil litbang meliputi konsultasi, konsultasi, peninjauan, penerapan, pemasukan, pemanfaatan, alih teknologi, otorisasi, penunjukan, kepercayaan, konsultasi litigasi, pemeliharaan dan hal-hal lain yang berkaitan dengan hak atas hasil litbang. Oleh karena itu, selama pengelolaan dan penerapan hasil R&D, akan dilakukan konsultasi, konsultasi, review dan pekerjaan lainnya.

contoh:

Q: Apakah pengelolaan dan penerapan hasil penelitian dan pengembangan akan melibatkan hak kekayaan intelektual?

Jawaban: Menurut No.2"
263,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,"Pertanyaan: Dalam Peraturan Manajemen dan Pemanfaatan Publikasi Academia Sinica, bagaimana seharusnya ""Struktur Sirkuit Terpadu"", ""Perangkat Lunak Komputer dan Manualnya, Instruksi dan Karya Turunan Lainnya"" ditangani?",akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Menurut Pasal 2 Peraturan Atribusi dan Pemanfaatan Hasil Penelitian dan Pengembangan Ilmiah dan Teknologi Academia Sinica, “Hasil penelitian dan pengembangan” meliputi ilmu pengetahuan, teknologi, karya, produk yang dibuat di dalam lembaga, tata letak sirkuit terpadu, perangkat lunak komputer, rahasia dagang. , pengetahuan profesional dan materi teknologi lainnya. Diantaranya, “tata letak sirkuit terpadu”, “perangkat lunak komputer beserta manualnya, instruksi dan karya turunannya lainnya” merupakan salah satu hasil penelitian dan pengembangan, sehingga harus ditangani sesuai dengan ketentuan Butir 3 dan 4 Tindakan ini.

Praktik khusus"
264,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,"Lalu mengapa menurut Anda Komite Penelitian dan Manajemen Academia Sinica harus meninjau proyek ""Metode eksklusif Academia Sinica dalam mentransfer teknologi target ke wilayah di luar Taiwan""? Apa yang ingin mereka pastikan?",akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Menurut teks tersebut, Komite Penelitian dan Manajemen Academia Sinica meninjau proyek ""transfer teknologi Academia Sinica ke wilayah di luar Taiwan secara eksklusif"" terutama untuk memastikan bahwa transfer teknologi Academia Sinica mematuhi undang-undang dan peraturan yang relevan. Komite Penelitian dan Manajemen berpendapat bahwa ini adalah hal yang sangat penting, sehingga anggota komite harus meninjau isi kontrak untuk memastikan bahwa transfer teknologi Academia Sinica mematuhi peraturan seperti metode eksklusif dan transfer teknologi gratis."
265,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,"Baiklah, selanjutnya mari kita ajukan beberapa pertanyaan untuk meminta pendapat anda berdasarkan item layanan dan deskripsi layanan yang diberikan:",akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Tentu saja! Berdasarkan teks Pasal 3-1, pengungkapan konflik kepentingan dalam transfer teknologi Academia Sinica ditinjau oleh Komite Manajemen Benturan Kepentingan, oleh karena itu, Komite Manajemen Kepentingan akan secara terpisah menentukan kepentingan yang harus diungkapkan dan metode pengungkapannya. penyingkapan. Adapun pertanyaan terkait lainnya, silakan tanyakan tentang item layanan dan deskripsi layanan, dan saya akan berusaha sebaik mungkin menjawabnya."
266,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,"Pertanyaan: Dalam proses alih teknologi di Academia Sinica, jika ditemukan konflik kepentingan, bagaimana cara penanganannya? (tanda tanya)",akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Berdasarkan nada bicara sehari-hari, pertanyaan ini dapat dijawab sebagai berikut: ""Jika terjadi konflik kepentingan selama proses transfer teknologi, maka hal tersebut harus diungkapkan kepada Dewan HKSAR. LCMC akan meninjau dan memutuskan kepentingan yang harus diungkapkan dan metode pengungkapannya."" (tanda tanya)"
