index,category,title,question,group,url,contact,answer
257,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,さて、ここで「中央研究院の科学技術研究開発成果の帰属と利用方法」に基づいていくつか質問します。,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw","次のテキストの指示に従って、助詞の使用を避け、日常会話の口調で質問に答えてください。

質問：「科学技術基本法第6条第3項」と「科学技術基本法第13条第4項」の意味と違いを説明してください。

回答：科学技術基本法第６条第３項では、研究開発の成果とその収益の帰属と利用について規定しており、資本と労働の割合と貢献については、公平性と効率性の原則に基づいて考慮されるべきである。"
258,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,中央研究院科学技術基本法第 6 条第 3 項の最初の 2 項によると、中央研究院に属する知的財産権および研究開発成果からの収入の所有権と利用方法はどのようなものですか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",中央研究院は、科学技術基本法第6条第3項前2項に基づき、「中央研究院の科学技術研究開発成果の帰属と利用に関する措置」を策定した。 「科学技術基本法第13条第4項第1号」の規定に基づき、科学技術研究開発予算に基づき中央研究院が実施する科学技術研究開発を効率的に管理するため法律に従って中央研究院が編集し、中央研究院に帰属する知的財産権および収益の成果。
259,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,中央研究院は科学技術基本法第 13 条第 4 項第 1 項の規定に基づき、,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",中央研究院は、科学技術基本法第 6 条第 3 項および第 13 条第 4 項の規定に基づき、法律に基づいて科学技術研究開発予算を編成します。技術研究開発の成果は中央研究院によって策定されるものとする。この方法は、中央研究院が自ら、または政府機関から委託されて実施した科学技術の研究開発の成果に適用されます。この規定には、中央研究院が所属部門の予算を通じて科学研究資金を割り当て、公平性と効率性の原則に従って研究プロジェクトに参加できることが明確に規定されている。
260,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,さて、以下は「中央研究院の科学技術研究開発成果の帰属と活用に関する措置」に基づく質問です。,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw","さて、「中央研究院の科学技術研究開発成果の帰属と利用に関する措置」の第2条によると、研究開発成果とは、中央研究院の職員が職務上生み出した知識、技術、著作物、生産された製品を指します。学内、集積回路レイアウト、コンピュータソフトウェア、企業秘密、専門的知識およびその他の技術データ、ならびにそれによって取得された国内外の特許権、中央研究院の出版物、その他の知的財産権およびすべての派生的権利。

研究開発成果の管理・活用については、"
261,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,Q：研究開発成果の定義にはどのような項目が含まれますか？どのような知的財産権が派生する可能性がありますか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",第 2 条本文によると、研究開発成果の定義の範囲には、知識、技術、著作物、研究所内で製造された製品、集積回路レイアウト、コンピュータソフトウェア、企業秘密、専門的知識、その他の技術データが含まれます。これらのプロジェクトから派生する可能性のある知的財産権には、国内外の特許権、中央研究院の出版物、その他の知的財産権およびすべての派生的権利が含まれます。
262,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,Q：研究開発成果の管理・活用における相談・協議・検討はどのように行うのでしょうか？,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw","第２条により、研究開発成果の管理及び利用には、相談、協議、審査、申請、収入、利用、技術移転、認可、任命、信託、訴訟相談、維持その他研究開発成果の権利に関する事項が含まれるとされています。このため、研究開発成果の管理・運用にあたっては、相談、協議、審査等の作業が行われます。

例：

Q：研究開発成果の管理や活用には知的財産権が関わるのでしょうか？

答え：No.2によると"
263,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,質問: 中央研究院出版物管理利用規定において、「集積回路構造」、「コンピュータソフトウェアおよびそのマニュアル、説明書、その他の派生著作物」はどのように扱われるべきですか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw","中央研究院の科学技術研究開発成果の帰属と利用に関する規定の第 2 条によると、「研究開発成果」には、知識、技術、著作物、研究所内で製造された製品、集積回路レイアウト、コンピュータソフトウェア、企業秘密が含まれます。 、専門知識およびその他の技術資料。このうち、「集積回路のレイアウト」、「コンピュータソフトウェア及びそのマニュアル、説明書その他の派生著作物」は、研究開発成果の一つであるため、本措置第３号及び第４号の規定に準じて取り扱われるべきである。

具体的な実践方法"
264,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,では、なぜ中央研究院の研究管理委員会が「中央研究院の台湾以外の地域への対象技術の移転に関する独自の方法」プロジェクトを見直すべきだと思いますか？彼らは何を確保したいのでしょうか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",文書によると、中央研究院の研究管理委員会は、主に中央研究院の技術移転が関連法規に準拠していることを確認するために、「独占的な方法での中央研究院の台湾国外地域への技術移転」プロジェクトを検討した。研究管理委員会はこれが非常に重要な問題であると考えており、中央研究院の技術移転が独占的方法や無償技術移転などの規制に準拠するよう、委員は契約内容を精査する必要がある。
265,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,それでは、提供されたサービス項目とサービスの説明に基づいて、意見を求めるためにいくつか質問をしてみましょう。,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",もちろんです！第 3 条第 1 項の本文によれば、中央研究院の技術移転における利益相反の開示は利益相反管理委員会によって審査されるため、開示すべき利益とその方法は利益相反管理委員会が別途定めることになる。開示。その他、サービス項目やサービス内容などに関するご質問がございましたら、可能な限りお答えさせていただきます。
266,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,質問: 中央研究院の技術移転の過程で利益相反が発見された場合、どのように対処すべきですか? （疑問符）,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",日常の口調に基づいて、この質問は次のように答えることができます。「技術移転プロセス中に利益相反が発生した場合、それは香港特別行政区評議会に開示されるべきです。LCMC は、開示されるべき利益を検討し、決定します。」開示の方法」（疑問符）
267,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,この問題についてどう思いますか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",さて、本文によると、凍結紛争管理委員会は中央研究院の技術移転における利益相反の開示を審査する組織であり、開示すべき利益と開示方法は別途定めるものとされています。私の個人的な見解は、LMC はその権限と関連規制に従って利益相反を慎重に検討し、開示すべきであるということです。
268,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,中央研究院の科学技術研究開発成果の所有と活用に関して、会員はどのような補助金を受けることができますか？,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",第4条によれば、研究運営委員会の委員は全員無給であるが、外部委員は自らの裁量で審査料を支払うことができる。つまり、委員には固定給や手当は支給されないのです。
269,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,研究管理委員会の招集者が会議に出席できない、または招集できない場合はどのような場合がありますか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw","本文の説明によると、研究管理委員会の招集者が会議を招集または出席できない理由は次のとおりです。

1. 何らかの理由により会議を招集または出席できない場合：研究運営委員会の招集者が何らかの理由により会議を主催または出席できないことを意味します。
2. 代理人として行動するメンバーを指名する: これは、研究管理委員会の招集者が、会議の議長または出席の代理人として行動する他のメンバーを指名することを意味します。
3. 委員の辞退：研究運営委員会の委員が利害関係を有し、辞退すべき場合をいいます。
4"
270,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,利害関係のない当事者が関与する事件について、委員会メンバーにはどのようなルールがありますか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",第４条によれば、調査管理委員会の委員は、利害関係を有する事件を代表することができない。これは、会員が利害関係のある事件から身を引くべきであることを意味します。
271,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,研究管理委員会の決議が発効するにはどのような条件を満たす必要がありますか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",本文によれば、研究運営委員会の決議は、委員の半数以上が出席し、出席委員の半数以上の承認が必要とされています。あるいは、招集者が会員全員に通知し、半数以上の同意を得ることも可能です。
272,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,技術移転案件の決定を下す前に、招集者は誰を指名して意見を提供することができますか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",第 4 条によ​​れば、招集者は、技術移転事件の決定が下される前に、意見の提供を補佐する委員 1 名または 2 名を指名することができる。したがって、招集者は意見を述べさせる委員を２名指名することができる。
273,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,研究と管理,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw","第4条の規定により、研究管理委員会は7名から15名までの任期で構成され、このうち中央研究院の知的財産・財政・技術移転部門の責任者は職権で任命される。任期中に欠員が生じた場合には、後任者が会員としての地位を更新するものとする。すべてのメンバーは無報酬ですが、外部メンバーは独自の裁量でレビュー料金を支払うことができます。
研究管理委員会には招集者を置き、学部長が副学部長として指名し、会議の招集と議長の役割を担う。招集者が何らかの理由で招集できない、または"
274,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,サービス内容は少々複雑でわかりにくいように思えますが…もしかして中央研究院の研究開発成果の所有や活用はルールや規制が山積みなのでしょうか？ちょっとわかりにくい気がしますが… 研究開発の成果は誰が所有するのでしょうか？誰がどのような権利と利益を持っていますか?どうやって分けるの？複雑すぎます! ！ ！,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw","第 5 条によると、中央研究院の予算補助金、受託または資金提供による研究活動によって生じた研究開発成果は、法律に別段の定めがある場合または契約に別段の定めがある場合を除き、中央研究院に帰属するものとします。中央研究院の職員が前項に規定された状況以外で研究作業を行った場合、法律に別段の定めがある場合、または契約で別途合意されている場合を除き、生成された研究開発結果は発明者、新たな創作者、設計者または著者に帰属するものとします。
中央研究院の職員が研究活動を行っており、利用を計画している場合"
275,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,中央研究院は、研究開発成果の利用価値、ライセンス等の事業化の可能性、経済的負担等を評価した上で、知的財産権の出願を決定します。必要な費用は原則として中央研究院が負担します。ただし、収入を得る権利がある場合には、第7条第4項の規定に基づき、クリエイターユニットとクリエイター研究室が連帯して費用を負担するものとします。,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw","第6条及び第7条の規定により、中央研究院は研究開発成果の利用価値、ライセンス等の事業化の可能性、経済的負担等を評価した上で、知的財産権の出願を決定し、申請者は中央研究院となり、必要な費用は原則として中央研究院が負担するものとします。ただし、収入を得る権利がある場合には、第7条第4項の規定に基づき、クリエイターユニットとクリエイター研究室が連帯して費用を負担するものとします。

トーン：

第6条および"
276,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,すみません：,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw","第6条及び第7条の規定により、中央研究院が研究の利用価値、移転可能性、商業化可能性、経済的負担等を評価した上で知的財産権の出願を決定する場合、出願人となる。開発成果に必要な費用は原則として中央研究院が負担します。ただし、クリエイターズユニットおよびクリエイターズ研究室に収入がある場合には、クリエイターズユニットおよびクリエイターズ研究室が連帯して費用を負担するものとします。

第6条第1号"
277,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,a. 中央研究院が研究開発成果を評価する際に使用する評価基準は何ですか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw","第6条および第7条の規定により、中央研究院が研究開発成果を評価する評価基準には、価値、移転可能性、事業化可能性、財政負担などが含まれる。具体的な評価基準は次のとおりです。

b. 研究開発成果の価値を評価する際、中央研究院はどのような要素を考慮する必要がありますか?

回答: 評価要素には、市場価値、応用可能性、技術革新の程度、市場競争力、技術移転またはライセンスの可能性などが含まれます。"
278,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,b.,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw","第 6 条および第 7 条の規定に基づき、中央研究院は研究開発成果の利用価値、認可の可能性、事業化の可能性、経済的負担などを評価した上で知的財産権の出願を決定し、中央研究院は知的財産権の出願を決定する。必要な費用 原則として中央研究院が負担しますが、収入が得られる場合は、作成者ユニットと作成者研究室が共同で負担します。

中央研究院が評価後に知的財産権の出願を決定した場合、創作者は中央研究院の利用に同意することができます。"
