index,category,title,question,group,url,contact,answer
257,지적재산권 규정,Academia Sinica의 과학기술 연구 및 개발 결과의 귀속 및 적용 방법,"좋아요, 다음은 ""Academia Sinica의 과학 기술 연구 및 개발 성과의 귀속 및 활용 방법""에 기반한 몇 가지 질문입니다.",학생,https://iptt.sinica.edu.tw/pages/1292,"Academia Sinica 지적재산권부
2787-2554
ip@gate.sinica.edu.tw","입자 사용을 피하고 일상적인 어조를 사용하여 다음 텍스트 지침에 따라 질문에 답하십시오.

질문: '과학기술기본법 제6조 제3항'과 '과학기술기본법 제13조 제4항'의 의미와 차이점을 설명해 주세요.

답변: 과학기술기본법 제6조 3항은 연구개발 성과와 그 소득의 귀속 및 사용을 규정하고 있으며, 자본과 노동의 비율과 기여는 공정성과 효율성의 원칙에 따라 고려되어야 합니다."
258,지적재산권 규정,Academia Sinica의 과학기술 연구 및 개발 결과의 귀속 및 적용 방법,Academia Sinica 과학기술기본법 제6조 3항 첫 두 항목에 따르면 Academia Sinica에 속한 지적재산권 및 연구개발 성과소득의 귀속 및 활용방법은 무엇입니까?,학생,https://iptt.sinica.edu.tw/pages/1292,"Academia Sinica 지적재산권부
2787-2554
ip@gate.sinica.edu.tw","과학기술기본법 제6조 제3항의 첫 두 항목에 의거하여 Academia Sinica는 ""Academia Sinica의 과학기술 연구개발 성과의 귀속 및 활용에 관한 조치""를 제정했습니다. 과학기술 기본법 제13조 제4항 제1호의 규정에 따라 과학기술 연구개발 예산에 따라 Academia Sinica가 수행하는 과학기술 연구개발을 효과적으로 관리하기 위해 법률에 따라 Academia Sinica가 편집한 것이며, Academia Sinica에 귀속되는 지적 재산권 및 소득 결과입니다."
259,지적재산권 규정,Academia Sinica의 과학기술 연구 및 개발 결과의 귀속 및 적용 방법,과학기술기본법 제13조 제4항 제1항의 규정에 따라 Academia Sinica는,학생,https://iptt.sinica.edu.tw/pages/1292,"Academia Sinica 지적재산권부
2787-2554
ip@gate.sinica.edu.tw",과학기술기본법 제6조 제3항 및 제13조 제4항의 규정에 따라 Academia Sinica는 법에 따라 과학기술 연구개발 예산을 편성합니다. 기술 연구 및 개발 결과는 Academia Sinica가 공식화합니다. 이 방법은 Academia Sinica가 자체적으로 수행하거나 정부 기관의 의뢰를 받아 수행한 과학 기술 연구 및 개발 결과에 적용됩니다. 규정에는 Academia Sinica가 공정성과 효율성의 원칙에 따라 산하기관의 예산을 통해 과학연구 자금을 할당하고 연구 프로젝트에 참여할 수 있음을 명확하게 규정하고 있습니다.
260,지적재산권 규정,Academia Sinica의 과학기술 연구 및 개발 결과의 귀속 및 적용 방법,"좋아요, 다음은 ""Academia Sinica의 과학 기술 연구 및 개발 성과의 귀속 및 활용을 위한 측정""에 기반한 질문입니다.",학생,https://iptt.sinica.edu.tw/pages/1292,"Academia Sinica 지적재산권부
2787-2554
ip@gate.sinica.edu.tw","그런데, ""Academia Sinica의 과학기술 연구개발 성과의 귀속 및 활용에 관한 조치"" 제2조에 따르면, R&D 성과란 Academia Sinica 직원이 업무상 생산한 지식, 기술, 작품, 생산된 제품을 의미합니다. 아카데미 내, 집적 회로 레이아웃, 컴퓨터 소프트웨어, 영업 비밀, 전문 지식 및 기타 기술 데이터와 이를 통해 획득한 국내외 특허권, Academia Sinica 출판물, 기타 지적 재산권 및 모든 파생 권리.

R&D 성과의 관리 및 적용에 있어서는 다음을 기본으로 한다."
261,지적재산권 규정,Academia Sinica의 과학기술 연구 및 개발 결과의 귀속 및 적용 방법,Q: 연구개발 성과 정의에는 어떤 항목이 포함되나요? 어떤 지적재산권이 파생될 수 있나요?,학생,https://iptt.sinica.edu.tw/pages/1292,"Academia Sinica 지적재산권부
2787-2554
ip@gate.sinica.edu.tw","제2조의 본문에 따르면, 연구개발 결과의 정의 범위에는 지식, 기술, 저작물, 연구소에서 만든 제품, 집적 회로 레이아웃, 컴퓨터 소프트웨어, 영업 비밀, 전문 지식 및 기타 기술 데이터가 포함됩니다. 본 프로젝트에서 파생될 수 있는 지적재산권에는 국내외 특허권, Academia Sinica 출판물, 기타 지적재산권 및 모든 파생권이 포함됩니다."
262,지적재산권 규정,Academia Sinica의 과학기술 연구 및 개발 결과의 귀속 및 적용 방법,"Q. R&D 성과 관리 및 적용 과정에서 협의, 협의, 검토는 어떻게 진행되나요?",학생,https://iptt.sinica.edu.tw/pages/1292,"Academia Sinica 지적재산권부
2787-2554
ip@gate.sinica.edu.tw","제2조에 따르면 연구개발성과의 관리 및 이용에는 상담, 상담, 심사, 신청, 수입, 활용, 기술이전, 인가, 선임, 신탁, 소송상담, 유지관리, 기타 연구개발성과에 관한 권리에 관한 사항이 포함된다. 따라서 연구개발 성과의 관리 및 적용 과정에서 협의, 상담, 검토 등의 업무가 진행됩니다.

예:

Q: R&D 결과의 관리 및 적용에 지적재산권이 포함되나요?

답: 2번에 따르면"
263,지적재산권 규정,Academia Sinica의 과학기술 연구 및 개발 결과의 귀속 및 적용 방법,"질문: Academia Sinica 출판물 관리 및 이용 규정에서 ""집적 회로 구조"", ""컴퓨터 소프트웨어 및 해당 매뉴얼, 지침 및 기타 파생 저작물""을 어떻게 처리해야 합니까?",학생,https://iptt.sinica.edu.tw/pages/1292,"Academia Sinica 지적재산권부
2787-2554
ip@gate.sinica.edu.tw","Academia Sinica의 과학 기술 연구 및 개발 결과의 귀속 및 활용에 관한 규정 제2조에 따르면 ""R&D 결과""에는 지식, 기술, 저작물, 연구소 내에서 제작된 제품, 집적 회로 레이아웃, 컴퓨터 소프트웨어, 영업 비밀이 포함됩니다. , 전문 지식 및 기타 기술 자료. 그 중 ""집적 회로 레이아웃"", ""컴퓨터 소프트웨어 및 해당 매뉴얼, 지침 및 기타 파생 저작물""은 연구 개발 결과 중 하나이므로 본 방법 3항과 4항의 규정에 따라 처리해야 합니다.

특정 관행"
264,지적재산권 규정,Academia Sinica의 과학기술 연구 및 개발 결과의 귀속 및 적용 방법,"그렇다면 Academia Sinica 연구관리위원회가 ""Academia Sinica의 독점적인 대상 기술을 대만 이외의 지역으로 이전하는 방법"" 프로젝트를 검토해야 한다고 생각하십니까? 그들은 무엇을 보장하고 싶어합니까?",학생,https://iptt.sinica.edu.tw/pages/1292,"Academia Sinica 지적재산권부
2787-2554
ip@gate.sinica.edu.tw","본문에 따르면 Academia Sinica 연구관리위원회는 Academia Sinica의 기술 이전이 관련 법률 및 규정을 준수하는지 확인하기 위해 주로 Academia Sinica의 대만 이외의 지역으로의 기술 이전을 독점적으로 진행하는 프로젝트를 검토했습니다. 연구관리위원회는 이것이 매우 중요한 사항이라고 판단하므로 위원들은 Academia Sinica의 기술이전이 독점방식, 무상기술이전 등의 규정을 준수하는지 확인하기 위해 계약내용을 검토해야 한다."
265,지적재산권 규정,Academia Sinica의 과학기술 연구 및 개발 결과의 귀속 및 적용 방법,좋습니다. 그러면 제공된 서비스 항목 및 서비스 설명을 바탕으로 귀하의 의견을 묻는 몇 가지 질문을 해보겠습니다.,학생,https://iptt.sinica.edu.tw/pages/1292,"Academia Sinica 지적재산권부
2787-2554
ip@gate.sinica.edu.tw",물론이죠! 제3-1조 본문에 따르면 Academia Sinica의 기술이전과 관련한 이해상충 공개 여부는 이해상충관리위원회의 심의를 거쳐 공개되어야 할 이해관계와 공개방법 등을 이해상충위원회에서 별도로 정한다. 폭로. 기타 관련 문의 사항은 서비스 항목 및 서비스 설명 등을 질문해 주시면 최선을 다해 답변해 드리겠습니다.
266,지적재산권 규정,Academia Sinica의 과학기술 연구 및 개발 결과의 귀속 및 적용 방법,질문: Academia Sinica의 기술 이전 과정에서 이해 상충이 발견되면 어떻게 처리해야 합니까? (물음표),학생,https://iptt.sinica.edu.tw/pages/1292,"Academia Sinica 지적재산권부
2787-2554
ip@gate.sinica.edu.tw","이 질문은 일상적인 말투를 기준으로 다음과 같이 답할 수 있습니다. ""기술 이전 과정에서 이해 상충이 발생하면 이를 HKSAR 위원회에 공개해야 합니다. LCMC는 공개해야 할 이해관계를 검토하고 결정하며, 공개방법."" (물음표)"
