category,title,question,group,url,contact,answer
智財,專利申請流程,專利申請流程需要哪些步驟？,學術,,"劉正格
2787-2512",首先創作人要代表他所在的單位，送出一份密件給中研院，裡頭要附上他們研發成果的揭露表。然後智財處在收到申請後，會有負責人來編排序號，並把申請的資料輸入到智財資料庫內。如果有任何資料不齊全，負責人會通知創作人補正。接著，智財處的人會對申請內容進行專利檢查以及市場調查，完成報告後，他們會提出一個建議，是推薦申請專利還是不推薦。智財處長經過核定後，才會正式提出專利申請。通常他們會先提出美國的臨時專利申請。
智財,專利申請流程,如何開始提出專利申請?,學術,,"劉正格
2787-2512",開始提出專利申請，需要由創作人代表所在的單位，附上研發成果揭露表，並以密件的形式送到中研院。智財處收到提案後，會有專人安排覽號，並將申請資料輸入到智財資料庫。如果資料有不完整的地方，會通知創作人代表補齊。接著，承辦人會進行專利檢查和市場調查，完成報告後會提出是否推薦申請專利的建議。只有智財處長核定後，才能正式提出專利申請。通常會先申請美國的暫時專利案。
智財,專利申請流程,誰可以代表專利提出者提出專利申請？,學術,,"劉正格
2787-2512",創作人代表可以代表專利提出者提出專利申請。
智財,專利申請流程,申請專利時需要提供哪些文件？,學術,,"劉正格
2787-2512",申請專利時，要由創作人代表提供研發成果揭露表。這份文件要以密件的形式寄送給中研院本部。
智財,專利申請流程,專利申請提案後會經過哪些流程？,學術,,"劉正格
2787-2512",提案送出後，智財處的承辦人會收到申請，然後把相關的資料輸入到智財資料庫裡面。如果資料不全，承辦人會通知創作人補齊。接下來他們會對提出的專利內容進行檢查，並做市場調查。完成後，他們會給出是否建議申請專利的建議。然後由智財處長來做最後的審核。一切都沒問題的話，就可以提出專利申請，通常會先申請美國的專利案。
智財,專利申請流程,智財處收到專利申請後會進行哪些工作？,學術,,"劉正格
2787-2512",智財處收到專利申請後，會先由承辦人編排覽號，然後將申請資料輸入到智財資料庫中。如果發現資料不全，承辦人會通知創作人代表補正。接著，承辦人會對申請內容進行專利檢查和市場調查，完成後會提出推薦或不推薦申請專利的建議。最後智財處長會核定，確定能否提出專利申請。根據原則，他們會先申請美國暫時專利案。
智財,專利申請流程,智財處在審核專利申請時，會查看什麼資訊？,學術,,"劉正格
2787-2512",智財處在審核專利申請時，會查看創作人提交的研發成果揭露表。然後由承辦人整理申請資料並輸入到智財資料庫中。如果資料不全，承辦人會通知創作人代表補正。審核過程中，承辦人也會對提案內容進行專利檢查和市場調查。完成後會提出是否推薦申請專利的建議。
智財,專利申請流程,報告完成後要如何提出專利申請建議？,學術,,"劉正格
2787-2512",報告完成後，智財處的承辦人會提出推薦或不推薦申請專利的建議。這個建議在經過智財處長的核定後，就可以開始提出專利申請了。通常我們會先申請美國的暫時專利案。
智財,專利申請流程,創作人代表在提交專利申請後需要做什麼？,學術,,"劉正格
2787-2512",創作人代表在提交專利申請後需要附上研發成果揭露表並以密件形式送到中研院本部。然後等待智財處收到提案，由承辦人把申請資料輸入到智財資料庫。如果缺少資料，承辦人會通知創作人代表進行補正。之後，承辦人會進行專利檢查和市場調查，並完成報告提出是否推薦申請專利的建議。智財處長確認後，創作人代表就可以提出專利申請，通常先申請美國臨時專利案。
智財,專利申請流程,.如果申請專利的資料不全，我們需要如何補正？,學術,,"劉正格
2787-2512",如果專利申請的資料不全，智財處的承辦人會通知創作人代表，然後由創作人代表進行補正。
智財,專利侵權,如果我覺得中研院的專利權有被侵犯了，應該怎麼做呢？,學術,,"劉正格
2787-2512",如果你覺得中研院的專利權被侵犯了，首先，應該立即進行事實調查和評估。一旦事證明確，就要評估是否要提出法律救濟。根據情況，還可以提出專利侵權的鑑定。如果爭議導致中研院獲得賠償金，這筆錢會存入科學研究基金，並按照科學研究基金的收支保管和運用辦法來處理。
智財,專利侵權,當有專利權侵犯的情況，中研院會進行什麼事實調查和評估嗎？,學術,,"劉正格
2787-2512",當中研院的專利權被侵犯或有可能被侵犯的時候，會立刻進行事實調查和評估。如果證據確鑿，會進一步評估是否需要提起法律訴訟來保護自己的權益，也可能會提出專利權侵害鑑定。
智財,專利侵權,如果發現有專利侵權行為，我們可以提出相關法律救濟嗎？,學術,,"劉正格
2787-2512",當然，一旦發現有專利侵權行為，我們是可以評估是否提出相關法律救濟的。如果事證明確，還可以依照情況提出專利侵權鑑定。
智財,專利侵權,中研院從專利權爭議案件中收取的賠償金，會用在什麼地方呢？,學術,,"劉正格
2787-2512",中研院會將從專利權爭議案件中收取的賠償金存進科學研究基金，然後按照科學研究基金的收支保管和運用的規定來使用。
智財,專利侵權,這些從專利侵權爭議中得到的金錢和財產，會被存於科學研究基金嗎？,學術,,"劉正格
2787-2512",是的，從專利侵權爭議中得到的金錢和財產會被存入科學研究基金。
智財,專利侵權,科學研究基金的收支保管及運用辦法是什麼呢？,學術,,"劉正格
2787-2512",對不起，我沒有足夠的信息來給你關於科學研究基金的收支保管及運用辦法的具體細節。這需要查詢中研院或相關法律文件的詳細資料。但是根據我所知，這意味著基金的收入和支出以及如何運用都得按照一定的規定來辦事。如果中研院因專利侵權爭議案件收到了賠償金，和解款或其他相關款項，這些錢都會存進科學研究基金。然後，基金會根據收支保管及運用辦法來運用這些資金。
資助研究計畫,計畫申請,中研院的計畫申請服務是只有研究員和研究技師可以申請嗎？,學術,,"陳弘章
Tel:27872556",是的，中研院的資助研究計畫申請案是只有研究員和研究技師能夠提交。
