index,category,title,question,group,url,contact,answer
387,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,كيف يتم النص بشكل أساسي على أساليب ملكية واستخدام نتائج البحث والتطوير العلمية والتكنولوجية لأكاديمية سينيكا؟,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw",تصف هذه اللائحة بشكل أساسي كيفية إدارة Academia Sinica لميزانيتها وإيراداتها للبحث والتطوير التكنولوجي. ويتم تنظيمها وفقًا للمادتين 6 و13 من القانون الأساسي للعلوم والتكنولوجيا. يمكن أن يناقش هذا بشكل أساسي كيفية استخدام نتائج البحث العلمي وفوائده بشكل عادل وفعال، مع الأخذ في الاعتبار طبيعة البحث وإمكانات التطبيق والرفاهية الاجتماعية والأمن القومي والتأثير على السوق. بالإضافة إلى الحاجة إلى تخصيصها للصندوق الوطني لتطوير العلوم والتكنولوجيا، ستبقى نتائج البحوث ودخل Academia Sinica ضمن Academia Sinica ثم يتم تخصيصها لصناديق البحث العلمي بطريقة مماثلة لميزانية الوحدات التابعة.
388,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,"ماذا يعني ""مبدأ العدالة والكفاءة"" الوارد في النظام الأساسي للعلوم والتكنولوجيا؟",أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw","ويعني مفهوم ""مبدأ العدالة والكفاءة"" أنه في عملية إسناد وتطبيق نتائج البحث والتطوير ودخلها، يجب أن تؤخذ في الاعتبار نسبة رأس المال والعمالة المستثمرة والمساهمة في البحث الشامل، وكذلك مثل طبيعة نتائج البحث العلمي والتكنولوجي وإمكانات التطبيق والرفاهية الاجتماعية والأمن القومي والتأثير على السوق. ويعني ذلك أنه عند التعامل مع هذه القضايا، يجب علينا أن نفعل ذلك بشكل عادل وبما يخدم مصلحة جميع الأطراف."
389,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,هل تنص هذه الطريقة على طريقة توزيع الدخل للنتائج؟,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw",نعم، تشير المقاييس إلى أن إسناد واستخدام النتائج ودخلها يجب أن يستند إلى مبادئ العدالة والكفاءة، مع مراعاة نسبة ومساهمة خدمات رأس المال والعمل. وفي الوقت نفسه، يجب تخطيط وصياغة تدابير توزيع الأرباح والتجنب والمسائل الأخرى بشكل موحد من قبل اليوان التنفيذي. يمكن تخصيص الجزء التابع للأكاديمية الصينية لصندوق البحث العلمي حسب ميزانية الوحدة التابعة لها.
390,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,هل يشمل هذا الإجراء إدارة حقوق الملكية الفكرية؟,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw",نعم، تهدف هذه الطريقة إلى الإدارة الفعالة للبحث والتطوير العلمي والتكنولوجي الذي تجريه أكاديميا سينيكا، بما في ذلك حقوق الملكية الفكرية والدخل من النتائج.
391,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,كيف يمكن التأكد من أن نتائج البحث والتطوير العلمي والتكنولوجي يمكن أن تساهم في الرفاه الاجتماعي أو الأمن القومي؟,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw",وفقًا للمادة 6، الفقرة 3 من القانون الأساسي للعلوم والتكنولوجيا، يجب مراعاة طبيعة نتائج البحث والتطوير العلمية والتكنولوجية وإمكانات تطبيقها وتأثيرها على الرفاه الاجتماعي والأمن القومي، وتأثيرها على السوق. كل هذه الأمور تم تخطيطها وصياغتها من قبل اليوان التنفيذي. بمعنى آخر، يجب مراجعة وتخطيط الغرض والمتطلبات والموعد النهائي والنطاق والنسبة وطرق الإدارة وما إلى ذلك من قبل اليوان التنفيذي للتأكد من أنها يمكن أن تساهم في الرفاه الاجتماعي أو الأمن القومي. وبالإضافة إلى ذلك، يجوز لكل سلطة مختصة أيضًا صياغة القوانين واللوائح ذات الصلة لتنفيذ هذا الحكم.
392,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,ما هي اللوائح ذات الصلة التي يتعين على السلطات المختصة المختلفة اتباعها عند تنفيذ هذا الإجراء؟,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw",عند تنفيذ هذا الإجراء، تشمل اللوائح ذات الصلة التي يجب على السلطات المختصة المختلفة اتباعها، المادة 6، الفقرة 3، والمادة 13، الفقرة 4 من القانون الأساسي للعلوم والتكنولوجيا، بالإضافة إلى اللوائح المتعلقة بملكية واستخدام المعرفة العلمية. ونتائج البحث والتطوير التكنولوجي لأكاديمية سينيكا.
393,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,ولابد من تخصيص جزء من نتائج البحث والتطوير التي تقوم بها أكاديميا سينيكا ودخلها للصندوق الوطني لتنمية العلوم والتكنولوجيا. فماذا ينبغي لنا أن نفعل بالجزء المتبقي؟,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw",أما الجزء المتبقي فسيعود إلى أكاديميا سينيكا نفسها. وسوف يتبعون اللوائح ذات الصلة ويستخدمون الأموال للبحث العلمي والتطوير. ويشمل ذلك أيضًا إدارة وتطبيق حقوق الملكية الفكرية الخاصة بهم، بالإضافة إلى الإيرادات الأخرى من البحث والتطوير.
394,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,"ما الذي تشير إليه ""تدابير إسناد واستخدام نتائج البحث والتطوير العلمي والتكنولوجي لأكاديمية سينيكا""؟",أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw","تشير ""طرق إسناد واستخدام نتائج البحث والتطوير العلمي والتكنولوجي لأكاديميا سينيكا"" إلى المعرفة والتقنيات والأعمال المختلفة التي ينتجها موظفو أكاديميا سينيكا نتيجة لعملهم، بالإضافة إلى المنتجات وتخطيطات الدوائر المتكاملة، برامج الكمبيوتر والمنتجات التجارية المنتجة داخل الأكاديمية، السرية والمعرفة المهنية والبيانات الفنية الأخرى، بالإضافة إلى حقوق براءات الاختراع المحلية والأجنبية التي تم الحصول عليها من خلال ذلك، ومنشورات Academia Sinica، وحقوق الملكية الفكرية الأخرى وجميع الحقوق المشتقة. كما أنه مسؤول عن إدارة واستخدام نتائج البحث والتطوير هذه، بما في ذلك الاستشارات ذات الصلة، والتشاور، والمراجعة، والتطبيق، والإيرادات، والاستخدام، ونقل التكنولوجيا، وترخيص الاستخدام، والتعيين، والثقة، والاستشارات القضائية، والصيانة، وما إلى ذلك. تمت صياغة أساليب إدارة واستخدام منشورات Academia Sinica بشكل منفصل. أما هياكل الدوائر المتكاملة وبرامج الحاسوب والأعمال المشتقة منها مثل الأدلة والتعليمات فيتم التعامل معها وفق هذا الأسلوب. سيتم أيضًا التعامل مع حقوق الملكية الفكرية التي تبرعت بها Academia Sinica أو استضافتها وفقًا لهذه الطريقة."
395,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,"ما الذي تتضمنه بالضبط ""نتائج البحث والتطوير"" في هذا النهج؟",أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw","تشمل ""نتائج البحث والتطوير"" في هذه الطريقة المعرفة والتكنولوجيا والأعمال التي ينتجها عمل موظفي Academia Sinica والمنتجات المنتجة في المعهد. يتضمن أيضًا تخطيط الدوائر المتكاملة وبرامج الكمبيوتر والأسرار التجارية والمعرفة المهنية والمعلومات التقنية الأخرى. بالإضافة إلى ذلك، يتم أيضًا تضمين حقوق براءات الاختراع المحلية والأجنبية ومنشورات Academia Sinica وحقوق الملكية الفكرية الأخرى وجميع الحقوق المشتقة التي حصلت عليها."
396,لوائح الملكية الفكرية,إسناد وتطبيق أساليب البحث العلمي والتكنولوجي ونتائج التطوير لأكاديمية سينيكا,ما هي العمليات المتضمنة في إدارة وتطبيق نتائج البحث والتطوير؟,أكاديمي,https://iptt.sinica.edu.tw/pages/1292,"قسم الملكية الفكرية، أكاديميا سينيكا
2787-2554
ip@gate.sinica.edu.tw",هناك العديد من العمليات المختلفة لإدارة واستخدام نتائج البحث والتطوير، بما في ذلك التفاوض، والتشاور، والمراجعة، والتطبيق، والدخل، والاستخدام، ونقل التكنولوجيا، وترخيص الاستخدام، والتعيين، والثقة، والاستشارات القضائية، والصيانة، وما يتعلق بحقوق نتائج البحث والتطوير. .أمور أخرى ذات صلة.
