index,category,title,question,group,url,contact,answer
387,Vorschriften zum geistigen Eigentum,Zuordnung und Anwendungsmethoden wissenschaftlicher und technologischer Forschungs- und Entwicklungsergebnisse der Academia Sinica,Wie werden die Eigentums- und Nutzungsmodalitäten der wissenschaftlichen und technologischen Forschungs- und Entwicklungsergebnisse der Academia Sinica im Wesentlichen geregelt?,akademisch,https://iptt.sinica.edu.tw/pages/1292,"Abteilung für geistiges Eigentum, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Diese Verordnung beschreibt hauptsächlich, wie die Academia Sinica ihr Budget und ihre Einnahmen für technologische Forschung und Entwicklung verwaltet. Sie richten sich nach den Artikeln 6 und 13 des Grundgesetzes für Wissenschaft und Technik. Dabei geht es vor allem darum, wie wissenschaftliche Forschungsergebnisse und -vorteile fair und effektiv genutzt werden können, unter Berücksichtigung der Art der Forschung, des Anwendungspotenzials, des sozialen Wohlergehens, der nationalen Sicherheit und der Auswirkungen auf den Markt. Die Forschungsergebnisse und Einnahmen der Academia Sinica müssen nicht nur dem Nationalen Fonds für wissenschaftliche und technologische Entwicklung zugewiesen werden, sondern verbleiben auch bei der Academia Sinica und werden dann auf ähnliche Weise wie die Budgets der angeschlossenen Einheiten wissenschaftlichen Forschungsfonds zugewiesen."
388,Vorschriften zum geistigen Eigentum,Zuordnung und Anwendungsmethoden wissenschaftlicher und technologischer Forschungs- und Entwicklungsergebnisse der Academia Sinica,Was bedeutet der im Grundgesetz für Wissenschaft und Technik erwähnte „Grundsatz der Gerechtigkeit und Effizienz“?,akademisch,https://iptt.sinica.edu.tw/pages/1292,"Abteilung für geistiges Eigentum, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Das Konzept des „Prinzips der Gerechtigkeit und Effizienz“ bedeutet, dass bei der Zuordnung und Anwendung von Forschungs- und Entwicklungsergebnissen und deren Erträgen auch der Anteil des investierten Kapitals und der Arbeit sowie der Beitrag zur Gesamtforschung berücksichtigt werden müssen B. die Art der wissenschaftlichen und technologischen Forschungsergebnisse, Anwendungspotenzial, soziale Wohlfahrt, nationale Sicherheit und Auswirkungen auf den Markt. Das bedeutet, dass wir bei der Behandlung dieser Probleme fair und im Interesse aller Parteien vorgehen müssen."
389,Vorschriften zum geistigen Eigentum,Zuordnung und Anwendungsmethoden wissenschaftlicher und technologischer Forschungs- und Entwicklungsergebnisse der Academia Sinica,Legt diese Methode die Einkommensverteilungsmethode der Ergebnisse fest?,akademisch,https://iptt.sinica.edu.tw/pages/1292,"Abteilung für geistiges Eigentum, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Ja, in den Maßnahmen wird erwähnt, dass die Zuordnung und Verwendung von Ergebnissen und deren Einnahmen auf den Grundsätzen der Gerechtigkeit und Effizienz basieren sollte, wobei der Anteil und der Beitrag von Kapital und Arbeitsleistungen berücksichtigt werden sollten. Gleichzeitig werden Maßnahmen zur Gewinnverteilung, Vermeidung und anderen Angelegenheiten vom Exekutiv-Yuan einheitlich geplant und formuliert. Der zur Academia Sinica gehörende Teil kann entsprechend dem Budget der angeschlossenen Einheit dem wissenschaftlichen Forschungsfonds zugewiesen werden."
390,Vorschriften zum geistigen Eigentum,Zuordnung und Anwendungsmethoden wissenschaftlicher und technologischer Forschungs- und Entwicklungsergebnisse der Academia Sinica,Betrifft diese Maßnahme die Verwaltung geistiger Eigentumsrechte?,akademisch,https://iptt.sinica.edu.tw/pages/1292,"Abteilung für geistiges Eigentum, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Ja, diese Methode dient der effektiven Verwaltung der von der Academia Sinica durchgeführten wissenschaftlichen und technologischen Forschung und Entwicklung, einschließlich der geistigen Eigentumsrechte und der Einnahmen aus den Ergebnissen."
391,Vorschriften zum geistigen Eigentum,Zuordnung und Anwendungsmethoden wissenschaftlicher und technologischer Forschungs- und Entwicklungsergebnisse der Academia Sinica,"Wie kann sichergestellt werden, dass die Ergebnisse wissenschaftlicher und technologischer Forschung und Entwicklung zum sozialen Wohlergehen oder zur nationalen Sicherheit beitragen können?",akademisch,https://iptt.sinica.edu.tw/pages/1292,"Abteilung für geistiges Eigentum, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Nach Art. 6 Abs. 3 des Grundgesetzes für Wissenschaft und Technik sind Art, Anwendungspotenzial, Auswirkungen wissenschaftlicher und technischer Forschungs- und Entwicklungsergebnisse auf die soziale Wohlfahrt und die nationale Sicherheit sowie deren Auswirkungen auf den Markt zu berücksichtigen. Diese werden alle vom Exekutiv-Yuan geplant und formuliert. Mit anderen Worten: Zweck, Anforderungen, Frist, Umfang, Anteil, Managementmethoden usw. dieser Errungenschaften müssen vom Exekutiv-Yuan überprüft und geplant werden, um sicherzustellen, dass sie zum sozialen Wohlergehen oder zur nationalen Sicherheit beitragen können. Darüber hinaus kann jede zuständige Behörde auch entsprechende Gesetze und Verordnungen zur Umsetzung dieser Bestimmung erlassen."
392,Vorschriften zum geistigen Eigentum,Zuordnung und Anwendungsmethoden wissenschaftlicher und technologischer Forschungs- und Entwicklungsergebnisse der Academia Sinica,Welche relevanten Vorschriften müssen die verschiedenen zuständigen Behörden bei der Umsetzung dieser Maßnahme beachten?,akademisch,https://iptt.sinica.edu.tw/pages/1292,"Abteilung für geistiges Eigentum, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Zu den einschlägigen Vorschriften, die die verschiedenen zuständigen Behörden bei der Umsetzung dieser Maßnahme beachten müssen, zählen unter anderem Artikel 6 Absatz 3 und Artikel 13 Absatz 4 des Grundgesetzes für Wissenschaft und Technik sowie die Vorschriften über den Besitz und die Nutzung wissenschaftlicher Daten und technologische Forschungs- und Entwicklungsergebnisse der Academia Sinica. Vorschriften."
393,Vorschriften zum geistigen Eigentum,Zuordnung und Anwendungsmethoden wissenschaftlicher und technologischer Forschungs- und Entwicklungsergebnisse der Academia Sinica,Ein Teil der Forschungs- und Entwicklungsergebnisse und der Einnahmen der Academia Sinica muss dem Nationalen Fonds für Wissenschaft und Technologieentwicklung zugewiesen werden. Was soll also mit dem verbleibenden Teil geschehen?,akademisch,https://iptt.sinica.edu.tw/pages/1292,"Abteilung für geistiges Eigentum, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw",Der verbleibende Teil wird der Academia Sinica selbst gehören. Sie werden entsprechende Vorschriften befolgen und das Geld für wissenschaftliche Forschung und Entwicklung verwenden. Hierzu zählen auch die Verwaltung und Verwertung eigener Immaterialgüterrechte sowie sonstige Einkünfte aus Forschung und Entwicklung.
394,Vorschriften zum geistigen Eigentum,Zuordnung und Anwendungsmethoden wissenschaftlicher und technologischer Forschungs- und Entwicklungsergebnisse der Academia Sinica,Worauf bezieht sich „Maßnahmen zur Zuordnung und Nutzung der wissenschaftlichen und technologischen Forschungs- und Entwicklungsergebnisse der Academia Sinica“?,akademisch,https://iptt.sinica.edu.tw/pages/1292,"Abteilung für geistiges Eigentum, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","„Methoden zur Zuordnung und Nutzung der wissenschaftlichen und technologischen Forschungs- und Entwicklungsergebnisse der Academia Sinica“ bezieht sich auf die verschiedenen Kenntnisse, Technologien und Arbeiten, die das Personal der Academia Sinica als Ergebnis ihrer Arbeit hervorbringt, sowie auf die Produkte, integrierten Schaltkreislayouts, Computersoftware und kommerzielle Produkte, die innerhalb der Akademie hergestellt werden. Vertraulichkeit, Fachwissen und andere technische Daten sowie dadurch erworbene inländische und ausländische Patentrechte, Veröffentlichungen der Academia Sinica und andere geistige Eigentumsrechte und alle abgeleiteten Rechte. Es ist auch für die Verwaltung und Nutzung dieser F&E-Ergebnisse verantwortlich, einschließlich der damit verbundenen Beratung, Beratung, Überprüfung, Anwendung, Einnahmen, Nutzung, Technologietransfer, Nutzungsgenehmigung, Ernennung, Treuhand, Beratung bei Rechtsstreitigkeiten, Wartung usw. Die Verwaltungs- und Nutzungsmethoden der Publikationen der Academia Sinica werden gesondert dargelegt. Integrierte Schaltkreisstrukturen, Computersoftware und abgeleitete Werke wie Handbücher und Anleitungen werden nach dieser Methode gehandhabt. Auch geistige Eigentumsrechte, die von der Academia Sinica gespendet oder gehostet werden, werden nach dieser Methode behandelt."
395,Vorschriften zum geistigen Eigentum,Zuordnung und Anwendungsmethoden wissenschaftlicher und technologischer Forschungs- und Entwicklungsergebnisse der Academia Sinica,Was genau beinhalten die „Forschungs- und Entwicklungsergebnisse“ in diesem Ansatz?,akademisch,https://iptt.sinica.edu.tw/pages/1292,"Abteilung für geistiges Eigentum, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Zu den „Forschungs- und Entwicklungsergebnissen“ dieser Methode gehören das Wissen, die Technologie, die durch die Arbeit des Personals der Academia Sinica hervorgebrachten Arbeiten und die im Institut hergestellten Produkte. Dazu gehören auch das Layout integrierter Schaltkreise, Computersoftware, Geschäftsgeheimnisse, Fachwissen und andere technische Informationen. Darüber hinaus sind auch in- und ausländische Patentrechte, Veröffentlichungen der Academia Sinica, andere geistige Eigentumsrechte und alle daraus erworbenen abgeleiteten Rechte enthalten."
396,Vorschriften zum geistigen Eigentum,Zuordnung und Anwendungsmethoden wissenschaftlicher und technologischer Forschungs- und Entwicklungsergebnisse der Academia Sinica,Welche Prozesse sind in die Verwaltung und Anwendung von F&E-Ergebnissen einbezogen?,akademisch,https://iptt.sinica.edu.tw/pages/1292,"Abteilung für geistiges Eigentum, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Es gibt viele verschiedene Prozesse für die Verwaltung und Nutzung von F&E-Ergebnissen, einschließlich Verhandlung, Beratung, Prüfung, Antragstellung, Einkommen, Nutzung, Technologietransfer, Nutzungsgenehmigung, Ernennung, Treuhand, Rechtsberatung, Wartung und im Zusammenhang mit den Rechten an F&E-Ergebnissen . Andere damit zusammenhängende Angelegenheiten."
