index,category,title,question,group,url,contact,answer
387,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,How are the ownership and utilization methods of Academia Sinica’s scientific and technological research and development results mainly stipulated?,academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","This regulation mainly describes how Academia Sinica manages their budget and revenue for technological research and development. They are regulated in accordance with Articles 6 and 13 of the Basic Law of Science and Technology. This can mainly discusses how to use scientific research results and benefits fairly and effectively, taking into account the nature of the research, application potential, social welfare, national security and impact on the market. In addition to needing to be allocated to the National Science and Technology Development Fund, the research results and income of Academia Sinica will remain within Academia Sinica and then be allocated to scientific research funds in a manner similar to the budget of affiliated units."
388,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"What does the ""principle of fairness and efficiency"" mentioned in the Basic Law of Science and Technology mean?",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","The concept of ""principle of fairness and efficiency"" means that in the process of attribution and application of research and development results and their income, the proportion of capital and labor invested and the contribution to the overall research must be taken into consideration, as well as the nature of the scientific and technological research results. , application potential, social welfare, national security and impact on the market. It means that when dealing with these issues, we must do it fairly and in the interests of all parties."
389,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,Does this method stipulate the income distribution method of results?,academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Yes, the measures mention that the attribution and use of results and their income should be based on the principles of fairness and efficiency, taking into account the proportion and contribution of capital and labor services. At the same time, measures for profit distribution, avoidance and other matters shall be uniformly planned and formulated by the Executive Yuan. The part belonging to the Academia Sinica can be allocated to the scientific research fund according to the budget of the affiliated unit."
390,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,Does this measure involve the management of intellectual property rights?,academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Yes, this method is to effectively manage the scientific and technological research and development conducted by the Academia Sinica, including the intellectual property rights and income from the results."
391,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,How to ensure that the results of scientific and technological research and development can contribute to social welfare or national security?,academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","According to Article 6, Paragraph 3 of the Basic Law of Science and Technology, the nature, application potential, impact on social welfare and national security of scientific and technological research and development results, and their impact on the market must be considered. These are all planned and formulated by the Executive Yuan. In other words, the purpose, requirements, deadline, scope, proportion, management methods, etc. of these achievements must be reviewed and planned by the Executive Yuan to ensure that they can contribute to social welfare or national security. In addition, each competent authority may also formulate relevant laws and regulations to implement this provision."
392,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,What are the relevant regulations that different competent authorities need to follow when implementing this measure?,academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","When implementing this measure, the relevant regulations that different competent authorities need to follow include Article 6, paragraph 3, and Article 13, paragraph 4, of the Basic Law of Science and Technology, as well as the regulations on the ownership and use of scientific and technological research and development results of Academia Sinica. Regulations."
393,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,Part of Academia Sinica’s research and development results and its income must be allocated to the National Science and Technology Development Fund. So what should be done with the remaining part?,academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","The remaining part will belong to Academia Sinica itself. They will follow corresponding regulations and use the money for scientific research and development. This also includes the management and application of their own intellectual property rights, as well as other income from research and development."
394,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"What does ""Measures for the Attribution and Utilization of Academia Sinica's Scientific and Technological Research and Development Results"" refer to?",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","""Methods for the Attribution and Utilization of Academia Sinica's Scientific and Technological Research and Development Results"" refers to the various knowledge, technologies, and works produced by Academia Sinica personnel as a result of their work, as well as the products, integrated circuit layouts, computer software, and commercial products produced within the academy. Confidentiality, professional knowledge and other technical data, as well as domestic and foreign patent rights obtained thereby, publications of Academia Sinica, and other intellectual property rights and all derivative rights. It is also responsible for managing and utilizing these R&D results, including related consultation, consultation, review, application, revenue, utilization, technology transfer, use authorization, appointment, trust, litigation consultation, maintenance, etc. The management and utilization methods of Academia Sinica’s publications are separately formulated. As for integrated circuit structures, computer software and derivative works such as manuals and instructions, they are handled according to this method. Intellectual property rights donated or hosted by Academia Sinica will also be handled according to this method."
395,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,"What exactly does the ""research and development results"" in this approach include?",academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","The ""research and development results"" in this method include the knowledge, technology, works produced by the work of Academia Sinica personnel and the products produced in the institute. Also includes integrated circuit layout, computer software, trade secrets, professional knowledge and other technical information. In addition, domestic and foreign patent rights, publications of Academia Sinica, other intellectual property rights and all derivative rights obtained by them are also included."
396,intellectual property regulations,Attribution and application methods of scientific and technological research and development results of Academia Sinica,What processes are included in the management and application of R&D results?,academic,https://iptt.sinica.edu.tw/pages/1292,"Intellectual Property Division, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","There are many different processes for the management and use of R&D results, including negotiation, consultation, review, application, income, utilization, technology transfer, use authorization, appointment, trust, litigation consultation, maintenance, and related to the rights of R&D results. Other related matters."
