index,category,title,question,group,url,contact,answer
387,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,Bagaimana tata cara kepemilikan dan pemanfaatan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica pada dasarnya ditetapkan?,akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Peraturan ini terutama menjelaskan bagaimana Academia Sinica mengelola anggaran dan pendapatannya untuk penelitian dan pengembangan teknologi. Hal tersebut diatur sesuai dengan Pasal 6 dan 13 Undang-Undang Dasar Ilmu Pengetahuan dan Teknologi. Hal ini terutama membahas bagaimana memanfaatkan hasil dan manfaat penelitian ilmiah secara adil dan efektif, dengan mempertimbangkan sifat penelitian, potensi penerapan, kesejahteraan sosial, keamanan nasional dan dampaknya terhadap pasar. Selain perlu dialokasikan ke Dana Pengembangan Sains dan Teknologi Nasional, hasil penelitian dan pendapatan Academia Sinica akan tetap berada di dalam Academia Sinica dan kemudian dialokasikan ke dana penelitian ilmiah dengan cara yang serupa dengan anggaran unit afiliasi."
388,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,Apa yang dimaksud dengan “asas keadilan dan efisiensi” yang disebutkan dalam Undang-Undang Dasar Ilmu Pengetahuan dan Teknologi?,akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Yang dimaksud dengan “asas keadilan dan efisiensi” adalah bahwa dalam proses atribusi dan penerapan hasil penelitian dan pengembangan serta pendapatannya, proporsi modal dan tenaga kerja yang ditanamkan serta kontribusi terhadap keseluruhan penelitian juga harus diperhatikan. seperti sifat hasil penelitian ilmu pengetahuan dan teknologi, potensi penerapan, kesejahteraan sosial, keamanan nasional dan dampaknya terhadap pasar. Artinya, dalam menangani permasalahan tersebut, kita harus melakukannya secara adil dan demi kepentingan semua pihak."
389,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,Apakah metode ini menetapkan metode pembagian pendapatan dari hasil?,akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Ya, langkah-langkah tersebut menyebutkan bahwa atribusi dan penggunaan hasil dan pendapatannya harus didasarkan pada prinsip keadilan dan efisiensi, dengan mempertimbangkan proporsi dan kontribusi modal dan jasa tenaga kerja. Pada saat yang sama, tindakan-tindakan untuk distribusi keuntungan, penghindaran dan hal-hal lain harus direncanakan dan dirumuskan secara seragam oleh Eksekutif Yuan. Bagian milik Academia Sinica dapat dialokasikan untuk dana penelitian ilmiah sesuai anggaran unit afiliasi."
390,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,Apakah tindakan ini melibatkan pengelolaan hak kekayaan intelektual?,akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Ya, cara ini untuk mengelola secara efektif penelitian dan pengembangan ilmu pengetahuan dan teknologi yang dilakukan oleh Academia Sinica, termasuk hak kekayaan intelektual dan pendapatan dari hasilnya."
391,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,Bagaimana memastikan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi dapat berkontribusi terhadap kesejahteraan sosial atau keamanan nasional?,akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Menurut Pasal 6 Ayat 3 Undang-Undang Dasar Ilmu Pengetahuan dan Teknologi, sifat, potensi penerapan, dampak terhadap kesejahteraan sosial dan keamanan nasional hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi, serta dampaknya terhadap pasar harus diperhatikan. Ini semua direncanakan dan dirumuskan oleh Eksekutif Yuan. Dengan kata lain, tujuan, persyaratan, tenggat waktu, ruang lingkup, proporsi, metode pengelolaan, dan lain-lain dari pencapaian tersebut harus ditinjau dan direncanakan oleh Eksekutif Yuan untuk memastikan bahwa pencapaian tersebut dapat berkontribusi pada kesejahteraan sosial atau keamanan nasional. Selain itu, setiap otoritas yang berwenang juga dapat merumuskan peraturan perundang-undangan yang relevan untuk melaksanakan ketentuan ini."
392,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,Peraturan relevan apa yang perlu dipatuhi oleh berbagai otoritas yang berwenang ketika menerapkan tindakan ini?,akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Dalam melaksanakan tindakan ini, peraturan terkait yang harus dipatuhi oleh berbagai otoritas yang berwenang mencakup Pasal 6 ayat 3 dan Pasal 13 ayat 4 Undang-Undang Dasar Ilmu Pengetahuan dan Teknologi, serta peraturan tentang kepemilikan dan penggunaan ilmu pengetahuan. dan hasil penelitian dan pengembangan teknologi Academia Sinica Peraturan."
393,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,"Hasil penelitian dan pengembangan Academia Sinica dan pendapatannya sebagian harus dialokasikan ke Dana Pengembangan Sains dan Teknologi Nasional, lalu apa yang harus dilakukan dengan sisanya?",akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Sisanya akan menjadi milik Academia Sinica sendiri. Mereka akan mengikuti peraturan terkait dan menggunakan uang tersebut untuk penelitian dan pengembangan ilmiah. Hal ini juga mencakup pengelolaan dan penerapan hak kekayaan intelektual mereka sendiri, serta pendapatan lain dari penelitian dan pengembangan."
394,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,"Apa yang dimaksud dengan ""Langkah-Langkah Atribusi dan Pemanfaatan Hasil Penelitian dan Pengembangan Ilmiah dan Teknologi Academia Sinica""?",akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Yang dimaksud dengan “Metode Atribusi dan Pemanfaatan Hasil Penelitian dan Pengembangan Ilmiah dan Teknologi Academia Sinica” mengacu pada berbagai ilmu pengetahuan, teknologi, dan karya yang dihasilkan oleh personel Academia Sinica sebagai hasil karyanya, serta produk, tata letak sirkuit terpadu, perangkat lunak komputer, dan produk komersial yang diproduksi di akademi.Kerahasiaan, pengetahuan profesional dan data teknis lainnya, serta hak paten dalam dan luar negeri yang diperoleh, publikasi Academia Sinica, dan hak kekayaan intelektual lainnya serta semua hak turunan. Ia juga bertanggung jawab untuk mengelola dan memanfaatkan hasil Litbang ini, termasuk konsultasi terkait, konsultasi, peninjauan, penerapan, pendapatan, pemanfaatan, transfer teknologi, otorisasi penggunaan, penunjukan, kepercayaan, konsultasi litigasi, pemeliharaan, dll. Metode pengelolaan dan pemanfaatan publikasi Academia Sinica dirumuskan secara terpisah. Sedangkan untuk struktur sirkuit terpadu, perangkat lunak komputer dan karya turunannya seperti manual dan instruksi ditangani sesuai dengan metode ini. Hak kekayaan intelektual yang disumbangkan atau dihosting oleh Academia Sinica juga akan ditangani sesuai dengan metode ini."
395,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,Apa sebenarnya yang termasuk dalam “hasil penelitian dan pengembangan” dalam pendekatan ini?,akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Yang dimaksud dengan “hasil penelitian dan pengembangan” dalam metode ini meliputi ilmu pengetahuan, teknologi, karya yang dihasilkan oleh karya personel Academia Sinica dan produk yang dihasilkan di lembaga tersebut. Juga mencakup tata letak sirkuit terpadu, perangkat lunak komputer, rahasia dagang, pengetahuan profesional, dan informasi teknis lainnya. Selain itu, hak paten dalam dan luar negeri, publikasi Academia Sinica, hak kekayaan intelektual lainnya, dan semua hak turunan yang diperolehnya juga disertakan."
396,peraturan kekayaan intelektual,Metode atribusi dan penerapan hasil penelitian dan pengembangan ilmu pengetahuan dan teknologi Academia Sinica,Proses apa saja yang termasuk dalam pengelolaan dan penerapan hasil penelitian dan pengembangan?,akademik,https://iptt.sinica.edu.tw/pages/1292,"Divisi Kekayaan Intelektual, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Ada banyak proses berbeda untuk pengelolaan dan penggunaan hasil Litbang, termasuk negosiasi, konsultasi, peninjauan, penerapan, pendapatan, pemanfaatan, transfer teknologi, otorisasi penggunaan, penunjukan, kepercayaan, konsultasi litigasi, pemeliharaan, dan terkait dengan hak hasil Litbang. .Hal-hal terkait lainnya."
