index,category,title,question,group,url,contact,answer
387,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,中央研究院の科学技術研究開発成果の所有権や利用方法は主にどのように規定されていますか？,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",この規定は主に、中央研究院が技術研究開発の予算と収益をどのように管理するかについて説明しています。これらは科学技術基本法第 6 条および第 13 条に基づいて規制されています。これは主に、研究の性質、応用の可能性、社会福祉、国家安全保障、市場への影響を考慮して、科学研究の結果と利益を公平かつ効果的に使用する方法について議論します。国家科学技術発展基金に配分する必要があることに加えて、中央研究院の研究成果と収入は中央研究院内に留まり、所属部門の予算と同様の方法で科学研究費に配分されます。
388,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,科学技術基本法にある「公平性と効率性の原則」とは何を意味するのでしょうか？,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",「公平性と効率性の原則」とは、研究開発の成果とその収益の帰属と活用の過程において、投資された資本と労働の割合、研究全体への貢献も考慮しなければならないことを意味します。科学技術研究成果の性質、応用可能性、社会福祉、国家安全保障、市場への影響など。これは、これらの問題に対処する際には、すべての当事者の利益を考慮して公平に対処しなければならないことを意味します。
389,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,この方法は成果の収益分配方法を規定しているのでしょうか？,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",はい、この措置では、結果とその収入の帰属と使用は、資本と労働サービスの割合と寄与を考慮して、公平性と効率性の原則に基づくべきであると述べられています。同時に、利益の分配、回避等の措置は行政院が統一的に計画、策定するものとする。中央研究院に属する部分は、所属部門の予算に応じて科学研究費に配分することができます。
390,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,この措置には知的財産権の管理も含まれますか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",はい、この方法は、中央研究院が実施する科学技術の研究開発を、知的財産権や成果から得られる収入も含めて効果的に管理するためのものです。
391,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,科学技術の研究開発の成果を社会福祉や国家安全保障にどう貢献していくか。,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",科学技術基本法第6条第3項によれば、科学技術の研究開発成果の性質、応用可能性、社会福祉及び国家安全保障への影響、市場への影響を考慮しなければならないとされている。これらはすべて行政院が計画し策定したものである。言い換えれば、これらの成果の目的、要件、期限、範囲、割合、管理方法などは、社会福祉または国家安全保障に確実に貢献できるように行政院によって検討され、計画されなければなりません。さらに、各管轄当局は、この規定を実施するために関連する法律および規制を制定することもあります。
392,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,この措置を実施する際に、さまざまな管轄当局が従う必要がある関連規制は何ですか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",この措置を実施する際に、各所管官庁が従う必要がある関連規制には、科学技術基本法第 6 条第 3 項、第 13 条第 4 項、および科学的資料の所有および使用に関する規制が含まれます。および中央研究院の技術研究開発成果。
393,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,中央研究院の研究開発成果とその収入の一部は国家科学技術発展基金に充当されなければなりませんが、残りはどうすればよいのでしょうか？,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",残りの部分は中央研究院自体に属します。彼らは対応する規制に従い、その資金を科学研究開発に使用します。これには、自社の知的財産権の管理と適用、および研究開発からのその他の収入も含まれます。
394,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,「中央研究院の科学技術研究開発成果の帰属と活用に関する措置」とは何を指すのですか？,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",「中央研究院の科学技術研究開発成果の帰属と利用方法」とは、中央研究院の職員が業務の結果生み出したさまざまな知識、技術、著作物、製品、集積回路レイアウト、コンピュータソフトウェア、学内で生産された商用製品、機密保持、専門的知識およびその他の技術データ、ならびにそれらによって取得された国内外の特許権、中央研究院の刊行物、その他の知的財産権およびすべての派生的権利。また、関連する相談、協議、審査、申請、収益、活用、技術移転、使用認可、任命、信託、訴訟相談、保守等を含む研究開発成果の管理・活用を担う。中央研究院の出版物の管理および利用方法は別途定められています。集積回路の構造物、コンピュータソフトウェア、およびマニュアルや説明書などの派生著作物については、この方法に従って取り扱われます。中央研究院が寄贈または主催する知的財産権もこの方法に従って処理されます。
395,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,この考え方における「研究開発成果」とは具体的に何を指すのでしょうか？,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",この方法における「研究開発の成果」には、中央研究院の職員の知識、技術、成果物、研究所内で生産された製品が含まれます。集積回路のレイアウト、コンピューター ソフトウェア、企業秘密、専門知識、その他の技術情報も含まれます。また、国内外の特許権、中央研究院の出版物、その他の知的財産権およびそれらから取得した一切の派生的権利も含まれます。
396,知的財産規制,中央研究院の科学技術研究開発成果の帰属と活用方法,研究開発成果の管理・活用にはどのようなプロセスが含まれますか?,アカデミック,https://iptt.sinica.edu.tw/pages/1292,"中央研究院知的財産局
2787-2554
ip@gate.sinica.edu.tw",研究開発成果の管理・利用には、交渉、協議、審査、申請、収入、利用、技術移転、利用認可、任命、信託、訴訟相談、維持、研究開発成果の権利関係など、さまざまなプロセスがあります。 . その他関連事項。
