index,category,title,question,group,url,contact,answer
387,норми інтелектуальної власності,Атрибуція та методи застосування результатів науково-технічних досліджень і розробок Academia Sinica,Як в основному визначаються права власності та методи використання результатів наукових і технологічних досліджень і розробок Academia Sinica?,академічний,https://iptt.sinica.edu.tw/pages/1292,"Відділ інтелектуальної власності, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Це положення в основному описує, як Academia Sinica управляє своїм бюджетом і доходами для технологічних досліджень і розробок. Вони регулюються відповідно до статей 6 і 13 Основного закону про науку і технології. В основному йдеться про те, як справедливо й ефективно використовувати результати наукових досліджень і переваги, беручи до уваги характер дослідження, потенціал застосування, соціальне добробут, національну безпеку та вплив на ринок. Крім того, що результати досліджень і доходи Academia Sinica будуть передані до Національного фонду розвитку науки і технологій, вони залишаться в межах Academia Sinica, а потім розподілятимуться до фондів наукових досліджень у спосіб, подібний до бюджету афілійованих підрозділів."
388,норми інтелектуальної власності,Атрибуція та методи застосування результатів науково-технічних досліджень і розробок Academia Sinica,"Що означає «принцип справедливості та ефективності», згаданий в Основному законі про науку і технології?",академічний,https://iptt.sinica.edu.tw/pages/1292,"Відділ інтелектуальної власності, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Концепція «принцип справедливості та ефективності» означає, що в процесі віднесення та застосування результатів досліджень і розробок та їх доходу також має враховуватися частка інвестованого капіталу та праці та внесок у загальне дослідження, як характер результатів науково-технічних досліджень, потенціал застосування, суспільний добробут, національна безпека та вплив на ринок. Це означає, що вирішуючи ці питання, ми повинні робити це чесно та в інтересах усіх сторін."
389,норми інтелектуальної власності,Атрибуція та методи застосування результатів науково-технічних досліджень і розробок Academia Sinica,Чи передбачає цей метод метод розподілу доходу за результатами?,академічний,https://iptt.sinica.edu.tw/pages/1292,"Відділ інтелектуальної власності, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Так, у заходах зазначається, що віднесення та використання результатів і доходу від них має ґрунтуватися на принципах справедливості та ефективності, беручи до уваги частку та внесок капіталу та трудових послуг. У той же час заходи щодо розподілу прибутку, уникнення та інші питання повинні бути однаково сплановані та сформульовані виконавчим юанем. Частина, що належить Academia Sinica, може бути виділена у фонд наукових досліджень відповідно до бюджету дочірнього підрозділу."
390,норми інтелектуальної власності,Атрибуція та методи застосування результатів науково-технічних досліджень і розробок Academia Sinica,Чи передбачає цей захід управління правами інтелектуальної власності?,академічний,https://iptt.sinica.edu.tw/pages/1292,"Відділ інтелектуальної власності, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Так, цей метод призначений для ефективного управління науково-технічними дослідженнями та розробками, які проводить Academia Sinica, включаючи права інтелектуальної власності та доходи від результатів."
391,норми інтелектуальної власності,Атрибуція та методи застосування результатів науково-технічних досліджень і розробок Academia Sinica,"Як забезпечити, щоб результати науково-технічних досліджень і розробок могли сприяти соціальному добробуту чи національній безпеці?",академічний,https://iptt.sinica.edu.tw/pages/1292,"Відділ інтелектуальної власності, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Відповідно до частини 3 статті 6 Основного закону про науку і технології необхідно враховувати характер, потенціал застосування, вплив на суспільний добробут і національну безпеку результатів науково-технічних досліджень і розробок, а також їх вплив на ринок. Усе це сплановано та сформульовано виконавчим юанем. Іншими словами, мета, вимоги, кінцевий термін, обсяг, пропорція, методи управління тощо повинні бути переглянуті та сплановані виконавчим юанем, щоб переконатися, що вони можуть сприяти соціальному добробуту чи національній безпеці. Крім того, кожен компетентний орган може також розробити відповідні закони та нормативні акти для реалізації цього положення."
392,норми інтелектуальної власності,Атрибуція та методи застосування результатів науково-технічних досліджень і розробок Academia Sinica,Які відповідні нормативні акти мають дотримуватися різні компетентні органи під час впровадження цього заходу?,академічний,https://iptt.sinica.edu.tw/pages/1292,"Відділ інтелектуальної власності, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","При впровадженні цього заходу відповідні нормативні акти, яких повинні дотримуватися різні компетентні органи, включають пункт 3 статті 6 і параграф 4 статті 13 Основного закону про науку і технології, а також положення про власність і використання наукового та результати технологічних досліджень і розробок Academia Sinica Положення."
393,норми інтелектуальної власності,Атрибуція та методи застосування результатів науково-технічних досліджень і розробок Academia Sinica,"Частина результатів досліджень і розробок Academia Sinica і її доходи повинні бути спрямовані до Національного фонду розвитку науки і технологій.То що робити з частиною, що залишилася?",академічний,https://iptt.sinica.edu.tw/pages/1292,"Відділ інтелектуальної власності, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Частина, що залишилася, належатиме самій Academia Sinica. Вони будуть дотримуватись відповідних норм і використовувати гроші на наукові дослідження та розробки. Це також включає управління та застосування власних прав інтелектуальної власності, а також інші доходи від досліджень і розробок."
394,норми інтелектуальної власності,Атрибуція та методи застосування результатів науково-технічних досліджень і розробок Academia Sinica,Що означає «Заходи щодо визначення та використання результатів наукових і технологічних досліджень і розробок Academia Sinica»?,академічний,https://iptt.sinica.edu.tw/pages/1292,"Відділ інтелектуальної власності, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","«Методи атрибуції та використання результатів наукових і технологічних досліджень і розробок Academia Sinica» стосується різноманітних знань, технологій і робіт, створених персоналом Academia Sinica в результаті їх роботи, а також продуктів, схем інтегральних схем, комп'ютерне програмне забезпечення та комерційні продукти, вироблені в академії.Конфіденційність, професійні знання та інші технічні дані, а також національні та іноземні патентні права, отримані в результаті цього, публікації Academia Sinica та інші права інтелектуальної власності та всі похідні права. Він також відповідає за управління та використання цих результатів досліджень і розробок, включаючи відповідні консультації, консультації, огляд, застосування, дохід, використання, передачу технологій, дозвіл на використання, призначення, довіру, судові консультації, обслуговування тощо. Методи управління та використання публікацій Academia Sinica сформульовані окремо. Що стосується структур інтегральних схем, комп’ютерного програмного забезпечення та похідних робіт, таких як посібники та інструкції, вони обробляються відповідно до цього методу. Права інтелектуальної власності, надані або розміщені Academia Sinica, також будуть розглядатися відповідно до цього методу."
395,норми інтелектуальної власності,Атрибуція та методи застосування результатів науково-технічних досліджень і розробок Academia Sinica,Що саме включає «результати досліджень і розробок» у цьому підході?,академічний,https://iptt.sinica.edu.tw/pages/1292,"Відділ інтелектуальної власності, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","«Результати досліджень і розробок» у цьому методі включають знання, технології, роботи, створені завдяки роботі персоналу Academia Sinica, і продукти, вироблені в інституті. Також включає схему інтегральної схеми, комп’ютерне програмне забезпечення, комерційну таємницю, професійні знання та іншу технічну інформацію. Крім того, включено національні та іноземні патентні права, публікації Academia Sinica, інші права інтелектуальної власності та всі похідні права, отримані ними."
396,норми інтелектуальної власності,Атрибуція та методи застосування результатів науково-технічних досліджень і розробок Academia Sinica,Які процеси включені в управління та застосування результатів НДДКР?,академічний,https://iptt.sinica.edu.tw/pages/1292,"Відділ інтелектуальної власності, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Існує багато різних процесів для управління та використання результатів НДДКР, включаючи переговори, консультації, перегляд, застосування, дохід, використання, передачу технологій, дозвіл на використання, призначення, довіру, судові консультації, обслуговування та пов’язані з правами на результати НДДКР Інші супутні питання."
