index,category,title,question,group,url,contact,answer
387,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,"Phương thức sở hữu, sử dụng kết quả nghiên cứu phát triển khoa học công nghệ của Academia Sinica được quy định chủ yếu như thế nào?",học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Quy định này chủ yếu mô tả cách Academia Sinica quản lý ngân sách và doanh thu của họ cho nghiên cứu và phát triển công nghệ. Chúng được quy định theo Điều 6 và 13 của Luật cơ bản về khoa học và công nghệ. Phần này chủ yếu có thể thảo luận về cách sử dụng kết quả và lợi ích nghiên cứu khoa học một cách công bằng và hiệu quả, có tính đến bản chất của nghiên cứu, tiềm năng ứng dụng, phúc lợi xã hội, an ninh quốc gia và tác động đến thị trường. Ngoài việc cần được phân bổ cho Quỹ phát triển khoa học và công nghệ quốc gia, kết quả nghiên cứu và thu nhập của Academia Sinica sẽ vẫn nằm trong Academia Sinica và sau đó được phân bổ cho quỹ nghiên cứu khoa học theo cách thức tương tự như ngân sách của các đơn vị trực thuộc."
388,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,"“Nguyên tắc công bằng, hiệu quả” nêu trong Luật cơ bản khoa học và công nghệ có ý nghĩa gì?",học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Khái niệm ""nguyên tắc công bằng và hiệu quả"" có nghĩa là trong quá trình ghi nhận và ứng dụng kết quả nghiên cứu và phát triển cũng như thu nhập của họ, tỷ lệ vốn và lao động đầu tư cũng như sự đóng góp cho nghiên cứu tổng thể cũng phải được xem xét. như tính chất của kết quả nghiên cứu khoa học công nghệ, tiềm năng ứng dụng, phúc lợi xã hội, an ninh quốc gia và tác động đến thị trường. Điều đó có nghĩa là khi giải quyết những vấn đề này, chúng ta phải thực hiện một cách công bằng và vì lợi ích của tất cả các bên."
389,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,Phương pháp này có quy định cách phân chia thu nhập theo kết quả không?,học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Có, các biện pháp đề cập rằng việc phân bổ và sử dụng kết quả cũng như thu nhập của họ phải dựa trên các nguyên tắc công bằng và hiệu quả, có tính đến tỷ lệ và đóng góp của vốn và dịch vụ lao động. Đồng thời, các biện pháp phân phối, tránh né lợi nhuận và các vấn đề khác sẽ được Viện Hành chính lên kế hoạch và xây dựng thống nhất. Phần thuộc về Academia Sinica có thể được phân bổ vào quỹ nghiên cứu khoa học theo ngân sách của đơn vị trực thuộc."
390,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,Biện pháp này có liên quan đến việc quản lý quyền sở hữu trí tuệ không?,học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Có, phương pháp này nhằm quản lý hiệu quả hoạt động nghiên cứu và phát triển khoa học và công nghệ do Academia Sinica thực hiện, bao gồm quyền sở hữu trí tuệ và thu nhập từ kết quả."
391,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,Làm thế nào để đảm bảo kết quả nghiên cứu và phát triển khoa học công nghệ có thể đóng góp cho phúc lợi xã hội hoặc an ninh quốc gia?,học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Theo Điều 6, Khoản 3 Luật Cơ bản Khoa học và Công nghệ, phải xem xét tính chất, tiềm năng ứng dụng, tác động đến phúc lợi xã hội và an ninh quốc gia của kết quả nghiên cứu và phát triển khoa học và công nghệ cũng như tác động của chúng đến thị trường. Tất cả những điều này đều được hoạch định và xây dựng bởi Viện Hành chính. Nói cách khác, mục đích, yêu cầu, thời hạn, phạm vi, tỷ lệ, phương pháp quản lý, v.v. của những thành tựu này phải được Viện Hành chính xem xét và lên kế hoạch để đảm bảo rằng chúng có thể đóng góp cho phúc lợi xã hội hoặc an ninh quốc gia. Ngoài ra, mỗi cơ quan có thẩm quyền cũng có thể xây dựng các luật và quy định liên quan để thực hiện quy định này."
392,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,Các quy định liên quan mà các cơ quan có thẩm quyền khác nhau cần tuân thủ khi thực hiện biện pháp này là gì?,học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Khi thực hiện biện pháp này, các quy định liên quan mà các cơ quan có thẩm quyền khác nhau cần tuân thủ bao gồm Điều 6 khoản 3 và Điều 13 khoản 4 Luật Cơ bản về Khoa học và Công nghệ cũng như các quy định về quyền sở hữu và sử dụng tài liệu khoa học. và kết quả nghiên cứu phát triển công nghệ của Academia Sinica."
393,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,"Một phần kết quả nghiên cứu phát triển và thu nhập của Academia Sinica phải được phân bổ cho Quỹ phát triển khoa học và công nghệ quốc gia, vậy phần còn lại phải làm gì?",học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw",Phần còn lại sẽ thuộc về chính Academia Sinica. Họ sẽ tuân theo các quy định tương ứng và sử dụng tiền cho nghiên cứu và phát triển khoa học. Điều này cũng bao gồm việc quản lý và áp dụng quyền sở hữu trí tuệ của chính họ cũng như thu nhập khác từ nghiên cứu và phát triển.
394,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,"""Các biện pháp ghi nhận và sử dụng kết quả nghiên cứu và phát triển khoa học và công nghệ của Academia Sinica"" đề cập đến điều gì?",học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","""Các phương pháp ghi công và sử dụng kết quả nghiên cứu và phát triển khoa học và công nghệ của Academia Sinica"" đề cập đến các kiến ​​thức, công nghệ và tác phẩm khác nhau do nhân viên Academia Sinica tạo ra nhờ công việc của họ, cũng như các sản phẩm, bố cục mạch tích hợp, phần mềm máy tính và các sản phẩm thương mại được sản xuất trong học viện. Tính bí mật, kiến ​​thức chuyên môn và dữ liệu kỹ thuật khác, cũng như các quyền sáng chế trong và ngoài nước có được nhờ đó, các ấn phẩm của Academia Sinica, các quyền sở hữu trí tuệ khác và tất cả các quyền phái sinh. Nó cũng chịu trách nhiệm quản lý và sử dụng các kết quả R&D này, bao gồm tư vấn liên quan, tư vấn, đánh giá, ứng dụng, doanh thu, sử dụng, chuyển giao công nghệ, ủy quyền sử dụng, chỉ định, ủy thác, tư vấn kiện tụng, bảo trì, v.v. Phương pháp quản lý và sử dụng các ấn phẩm của Academia Sinica được xây dựng riêng. Đối với cấu trúc mạch tích hợp, phần mềm máy tính và các tác phẩm phái sinh như sách hướng dẫn, hướng dẫn được xử lý theo phương pháp này. Quyền sở hữu trí tuệ do Academia Sinica tài trợ hoặc tổ chức cũng sẽ được xử lý theo phương pháp này."
395,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,Chính xác thì “kết quả nghiên cứu và phát triển” trong phương pháp này bao gồm những gì?,học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","“Kết quả nghiên cứu và phát triển” trong phương pháp này bao gồm kiến ​​thức, công nghệ, tác phẩm do nhân viên Academia Sinica tạo ra và các sản phẩm được sản xuất trong viện. Cũng bao gồm bố trí mạch tích hợp, phần mềm máy tính, bí mật thương mại, kiến ​​thức chuyên môn và thông tin kỹ thuật khác. Ngoài ra, các quyền sáng chế trong và ngoài nước, các ấn phẩm của Academia Sinica, các quyền sở hữu trí tuệ khác và tất cả các quyền phái sinh mà chúng có được cũng được bao gồm."
396,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,Những quy trình nào được bao gồm trong việc quản lý và ứng dụng kết quả R&D?,học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Có nhiều quy trình khác nhau về quản lý và sử dụng kết quả R&D, bao gồm đàm phán, tư vấn, xem xét, áp dụng, thu nhập, sử dụng, chuyển giao công nghệ, ủy quyền sử dụng, chỉ định, ủy thác, tư vấn kiện tụng, duy trì và liên quan đến quyền đối với kết quả R&D. .. Các vấn đề liên quan khác."
397,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,“Các ấn phẩm của Academia Sinica” được đề cập trong các biện pháp được quản lý và sử dụng như thế nào?,học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Phương pháp này không đề cập cụ thể đến cách quản lý và sử dụng ""Nhà xuất bản Academia Sinica"", chỉ có thông tin chi tiết về vấn đề này sẽ được xác định riêng. Tuy nhiên, nếu các ấn phẩm đó liên quan đến bố trí mạch tích hợp, phần mềm máy tính và các tác phẩm phái sinh như sổ tay, hướng dẫn thì sẽ được xử lý theo quy định của phương pháp này."
398,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,"Nếu Academia Sinica nhận quyền sở hữu trí tuệ dưới dạng quà tặng hoặc ký quỹ, phương pháp này cũng được áp dụng phải không?",học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Có, nếu Academia Sinica nhận quyền sở hữu trí tuệ dưới dạng quà tặng hoặc ký quỹ thì cũng phải tuân theo phương pháp này."
399,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,Ủy ban Nghiên cứu và Quản lý của Academia Sinica chịu trách nhiệm rà soát những nội dung gì?,học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Ủy ban Nghiên cứu và Quản lý của Academia Sinica chịu trách nhiệm chính trong việc cân nhắc một số vấn đề quan trọng, bao gồm: thứ nhất, việc chuyển giao công nghệ độc quyền của Academia Sinica sang các khu vực bên ngoài Đài Loan; thứ hai, việc chuyển giao công nghệ miễn phí của Academia Sinica; thứ ba, quyết định của Academia Sinica từ bỏ hoặc chuyển giao quyền sở hữu trí tuệ; Thứ tư, việc chuyển giao quyền sở hữu trí tuệ của Academia Sinica; thứ năm, Quyết định của Academia Sinica về việc đăng ký nhãn hiệu và ủy quyền thương mại nhãn hiệu. Nếu có vi phạm các quy định này, Ủy ban Nghiên cứu và Quản lý cũng sẽ tiến hành điều tra và chuyển đến các đơn vị liên quan để xử lý."
400,quy định sở hữu trí tuệ,Phương pháp ghi nhận và ứng dụng kết quả nghiên cứu và phát triển khoa học công nghệ của Academia Sinica,Nếu Academia Sinica muốn chuyển giao công nghệ ra khu vực ngoài Đài Loan thì cần phải trải qua những thủ tục gì?,học thuật,https://iptt.sinica.edu.tw/pages/1292,"Phòng Sở hữu trí tuệ, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Nếu Academia Sinica muốn chuyển giao công nghệ sang các khu vực bên ngoài Đài Loan, việc này sẽ phải được Ủy ban Nghiên cứu và Quản lý xem xét."
