category,title,context,group,url,contact
授權,技術移轉,中研院辦理科技移轉的法規依據是中研院「中央研究院科學研究發展成果歸屬及運用辦法」辦理,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw"
授權,技術移轉,研究成果不需要先取得專利權才能進行技術移轉，但凡是產生之知識、技術或著作，包含專利、申請中的專利、技術資料、材料、生物材料、軟體、專業知識、著作等智慧財產權都可以為技術移轉之標的。,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw"
授權,著作權申報,"申報之著作權：係指中研院專任人員於職務上完成之著作，但排除期刊、論文或論文集之外，應向智財處申報。
申報方式：填具「著作權申報表」，由所屬單位向智財處申報。",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw"
授權,技術移轉,"創作人在廠商表示授權意願時，創作人可以協助以下幾件事情
(1) 彰顯新發明的好處並解釋新發明可能限制。
(2) 提供對此新發明有興趣的廠商名單。
(3) 確定市場評估有無差錯。
創作人應避免的是：參與授權談判。",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw"
授權,技術移轉權益收入,"技轉收益係指扣除必要衍生費用後之淨收入，包含現金及股票。（衍生費用之項目不包含專利申請及維護費，主要如匯兌費用）。
技轉收益分配原則：依照中研院「中央研究院科學研究發展成果歸屬及運用辦法」第7條規定：20％分配予國庫或資助機關；至多10％分配予創作人所屬單位；至多10％分配予創作人實驗室；至多40％分配予創作人；剩餘部分歸屬於中研院。
創作人如何決定權益分配比例：創作代表人填具「權益收入分配同意書」，並由所屬單位發文至智財技轉處。",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw"
授權,材料移轉(移出中研院)MTA out,依據中研院法制處制定之現行利益衝突規範，學研單位中除本國公立學研單位屬於公部門，不須進行利衝揭露外；其餘非本國公立學研單位皆歸類為私部門（範圍包括：本國私立學研單位、國外公立及私立學研單位等），均需進行利益衝突揭露。,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw"
授權,材料移轉(移出中研院)MTA out,中研院之專屬授權契約，將某成果授權廠商於特定地區特定領域有專屬使用、實施、重製、修改並販賣、銷售之權利。故已經專屬授權出去的材料，有關上述之權利已屬於廠商，除非契約特別約定中研院保留學術使用之權利，否則無法再將同成果材料移轉予他方。,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw"
授權,材料移轉(移出中研院)MTA out,中研院之專屬授權契約，將某成果授權廠商於特定地區特定領域有專屬使用、實施、重製、修改並販賣、銷售之權利。故已經專屬授權出去的材料，有關上述之權利已屬於廠商，除非契約特別約定中研院保留學術使用之權利，否則無法再將同成果材料移轉予他方。,學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw"
授權,材料移轉(移出中研院)MTA out,"材料移轉契約之辦理時間依案件複雜程度有所不同，若對方有修正中研院制式契約之要求，則需經過本處及法制處之審閱流程，及後續雙方協商之情形是否順利而定。
另一方面，若對方提出修改準據法及管轄法院之需求，中研院將詢問對方是否有意願與中研院建立互惠方式處理未來雙方MTA(in)及MTA(out)中準據法及管轄法院之議題，若對方有意願則在MTA簽署前雙方需先簽署意向書。",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw"
授權,Nine Points to Consider in Licensing University Technology美國大學於考慮技術移轉時的九項重要因素,"1.Universities should reserve the right to practice licensed inventions and to allow other non-profit and governmental organizations to do so.
2. Exclusive licenses should be structured in a manner that encourages technology development and use.
3. Strive to minimize the licensing of “future improvements”.
4. Universities should anticipate and help to manage technology transfer related conflicts of interest.
5. Ensure broad access to research tools.
6. Enforcement action should be carefully considered
7. Be mindful of export regulations.
8. Be mindful of the implications of working with patent aggregators.
9. Consider including provisions that address unmet needs, such as those of neglected patient populations or geographic areas, giving particular attention to improved therapeutics, diagnostics and agricultural technologies for the developing world.",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw"
授權,材料移轉(移出中研院)MTA out,"沒使用完的材料，在材料移轉契約的終止日前，應銷毀或送回中研院。
使用中研院之材料若要商化成為產品，因材料的智慧財產權歸屬於中研院，應向中研院智財技轉處協商取得中研院授權使用，並視材料特性訂定廠商應支付中研院的授權費用及/或權利金。",學術,,"蘇春霖
2787-2623
licensing@gate.sinica.edu.tw"
