category,title,question,group,url,contact,answer
學術處計畫申請案,學術處計畫申請案,啊？中研院的學術研究計畫申請案有哪些類別？,學術,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙婉伶 02-27898067
徐靜萍 02-27899351
曾錦錚 02-27899386
李家茵 02-27899476
簡玫秀 02-27899676
陳羿君 02-27872612
白倩華 02-27872613
張元貞 02-27872614","根據中研院的文字說明，中研院鼓勵研究人員積極投入，並自110年起重新規劃可向院方申請的競爭型學術研究計畫經費類型，共分為三大類型：
第一類型：深耕基礎研究，精益求精型，包含前瞻計畫、深耕計畫與主題研究計畫。
第二類型：追求關鍵議題與新興領域突破型，包含關鍵突破種子計畫與關鍵突破研究計畫。
第三類型：任務導向"
學術處計畫申請案,學術處計畫申請案,中研院的競爭型學術研究計畫經費類型有哪些？,學術,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙婉伶 02-27898067
徐靜萍 02-27899351
曾錦錚 02-27899386
李家茵 02-27899476
簡玫秀 02-27899676
陳羿君 02-27872612
白倩華 02-27872613
張元貞 02-27872614","依據中研院的文字說明，中研院的競爭型學術研究計畫經費類型包括：
第一類型：深耕基礎研究，精益求精型；第二類型：追求關鍵議題與新興領域突破型；第三類型：任務導向型。"
學術處計畫申請案,學術處計畫申請案,為什麼第一、二類型計畫的計畫目標雖然一致，但選題的主導性卻有差異？,學術,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙婉伶 02-27898067
徐靜萍 02-27899351
曾錦錚 02-27899386
李家茵 02-27899476
簡玫秀 02-27899676
陳羿君 02-27872612
白倩華 02-27872613
張元貞 02-27872614","根據中研院的規定，第一、二類型計畫的經費來源為競爭型計畫，經費分配比例為50%及50%。第一類型計畫的經費分配比例為50%，主要用於補助基礎研究、前瞻計畫、深耕計畫與主題研究計畫等；第二類型計畫的經費分配比例為50%，主要用於補助關鍵議題與新興領域突破型計畫、關鍵突破種子計畫與關鍵突破研究計畫等。
由於"
學術處計畫申請案,學術處計畫申請案,第三類型計畫是如何「由上至下任務導向之規劃」？,學術,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙婉伶 02-27898067
徐靜萍 02-27899351
曾錦錚 02-27899386
李家茵 02-27899476
簡玫秀 02-27899676
陳羿君 02-27872612
白倩華 02-27872613
張元貞 02-27872614","中研院為有效運用資源、聚焦重點研究領域，規劃三大類型計畫，分別為「深耕基礎研究」、「追求關鍵議題與新興領域突破」、「任務導向型」。其中，第三類型計畫為「任務導向型」，由上至下任務導向之規劃，即由中研院科技施政布局，依據中研院科技政策、國家重大政策、社會需求等面向，規劃與分配經費。

舉例來說，中研院可依據"
學術處計畫申請案,學術處計畫申請案,各計畫的經費配置是如何決定的？,學術,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙婉伶 02-27898067
徐靜萍 02-27899351
曾錦錚 02-27899386
李家茵 02-27899476
簡玫秀 02-27899676
陳羿君 02-27872612
白倩華 02-27872613
張元貞 02-27872614","根據中研院的規定，各計畫的經費配置是依據不同計畫類型、個人型或團隊整合型、執行計畫之規模和深度、效益評估等條件，參考過往經驗及分析檢討後嚴謹規劃分配，再輔以計畫審議之相關實務研究成果加以修正。具體而言，各計畫的經費配置是依據下列原則進行決定：

第一、二類型計畫：

* 保障學術研究自由：由下而上提出"
學術處計畫申請案,學術處計畫申請案,計畫審議過程中，會參考,學術,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙婉伶 02-27898067
徐靜萍 02-27899351
曾錦錚 02-27899386
李家茵 02-27899476
簡玫秀 02-27899676
陳羿君 02-27872612
白倩華 02-27872613
張元貞 02-27872614",依據中研院的文字說明，三大類型計畫的經費配置會依據不同計畫類型、個人型或團隊整合型、執行計畫之規模和深度、效益評估等條件進行嚴謹規劃分配。其中，第一類型計畫為保障學術研究自由，由下而上提出構想；第二類型計畫為追求關鍵議題與新興領域突破，由上至下任務導向規劃；第三類型計畫為任務導向型，由中研院科技施政布局。各計畫的
學術處計畫申請案,第一、二類型計畫,喔！那麼，如果我要申請計畫，我要去哪裡登錄？可以申請哪兩種類型的計畫？啊？,學術,https://sub.daais.sinica.edu.tw/grants/index.html,"趙婉伶 02-27898067
徐靜萍 02-27899351
曾錦錚 02-27899386
簡玫秀 02-27899676
陳羿君 02-27872612
白倩華 02-27872613","喔！如果我要申請計畫，我該去哪裡登錄？可以申請第一類型計畫：前瞻計畫、深耕計畫與主題研究計畫；或第二類型計畫：關鍵突破種子計畫與關鍵突破研究計畫。詳細資訊可參考https://sub.daais.sinica.edu.tw/grants/index.html。

喔！我該怎麼登錄？可以去https://asms.sinica.edu.tw/登錄申請。"
學術處計畫申請案,第一、二類型計畫,哇！原來中研院提供兩種類型的計畫可以申請！分別是哪兩種？（興奮地手舞）,學術,https://sub.daais.sinica.edu.tw/grants/index.html,"趙婉伶 02-27898067
徐靜萍 02-27899351
曾錦錚 02-27899386
簡玫秀 02-27899676
陳羿君 02-27872612
白倩華 02-27872613","好啦！中研院研究人員可以申請的競爭型學術研究計畫有兩種類型：第一類型是「前瞻計畫」、「深耕計畫」與「主題研究計畫」；第二類型是「關鍵突破種子計畫」與「關鍵突破研究計畫」。詳細資訊可參考https://sub.daais.sinica.edu.tw/grants/index.html。

哇！我要去登錄學術服務管理系統！（認真地手舞）"
學術處計畫申請案,第一、二類型計畫,我要怎麼知道更多關於申請計畫的細節？（期待地看著你）,學術,https://sub.daais.sinica.edu.tw/grants/index.html,"趙婉伶 02-27898067
徐靜萍 02-27899351
曾錦錚 02-27899386
簡玫秀 02-27899676
陳羿君 02-27872612
白倩華 02-27872613",好啊！很樂意幫你回答。根據中研院的規定，研究人員可以向院方申請的競爭型學術研究計畫，主要有二種類型：第一類型是「前瞻計畫」、「深耕計畫」與「主題研究計畫」；第二類型是「關鍵突破種子計畫」與「關鍵突破研究計畫」。詳細資訊可參考https://sub.daais.sinica.edu.tw/grants/index.html。
學術處計畫申請案,第一、二類型計畫,那我可以透過哪一個網站申請計畫？（疑惑地皺眉）,學術,https://sub.daais.sinica.edu.tw/grants/index.html,"趙婉伶 02-27898067
徐靜萍 02-27899351
曾錦錚 02-27899386
簡玫秀 02-27899676
陳羿君 02-27872612
白倩華 02-27872613",好啦！根據文字說明，您可以透過中研院學術服務管理系統（https://asms.sinica.edu.tw/）申請計畫。
