index,category,title,question,group,url,contact,answer
0,Bewerbung für ein akademisches Büroprojekt,Bewerbung für ein akademisches Büroprojekt,Ah? Welche Arten von Bewerbungen für akademische Forschungsprojekte gibt es an der Academia Sinica?,akademisch,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Laut dem Text der Academia Sinica ermutigt die Academia Sinica Forscher, aktiv zu investieren, und hat seit 110 die Arten von wettbewerbsfähigen Mitteln für akademische Forschungsprojekte neu geplant, die für die Akademie beantragt werden können. Diese sind in drei Haupttypen unterteilt:
Der erste Typ: vertiefte Grundlagenforschung, Streben nach Exzellenz, einschließlich zukunftsweisender Pläne, vertiefter Pläne und thematischer Forschungspläne.
Der zweite Typ: Streben nach Durchbrüchen in Schlüsselthemen und aufstrebenden Bereichen, einschließlich wichtiger bahnbrechender Saatgutpläne und wichtiger bahnbrechender Forschungspläne.
Typ 3: Aufgabenorientiert"
1,Bewerbung für ein akademisches Büroprojekt,Bewerbung für ein akademisches Büroprojekt,Welche Finanzierungsarten gibt es für die wettbewerbsfähigen akademischen Forschungsprogramme der Academia Sinica?,akademisch,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Laut Textbeschreibung der Academia Sinica gehören zu den wettbewerbsorientierten Finanzierungsarten der akademischen Forschungsprogramme der Academia Sinica:
Der erste Typ: Engagiert in der Grundlagenforschung und dem Streben nach Exzellenz; Der zweite Typ: Der Typ, der Durchbrüche in Schlüsselthemen und neuen Bereichen anstrebt; Der dritte Typ: Aufgabenorientiert."
2,Bewerbung für ein akademisches Büroprojekt,Bewerbung für ein akademisches Büroprojekt,"Warum haben der erste und der zweite Projekttyp die gleichen Projektziele, die Dominanz der Themenauswahl ist jedoch unterschiedlich?",akademisch,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Gemäß den Bestimmungen der Academia Sinica handelt es sich bei den Finanzierungsquellen für Projekte des ersten und zweiten Typs um Wettbewerbsprojekte, und die Finanzierungsquote beträgt 50 % bzw. 50 %. Die Mittelzuweisungsquote des ersten Plantyps beträgt 50 %, die hauptsächlich zur Förderung von Grundlagenforschung, Zukunftsplänen, detaillierten Entwicklungsplänen und thematischen Forschungsplänen verwendet wird; die Mittelzuweisungsquote der zweiten Planart beträgt 50 %, das hauptsächlich für die Subventionierung bahnbrechender Projekte zu Schlüsselthemen und aufstrebenden Gebieten, wichtige bahnbrechende Saatgutprojekte und wichtige bahnbrechende Forschungsprojekte usw. verwendet wird.
Weil"
3,Bewerbung für ein akademisches Büroprojekt,Bewerbung für ein akademisches Büroprojekt,Wie ist die dritte Planart „Top-down-aufgabenorientierte Planung“?,akademisch,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Um die Ressourcen effektiv zu nutzen und sich auf wichtige Forschungsbereiche zu konzentrieren, hat die Academia Sinica drei Haupttypen von Plänen geplant: „tiefgreifende Pflege der Grundlagenforschung“, „Verfolgung von Durchbrüchen in Schlüsselthemen und aufstrebenden Bereichen“ und „missionsorientiert“. Unter ihnen ist die dritte Art von Plan „aufgabenorientiert“, ein aufgabenorientierter Top-Down-Plan, d , wichtige nationale Richtlinien, soziale Bedürfnisse usw.

Darauf kann sich beispielsweise die Academia Sinica verlassen"
4,Bewerbung für ein akademisches Büroprojekt,Bewerbung für ein akademisches Büroprojekt,Wie wird die Mittelzuweisung für jedes Programm festgelegt?,akademisch,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Gemäß den Bestimmungen der Academia Sinica basiert die Zuweisung der Mittel für jedes Projekt auf verschiedenen Projekttypen, der Integration von Einzelpersonen oder Teams, dem Umfang und der Tiefe des Umsetzungsplans, der Nutzenbewertung und anderen Bedingungen. Sie wird sorgfältig geplant und unter Bezugnahme auf zugewiesen Erfahrungen aus der Vergangenheit sowie Analyse und Überprüfung. Anschließend wird es mithilfe relevanter praktischer Forschungsergebnisse aus der Planüberprüfung überarbeitet. Konkret wird die Fördermittelvergabe für jedes Projekt nach folgenden Grundsätzen festgelegt:

Pläne vom Typ 1 und 2:

* Schutz der akademischen Forschungsfreiheit: von unten nach oben vorgeschlagen"
5,Bewerbung für ein akademisches Büroprojekt,Bewerbung für ein akademisches Büroprojekt,Während des Planprüfungsprozesses wird darauf verwiesen,akademisch,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Laut dem Text der Academia Sinica wird die Mittelzuweisung für die drei Hauptprojekttypen streng geplant und auf der Grundlage unterschiedlicher Projekttypen, individueller oder Teamintegration, Umfang und Tiefe des Umsetzungsplans sowie Nutzenbewertung zugewiesen. Unter ihnen besteht die erste Art von Plan darin, die Freiheit der akademischen Forschung zu schützen und Ideen von unten nach oben vorzuschlagen; die zweite Art von Plan besteht darin, Schlüsselthemen und Durchbrüche in aufstrebenden Bereichen zu verfolgen und ist eine aufgabenorientierte Planung von oben nach unten; Die dritte Art von Plan ist der aufgabenorientierte Typ, der von der Wissenschafts- und Technologiepolitik der Academia Sinica organisiert wird. Jeder Plan"
6,Bewerbung für ein akademisches Büroprojekt,Pläne vom Typ 1 und 2,"Oh! Wenn ich mich also für ein Programm bewerben möchte, wo muss ich mich anmelden? Für welche zwei Arten von Programmen kann ich mich bewerben? Ah?",akademisch,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","Oh! Wenn ich mich für ein Programm bewerben möchte, wo muss ich mich anmelden? Sie können sich für die erste Art von Plan bewerben: Zukunftsplan, ausführlicher Entwicklungsplan und thematischer Forschungsplan; oder für die zweite Art von Plan: Schlüsselplan für den Durchbruch und Schlüsselplan für die Durchbruchforschung. Ausführliche Informationen finden Sie unter https://sub.daais.sinica.edu.tw/grants/index.html.

Oh! Wie melde ich mich an? Sie können sich unter https://asms.sinica.edu.tw/ anmelden und bewerben."
7,Bewerbung für ein akademisches Büroprojekt,Pläne vom Typ 1 und 2,"Wow! Es stellt sich heraus, dass die Academia Sinica zwei Arten von Programmen anbietet, für die Sie sich bewerben können! Welche zwei Arten gibt es? (Aufgeregt tanzen)",akademisch,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","OK! Es gibt zwei Arten von wettbewerbsfähigen akademischen Forschungsprojekten, für die sich Forscher der Academia Sinica bewerben können: Die erste Art ist das „Zukunftsorientierte Projekt“, das „Vertiefte Forschungsprojekt“ und das „Thematische Forschungsprojekt“; die zweite Art ist das „Key Breakthrough Seed Project“ und „Key Breakthrough Research Program“. Ausführliche Informationen finden Sie unter https://sub.daais.sinica.edu.tw/grants/index.html.

Wow! Ich möchte mich in das Akademische Service-Management-System einloggen! (Tanzt ernsthaft)"
8,Bewerbung für ein akademisches Büroprojekt,Pläne vom Typ 1 und 2,Wo erfahre ich weitere Details zum Bewerbungsprogramm? (schaut dich erwartungsvoll an),akademisch,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","OK! Gerne beantworte ich es für Sie. Gemäß den Bestimmungen der Academia Sinica gibt es zwei Haupttypen wettbewerbsfähiger akademischer Forschungsprojekte, die Forscher beim Institut beantragen können: Der erste Typ sind „zukunftsorientierte Pläne“, „tiefgreifende Kultivierungspläne“ und „thematische Forschungspläne“; Die Der zweite Typ ist „Key Breakthrough Seed Project“ und „Key Breakthrough Research Project“. Ausführliche Informationen finden Sie unter https://sub.daais.sinica.edu.tw/grants/index.html."
9,Bewerbung für ein akademisches Büroprojekt,Pläne vom Typ 1 und 2,Für welche Website kann ich mich bewerben? (runzelt verwirrt die Stirn),akademisch,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613",OK! Laut Textbeschreibung können Sie sich über das Academia Sinica Academic Service Management System (https://asms.sinica.edu.tw/) für das Programm bewerben.
