index,category,title,question,group,url,contact,answer
0,Academic Office Project Application,Academic Office Project Application,ah? What are the types of academic research project applications at Academia Sinica?,academic,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","According to the text of Academia Sinica, Academia Sinica encourages researchers to actively invest, and has re-planned the types of competitive academic research project funds that can be applied to the academy since 110, which are divided into three major types:
The first type: in-depth basic research, striving for excellence, including forward-looking plans, in-depth plans and thematic research plans.
The second type: pursuing breakthroughs in key issues and emerging fields, including key breakthrough seed plans and key breakthrough research plans.
Type 3: Task-oriented"
1,Academic Office Project Application,Academic Office Project Application,What are the funding types of Academia Sinica’s competitive academic research programs?,academic,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","According to the Academia Sinica’s text description, Academia Sinica’s competitive academic research program funding types include:
The first type: Deeply engaged in basic research and striving for excellence; The second type: The type that pursues breakthroughs in key issues and emerging fields; The third type: Task-oriented."
2,Academic Office Project Application,Academic Office Project Application,"Why do the first and second types of projects have the same project goals, but the dominance of topic selection is different?",academic,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","According to the regulations of Academia Sinica, the funding sources for the first and second type projects are competitive projects, and the funding allocation ratio is 50% and 50%. The funding allocation ratio of the first type of plan is 50%, which is mainly used to subsidize basic research, forward-looking plans, in-depth development plans and thematic research plans; the funding allocation ratio of the second type of plan is 50%, which is mainly used for Subsidize breakthrough projects on key topics and emerging fields, key breakthrough seed projects, and key breakthrough research projects, etc.
because"
3,Academic Office Project Application,Academic Office Project Application,"How is the third type of plan ""top-down task-oriented planning""?",academic,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","In order to effectively utilize resources and focus on key research areas, Academia Sinica has planned three major types of plans, namely ""deep cultivation of basic research"", ""pursuing breakthroughs in key issues and emerging fields"", and ""mission-oriented"". Among them, the third type of plan is ""task-oriented"", a top-down task-oriented plan, that is, the science and technology policy layout of Academia Sinica, planning and allocation of funds based on Academia Sinica's science and technology policy, major national policies, social needs, etc.

For example, Academia Sinica can rely on"
4,Academic Office Project Application,Academic Office Project Application,How is the funding allocation for each program determined?,academic,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","According to the regulations of Academia Sinica, the allocation of funds for each project is based on different project types, individual or team integration, scale and depth of the implementation plan, benefit assessment and other conditions. It is carefully planned and allocated with reference to past experience and analysis and review, and then It will be revised with the help of relevant practical research results from plan review. Specifically, the funding allocation for each project is determined based on the following principles:

Type 1 and 2 plans:

* Protecting academic research freedom: proposed from the bottom up"
5,Academic Office Project Application,Academic Office Project Application,"During the plan review process, reference will be made to",academic,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","According to the Academia Sinica’s text, the allocation of funds for the three major types of projects will be rigorously planned and allocated based on different project types, individual or team integration, scale and depth of the implementation plan, and benefit assessment. Among them, the first type of plan is to protect the freedom of academic research and propose ideas from the bottom up; the second type of plan is to pursue key issues and breakthroughs in emerging fields and is task-oriented planning from top to bottom; the third type of plan is task-oriented Type, organized by Academia Sinica’s science and technology policy. Each plan"
6,Academic Office Project Application,Type 1 and 2 plans,"oh! So, if I want to apply for a program, where do I log in? What two types of programs can I apply for? ah?",academic,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","oh! If I want to apply for a program, where do I log in? You can apply for the first type of plan: forward-looking plan, in-depth development plan and thematic research plan; or the second type of plan: key breakthrough seed plan and key breakthrough research plan. For detailed information, please refer to https://sub.daais.sinica.edu.tw/grants/index.html.

oh! How do I log on? You can go to https://asms.sinica.edu.tw/ to log in and apply."
7,Academic Office Project Application,Type 1 and 2 plans,Wow! It turns out that Academia Sinica offers two types of programs that you can apply for! What are the two types? (Dancing excitedly),academic,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","OK! There are two types of competitive academic research projects that Academia Sinica researchers can apply for: the first type is the “Forward-Looking Project”, the “In-depth Research Project” and the “Thematic Research Project”; the second type is the “Key Breakthrough Seed Project” ” and “Key Breakthrough Research Program”. For detailed information, please refer to https://sub.daais.sinica.edu.tw/grants/index.html.

Wow! I want to log in to the academic service management system! (Dancing seriously)"
8,Academic Office Project Application,Type 1 and 2 plans,How do I know more details about the application program? (looking at you expectantly),academic,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","OK! I'll be happy to answer it for you. According to the regulations of Academia Sinica, there are two main types of competitive academic research projects that researchers can apply to the institute: the first type is ""forward-looking plans"", ""deep cultivation plans"" and ""thematic research plans""; The second type is ""Key Breakthrough Seed Project"" and ""Key Breakthrough Research Project"". For detailed information, please refer to https://sub.daais.sinica.edu.tw/grants/index.html."
9,Academic Office Project Application,Type 1 and 2 plans,Which website can I apply for? (Frowning in confusion),academic,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Meixiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","OK! According to the text description, you can apply for the program through the Academia Sinica Academic Service Management System (https://asms.sinica.edu.tw/)."
