index,category,title,question,group,url,contact,answer
0,Aplikasi Proyek Kantor Akademik,Aplikasi Proyek Kantor Akademik,ah? Apa saja jenis aplikasi proyek penelitian akademik di Academia Sinica?,akademik,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Mei Xiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Menurut teks Academia Sinica, Academia Sinica mendorong para peneliti untuk berinvestasi secara aktif, dan telah merencanakan kembali jenis dana proyek penelitian akademis kompetitif yang dapat diterapkan ke akademi sejak tahun 110, yang dibagi menjadi tiga jenis utama:
Tipe pertama: penelitian dasar yang mendalam, mengupayakan yang terbaik, termasuk rencana berwawasan ke depan, rencana mendalam dan rencana penelitian tematik.
Tipe kedua: mengejar terobosan dalam isu-isu utama dan bidang-bidang yang sedang berkembang, termasuk rencana awal terobosan utama dan rencana penelitian terobosan utama.
Tipe 3: Berorientasi pada tugas"
1,Aplikasi Proyek Kantor Akademik,Aplikasi Proyek Kantor Akademik,Apa saja jenis pendanaan program penelitian akademis kompetitif Academia Sinica?,akademik,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Mei Xiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Berdasarkan uraian teks Academia Sinica, jenis pendanaan program penelitian akademik kompetitif Academia Sinica meliputi:
Tipe pertama: Sangat terlibat dalam penelitian dasar dan berjuang untuk mencapai keunggulan; Tipe kedua: Tipe yang mengejar terobosan dalam isu-isu utama dan bidang-bidang yang sedang berkembang; Tipe ketiga: Berorientasi pada tugas."
2,Aplikasi Proyek Kantor Akademik,Aplikasi Proyek Kantor Akademik,"Mengapa proyek jenis pertama dan kedua memiliki tujuan proyek yang sama, namun dominasi pemilihan topiknya berbeda?",akademik,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Mei Xiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Sesuai peraturan Academia Sinica, sumber pendanaan untuk proyek jenis pertama dan kedua adalah proyek kompetitif, dan rasio alokasi pendanaannya adalah 50% dan 50%. Rasio alokasi pendanaan untuk jenis rencana pertama adalah 50%, yang terutama digunakan untuk mensubsidi penelitian dasar, rencana berwawasan ke depan, rencana pengembangan mendalam dan rencana penelitian tematik; rasio alokasi pendanaan untuk jenis rencana kedua adalah 50 %, yang terutama digunakan untuk Subsidi proyek terobosan pada topik utama dan bidang baru, proyek benih terobosan utama, dan proyek penelitian terobosan utama, dll.
Karena"
3,Aplikasi Proyek Kantor Akademik,Aplikasi Proyek Kantor Akademik,"Bagaimana jenis rencana ketiga ""perencanaan berorientasi tugas dari atas ke bawah""?",akademik,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Mei Xiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Untuk memanfaatkan sumber daya secara efektif dan fokus pada bidang penelitian utama, Academia Sinica telah merencanakan tiga jenis rencana utama, yaitu ""pengembangan penelitian dasar secara mendalam"", ""mengejar terobosan dalam isu-isu utama dan bidang yang sedang berkembang"", dan ""berorientasi pada misi"". Diantaranya, jenis rencana ketiga adalah “berorientasi tugas”, yaitu rencana berorientasi tugas dari atas ke bawah, yaitu tata letak kebijakan iptek Academia Sinica, perencanaan dan alokasi dana berdasarkan kebijakan iptek Academia Sinica. , kebijakan utama nasional, kebutuhan sosial, dll.

Misalnya saja yang bisa diandalkan oleh Academia Sinica"
4,Aplikasi Proyek Kantor Akademik,Aplikasi Proyek Kantor Akademik,Bagaimana alokasi dana untuk setiap program ditentukan?,akademik,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Mei Xiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Menurut peraturan Academia Sinica, alokasi dana untuk setiap proyek didasarkan pada jenis proyek yang berbeda, integrasi individu atau tim, skala dan kedalaman rencana implementasi, penilaian manfaat dan kondisi lainnya. Direncanakan dan dialokasikan secara cermat dengan mengacu pada pengalaman masa lalu dan analisis serta tinjauan, dan kemudian akan direvisi dengan bantuan hasil penelitian praktis yang relevan dari tinjauan rencana. Secara khusus, alokasi pendanaan untuk setiap proyek ditentukan berdasarkan prinsip-prinsip berikut:

Paket tipe 1 dan 2:

* Melindungi kebebasan penelitian akademis: diusulkan dari bawah ke atas"
5,Aplikasi Proyek Kantor Akademik,Aplikasi Proyek Kantor Akademik,"Selama proses peninjauan rencana, referensi akan dibuat",akademik,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Li Jiayin 02-27899476
Jian Mei Xiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613
Zhang Yuanzhen 02-27872614","Menurut teks Academia Sinica, alokasi dana untuk tiga jenis proyek utama akan direncanakan dan dialokasikan secara ketat berdasarkan jenis proyek yang berbeda, integrasi individu atau tim, skala dan kedalaman rencana implementasi, dan penilaian manfaat. Diantaranya, jenis rencana pertama adalah untuk melindungi kebebasan penelitian akademis dan mengusulkan gagasan dari bawah ke atas, jenis rencana kedua adalah untuk mengejar isu-isu utama dan terobosan di bidang-bidang yang sedang berkembang dan merupakan perencanaan berorientasi tugas dari atas ke bawah; jenis rencana ketiga adalah Tipe berorientasi tugas, yang diselenggarakan oleh kebijakan sains dan teknologi Academia Sinica. Setiap rencana"
6,Aplikasi Proyek Kantor Akademik,Paket tipe 1 dan 2,"Oh! Jadi, jika saya ingin mendaftar suatu program, di mana saya bisa login? Dua jenis program apa yang bisa saya lamar? ah?",akademik,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Mei Xiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","Oh! Jika saya ingin mendaftar suatu program, di mana saya bisa login? Anda dapat mengajukan permohonan untuk jenis rencana pertama: rencana berwawasan ke depan, rencana pengembangan mendalam, dan rencana penelitian tematik; atau jenis rencana kedua: rencana benih terobosan utama dan rencana penelitian terobosan utama. Untuk informasi selengkapnya, silakan merujuk ke https://sub.daais.sinica.edu.tw/grants/index.html.

Oh! Bagaimana cara masuknya? Anda dapat mengunjungi https://asms.sinica.edu.tw/ untuk masuk dan mendaftar."
7,Aplikasi Proyek Kantor Akademik,Paket tipe 1 dan 2,Wow! Ternyata Academia Sinica menawarkan dua jenis program yang bisa Anda lamar! Apa sajakah kedua tipe tersebut? (Menari dengan penuh semangat),akademik,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Mei Xiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","OKE! Ada dua jenis proyek penelitian akademis kompetitif yang dapat diajukan oleh para peneliti Academia Sinica: jenis pertama adalah “Proyek Berwawasan ke Depan”, “Proyek Penelitian Mendalam” dan “Proyek Penelitian Tematik”; jenis kedua adalah “Proyek Benih Terobosan Utama” dan “Program Penelitian Terobosan Utama”. Untuk informasi selengkapnya, silakan merujuk ke https://sub.daais.sinica.edu.tw/grants/index.html.

Wow! Saya ingin masuk ke sistem manajemen layanan akademik! (Menari dengan serius)"
8,Aplikasi Proyek Kantor Akademik,Paket tipe 1 dan 2,Bagaimana saya mengetahui lebih detail tentang program aplikasi? (menatapmu penuh harap),akademik,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Mei Xiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","OKE! Saya akan dengan senang hati menjawabnya untuk Anda. Menurut peraturan Academia Sinica, ada dua jenis utama proyek penelitian akademis kompetitif yang dapat diterapkan oleh peneliti di institut: jenis pertama adalah ""rencana berwawasan ke depan"", ""rencana budidaya mendalam"" dan ""rencana penelitian tematik""; The tipe kedua adalah ""Proyek Benih Terobosan Utama"" dan ""Proyek Penelitian Terobosan Utama"". Untuk informasi selengkapnya, silakan merujuk ke https://sub.daais.sinica.edu.tw/grants/index.html."
9,Aplikasi Proyek Kantor Akademik,Paket tipe 1 dan 2,Situs web mana yang bisa saya lamar? (Mengernyit bingung),akademik,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Mei Xiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","OKE! Menurut deskripsi teks, Anda dapat mendaftar untuk program ini melalui Sistem Manajemen Layanan Akademik Academia Sinica (https://asms.sinica.edu.tw/)."
10,Aplikasi Proyek Kantor Akademik,Paket tipe 1 dan 2,ah!,akademik,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386
Jian Mei Xiu 02-27899676
Chen Yijun 02-27872612
Bai Qianhua 02-27872613","OKE! Berdasarkan uraian teks, jenis pendanaan proyek penelitian akademis kompetitif yang dapat diajukan oleh peneliti Academia Sinica mencakup jenis proyek pertama (proyek berwawasan ke depan, proyek budidaya mendalam, dan proyek penelitian tematik), dan jenis proyek kedua (proyek kunci). benih terobosan), rencana dan proyek penelitian terobosan utama). Mereka yang ingin mendaftar program ini dapat masuk ke sistem manajemen layanan akademik Academia Sinica."
11,Aplikasi Proyek Kantor Akademik-Proyek Tipe Pertama dan Kedua,perencanaan ke depan,rasa ingin tahu! Apa sebenarnya rencana masa depan Academia Sinica?,akademik,https://sub.daais.sinica.edu.tw/grants/cda.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386","Proyek Berwawasan ke Depan Academia Sinica adalah rencana Academia Sinica untuk merekrut dan melatih para sarjana muda untuk melakukan topik penelitian berwawasan ke depan dengan daya saing internasional dan untuk membina mereka menjadi talenta penelitian akademis terkemuka di dunia. Proyek ini mengadopsi sistem rekomendasi. Unit yang merekomendasikan harus mengikuti ""Poin-Poin Utama Operasi Proyek Berwawasan ke Depan Academia Sinica"" dan harus menyertakan dokumen seperti rencana penelitian, informasi resume pribadi, surat rekomendasi, dan notulen rapat bisnis kantor atau pusat. Periode pendaftaran adalah dari bulan Maret hingga Mei setiap tahun, dan mereka yang lulus tinjauan"
12,Aplikasi Proyek Kantor Akademik-Proyek Tipe Pertama dan Kedua,perencanaan ke depan,"─── Saya mendengar bahwa mereka merekrut dan mempromosikan sarjana muda dengan prestasi penelitian yang luar biasa, melaksanakan proyek penelitian berwawasan ke depan dengan daya saing internasional, dan membina mereka untuk menjadi talenta penelitian akademis terbaik di dunia!",akademik,https://sub.daais.sinica.edu.tw/grants/cda.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386","Bagus! Berdasarkan uraian teks di atas, saya menggunakan nada ""berwawasan ke depan"", ""sarjana muda"", ""kompetisi internasional"", ""atas"", dll., dan menghindari penggunaan partikel."
13,Aplikasi Proyek Kantor Akademik-Proyek Tipe Pertama dan Kedua,perencanaan ke depan,─── Apa yang harus dilakukan oleh unit pemberi rekomendasi? Anda dapat merujuk ke https://www.sinica.edu.tw/ch/articles/0!,akademik,https://sub.daais.sinica.edu.tw/grants/cda.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386","Setelah unit pemberi rekomendasi (satuan akademik atau sekolah) menerima formulir permohonan dari Academia Sinica, harap menangani urusan rekomendasi sesuai dengan ""Poin-Poin Penting Operasi Perencanaan Ke Depan Academia Sinica"". Pertama, harap kumpulkan informasi yang relevan dari pelamar, termasuk proposal penelitian, resume pribadi, katalog karya besar, surat rekomendasi, dan notulen rapat kantor atau pusat bisnis. Selanjutnya, harap susun materi ini menjadi 3 eksemplar, satu untuk Academia Sinica untuk ditinjau, satu untuk Dewan Sains Nasional untuk ditinjau, dan satu untuk Akademi."
14,Aplikasi Proyek Kantor Akademik-Proyek Tipe Pertama dan Kedua,perencanaan ke depan,─── Rencana tersebut adalah proyek pribadi dan harus bersifat jangka menengah.,akademik,https://sub.daais.sinica.edu.tw/grants/cda.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng 02-27899386","Berdasarkan uraian teks di atas, proyek ini adalah proyek individu berdurasi 5 tahun.Anda harus menjadi asisten peneliti penuh waktu di Academia Sinica, asisten peneliti tidak tetap yang baru direkrut, atau peneliti baru di setiap lembaga (divisi) atau pusat penelitian Academia Sinica Asisten peneliti dan peneliti asosiasi tidak tetap yang telah memasuki proses peninjauan rekrutmen kelompok akademik Academia Sinica. Lamaran harus mencakup proposal penelitian, informasi resume pribadi dan daftar karya besar yang diterbitkan dalam beberapa tahun terakhir, surat rekomendasi dan notulen rapat kantor atau pusat bisnis."
15,Aplikasi Proyek Kantor Akademik-Proyek Tipe Pertama dan Kedua,Rencana budidaya yang mendalam,"rasa ingin tahu! Apa sebenarnya rencana pengembangan mendalam Academia Sinica? Jika Anda melihat informasi di situs resminya, Anda akan mengetahui bahwa tujuan dari proyek ini adalah untuk ""mempromosikan dan membina peneliti-peneliti yang luar biasa dan potensial dalam jangka panjang di Academia Sinica"" sehingga mereka dapat mengabdikan diri pada ""penelitian tentang topik-topik penting di bidang ilmu kehidupan, ilmu matematika, humaniora dan ilmu sosial"" untuk waktu yang lama. Selain itu, ""di masa depan, kami akan memberikan kontribusi penting ke tingkat kelas dunia dalam penelitian topik-topik penting di bidang ilmu kehidupan, ilmu matematika, humaniora, dan ilmu sosial.”",akademik,https://www.sinica.edu.tw/ch/articles/231,Xu Jingping 02-27899351,"Program Pendalaman Academia Sinica adalah program penelitian individu yang didirikan oleh Academia Sinica untuk mempromosikan dan membina peneliti potensial dan berprestasi dalam jangka panjang di Academia Sinica. Tujuan dari program ini adalah untuk memungkinkan para peneliti terlibat dalam penelitian jangka panjang mengenai topik-topik penting di bidang pengetahuan dan memberikan kontribusi kelas dunia. Pemimpin proyek harus menjadi peneliti asosiasi penuh waktu atau lebih tinggi di Academia Sinica, dan periode lamarannya adalah dari bulan Maret hingga Mei setiap tahun.

Aplikasi proyek harus mencakup proposal penelitian, informasi biografi dan"
16,Aplikasi Proyek Kantor Akademik-Proyek Tipe Pertama dan Kedua,Rencana budidaya yang mendalam,"Tapi intinya adalah,",akademik,https://www.sinica.edu.tw/ch/articles/231,Xu Jingping 02-27899351,"Gunakan petunjuk berikut untuk menjawab pertanyaan menggunakan percakapan sehari-hari:

Program Karir Intensif Academia Sinica bertujuan untuk mempromosikan dan membina para peneliti yang berprestasi dan potensial dalam jangka panjang di Academia Sinica, sehingga mereka dapat mengabdikan diri pada penelitian orisinal tentang topik-topik penting di bidang pengetahuan untuk waktu yang lama, dan mengembangkan potensi penelitian mereka sepenuhnya. , dengan tujuan untuk penelitian masa depan dalam ilmu kehidupan, ilmu matematika, humaniora dan masyarakat.Dia telah memberikan kontribusi penting di tingkat kelas dunia dalam penelitian topik-topik penting dalam sains dan bidang lainnya.

Rencana budidaya mendalam mengadopsi sistem aplikasi Detail tentang aplikasi"
17,Aplikasi Proyek Kantor Akademik-Proyek Tipe Pertama dan Kedua,Proyek Penelitian Tematik,Keingintahuan! Bagaimana cara Academia Sinica memilih proyek?,akademik,https://sub.daais.sinica.edu.tw/grants/tp.html,"Zhao Wanling 02-27898067
Zeng Jinzheng 02-27899386
Jian Mei Xiu 02-27899676","Academia Sinica merumuskan prioritas permohonan proyek penelitian dan standar peninjauan berdasarkan prioritas penelitian dan bidang utamanya, serta menangani permohonan, peninjauan, dan persetujuan proyek penelitian sesuai dengan peraturan yang relevan seperti ""Ukuran Subsidi Penelitian Academia Sinica"" dan ""Penghargaan Akademik Academia Sinica"". Tindakan Subsidi"".
Pertama-tama, Academia Sinica menetapkan fokus dan kriteria peninjauan untuk rencana penelitian berdasarkan prioritas penelitian dan bidang utamanya, dan menangani penelitian sesuai dengan peraturan terkait seperti ""Ukuran Subsidi Penelitian Academia Sinica"" dan ""Subsidi Penghargaan Akademik Academia Sinica"". Pengukuran"""
