index,category,title,question,group,url,contact,answer
0,Domanda di progetto dell'ufficio accademico,Domanda di progetto dell'ufficio accademico,ah? Quali sono le tipologie di candidature per progetti di ricerca accademica presso Academia Sinica?,accademico,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng02-27899386
Li Jiayin 02-27899476
Jian Meixiu02-27899676
Chen Yijun 02-27872612
Bai Qianhua02-27872613
Zhang Yuanzhen 02-27872614","Secondo il testo di Academia Sinica, Academia Sinica incoraggia i ricercatori a investire attivamente e ha riprogrammato le tipologie di fondi competitivi per progetti di ricerca accademica applicabili all'Accademia dal 110, che si dividono in tre tipologie principali:
Il primo tipo: ricerca di base approfondita, ricerca dell'eccellenza, compresi piani lungimiranti, piani di approfondimento e piani di ricerca tematica.
Il secondo tipo: perseguire progressi in questioni chiave e campi emergenti, compresi piani di avviamento chiave e piani di ricerca chiave.
Tipo 3: orientato al compito"
1,Domanda di progetto dell'ufficio accademico,Domanda di progetto dell'ufficio accademico,Quali sono le tipologie di finanziamento dei programmi di ricerca accademica competitiva di Academia Sinica?,accademico,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng02-27899386
Li Jiayin 02-27899476
Jian Meixiu02-27899676
Chen Yijun 02-27872612
Bai Qianhua02-27872613
Zhang Yuanzhen 02-27872614","Secondo la descrizione testuale dell’Academia Sinica, i tipi di finanziamento del programma di ricerca accademica competitiva dell’Academia Sinica includono:
Il primo tipo: profondamente impegnato nella ricerca di base e nella ricerca dell’eccellenza; Il secondo tipo: Il tipo che persegue scoperte rivoluzionarie in questioni chiave e campi emergenti; Il terzo tipo: Orientato al compito."
2,Domanda di progetto dell'ufficio accademico,Domanda di progetto dell'ufficio accademico,"Perché il primo e il secondo tipo di progetti hanno gli stessi obiettivi di progetto, ma la prevalenza della selezione degli argomenti è diversa?",accademico,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng02-27899386
Li Jiayin 02-27899476
Jian Meixiu02-27899676
Chen Yijun 02-27872612
Bai Qianhua02-27872613
Zhang Yuanzhen 02-27872614","Secondo il regolamento dell'Academia Sinica, le fonti di finanziamento per i progetti del primo e del secondo tipo sono progetti competitivi e il rapporto di allocazione dei finanziamenti è del 50% e del 50%. Il rapporto di allocazione dei fondi del primo tipo di piano è del 50%, che viene utilizzato principalmente per sovvenzionare la ricerca di base, i piani lungimiranti, i piani di sviluppo approfondito e i piani di ricerca tematica; il rapporto di allocazione dei fondi del secondo tipo di piano è 50 %, che viene utilizzato principalmente per sovvenzionare progetti innovativi su argomenti chiave e campi emergenti, progetti chiave innovativi e progetti chiave di ricerca innovativi, ecc.
Perché"
3,Domanda di progetto dell'ufficio accademico,Domanda di progetto dell'ufficio accademico,"In che modo il terzo tipo di piano è ""pianificazione top-down orientata alle attività""?",accademico,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng02-27899386
Li Jiayin 02-27899476
Jian Meixiu02-27899676
Chen Yijun 02-27872612
Bai Qianhua02-27872613
Zhang Yuanzhen 02-27872614","Al fine di utilizzare in modo efficace le risorse e concentrarsi su aree di ricerca chiave, l'Academia Sinica ha pianificato tre tipi principali di piani, vale a dire ""coltivazione approfondita della ricerca di base"", ""perseguimento di scoperte in questioni chiave e campi emergenti"" e ""orientamento alla missione"". Tra questi, il terzo tipo di piano è ""task-orientato"", un piano top-down orientato ai compiti, ovvero l'impostazione della politica scientifica e tecnologica di Academia Sinica, la pianificazione e l'assegnazione dei fondi basata sulla politica scientifica e tecnologica di Academia Sinica , le principali politiche nazionali, i bisogni sociali, ecc.

Academia Sinica, ad esempio, può contare su"
4,Domanda di progetto dell'ufficio accademico,Domanda di progetto dell'ufficio accademico,Come viene determinata l'assegnazione dei finanziamenti per ciascun programma?,accademico,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng02-27899386
Li Jiayin 02-27899476
Jian Meixiu02-27899676
Chen Yijun 02-27872612
Bai Qianhua02-27872613
Zhang Yuanzhen 02-27872614","Secondo il regolamento di Academia Sinica, l'assegnazione dei fondi per ciascun progetto si basa sulla diversa tipologia di progetto, sull'integrazione individuale o di gruppo, sulla portata e profondità del piano di attuazione, sulla valutazione dei benefici e su altre condizioni. È attentamente pianificata e assegnata con riferimento a esperienza passata, analisi e revisione, quindi sarà rivisto con l'aiuto dei risultati della ricerca pratica pertinente dalla revisione del piano. Nello specifico, l’assegnazione dei finanziamenti per ciascun progetto è determinata sulla base dei seguenti principi:

Piani di tipo 1 e 2:

* Tutelare la libertà della ricerca accademica: proposta dal basso verso l'alto"
5,Domanda di progetto dell'ufficio accademico,Domanda di progetto dell'ufficio accademico,Durante il processo di revisione del piano si farà riferimento a,accademico,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Li Liwen 02-27892575
Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng02-27899386
Li Jiayin 02-27899476
Jian Meixiu02-27899676
Chen Yijun 02-27872612
Bai Qianhua02-27872613
Zhang Yuanzhen 02-27872614","Secondo il testo dell’Academia Sinica, l’assegnazione dei fondi per le tre principali tipologie di progetti sarà rigorosamente pianificata e assegnata in base alle diverse tipologie di progetto, all’integrazione individuale o di gruppo, alla portata e alla profondità del piano di attuazione e alla valutazione dei benefici. Tra questi, il primo tipo di piano è quello di proteggere la libertà della ricerca accademica e proporre idee dal basso verso l’alto; il secondo tipo di piano è quello di perseguire questioni chiave e scoperte nei campi emergenti ed è una pianificazione orientata ai compiti dall’alto verso il basso; il terzo tipo di piano è quello orientato ai compiti, organizzato dalla politica scientifica e tecnologica dell’Academia Sinica. Ogni piano"
6,Domanda di progetto dell'ufficio accademico,Piani di tipo 1 e 2,"OH! Quindi, se voglio fare domanda per un programma, dove devo accedere? Per quali due tipi di programmi posso richiedere? ah?",accademico,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng02-27899386
Jian Meixiu02-27899676
Chen Yijun 02-27872612
Bai Qianhua02-27872613","OH! Se voglio candidarmi per un programma, dove devo effettuare il login? È possibile presentare domanda per il primo tipo di piano: piano lungimirante, piano di sviluppo approfondito e piano di ricerca tematica; oppure il secondo tipo di piano: piano iniziale di innovazione chiave e piano di ricerca chiave di innovazione. Per informazioni dettagliate, fare riferimento a https://sub.daais.sinica.edu.tw/grants/index.html.

OH! Come mi connetto? Puoi andare su https://asms.sinica.edu.tw/ per accedere e candidarti."
7,Domanda di progetto dell'ufficio accademico,Piani di tipo 1 e 2,Oh! Si scopre che Academia Sinica offre due tipi di programmi a cui puoi candidarti! Quali sono i due tipi? (Ballando eccitato),accademico,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng02-27899386
Jian Meixiu02-27899676
Chen Yijun 02-27872612
Bai Qianhua02-27872613","OK! Esistono due tipologie di progetti di ricerca accademica competitivi a cui possono candidarsi i ricercatori di Academia Sinica: la prima tipologia è il “Progetto di Prospettiva”, il “Progetto di Ricerca di Approfondimento” e il “Progetto di Ricerca Tematica”; la seconda tipologia è il “Progetto Seme Chiave Innovativa” e “Programma di Ricerca Chiave Innovativa”. Per informazioni dettagliate, fare riferimento a https://sub.daais.sinica.edu.tw/grants/index.html.

Oh! Voglio accedere al sistema di gestione dei servizi accademici! (Ballando seriamente)"
8,Domanda di progetto dell'ufficio accademico,Piani di tipo 1 e 2,Come faccio a conoscere maggiori dettagli sul programma applicativo? (guardandoti in attesa),accademico,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng02-27899386
Jian Meixiu02-27899676
Chen Yijun 02-27872612
Bai Qianhua02-27872613","OK! Sarò felice di risponderti. Secondo il regolamento dell'Academia Sinica, esistono due principali tipologie di progetti di ricerca accademica competitiva che i ricercatori possono presentare all'istituto: la prima tipologia è costituita dai ""piani lungimiranti"", dai ""piani di coltivazione profonda"" e dai ""piani di ricerca tematica""; il secondo tipo è il ""Progetto chiave rivoluzionaria"" e il ""Progetto chiave rivoluzionaria di ricerca"". Per informazioni dettagliate, fare riferimento a https://sub.daais.sinica.edu.tw/grants/index.html."
9,Domanda di progetto dell'ufficio accademico,Piani di tipo 1 e 2,Per quale sito web posso candidarmi? (Accigliandosi confuso),accademico,https://sub.daais.sinica.edu.tw/grants/index.html,"Zhao Wanling 02-27898067
Xu Jingping 02-27899351
Zeng Jinzheng02-27899386
Jian Meixiu02-27899676
Chen Yijun 02-27872612
Bai Qianhua02-27872613","OK! Secondo la descrizione del testo, è possibile presentare domanda per il programma tramite il sistema di gestione dei servizi accademici di Academia Sinica (https://asms.sinica.edu.tw/)."
