index,category,title,question,group,url,contact,answer
0,アカデミック・オフィス・プロジェクト申請書,アカデミック・オフィス・プロジェクト申請書,ああ？中央研究院における学術研究プロジェクトの申請にはどのような種類がありますか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386
李嘉音 02-27899476
建美秀 02-27899676
チェン・イージュン 02-27872612
白千華 02-27872613
張元真 02-27872614","中央研究院の本文によると、中央研究院は研究者に積極的な投資を奨励し、110年以降に学術院に適用できる競争的学術研究プロジェクト資金の種類を再計画しており、大きく3つの種類に分けられる。
1 つ目のタイプ：綿密な基礎研究。将来を見据えた計画、綿密な計画、テーマ別研究計画など、卓越性を目指して努力します。
2 番目のタイプ: 主要なブレークスルー シード計画や主要なブレークスルー研究計画を含む、主要な課題および新興分野でのブレークスルーの追求。
タイプ 3: タスク指向"
1,アカデミック・オフィス・プロジェクト申請書,アカデミック・オフィス・プロジェクト申請書,中央研究院の競争的学術研究プログラムの資金提供の種類は何ですか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386
李嘉音 02-27899476
建美秀 02-27899676
チェン・イージュン 02-27872612
白千華 02-27872613
張元真 02-27872614","中央研究院の本文説明によると、中央研究院の競争的学術研究プログラムの資金提供タイプには以下が含まれます。
第一のタイプ：基礎研究に深く取り組み、卓越性を追求するタイプ 第二のタイプ：重要課題や新興分野のブレークスルーを追求するタイプ 第三のタイプ：課題志向"
2,アカデミック・オフィス・プロジェクト申請書,アカデミック・オフィス・プロジェクト申請書,1 番目のタイプのプロジェクトと 2 番目のタイプのプロジェクトは、プロジェクト目標が同じであるにもかかわらず、トピック選択の優位性が異なるのはなぜですか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386
李嘉音 02-27899476
建美秀 02-27899676
チェン・イージュン 02-27872612
白千華 02-27872613
張元真 02-27872614","中央研究院の規定によれば、第一種プロジェクトと第二種プロジェクトの資金源は競争プロジェクトであり、資金配分率は50％と50％である。第 1 種の計画の資金配分率は 50% であり、主に基礎研究、将来展望計画、詳細な開発計画、主題研究計画への補助に使用されます。第 2 種の計画の資金配分率は 50% です。 ％は主に、重要テーマや新興分野のブレークスループロジェクト、重要ブレークスルーシードプロジェクト、重要ブレークスルー研究プロジェクトなどへの助成に使用されます。
なぜなら"
3,アカデミック・オフィス・プロジェクト申請書,アカデミック・オフィス・プロジェクト申請書,3 番目のタイプの計画「トップダウンのタスク指向計画」はどうなるのでしょうか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386
李嘉音 02-27899476
建美秀 02-27899676
チェン・イージュン 02-27872612
白千華 02-27872613
張元真 02-27872614","資源を効果的に活用し、重点研究分野に集中するために、中央研究院は「基礎研究の深耕」、「重点課題と新興分野でのブレークスルーの追求」、「ミッション指向」という大きく3つの計画を立てている。その中で、3番目のタイプの計画は「課題指向」であり、トップダウンの課題指向の計画、つまり中央研究院の科学技術政策の配置、中央研究院の科学技術政策に基づいた資金の計画と配分である。 、国の主要政策、社会的ニーズなど。

たとえば、中央研究院は以下を信頼できます。"
4,アカデミック・オフィス・プロジェクト申請書,アカデミック・オフィス・プロジェクト申請書,各プログラムへの資金配分はどのように決定されますか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386
李嘉音 02-27899476
建美秀 02-27899676
チェン・イージュン 02-27872612
白千華 02-27872613
張元真 02-27872614","中央研究院の規定によると、各プロジェクトへの資金の配分は、プロジェクトの種類、個人またはチームの統合、実施計画の規模と深さ、利益評価などの条件に基づいて行われ、以下を参照して慎重に計画され、配分されます。過去の経験と分析とレビューが行われ、計画レビューから関連する実践的な研究結果の助けを借りて修正されます。具体的には、各プロジェクトの資金配分は次の原則に基づいて決定されます。

タイプ 1 および 2 プラン:

※学術研究の自由の保護：ボトムアップで提案"
5,アカデミック・オフィス・プロジェクト申請書,アカデミック・オフィス・プロジェクト申請書,計画のレビュープロセス中に、次の事項が参照されます。,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.htmll,"李立文 02-27892575
趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386
李嘉音 02-27899476
建美秀 02-27899676
チェン・イージュン 02-27872612
白千華 02-27872613
張元真 02-27872614",中央研究院の文書によると、3つの主要なタイプのプロジェクトへの資金の配分は、さまざまなプロジェクトの種類、個人またはチームの統合、実施計画の規模と深さ、利益評価に基づいて厳密に計画され、割り当てられます。このうち、前者の計画は、学術研究の自由を守り、ボトムアップでアイデアを提案するものであり、第二の計画は、新興分野の重要課題とブレークスルーを追求し、上から下までタスク指向で計画するものである。 3 番目の計画は、中央研究院の科学技術政策によって組織された課題指向型です。各プラン
6,アカデミック・オフィス・プロジェクト申請書,タイプ1・2プラン,おお！では、プログラムに申し込みたい場合は、どこにログインすればよいのでしょうか?どのような 2 種類のプログラムに応募できますか?ああ？,アカデミック,https://sub.daais.sinica.edu.tw/grants/index.html,"趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386
建美秀 02-27899676
チェン・イージュン 02-27872612
白千華 02-27872613","おお！プログラムに申し込みたい場合、どこにログインすればよいですか? 1 つ目のタイプの計画: 将来志向計画、詳細開発計画、テーマ別研究計画、または 2 つ目のタイプの計画: 重要ブレークスルー シード計画、重要ブレークスルー研究計画に申請できます。詳細については、https://sub.daais.sinica.edu.tw/grants/index.htmlを参照してください。

おお！どうやってログオンしますか？ https://asms.sinica.edu.tw/ にアクセスしてログインして申請できます。"
7,アカデミック・オフィス・プロジェクト申請書,タイプ1・2プラン,おお！中央研究院では、申請できるプログラムが2種類あることが分かりました。 2 種類とは何ですか? (興奮して踊る),アカデミック,https://sub.daais.sinica.edu.tw/grants/index.html,"趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386
建美秀 02-27899676
チェン・イージュン 02-27872612
白千華 02-27872613","わかりました！中央研究院の研究者が応募できる競争的学術研究プロジェクトには 2 つのタイプがあり、1 つ目は「前向きプロジェクト」、「深層研究プロジェクト」、「テーマ研究プロジェクト」で、2 つ目は「研究プロジェクト」です。 「キー・ブレークスルー・シード・プロジェクト」および「キー・ブレークスルー研究プログラム」。詳細については、https://sub.daais.sinica.edu.tw/grants/index.htmlを参照してください。

おお！学術サービス管理システムにログインしたい！ (真剣に踊ってます)"
8,アカデミック・オフィス・プロジェクト申請書,タイプ1・2プラン,アプリケーション プログラムの詳細を知るにはどうすればよいですか? (期待してあなたを見て),アカデミック,https://sub.daais.sinica.edu.tw/grants/index.html,"趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386
建美秀 02-27899676
チェン・イージュン 02-27872612
白千華 02-27872613",わかりました！喜んでお答えさせていただきます。中央研究院の規定によれば、研究者が同研究所に申請できる競争的学術研究プロジェクトには主に2つのタイプがある。1つ目は「将来展望計画」、「深耕計画」、「テーマ研究計画」である。 2つ目は「キーブレークスルーシードプロジェクト」と「キーブレークスルー研究プロジェクト」です。詳細については、https://sub.daais.sinica.edu.tw/grants/index.htmlを参照してください。
9,アカデミック・オフィス・プロジェクト申請書,タイプ1・2プラン,どのサイトから申し込めますか？ (困惑して顔をしかめた),アカデミック,https://sub.daais.sinica.edu.tw/grants/index.html,"趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386
建美秀 02-27899676
チェン・イージュン 02-27872612
白千華 02-27872613",わかりました！テキストの説明によると、中央研究院学術サービス管理システム (https://asms.sinica.edu.tw/) を通じてプログラムに申し込むことができます。
10,アカデミック・オフィス・プロジェクト申請書,タイプ1・2プラン,ああ！,アカデミック,https://sub.daais.sinica.edu.tw/grants/index.html,"趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386
建美秀 02-27899676
チェン・イージュン 02-27872612
白千華 02-27872613",わかりました！本文の説明によると、中央研究院の研究者が申請できる競争的学術研究プロジェクト資金の種類には、第 1 種プロジェクト（将来志向プロジェクト、深耕プロジェクト、テーマ研究プロジェクト）と第 2 種プロジェクト（重要研究プロジェクト）が含まれます。画期的なシーズ）、計画および主要な画期的な研究プロジェクト）。プログラムへの申し込みを希望する方は、中央研究院の学術サービス管理システムにログインしてください。
11,アカデミック・オフィス・プロジェクト申請－第一種・第二種事業,将来の計画,好奇心！中央研究院の将来を見据えた計画とは一体何でしょうか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/cda.html,"趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386",中央研究院先進プロジェクトは、国際競争力を備えた先進的な研究テーマを遂行し、世界トップの学術研究人材に育成する若い学者を採用・育成する中央研究院の計画です。本プロジェクトは推薦制度を採用しており、推薦単位は「中央研究院前向きプロジェクト運営要点」に準拠し、研究計画書、履歴書情報、推薦状、事務局またはセンターの業務会議議事録などの書類を提出する必要がある。応募期間は毎年3月から5月で、審査を通過した者のみとなります。
12,アカデミック・オフィス・プロジェクト申請－第一種・第二種事業,将来の計画,────優れた研究業績を持つ若手研究者を採用・登用し、国際競争力を備えた先進的な研究プロジェクトを実施し、世界トップクラスの学術研究人材を育成していると聞きました！,アカデミック,https://sub.daais.sinica.edu.tw/grants/cda.html,"趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386",良い！上記の本文記述を踏まえ、「先進的」「若手学者」「国際競争」「トップ」などの語調を用い、助詞の使用は避けました。
13,アカデミック・オフィス・プロジェクト申請－第一種・第二種事業,将来の計画,────推薦部隊は何をすればいいのでしょうか？ https://www.sinica.edu.tw/ch/articles/0 を参照してください。,アカデミック,https://sub.daais.sinica.edu.tw/grants/cda.html,"趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386",推薦単位（学術単位または学校）は中央研究院から申請書を受領後、「中央研究院の今後の計画業務の要点」に従って推薦事項を処理してください。まず、申請者から研究提案書、個人履歴書、主な著作のカタログ、推薦状、オフィスまたはセンターのビジネス会議の議事録などの関連情報を収集してください。次に、これらの資料を中央研究院の審査用、国家学術会議の審査用、学術院用の 3 部にまとめてください。
14,アカデミック・オフィス・プロジェクト申請－第一種・第二種事業,将来の計画,────この計画は個人的なプロジェクトであり、中期的なものでなければなりません。,アカデミック,https://sub.daais.sinica.edu.tw/grants/cda.html,"趙万玲 02-27898067
徐京平 02-27899351
曾晋正 02-27899386",上記本文説明によると、本プロジェクトは5年間の個人プロジェクトであり、中央研究院の常勤研究員、新規採用の非常勤研究員、または各研究所（部門）の新規採用研究員であることが条件となります。中央研究院の学術グループの採用審査プロセスに参加した研究助手および非常勤准研究員。申請書には、研究提案書、個人の履歴書情報、近年出版された主な著作のリスト、推薦状、オフィスまたはセンターのビジネス会議の議事録が含まれている必要があります。
15,アカデミック・オフィス・プロジェクト申請－第一種・第二種事業,深耕プラン,好奇心！中央研究院の深耕計画とは一体何なのでしょうか？公式ウェブサイトの情報を見ると、このプロジェクトの目的は、「中央研究院の優秀な潜在的研究者を促進し、長期的に育成し、彼らが「世界の重要なテーマに関する研究」に専念できるようにすること」であることがわかります。 「私たちは、生命科学、数理科学、人文社会科学の分野で長年にわたって研究を続けてきました。また、将来的には、生命科学、数理科学、人文科学、社会科学です。」,アカデミック,https://www.sinica.edu.tw/ch/articles/231,徐京平 02-27899351,"中央研究院深化プログラムは、中央研究院の優れた潜在的な研究者を促進し、長期的に育成するために中央研究院が設立した個別の研究プログラムです。このプログラムの目的は、研究者が知識分野の重要なテーマについて長期的な研究に従事し、世界クラスの貢献をできるようにすることです。プロジェクトリーダーは中央研究院の常勤准研究員以上とされ、応募期間は毎年3月から5月まで。

プロジェクトの申請書には、研究提案書、経歴情報、および"
16,アカデミック・オフィス・プロジェクト申請－第一種・第二種事業,深耕プラン,しかし、重要なのは、,アカデミック,https://www.sinica.edu.tw/ch/articles/231,徐京平 02-27899351,"次の手順に従って、日常会話を使用して質問に答えてください。

中央研究院集中キャリアプログラムは、中央研究院の優秀で将来性のある研究者を昇進し、長期的に育成し、知識分野の重要なテーマについて独自の研究に長期間専念し、研究の可能性を十分に発揮できるようにすることを目的としています。生命科学、数理科学、人文科学、社会における将来の研究を視野に入れ、科学およびその他の分野の重要なテーマの研究において世界クラスのレベルで重要な貢献を行ってきました。

深耕プランは申請制を採用しております。"
17,アカデミック・オフィス・プロジェクト申請－第一種・第二種事業,テーマ別研究プロジェクト,好奇心！中央研究院はどのようにプロジェクトを選択しますか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/tp.html,"趙万玲 02-27898067
曾晋正 02-27899386
建美秀 02-27899676","中央研究院は、研究の優先順位と重点分野に基づいて研究プロジェクトの募集優先順位と審査基準を策定し、「中央研究院研究助成措置」や「中央研究院学術賞」などの関連規定に従って研究プロジェクトの募集、審査、承認を処理します。補助金措置」。
まず、中央研究院は、研究の優先順位と重点分野に基づいて研究計画の焦点と検討基準を設定し、「中央研究院研究補助金措置」や「中央研究院学術賞補助金」などの関連規定に従って研究を処理します。対策"""
18,アカデミック・オフィス・プロジェクト申請－第一種・第二種事業,テーマ別研究プロジェクト,はぁ？中央研究院のプログラムの応募締め切りがこんなに早いのはなぜですか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/tp.html,"趙万玲 02-27898067
曾晋正 02-27899386
建美秀 02-27899676","中央研究院のプログラムの申請期間は非常に早く始まりますが、これは主に申請者に十分な準備時間を与え、審査委員会が予備審査、再審査、および 3 つの学術団体による共同最終審査を行うのに十分な時間を与えるためです。一般的に事業の応募期間は3月から5月が多く、4月上旬に意向表明書を提出し、5月上旬に計画書を提出します。

例えば、「テーマ研究プロジェクト」の募集期間は3月から5月ですが、「個人研究プロジェクト」と「"
19,アカデミック・オフィス・プロジェクト申請－第一種・第二種事業,テーマ別研究プロジェクト,そうですね、個人研究プロジェクトの応募上限額は○万件だそうですが、すごい数字ですね！,アカデミック,https://sub.daais.sinica.edu.tw/grants/tp.html,"趙万玲 02-27898067
曾晋正 02-27899386
建美秀 02-27899676",わかりました！本文によると、個別研究プロジェクトの申請上限額は500万台湾ドル、単一の統合研究プロジェクトの申請上限額は800万台湾ドルとなっている。
