index,category,title,question,group,url,contact,answer
0,Заявка на проект академического офиса,Заявка на проект академического офиса,а? Каковы типы заявок на академические исследовательские проекты в Academia Sinica?,академический,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Ли Ливэнь: 02-27892575
Чжао Ванлин: 02-27898067
Сюй Цзинпин: 02-27899351
Цзэн Цзиньчжэн: 02-27899386
Ли Цзяинь: 02-27899476
Цзянь Мэйсю 02-27899676
Чэнь Ицзюнь, 02-27872612
Бай Цяньхуа: 02-27872613
Чжан Юаньчжэнь: 02-27872614","Согласно тексту Academia Sinica, Academia Sinica поощряет исследователей активно инвестировать и перепланировала типы конкурсных фондов академических исследовательских проектов, которые могут быть применены к академии со 110 года, которые разделены на три основных типа:
Первый тип: глубокие фундаментальные исследования, стремление к совершенству, включая перспективные планы, углубленные планы и планы тематических исследований.
Второй тип: стремление к прорывам в ключевых вопросах и новых областях, включая ключевые прорывные посевные планы и ключевые прорывные исследовательские планы.
Тип 3: Целенаправленный"
1,Заявка на проект академического офиса,Заявка на проект академического офиса,Каковы виды финансирования конкурсных академических исследовательских программ Academia Sinica?,академический,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Ли Ливэнь: 02-27892575
Чжао Ванлин: 02-27898067
Сюй Цзинпин: 02-27899351
Цзэн Цзиньчжэн: 02-27899386
Ли Цзяинь: 02-27899476
Цзянь Мэйсю 02-27899676
Чэнь Ицзюнь, 02-27872612
Бай Цяньхуа: 02-27872613
Чжан Юаньчжэнь: 02-27872614","Согласно текстовому описанию Academia Sinica, типы финансирования конкурсных академических исследовательских программ Academia Sinica включают:
Первый тип: глубоко вовлечен в фундаментальные исследования и стремится к совершенству; второй тип: тип, который добивается прорывов в ключевых вопросах и новых областях; третий тип: ориентирован на задачу."
2,Заявка на проект академического офиса,Заявка на проект академического офиса,"Почему первый и второй типы проектов имеют одинаковые цели, но доминирование в выборе тем разное?",академический,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Ли Ливэнь: 02-27892575
Чжао Ванлин: 02-27898067
Сюй Цзинпин: 02-27899351
Цзэн Цзиньчжэн: 02-27899386
Ли Цзяинь: 02-27899476
Цзянь Мэйсю 02-27899676
Чэнь Ицзюнь, 02-27872612
Бай Цяньхуа: 02-27872613
Чжан Юаньчжэнь: 02-27872614","Согласно регламенту Academia Sinica, источниками финансирования проектов первого и второго типа являются конкурсные проекты, а соотношение распределения финансирования составляет 50% и 50%. Коэффициент распределения финансирования первого типа плана составляет 50%, который в основном используется для субсидирования фундаментальных исследований, перспективных планов, планов углубленного развития и планов тематических исследований; коэффициент распределения финансирования второго типа плана составляет 50. %, который в основном используется для субсидирования прорывных проектов по ключевым темам и новым областям, ключевых прорывных посевных проектов, ключевых прорывных исследовательских проектов и т. д.
потому что"
3,Заявка на проект академического офиса,Заявка на проект академического офиса,"Как выглядит третий тип плана — «планирование, ориентированное на задачи сверху вниз»?",академический,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Ли Ливэнь: 02-27892575
Чжао Ванлин: 02-27898067
Сюй Цзинпин: 02-27899351
Цзэн Цзиньчжэн: 02-27899386
Ли Цзяинь: 02-27899476
Цзянь Мэйсю 02-27899676
Чэнь Ицзюнь, 02-27872612
Бай Цяньхуа: 02-27872613
Чжан Юаньчжэнь: 02-27872614","Чтобы эффективно использовать ресурсы и сосредоточиться на ключевых областях исследований, Academia Sinica запланировала три основных типа планов, а именно «углубленное развитие фундаментальных исследований», «достижение прорывов в ключевых вопросах и новых областях» и «ориентированные на выполнение миссии». Среди них третий тип плана - «ориентированный на задачи», нисходящий план, ориентированный на задачи, то есть план научно-технической политики Academia Sinica, планирование и распределение средств на основе научно-технической политики Academia Sinica. , основные национальные политики, социальные потребности и т. д.

Например, Academia Sinica может положиться на"
4,Заявка на проект академического офиса,Заявка на проект академического офиса,Как определяется распределение финансирования по каждой программе?,академический,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Ли Ливэнь: 02-27892575
Чжао Ванлин: 02-27898067
Сюй Цзинпин: 02-27899351
Цзэн Цзиньчжэн: 02-27899386
Ли Цзяинь: 02-27899476
Цзянь Мэйсю 02-27899676
Чэнь Ицзюнь, 02-27872612
Бай Цяньхуа: 02-27872613
Чжан Юаньчжэнь: 02-27872614","Согласно правилам Academia Sinica, распределение средств для каждого проекта основано на различных типах проектов, индивидуальной или командной интеграции, масштабе и глубине плана реализации, оценке выгод и других условиях. Оно тщательно планируется и распределяется со ссылкой на прошлый опыт, анализ и обзор, а затем он будет пересмотрен с помощью соответствующих результатов практических исследований по итогам обзора плана. В частности, распределение финансирования для каждого проекта определяется на основе следующих принципов:

Планы типа 1 и 2:

* Защита свободы академических исследований: предлагается снизу вверх."
5,Заявка на проект академического офиса,Заявка на проект академического офиса,В процессе рассмотрения плана будет сделана ссылка на,академический,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Ли Ливэнь: 02-27892575
Чжао Ванлин: 02-27898067
Сюй Цзинпин: 02-27899351
Цзэн Цзиньчжэн: 02-27899386
Ли Цзяинь: 02-27899476
Цзянь Мэйсю 02-27899676
Чэнь Ицзюнь, 02-27872612
Бай Цяньхуа: 02-27872613
Чжан Юаньчжэнь: 02-27872614","Согласно тексту Academia Sinica, выделение средств на три основных типа проектов будет тщательно планироваться и распределяться на основе различных типов проектов, индивидуальной или командной интеграции, масштаба и глубины плана реализации, а также оценки выгод. Среди них первый тип плана заключается в защите свободы академических исследований и предложении идей снизу вверх, второй тип плана заключается в решении ключевых проблем и прорывов в новых областях и представляет собой целенаправленное планирование сверху вниз; Третий тип плана — это план, ориентированный на задачи, организованный научно-технической политикой Академии Синика. Каждый план"
6,Заявка на проект академического офиса,Планы типа 1 и 2,"ой! Итак, если я хочу подать заявку на участие в программе, где мне войти? На какие два типа программ я могу подать заявку? а?",академический,https://sub.daais.sinica.edu.tw/grants/index.html,"Чжао Ванлин: 02-27898067
Сюй Цзинпин: 02-27899351
Цзэн Цзиньчжэн: 02-27899386
Цзянь Мэйсю 02-27899676
Чэнь Ицзюнь, 02-27872612
Бай Цяньхуа: 02-27872613","ой! Если я хочу подать заявку на участие в программе, где мне войти? Вы можете подать заявку на первый тип плана: перспективный план, план углубленного развития и план тематических исследований; или второй тип плана: план ключевых прорывных исследований и план ключевых прорывных исследований. Подробную информацию можно найти по адресу https://sub.daais.sinica.edu.tw/grants/index.html.

ой! Как мне залогиниться? Вы можете перейти на https://asms.sinica.edu.tw/, чтобы войти в систему и подать заявку."
7,Заявка на проект академического офиса,Планы типа 1 и 2,"Ух ты! Оказывается, Academia Sinica предлагает два типа программ, на которые вы можете подать заявку! Каковы эти два типа? (Танец воодушевленно)",академический,https://sub.daais.sinica.edu.tw/grants/index.html,"Чжао Ванлин: 02-27898067
Сюй Цзинпин: 02-27899351
Цзэн Цзиньчжэн: 02-27899386
Цзянь Мэйсю 02-27899676
Чэнь Ицзюнь, 02-27872612
Бай Цяньхуа: 02-27872613","ХОРОШО! Существует два типа конкурсных академических исследовательских проектов, на которые могут подать заявку исследователи Academia Sinica: первый тип — это «Перспективный проект», «Проект углубленного исследования» и «Тематический исследовательский проект»; второй тип — это «Ключевой прорывной семенной проект»» и «Ключевая прорывная исследовательская программа». Подробную информацию можно найти по адресу https://sub.daais.sinica.edu.tw/grants/index.html.

Ух ты! Я хочу войти в систему управления академическими услугами! (Танец серьезно)"
8,Заявка на проект академического офиса,Планы типа 1 и 2,Как узнать более подробную информацию о прикладной программе? (выжидающе смотрит на тебя),академический,https://sub.daais.sinica.edu.tw/grants/index.html,"Чжао Ванлин: 02-27898067
Сюй Цзинпин: 02-27899351
Цзэн Цзиньчжэн: 02-27899386
Цзянь Мэйсю 02-27899676
Чэнь Ицзюнь, 02-27872612
Бай Цяньхуа: 02-27872613","ХОРОШО! Я буду рад ответить вам на него. Согласно правилам Academia Sinica, существует два основных типа конкурсных академических исследовательских проектов, которые исследователи могут подать в институт: первый тип — это «перспективные планы», «планы глубокого развития» и «планы тематических исследований»; второй тип — это «Ключевой прорывной семенной проект» и «Ключевой прорывной исследовательский проект». Подробную информацию можно найти по адресу https://sub.daais.sinica.edu.tw/grants/index.html."
9,Заявка на проект академического офиса,Планы типа 1 и 2,На какой сайт я могу подать заявку? (Нахмурившись в растерянности),академический,https://sub.daais.sinica.edu.tw/grants/index.html,"Чжао Ванлин: 02-27898067
Сюй Цзинпин: 02-27899351
Цзэн Цзиньчжэн: 02-27899386
Цзянь Мэйсю 02-27899676
Чэнь Ицзюнь, 02-27872612
Бай Цяньхуа: 02-27872613","ХОРОШО! Согласно текстовому описанию, вы можете подать заявку на участие в программе через систему управления академическими услугами Academia Sinica (https://asms.sinica.edu.tw/)."
10,Заявка на проект академического офиса,Планы типа 1 и 2,ах!,академический,https://sub.daais.sinica.edu.tw/grants/index.html,"Чжао Ванлин: 02-27898067
Сюй Цзинпин: 02-27899351
Цзэн Цзиньчжэн: 02-27899386
Цзянь Мэйсю 02-27899676
Чэнь Ицзюнь, 02-27872612
Бай Цяньхуа: 02-27872613","ХОРОШО! Согласно текстовому описанию, типы конкурсного финансирования академических исследовательских проектов, на которые могут подать заявку исследователи Academia Sinica, включают проекты первого типа (перспективные проекты, проекты глубокого развития и тематические исследовательские проекты) и второй тип проектов (ключевые проекты). прорывные семена), планы и ключевые прорывные исследовательские проекты). Желающие подать заявку на участие в программе могут войти в систему управления академическими услугами Academia Sinica."
