index,category,title,question,group,url,contact,answer
0,ใบสมัครโครงการสำนักงานวิชาการ,ใบสมัครโครงการสำนักงานวิชาการ,อา? การสมัครโครงการวิจัยทางวิชาการที่ Academia Sinica มีกี่ประเภท?,เชิงวิชาการ,https://sub.daais.sinica.edu.tw/grants/about.htmll,"หลี่ลี่เหวิน 02-27892575
จ้าวว่านหลิง 02-27898067
ซูจิงปิง 02-27899351
เจิ้ง จินเจิง 02-27899386
หลี่ เจียยิน 02-27899476
เจี้ยน เหม่ยซิ่ว 02-27899676
เฉิน ยี่จุน 02-27872612
ไป๋เฉียนฮวา 02-27872613
จาง หยวนเจิน 02-27872614","ตามข้อความของ Academia Sinica นั้น Academia Sinica สนับสนุนให้นักวิจัยลงทุนอย่างแข็งขัน และได้วางแผนใหม่เกี่ยวกับประเภทของกองทุนโครงการวิจัยเชิงวิชาการที่มีการแข่งขันสูง ซึ่งสามารถนำไปใช้กับสถาบันได้ตั้งแต่ปี 110 ซึ่งแบ่งออกเป็นสามประเภทหลัก:
ประเภทแรก: การวิจัยขั้นพื้นฐานเชิงลึก มุ่งมั่นสู่ความเป็นเลิศ รวมถึงแผนการมองไปข้างหน้า แผนเชิงลึก และแผนการวิจัยเฉพาะเรื่อง
ประเภทที่สอง: การแสวงหาความก้าวหน้าในประเด็นสำคัญและสาขาที่เกิดขึ้นใหม่ รวมถึงแผนเมล็ดพันธุ์ที่ก้าวหน้าที่สำคัญ และแผนการวิจัยที่ก้าวหน้าที่สำคัญ
ประเภทที่ 3: มุ่งเน้นงาน"
1,ใบสมัครโครงการสำนักงานวิชาการ,ใบสมัครโครงการสำนักงานวิชาการ,ประเภทเงินทุนสำหรับโครงการวิจัยทางวิชาการที่มีการแข่งขันสูงของ Academia Sinica มีอะไรบ้าง,เชิงวิชาการ,https://sub.daais.sinica.edu.tw/grants/about.htmll,"หลี่ลี่เหวิน 02-27892575
จ้าวว่านหลิง 02-27898067
ซูจิงปิง 02-27899351
เจิ้ง จินเจิง 02-27899386
หลี่ เจียยิน 02-27899476
เจี้ยน เหม่ยซิ่ว 02-27899676
เฉิน ยี่จุน 02-27872612
ไป๋เฉียนฮวา 02-27872613
จาง หยวนเจิน 02-27872614","ตามคำอธิบายของ Academia Sinica ประเภทเงินทุนสำหรับโครงการวิจัยเชิงวิชาการที่มีการแข่งขันสูงของ Academia Sinica ได้แก่:
ประเภทแรก: มีส่วนร่วมอย่างลึกซึ้งในการวิจัยขั้นพื้นฐานและมุ่งมั่นสู่ความเป็นเลิศ ประเภทที่สอง: ประเภทที่แสวงหาความก้าวหน้าในประเด็นสำคัญและสาขาที่เกิดขึ้นใหม่ ประเภทที่สาม: มุ่งเน้นงาน"
2,ใบสมัครโครงการสำนักงานวิชาการ,ใบสมัครโครงการสำนักงานวิชาการ,เหตุใดโครงการประเภทที่หนึ่งและสองจึงมีเป้าหมายโครงการเหมือนกัน แต่ความโดดเด่นในการเลือกหัวข้อแตกต่างกัน,เชิงวิชาการ,https://sub.daais.sinica.edu.tw/grants/about.htmll,"หลี่ลี่เหวิน 02-27892575
จ้าวว่านหลิง 02-27898067
ซูจิงปิง 02-27899351
เจิ้ง จินเจิง 02-27899386
หลี่ เจียยิน 02-27899476
เจี้ยน เหม่ยซิ่ว 02-27899676
เฉิน ยี่จุน 02-27872612
ไป๋เฉียนฮวา 02-27872613
จาง หยวนเจิน 02-27872614","ตามข้อบังคับของ Academia Sinica แหล่งเงินทุนสำหรับโครงการประเภทที่หนึ่งและสองเป็นโครงการที่มีการแข่งขัน และอัตราส่วนการจัดสรรเงินทุนคือ 50% และ 50% อัตราส่วนการจัดสรรเงินทุนของแผนประเภทแรกคือ 50% ซึ่งส่วนใหญ่จะใช้เพื่ออุดหนุนการวิจัยขั้นพื้นฐาน แผนเชิงคาดการณ์ล่วงหน้า แผนพัฒนาเชิงลึก และแผนการวิจัยเฉพาะเรื่อง อัตราส่วนการจัดสรรเงินทุนของแผนประเภทที่สองคือ 50 % ซึ่งส่วนใหญ่จะใช้สำหรับอุดหนุนโครงการที่ก้าวหน้าในหัวข้อสำคัญและสาขาที่เกิดขึ้นใหม่ โครงการเมล็ดพันธุ์ที่ก้าวหน้าที่สำคัญ และโครงการวิจัยที่ก้าวหน้าที่สำคัญ ฯลฯ
เพราะ"
3,ใบสมัครโครงการสำนักงานวิชาการ,ใบสมัครโครงการสำนักงานวิชาการ,แผนประเภทที่ 3 “การวางแผนเชิงงานจากบนลงล่าง” เป็นอย่างไร?,เชิงวิชาการ,https://sub.daais.sinica.edu.tw/grants/about.htmll,"หลี่ลี่เหวิน 02-27892575
จ้าวว่านหลิง 02-27898067
ซูจิงปิง 02-27899351
เจิ้ง จินเจิง 02-27899386
หลี่ เจียยิน 02-27899476
เจี้ยน เหม่ยซิ่ว 02-27899676
เฉิน ยี่จุน 02-27872612
ไป๋เฉียนฮวา 02-27872613
จาง หยวนเจิน 02-27872614","เพื่อที่จะใช้ทรัพยากรอย่างมีประสิทธิภาพและมุ่งเน้นไปที่สาขาการวิจัยที่สำคัญ Academia Sinica ได้วางแผนแผนหลัก 3 ประเภท ได้แก่ ""การฝึกฝนการวิจัยขั้นพื้นฐานอย่างลึกซึ้ง"" ""การแสวงหาความก้าวหน้าในประเด็นสำคัญและสาขาที่กำลังเกิดใหม่"" และ ""ที่มุ่งเน้นพันธกิจ"" ในหมู่พวกเขา แผนประเภทที่สามคือ ""เน้นงาน"" ซึ่งเป็นแผนเน้นงานจากบนลงล่าง นั่นคือ เค้าโครงนโยบายวิทยาศาสตร์และเทคโนโลยีของ Academia Sinica การวางแผนและการจัดสรรเงินทุนตามนโยบายวิทยาศาสตร์และเทคโนโลยีของ Academia Sinica นโยบายระดับชาติที่สำคัญ ความต้องการทางสังคม ฯลฯ

ตัวอย่างเช่น Academia Sinica สามารถพึ่งพาได้"
4,ใบสมัครโครงการสำนักงานวิชาการ,ใบสมัครโครงการสำนักงานวิชาการ,การจัดสรรเงินทุนสำหรับแต่ละโปรแกรมมีการกำหนดอย่างไร?,เชิงวิชาการ,https://sub.daais.sinica.edu.tw/grants/about.htmll,"หลี่ลี่เหวิน 02-27892575
จ้าวว่านหลิง 02-27898067
ซูจิงปิง 02-27899351
เจิ้ง จินเจิง 02-27899386
หลี่ เจียยิน 02-27899476
เจี้ยน เหม่ยซิ่ว 02-27899676
เฉิน ยี่จุน 02-27872612
ไป๋เฉียนฮวา 02-27872613
จาง หยวนเจิน 02-27872614","ตามข้อบังคับของ Academia Sinica การจัดสรรเงินทุนสำหรับแต่ละโครงการขึ้นอยู่กับประเภทโครงการที่แตกต่างกัน การรวมบุคคลหรือทีม ขนาดและความลึกของแผนการดำเนินงาน การประเมินผลประโยชน์ และเงื่อนไขอื่น ๆ มีการวางแผนและจัดสรรอย่างรอบคอบโดยอ้างอิงกับ ประสบการณ์ที่ผ่านมาและการวิเคราะห์และการทบทวน จากนั้นจะได้รับการแก้ไขโดยอาศัยผลการวิจัยเชิงปฏิบัติที่เกี่ยวข้องจากการทบทวนแผน โดยเฉพาะการจัดสรรเงินทุนสำหรับแต่ละโครงการจะพิจารณาจากหลักการดังต่อไปนี้:

แผนประเภท 1 และ 2:

* ปกป้องเสรีภาพการวิจัยทางวิชาการ: เสนอจากล่างขึ้นบน"
5,ใบสมัครโครงการสำนักงานวิชาการ,ใบสมัครโครงการสำนักงานวิชาการ,ในระหว่างกระบวนการทบทวนแผน จะมีการอ้างอิงถึง,เชิงวิชาการ,https://sub.daais.sinica.edu.tw/grants/about.htmll,"หลี่ลี่เหวิน 02-27892575
จ้าวว่านหลิง 02-27898067
ซูจิงปิง 02-27899351
เจิ้ง จินเจิง 02-27899386
หลี่ เจียยิน 02-27899476
เจี้ยน เหม่ยซิ่ว 02-27899676
เฉิน ยี่จุน 02-27872612
ไป๋เฉียนฮวา 02-27872613
จาง หยวนเจิน 02-27872614",ตามข้อความของ Academia Sinica การจัดสรรเงินทุนสำหรับโครงการหลักสามประเภทจะได้รับการวางแผนและจัดสรรอย่างเข้มงวดโดยพิจารณาจากประเภทโครงการที่แตกต่างกัน การบูรณาการระหว่างบุคคลหรือทีม ขนาดและความลึกของแผนการดำเนินงาน และการประเมินผลประโยชน์ แผนประเภทแรกคือการปกป้องเสรีภาพในการวิจัยทางวิชาการและเสนอแนวคิดจากล่างขึ้นบน แผนประเภทที่สองคือการติดตามประเด็นสำคัญและความก้าวหน้าในสาขาเกิดใหม่และเป็นการวางแผนเชิงงานจากบนลงล่าง แผนประเภทที่สามคือประเภทเน้นงาน ซึ่งจัดโดยนโยบายวิทยาศาสตร์และเทคโนโลยีของ Academia Sinica แต่ละแผน
6,ใบสมัครโครงการสำนักงานวิชาการ,แผนประเภทที่ 1 และ 2,โอ้! แล้วถ้าจะสมัครโปรแกรมต้องล็อกอินที่ไหนครับ? ฉันสามารถสมัครโปรแกรมได้สองประเภทใดบ้าง อา?,เชิงวิชาการ,https://sub.daais.sinica.edu.tw/grants/index.html,"จ้าวว่านหลิง 02-27898067
ซูจิงปิง 02-27899351
เจิ้ง จินเจิง 02-27899386
เจี้ยน เหม่ยซิ่ว 02-27899676
เฉิน ยี่จุน 02-27872612
ไป๋เฉียนฮวา 02-27872613","โอ้! หากต้องการสมัครโปรแกรมต้องเข้าสู่ระบบที่ไหน? คุณสามารถสมัครแผนประเภทแรก: แผนคาดการณ์ล่วงหน้า แผนพัฒนาเชิงลึก และแผนการวิจัยเฉพาะเรื่อง หรือแผนประเภทที่สอง: แผนเมล็ดพันธุ์การพัฒนาที่สำคัญ และแผนการวิจัยที่ก้าวหน้าที่สำคัญ สำหรับข้อมูลโดยละเอียด โปรดดูที่ https://sub.daais.sinica.edu.tw/grants/index.html

โอ้! ฉันจะเข้าสู่ระบบได้อย่างไร? คุณสามารถไปที่ https://asms.sinica.edu.tw/ เพื่อเข้าสู่ระบบและสมัคร"
7,ใบสมัครโครงการสำนักงานวิชาการ,แผนประเภทที่ 1 และ 2,ว้าว! ปรากฎว่า Academia Sinica มีโปรแกรมสองประเภทที่คุณสามารถสมัครได้! ทั้งสองประเภทมีอะไรบ้าง? (เต้นอย่างตื่นเต้น),เชิงวิชาการ,https://sub.daais.sinica.edu.tw/grants/index.html,"จ้าวว่านหลิง 02-27898067
ซูจิงปิง 02-27899351
เจิ้ง จินเจิง 02-27899386
เจี้ยน เหม่ยซิ่ว 02-27899676
เฉิน ยี่จุน 02-27872612
ไป๋เฉียนฮวา 02-27872613","ตกลง! มีโครงการวิจัยเชิงแข่งขันสองประเภทที่นักวิจัยของ Academia Sinica สามารถสมัครได้: ประเภทแรกคือ ""โครงการคาดการณ์ล่วงหน้า"", ""โครงการวิจัยเชิงลึก"" และ ""โครงการวิจัยเฉพาะเรื่อง""; ประเภทที่สองคือ “โครงการเมล็ดพันธุ์การพัฒนาที่สำคัญ” ” และ “โครงการวิจัยการพัฒนาที่สำคัญ” สำหรับข้อมูลโดยละเอียด โปรดดูที่ https://sub.daais.sinica.edu.tw/grants/index.html

ว้าว! ฉันต้องการเข้าสู่ระบบการจัดการบริการวิชาการ! (เต้นจริงจัง)"
8,ใบสมัครโครงการสำนักงานวิชาการ,แผนประเภทที่ 1 และ 2,ฉันจะทราบรายละเอียดเพิ่มเติมเกี่ยวกับโปรแกรมแอปพลิเคชันได้อย่างไร (มองคุณอย่างคาดหวัง),เชิงวิชาการ,https://sub.daais.sinica.edu.tw/grants/index.html,"จ้าวว่านหลิง 02-27898067
ซูจิงปิง 02-27899351
เจิ้ง จินเจิง 02-27899386
เจี้ยน เหม่ยซิ่ว 02-27899676
เฉิน ยี่จุน 02-27872612
ไป๋เฉียนฮวา 02-27872613","ตกลง! ฉันยินดีที่จะตอบมันให้คุณ ตามข้อบังคับของ Academia Sinica โครงการวิจัยทางวิชาการที่มีการแข่งขันสูงมีสองประเภทหลักที่นักวิจัยสามารถนำไปใช้กับสถาบันได้ ประเภทแรกคือ ""แผนการมองไปข้างหน้า"" ""แผนการเพาะปลูกเชิงลึก"" และ ""แผนการวิจัยเฉพาะเรื่อง""; ประเภทที่สองคือ ""โครงการเมล็ดพันธุ์การพัฒนาที่สำคัญ"" และ ""โครงการวิจัยการพัฒนาที่สำคัญ"" สำหรับข้อมูลโดยละเอียด โปรดดูที่ https://sub.daais.sinica.edu.tw/grants/index.html"
9,ใบสมัครโครงการสำนักงานวิชาการ,แผนประเภทที่ 1 และ 2,ฉันสามารถสมัครเว็บไซต์ใดได้บ้าง? (ขมวดคิ้วด้วยความสับสน),เชิงวิชาการ,https://sub.daais.sinica.edu.tw/grants/index.html,"จ้าวว่านหลิง 02-27898067
ซูจิงปิง 02-27899351
เจิ้ง จินเจิง 02-27899386
เจี้ยน เหม่ยซิ่ว 02-27899676
เฉิน ยี่จุน 02-27872612
ไป๋เฉียนฮวา 02-27872613",ตกลง! ตามคำอธิบายข้อความ คุณสามารถสมัครโปรแกรมผ่านระบบการจัดการบริการวิชาการ Academia Sinica (https://asms.sinica.edu.tw/)
