index,category,title,question,group,url,contact,answer
0,Заявка на проект академічного офісу,Заявка на проект академічного офісу,а? Які є типи заявок на академічні дослідницькі проекти в Academia Sinica?,академічний,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Лі Лівен 02-27892575
Чжао Ванлін 02-27898067
Сюй Цзіньпін 02-27899351
Цзен Цзіньчжен 02-27899386
Лі Цзяінь 02-27899476
Цзянь Мейсю 02-27899676
Чень Іцзюнь 02-27872612
Бай Цяньхуа 02-27872613
Чжан Юаньжень 02-27872614","Відповідно до тексту Academia Sinica, Academia Sinica заохочує дослідників активно інвестувати та перепланувала типи конкурентоспроможних фондів академічних дослідницьких проектів, які можуть бути використані в академії з 110 року, які поділяються на три основні типи:
Перший тип: поглиблені фундаментальні дослідження, прагнення до досконалості, включаючи перспективні плани, поглиблені плани та тематичні плани досліджень.
Другий тип: пошук проривів у ключових питаннях і нових сферах, включаючи ключові початкові плани прориву та ключові плани проривних досліджень.
Тип 3: орієнтований на завдання"
1,Заявка на проект академічного офісу,Заявка на проект академічного офісу,Які типи фінансування конкурентоспроможних програм академічних досліджень Academia Sinica?,академічний,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Лі Лівен 02-27892575
Чжао Ванлін 02-27898067
Сюй Цзіньпін 02-27899351
Цзен Цзіньчжен 02-27899386
Лі Цзяінь 02-27899476
Цзянь Мейсю 02-27899676
Чень Іцзюнь 02-27872612
Бай Цяньхуа 02-27872613
Чжан Юаньжень 02-27872614","Відповідно до текстового опису Academia Sinica, типи фінансування конкурсної програми академічних досліджень Academia Sinica включають:
Перший тип: глибоко залучені до фундаментальних досліджень і прагнення до досконалості; другий тип: тип, який прагне до прориву в ключових питаннях і нових сферах; третій тип: орієнтований на завдання."
2,Заявка на проект академічного офісу,Заявка на проект академічного офісу,"Чому перший і другий типи проектів мають однакові цілі проекту, але домінування вибору тем різне?",академічний,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Лі Лівен 02-27892575
Чжао Ванлін 02-27898067
Сюй Цзіньпін 02-27899351
Цзен Цзіньчжен 02-27899386
Лі Цзяінь 02-27899476
Цзянь Мейсю 02-27899676
Чень Іцзюнь 02-27872612
Бай Цяньхуа 02-27872613
Чжан Юаньжень 02-27872614","Згідно з положеннями Academia Sinica, джерелами фінансування проектів першого та другого типу є конкурсні проекти, а співвідношення розподілу фінансування становить 50% та 50%. Коефіцієнт розподілу фінансування плану першого типу становить 50%, який в основному використовується для субсидування фундаментальних досліджень, перспективних планів, планів поглибленого розвитку та планів тематичних досліджень; коефіцієнт розподілу фінансування плану другого типу становить 50 %, який в основному використовується для субсидування проривних проектів з ключових тем і нових сфер, ключових проривних початкових проектів і ключових проривних дослідницьких проектів тощо.
оскільки"
3,Заявка на проект академічного офісу,Заявка на проект академічного офісу,"Як виглядає третій тип плану «планування, орієнтоване на завдання зверху вниз»?",академічний,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Лі Лівен 02-27892575
Чжао Ванлін 02-27898067
Сюй Цзіньпін 02-27899351
Цзен Цзіньчжен 02-27899386
Лі Цзяінь 02-27899476
Цзянь Мейсю 02-27899676
Чень Іцзюнь 02-27872612
Бай Цяньхуа 02-27872613
Чжан Юаньжень 02-27872614","Для того, щоб ефективно використовувати ресурси та зосереджуватися на ключових областях досліджень, Academia Sinica запланувала три основні типи планів, а саме «поглиблене розвиток фундаментальних досліджень», «переслідування проривів у ключових питаннях і нових галузях» і «орієнтований на місію». Серед них третій тип плану — «орієнтований на завдання», план, орієнтований на завдання зверху вниз, тобто план науково-технічної політики Academia Sinica, планування та розподіл коштів на основі науково-технічної політики Academia Sinica. , основні національні політики, соціальні потреби тощо.

Наприклад, на Academia Sinica можна покластися"
4,Заявка на проект академічного офісу,Заявка на проект академічного офісу,Як визначається розподіл фінансування для кожної програми?,академічний,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Лі Лівен 02-27892575
Чжао Ванлін 02-27898067
Сюй Цзіньпін 02-27899351
Цзен Цзіньчжен 02-27899386
Лі Цзяінь 02-27899476
Цзянь Мейсю 02-27899676
Чень Іцзюнь 02-27872612
Бай Цяньхуа 02-27872613
Чжан Юаньжень 02-27872614","Згідно з правилами Academia Sinica, розподіл коштів для кожного проекту базується на різних типах проектів, інтеграції окремого або командного проекту, масштабі та глибині плану реалізації, оцінці вигод та інших умовах. Він ретельно планується та розподіляється з посиланням на минулого досвіду, аналізу та перегляду, а потім його буде переглянуто за допомогою відповідних практичних результатів дослідження з перегляду плану. Зокрема, розподіл фінансування для кожного проекту визначається на основі таких принципів:

Плани типу 1 і 2:

* Захист свободи академічних досліджень: запропоновано знизу вгору"
5,Заявка на проект академічного офісу,Заявка на проект академічного офісу,У процесі перегляду плану буде зроблено посилання на,академічний,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Лі Лівен 02-27892575
Чжао Ванлін 02-27898067
Сюй Цзіньпін 02-27899351
Цзен Цзіньчжен 02-27899386
Лі Цзяінь 02-27899476
Цзянь Мейсю 02-27899676
Чень Іцзюнь 02-27872612
Бай Цяньхуа 02-27872613
Чжан Юаньжень 02-27872614","Відповідно до тексту Academia Sinica, виділення коштів на три основні типи проектів буде чітко сплановано та розподілено на основі різних типів проектів, індивідуальної чи командної інтеграції, масштабу та глибини плану впровадження та оцінки вигод. Серед них перший тип плану полягає у захисті свободи академічних досліджень і висуненні ідей «знизу вгору», другий тип плану полягає у вирішенні ключових проблем і проривів у нових галузях і є орієнтованим на виконання завдань плануванням «зверху вниз»; третій тип плану – це орієнтований на завдання тип, організований науково-технологічною політикою Academia Sinica. Кожен план"
6,Заявка на проект академічного офісу,Плани 1 і 2 типу,"о! Отже, якщо я хочу подати заявку на участь у програмі, де мені ввійти? На які два типи програм я можу подати заявку? а?",академічний,https://sub.daais.sinica.edu.tw/grants/index.html,"Чжао Ванлін 02-27898067
Сюй Цзіньпін 02-27899351
Цзен Цзіньчжен 02-27899386
Цзянь Мейсю 02-27899676
Чень Іцзюнь 02-27872612
Бай Цяньхуа 02-27872613","о! Якщо я хочу подати заявку на участь у програмі, де мені ввійти? Ви можете подати заявку на перший тип плану: перспективний план, план поглибленого розвитку та план тематичного дослідження; або другий тип плану: ключовий план прориву та план ключових проривних досліджень. Для отримання детальної інформації зверніться до https://sub.daais.sinica.edu.tw/grants/index.html.

о! Як мені увійти? Ви можете перейти на сторінку https://asms.sinica.edu.tw/, щоб увійти та подати заявку."
7,Заявка на проект академічного офісу,Плани 1 і 2 типу,"Ого! Виявляється, Academia Sinica пропонує два типи програм, на які можна подати заявку! Які є два типи? (Захоплено танцює)",академічний,https://sub.daais.sinica.edu.tw/grants/index.html,"Чжао Ванлін 02-27898067
Сюй Цзіньпін 02-27899351
Цзен Цзіньчжен 02-27899386
Цзянь Мейсю 02-27899676
Чень Іцзюнь 02-27872612
Бай Цяньхуа 02-27872613","В ПОРЯДКУ! Існує два типи конкурентоспроможних академічних дослідницьких проектів, на які дослідники Academia Sinica можуть подати заявку: перший тип — це «Перспективний проект», «Поглиблений дослідницький проект» і «Тематичний дослідницький проект»; другий тип — «Ключовий проривний початковий проект» та «Ключова проривна дослідницька програма». Для отримання детальної інформації зверніться до https://sub.daais.sinica.edu.tw/grants/index.html.

Ого! Я хочу увійти в систему управління академічними послугами! (Танцює серйозно)"
8,Заявка на проект академічного офісу,Плани 1 і 2 типу,Як дізнатися більше про прикладну програму? (дивиться на вас з очікуванням),академічний,https://sub.daais.sinica.edu.tw/grants/index.html,"Чжао Ванлін 02-27898067
Сюй Цзіньпін 02-27899351
Цзен Цзіньчжен 02-27899386
Цзянь Мейсю 02-27899676
Чень Іцзюнь 02-27872612
Бай Цяньхуа 02-27872613","В ПОРЯДКУ! Я з радістю відповім вам. Згідно з правилами Academia Sinica, існує два основних типи конкурсних академічних дослідницьких проектів, які дослідники можуть подавати до інституту: перший тип — це «перспективні плани», «плани глибокого вирощування» та «тематичні плани досліджень»; другий тип — «Ключовий проривний початковий проект» і «Ключовий проривний дослідницький проект». Для отримання детальної інформації зверніться до https://sub.daais.sinica.edu.tw/grants/index.html."
9,Заявка на проект академічного офісу,Плани 1 і 2 типу,На який веб-сайт я можу подати заявку? (Розгублено хмуриться),академічний,https://sub.daais.sinica.edu.tw/grants/index.html,"Чжао Ванлін 02-27898067
Сюй Цзіньпін 02-27899351
Цзен Цзіньчжен 02-27899386
Цзянь Мейсю 02-27899676
Чень Іцзюнь 02-27872612
Бай Цяньхуа 02-27872613","В ПОРЯДКУ! Відповідно до текстового опису, ви можете подати заявку на участь у програмі через систему управління академічними послугами Academia Sinica (https://asms.sinica.edu.tw/)."
