index,category,title,question,group,url,contact,answer
0,Ứng dụng dự án văn phòng học thuật,Ứng dụng dự án văn phòng học thuật,Ah? Các loại ứng dụng dự án nghiên cứu học thuật tại Academia Sinica là gì?,học thuật,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Lý Lệ Văn 02-27892575
Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386
Lý Gia Âm 02-27899476
Jian Meixiu 02-27899676
Trần Nhất Quân 02-27872612
Bạch Thiên Hoa 02-27872613
Trương Viên Chân 02-27872614","Theo văn bản của Academia Sinica, Academia Sinica khuyến khích các nhà nghiên cứu tích cực đầu tư và đã lên kế hoạch lại các loại quỹ dự án nghiên cứu học thuật cạnh tranh có thể áp dụng cho học viện kể từ năm 110, được chia thành ba loại chính:
Loại thứ nhất: nghiên cứu cơ bản chuyên sâu, phấn đấu xuất sắc, bao gồm kế hoạch hướng tới tương lai, kế hoạch chuyên sâu và kế hoạch nghiên cứu chuyên đề.
Loại thứ hai: theo đuổi đột phá trong các vấn đề then chốt, lĩnh vực mới nổi, bao gồm kế hoạch hạt giống đột phá trọng điểm và kế hoạch nghiên cứu đột phá trọng điểm.
Loại 3: Định hướng nhiệm vụ"
1,Ứng dụng dự án văn phòng học thuật,Ứng dụng dự án văn phòng học thuật,Các loại tài trợ cho chương trình nghiên cứu học thuật cạnh tranh của Academia Sinica là gì?,học thuật,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Lý Lệ Văn 02-27892575
Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386
Lý Gia Âm 02-27899476
Jian Meixiu 02-27899676
Trần Nhất Quân 02-27872612
Bạch Thiên Hoa 02-27872613
Trương Viên Chân 02-27872614","Theo mô tả văn bản của Academia Sinica, các loại tài trợ cho chương trình nghiên cứu học thuật cạnh tranh của Academia Sinica bao gồm:
Loại thứ nhất: Tham gia sâu vào nghiên cứu cơ bản và phấn đấu đạt đến sự xuất sắc; Loại thứ hai: Loại người theo đuổi những đột phá trong các vấn đề then chốt và lĩnh vực mới nổi; Loại thứ ba: Định hướng theo nhiệm vụ."
2,Ứng dụng dự án văn phòng học thuật,Ứng dụng dự án văn phòng học thuật,Tại sao loại dự án thứ nhất và thứ hai có mục tiêu dự án giống nhau nhưng ưu thế lựa chọn chủ đề lại khác nhau?,học thuật,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Lý Lệ Văn 02-27892575
Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386
Lý Gia Âm 02-27899476
Jian Meixiu 02-27899676
Trần Nhất Quân 02-27872612
Bạch Thiên Hoa 02-27872613
Trương Viên Chân 02-27872614","Theo quy định của Academia Sinica, nguồn tài trợ cho dự án loại 1 và loại 2 là các dự án cạnh tranh, tỷ lệ phân bổ kinh phí là 50% và 50%. Tỷ lệ phân bổ kinh phí của loại kế hoạch thứ nhất là 50%, chủ yếu được sử dụng để trợ cấp cho nghiên cứu cơ bản, kế hoạch hướng tới tương lai, kế hoạch phát triển chiều sâu và kế hoạch nghiên cứu chuyên đề; tỷ lệ phân bổ kinh phí của loại kế hoạch thứ hai là 50. %, chủ yếu được sử dụng để Trợ cấp cho các dự án đột phá về các chủ đề trọng điểm và lĩnh vực mới nổi, các dự án hạt giống đột phá trọng điểm và các dự án nghiên cứu đột phá trọng điểm, v.v.
bởi vì"
3,Ứng dụng dự án văn phòng học thuật,Ứng dụng dự án văn phòng học thuật,"Loại kế hoạch thứ ba là ""lập kế hoạch theo định hướng nhiệm vụ từ trên xuống"" như thế nào?",học thuật,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Lý Lệ Văn 02-27892575
Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386
Lý Gia Âm 02-27899476
Jian Meixiu 02-27899676
Trần Nhất Quân 02-27872612
Bạch Thiên Hoa 02-27872613
Trương Viên Chân 02-27872614","Để sử dụng hiệu quả các nguồn lực và tập trung vào các lĩnh vực nghiên cứu trọng điểm, Academia Sinica đã lên kế hoạch cho 3 loại kế hoạch chính là “nuôi dưỡng sâu nghiên cứu cơ bản”, “theo đuổi đột phá trong các vấn đề chính và lĩnh vực mới nổi” và “định hướng sứ mệnh”. Trong số đó, loại kế hoạch thứ ba là ""định hướng nhiệm vụ"", kế hoạch định hướng nhiệm vụ từ trên xuống, tức là bố cục chính sách khoa học và công nghệ của Academia Sinica, lập kế hoạch và phân bổ kinh phí dựa trên chính sách khoa học và công nghệ của Academia Sinica , các chính sách lớn của quốc gia, nhu cầu xã hội, v.v.

Ví dụ: Academia Sinica có thể dựa vào"
4,Ứng dụng dự án văn phòng học thuật,Ứng dụng dự án văn phòng học thuật,Việc phân bổ kinh phí cho từng chương trình được xác định như thế nào?,học thuật,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Lý Lệ Văn 02-27892575
Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386
Lý Gia Âm 02-27899476
Jian Meixiu 02-27899676
Trần Nhất Quân 02-27872612
Bạch Thiên Hoa 02-27872613
Trương Viên Chân 02-27872614","Theo quy định của Academia Sinica, việc phân bổ vốn cho từng dự án dựa trên các loại dự án khác nhau, sự tích hợp của cá nhân hoặc nhóm, quy mô và độ sâu của kế hoạch thực hiện, đánh giá lợi ích và các điều kiện khác. kinh nghiệm trước đây, phân tích và đánh giá, sau đó Nó sẽ được sửa đổi với sự trợ giúp của các kết quả nghiên cứu thực tế có liên quan từ việc xem xét kế hoạch. Cụ thể, việc phân bổ kinh phí cho từng dự án được xác định dựa trên các nguyên tắc sau:

Phương án loại 1 và loại 2:

* Bảo vệ quyền tự do nghiên cứu học thuật: đề xuất từ ​​dưới lên"
5,Ứng dụng dự án văn phòng học thuật,Ứng dụng dự án văn phòng học thuật,"Trong quá trình xem xét kế hoạch, sẽ tham khảo",học thuật,https://sub.daais.sinica.edu.tw/grants/about.htmll,"Lý Lệ Văn 02-27892575
Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386
Lý Gia Âm 02-27899476
Jian Meixiu 02-27899676
Trần Nhất Quân 02-27872612
Bạch Thiên Hoa 02-27872613
Trương Viên Chân 02-27872614","Theo văn bản của Academia Sinica, việc phân bổ vốn cho ba loại dự án chính sẽ được lên kế hoạch và phân bổ chặt chẽ dựa trên các loại dự án khác nhau, sự tích hợp của cá nhân hoặc nhóm, quy mô và độ sâu của kế hoạch thực hiện cũng như đánh giá lợi ích. Trong đó, loại kế hoạch thứ nhất là bảo vệ quyền tự do nghiên cứu học thuật và đề xuất ý tưởng từ dưới lên, loại kế hoạch thứ hai là theo đuổi các vấn đề then chốt và đột phá trong các lĩnh vực mới nổi và là lập kế hoạch theo định hướng nhiệm vụ từ trên xuống dưới; loại kế hoạch thứ ba là Loại kế hoạch định hướng nhiệm vụ, được tổ chức theo chính sách khoa học và công nghệ của Academia Sinica. Mỗi kế hoạch"
6,Ứng dụng dự án văn phòng học thuật,Kế hoạch loại 1 và 2,Ồ! Vậy nếu tôi muốn đăng ký tham gia chương trình thì tôi phải đăng nhập ở đâu? Tôi có thể đăng ký hai loại chương trình nào? Ah?,học thuật,https://sub.daais.sinica.edu.tw/grants/index.html,"Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386
Jian Meixiu 02-27899676
Trần Nhất Quân 02-27872612
Bạch Thiên Hoa 02-27872613","Ồ! Nếu tôi muốn đăng ký một chương trình, tôi phải đăng nhập ở đâu? Bạn có thể đăng ký loại kế hoạch thứ nhất: kế hoạch hướng tới tương lai, kế hoạch phát triển chuyên sâu và kế hoạch nghiên cứu chuyên đề; hoặc loại kế hoạch thứ hai: kế hoạch hạt giống đột phá trọng điểm và kế hoạch nghiên cứu đột phá trọng điểm. Để biết thông tin chi tiết, vui lòng tham khảo https://sub.daais.sinica.edu.tw/grants/index.html.

Ồ! Làm cách nào để đăng nhập? Bạn có thể truy cập https://asms.sinica.edu.tw/ để đăng nhập và đăng ký."
7,Ứng dụng dự án văn phòng học thuật,Kế hoạch loại 1 và 2,Ồ! Hóa ra Academia Sinica cung cấp hai loại chương trình mà bạn có thể đăng ký! Hai loại đó là gì? (Nhảy múa hào hứng),học thuật,https://sub.daais.sinica.edu.tw/grants/index.html,"Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386
Jian Meixiu 02-27899676
Trần Nhất Quân 02-27872612
Bạch Thiên Hoa 02-27872613","ĐƯỢC RỒI! Có hai loại dự án nghiên cứu học thuật mang tính cạnh tranh mà các nhà nghiên cứu của Academia Sinica có thể đăng ký: loại thứ nhất là “Dự án hướng tới tương lai”, “Dự án nghiên cứu chuyên sâu” và “Dự án nghiên cứu chuyên đề”; loại thứ hai là “Dự án hạt giống đột phá quan trọng” và “Chương trình nghiên cứu đột phá quan trọng”. Để biết thông tin chi tiết, vui lòng tham khảo https://sub.daais.sinica.edu.tw/grants/index.html.

Ồ! Tôi muốn đăng nhập vào hệ thống quản lý dịch vụ học thuật! (Nhảy múa nghiêm túc)"
8,Ứng dụng dự án văn phòng học thuật,Kế hoạch loại 1 và 2,Làm cách nào để biết thêm chi tiết về chương trình đăng ký? (nhìn bạn chờ đợi),học thuật,https://sub.daais.sinica.edu.tw/grants/index.html,"Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386
Jian Meixiu 02-27899676
Trần Nhất Quân 02-27872612
Bạch Thiên Hoa 02-27872613","ĐƯỢC RỒI! Tôi sẽ vui lòng trả lời nó cho bạn. Theo quy định của Academia Sinica, có hai loại dự án nghiên cứu học thuật mang tính cạnh tranh chính mà các nhà nghiên cứu có thể áp dụng vào viện: loại thứ nhất là “kế hoạch hướng tới tương lai”, “kế hoạch tu luyện sâu” và “kế hoạch nghiên cứu chuyên đề”; loại thứ hai là “Dự án hạt giống đột phá then chốt” và “Dự án nghiên cứu đột phá then chốt”. Để biết thông tin chi tiết, vui lòng tham khảo https://sub.daais.sinica.edu.tw/grants/index.html."
9,Ứng dụng dự án văn phòng học thuật,Kế hoạch loại 1 và 2,Tôi có thể đăng ký trang web nào? (Cúi đầu bối rối),học thuật,https://sub.daais.sinica.edu.tw/grants/index.html,"Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386
Jian Meixiu 02-27899676
Trần Nhất Quân 02-27872612
Bạch Thiên Hoa 02-27872613","ĐƯỢC RỒI! Theo mô tả văn bản, bạn có thể đăng ký chương trình thông qua Hệ thống quản lý dịch vụ học thuật Academia Sinica (https://asms.sinica.edu.tw/)."
10,Ứng dụng dự án văn phòng học thuật,Kế hoạch loại 1 và 2,Ah!,học thuật,https://sub.daais.sinica.edu.tw/grants/index.html,"Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386
Jian Meixiu 02-27899676
Trần Nhất Quân 02-27872612
Bạch Thiên Hoa 02-27872613","ĐƯỢC RỒI! Theo mô tả văn bản, các loại tài trợ cho dự án nghiên cứu học thuật cạnh tranh mà các nhà nghiên cứu của Academia Sinica có thể đăng ký bao gồm loại dự án đầu tiên (dự án hướng tới tương lai, dự án trồng trọt sâu và dự án nghiên cứu chuyên đề) và loại dự án thứ hai (chính hạt giống đột phá), kế hoạch và các đề tài nghiên cứu trọng điểm đột phá). Những người muốn đăng ký chương trình có thể đăng nhập vào hệ thống quản lý dịch vụ học thuật của Academia Sinica."
11,Ứng dụng dự án văn phòng học thuật-Dự án loại thứ nhất và thứ hai,lập kế hoạch trước,sự tò mò! Chính xác thì kế hoạch hướng tới tương lai của Academia Sinica là gì?,học thuật,https://sub.daais.sinica.edu.tw/grants/cda.html,"Triệu Vạn Linh 02-27898067
Xu Jingping 02-27899351
Tăng Kim Chính 02-27899386","Dự án Hướng tới tương lai của Academia Sinica là kế hoạch của Academia Sinica nhằm tuyển dụng và đào tạo các học giả trẻ để thực hiện các chủ đề nghiên cứu hướng tới tương lai với khả năng cạnh tranh quốc tế và đào tạo họ thành những tài năng nghiên cứu học thuật hàng đầu thế giới. Dự án này áp dụng hệ thống khuyến nghị. Các đơn vị đề xuất phải tuân theo ""Những điểm chính trong hoạt động của Dự án hướng tới tương lai của Academia Sinica"" và phải bao gồm các tài liệu như kế hoạch nghiên cứu, thông tin sơ yếu lý lịch cá nhân, thư giới thiệu và biên bản cuộc họp kinh doanh của văn phòng hoặc trung tâm. Thời gian nộp đơn là từ tháng 3 đến tháng 5 hàng năm và những người vượt qua bài đánh giá"
