category,title,question,group,url,contact,answer
計畫申請,申請,中研院的競爭型學術研究計畫經費共有幾種類型？,學術,https://sub.daais.sinica.edu.tw/grants/about.htmll,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386 簡玫秀 02-27899676 陳羿君 02-27872612 白倩華 02-27872613 張元貞 02-27872614 李立文 02-27872575 李家茵 02-27899476 ,"中研院的競爭型學術研究計畫經費分為三大類型，分別為第一類型：深耕基礎研究，精益求精型，包含前瞻計畫、深耕計畫與主題研究計畫；
第二類型：追求關鍵議題與新興領域突破型，包含關鍵突破種子計畫與關鍵突破研究計畫；
第三類型：任務導向型，包含永續科學研究計畫、任務導向生技研究計畫、因應流行病研究計畫、材料與分析科技探索計畫(iMATE)與數位人文研究計畫。"
計畫申請,申請,中研院是如何依據不同計畫類型分配經費？,學術,https://sub.daais.sinica.edu.tw/grants/comparison.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386 簡玫秀 02-27899676 陳羿君 02-27872612 白倩華 02-27872613 張元貞 02-27872614 李立文 02-27872575 李家茵 02-27899476 ,中研院在分配經費時，會根據計畫的類型、是個人型還是團隊整合型、計畫的規模和深度、效益評估等因素來安排。他們會參考過去的經驗和分析檢討來嚴謹規劃分配，同時納入計畫審議的相關實務研究成果並加以修正。此外，他們還會進行期中報告審查、執行期滿報告評鑑、計畫變更和經費管控等追蹤管考評核作業，對每個計畫都有滾動式調整補助金額的機制，以確保最佳運作效益。
計畫申請,申請,我想申請第一、二類型計畫經費，要怎麼開始？,學術,https://sub.daais.sinica.edu.tw/grants/index.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386 李家茵 02-27899476 簡玫秀 02-27899676 陳羿君 02-27872612 白倩華 02-27872613,如果你想申請第一、二、三類型計畫經費，可以先上這個網站了解各計畫簡介、申請方式及時程等：https://sub.daais.sinica.edu.tw/grants/index.html。 申請時要登錄中研院學術服務管理系統，網址是：https://asms.sinica.edu.tw/。然後按照系統的指引進行申請就可以了。
計畫申請,審查,審查作業是如何分成三個階段進行？,學術,https://sub.daais.sinica.edu.tw/grants/about.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386 簡玫秀 02-27899676 陳羿君 02-27872612 白倩華 02-27872613 張元貞 02-27872614 李立文 02-27872575 李家茵 02-27899476 ,審查作業分成三個階段，先由計畫領域的專家進行書面審查，然後進入複審階段，最後進行決審。
計畫申請,審查,審查重點主要是解決哪些方面的問題？,學術,https://sub.daais.sinica.edu.tw/grants/about.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386 簡玫秀 02-27899676 陳羿君 02-27872612 白倩華 02-27872613 張元貞 02-27872614 李立文 02-27872575 李家茵 02-27899476 ,審查重點主要是解決重要關鍵問題、創新程度、預期影響程度和國際競爭力等方面的問題。
計畫申請,審查,創新程度和國際競爭力如何評估呢？,學術,https://sub.daais.sinica.edu.tw/grants/about.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386 簡玫秀 02-27899676 陳羿君 02-27872612 白倩華 02-27872613 張元貞 02-27872614 李立文 02-27872575 李家茵 02-27899476 ,創新程度和國際競爭力的評估主要是透過計畫領域專家書面審查，然後再經過複審和決審三個階段。在這個過程中，複審委員會會根據各類計畫的表現和主題相近程度進行討論評比，再加上中研院的觀點，以確保評估的公平性和有效性。
計畫申請,審查,新制度下，各類研究計畫是如何由三個學組委員會評比？,學術,https://sub.daais.sinica.edu.tw/grants/about.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386 簡玫秀 02-27899676 陳羿君 02-27872612 白倩華 02-27872613 張元貞 02-27872614 李立文 02-27872575 李家茵 02-27899476 ,在新制度下，各類研究計畫是由數理科學、生命科學和人文社會科學三個學組的複審委員會進行討論評比，並結合中研院的觀點作出決策。這樣的作法有助於全面考慮各申請案的水準高低和主題相近程度，讓經費補助更公平和有效。
計畫申請,審查,這個審查方法如何確保經費補助的公平與效益？,學術,https://sub.daais.sinica.edu.tw/grants/about.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386 簡玫秀 02-27899676 陳羿君 02-27872612 白倩華 02-27872613 張元貞 02-27872614 李立文 02-27872575 李家茵 02-27899476 ,這個審查方法主要是通過三個階段：書面審查、複審和決審來確保經費補助的公平與效益。首先，專家會對計畫進行書面審查。接著，相同領域的各類計畫會交由數理科學、生命科學、人文及社會科學三學組的複審委員會進行評比。最後，中研院會根據這些評分結果和自己的觀點進行決策。這種作法讓整個審查過程更全面地考慮到每個申請案子的水準高低和主題相近程度，從而確保經費補助更加公平和有效。
計畫申請,執行,這些研究計畫的滾動式調整補助金額機制是如何運作？,學術,https://sub.daais.sinica.edu.tw/grants/comparison.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386 簡玫秀 02-27899676 陳羿君 02-27872612 白倩華 02-27872613 張元貞 02-27872614 李立文 02-27872575 李家茵 02-27899476 ,這些研究計畫的滾動式調整補助金額機制是根據計畫的進度和成果，持續進行期中報告審查、執行期滿報告評鑑、計畫變更及經費管控等追蹤評核作業。經過評估後，會根據計畫的實際情況調整補助金額，以達到最佳運作效益。
計畫申請,前瞻計畫,前瞻計畫的申請資格及審查程序為何？,學術,https://sub.daais.sinica.edu.tw/grants/cda.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386,本院的專任助研究員、非長聘助研究員或是中研院各研究所、研究中心新招的助研究員或非長聘副研究員皆可申請本計中畫。在每年的3到5月期間進行申請，4月初提交意願書，5月初送計畫書。審查過程包括書面初審、複審和決審過程，11月公告通過審核的申請案，通過審查的計畫將在次年1月開始執行。
計畫申請,前瞻計畫,前瞻計畫的經費上限是多少？,學術,https://sub.daais.sinica.edu.tw/grants/cda.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386,前瞻計畫的經費上限是每年新台幣500萬元。
計畫申請,前瞻計畫,前瞻計畫每年申請的時間為何？,學術,https://sub.daais.sinica.edu.tw/grants/cda.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386,申請時間是每年的3-5月，請先提交意願書，再提交計畫書。
計畫申請,前瞻計畫,前瞻計畫申請需提供資料為何？,學術,https://sub.daais.sinica.edu.tw/grants/cda.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386,申請的資料包括研究計畫書、個人履歷資料和近年主要著作目錄，還有推薦函及所務或中心業務會議紀錄。
計畫申請,前瞻計畫,如何申請前瞻計畫？,學術,https://sub.daais.sinica.edu.tw/grants/cda.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386,請進入中研院學術服務管理系統登錄，網址如下：https://asms.sinica.edu.tw/。
計畫申請,前瞻計畫,前瞻計畫是如何挑選具有國際競爭力和發展潛力的年輕學者的？,學術,https://sub.daais.sinica.edu.tw/grants/comparison.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386,為提升本院基礎研究，鼓勵研究人員著眼於社會及學術上亟待克服之挑戰，剖析現有限制，發掘關鍵問題之所在，進而提出具突破性的解決策略，達成「成就全球頂尖研究」之目標。
計畫申請,前瞻計畫,如何查詢前瞻計畫的詳細說明?,學術,https://sub.daais.sinica.edu.tw/grants/cda.html,趙婉伶 02-27898067 徐靜萍 02-27899351 曾錦錚 02-27899386,計畫的詳細說明請參閱網址：https://sub.daais.sinica.edu.tw/grants/cda.html。
計畫申請,深耕研究計畫,深耕研究計畫的內涵為何？,學術,https://www.sinica.edu.tw/ch/articles/231,徐靜萍 02-27899351,深耕研究計畫主要是為為勵院內研究人員潛心於研究工作，長期致力於知識領域重要課題的原創性研究，充分發揮研究潛能，期有世界水準之重要貢獻。
計畫申請,深耕研究計畫,深耕研究計畫執行期間為多久？,學術,https://www.sinica.edu.tw/ch/articles/231,徐靜萍 02-27899351,深耕研究計畫為個人型計畫，計畫執行期間至多5年
計畫申請,深耕研究計畫,深耕研究計畫有哪些審核過程？,學術,https://www.sinica.edu.tw/ch/articles/231,徐靜萍 02-27899351,深耕研究計畫的審核過程，包含國內外學者專家進行書面初審，然後各學組委員會進行複審，最後是三學組聯席決審會議。通過審核的申請案會在11月公告。
計畫申請,深耕研究計畫,深耕研究計畫的經費上限是多少？,學術,https://www.sinica.edu.tw/ch/articles/231,徐靜萍 02-27899351,深耕研究計畫的經費上限是每年新台幣500萬元。
計畫申請,深耕研究計畫,申請深耕研究計畫需要什麼資格？,學術,https://www.sinica.edu.tw/ch/articles/231,徐靜萍 02-27899351,本院專任副研究員以上研究人員皆可申請本計畫。
計畫申請,深耕研究計畫,深耕研究計畫接受申請的時段為何？,學術,https://www.sinica.edu.tw/ch/articles/231,徐靜萍 02-27899351,申請時間是每年的3-5月，請先提交意願書，再提交計畫書。
計畫申請,深耕研究計畫,如何申請深耕研究計畫？,學術,https://www.sinica.edu.tw/ch/articles/231,徐靜萍 02-27899351,請進入中研院學術服務管理系統登錄，網址如下：https://asms.sinica.edu.tw/。
計畫申請,深耕研究計畫,如何查詢深耕研究計畫的詳細說明?,學術,https://www.sinica.edu.tw/ch/articles/231,徐靜萍 02-27899351,計畫的詳細說明請參閱網址：https://sub.daais.sinica.edu.tw/grants/iva.html。
計畫申請,主題研究計畫,主題研究計畫設立目的為何?,學術,https://sub.daais.sinica.edu.tw/grants/tp.html,趙婉伶 02-27898067 曾錦錚 02-27899386 簡玫秀 02-27899676,主題研究計畫是為推動中研院的研究專案，在基礎研究領域做出世界級的重要貢獻。
計畫申請,主題研究計畫,主題研究計畫執行年期及類型為何?,學術,https://sub.daais.sinica.edu.tw/grants/tp.html,趙婉伶 02-27898067 曾錦錚 02-27899386 簡玫秀 02-27899676,這項計畫為三年期單一整合型研究計畫。
計畫申請,主題研究計畫,主題研究計畫的申請時間及程序為何?,學術,https://sub.daais.sinica.edu.tw/grants/tp.html,趙婉伶 02-27898067 曾錦錚 02-27899386 簡玫秀 02-27899676,申請時間是每年的3-5月，請先提交意願書，再提交計畫書。
計畫申請,主題研究計畫,主題研究計畫評審過程及公布時程為何?,學術,https://sub.daais.sinica.edu.tw/grants/tp.html,趙婉伶 02-27898067 曾錦錚 02-27899386 簡玫秀 02-27899676,評審過程是先經過國內外學者專家的書面初審，後經各學組委員會複審，最後是三學組聯席決審會議。預計11月公布審核結果。
計畫申請,主題研究計畫,主題研究計畫如何挑選最具前瞻性和代表性的研究主題？,學術,https://sub.daais.sinica.edu.tw/grants/comparison.html,趙婉伶 02-27898067 曾錦錚 02-27899386 簡玫秀 02-27899676,主題研究計畫會在數理科學、生命科學和人文及社會科學三大領域中，挑選具有前瞻性和代表性的研究主題。目標是發展出具有創造性和突破性的研究成果，以在基礎研究領域作出世界級的重要貢獻。
計畫申請,主題研究計畫,主題研究計畫之單一整合型計畫的經費上限是多少?,學術,https://sub.daais.sinica.edu.tw/grants/tp.html,趙婉伶 02-27898067 曾錦錚 02-27899386 簡玫秀 02-27899676,單一整合型研究計畫的上限是新台幣800萬元。
計畫申請,主題研究計畫,申請主題研究計畫的資格為何?,學術,https://sub.daais.sinica.edu.tw/grants/tp.html,趙婉伶 02-27898067 曾錦錚 02-27899386 簡玫秀 02-27899676,執行這項計畫主持人必須是中研院的專任研究人員。
計畫申請,主題研究計畫,申請主題研究計畫時需要提交哪些文件?,學術,https://sub.daais.sinica.edu.tw/grants/tp.html,趙婉伶 02-27898067 曾錦錚 02-27899386 簡玫秀 02-27899676,申請資料包含研究計畫書、個人履歷資料和近年主要著作目錄。
計畫申請,主題研究計畫,主題研究計畫申請系統為何?,學術,https://sub.daais.sinica.edu.tw/grants/tp.html,趙婉伶 02-27898067 曾錦錚 02-27899386 簡玫秀 02-27899676,中研院的計畫申請系統為學術服務管理系統https://asms.sinica.edu.tw/。
計畫申請,主題研究計畫,審核通過主題研究計畫何時開始執行?,學術,https://sub.daais.sinica.edu.tw/grants/tp.html,趙婉伶 02-27898067 曾錦錚 02-27899386 簡玫秀 02-27899676,通過審查的計畫預計在次年1月開始執行。
計畫申請,主題研究計畫,如何查詢主題研究計畫的詳細說明?,學術,https://sub.daais.sinica.edu.tw/grants/tp.html,趙婉伶 02-27898067 曾錦錚 02-27899386 簡玫秀 02-27899676,計畫的詳細說明請參閱網址：https://sub.daais.sinica.edu.tw/grants/tp.html。
計畫申請,關鍵突破種子計畫,關鍵突破種子計畫是為了解決什麼樣的挑戰？,學術,https://sub.daais.sinica.edu.tw/grants/gcs.html,陳羿君 02-27872612,關鍵突破種子計畫是為了解決那些概念還在萌芽階段，但具有原創性和發展潛力的研究挑戰。
