index,category,title,question,group,url,contact,answer
0,تطبيق الخطة,يتقدم,ما هو عدد أنواع تمويل مشاريع البحث الأكاديمي التنافسية من Academia Sinica؟,الأكاديمي,هتبص://صوب.دايس.سينسى.عضو.تو/جرانتص/أبوت.هتمل,لي ليوين 02-27892575 تشاو وانلينغ 02-27898067 شو جينغ بينغ 02-27899351 تسنغ جينزنغ 02-27899386 لي جيايين 02-27899476 جيان ميكسيو 02-27899676 تشن يي جون 02-27872612 باي تشيان هوا 0 2-2787 2613 تشانغ يوان تشن 02-27872614,"ينقسم تمويل مشاريع البحث الأكاديمي التنافسي لـ Academia Sinica إلى ثلاثة أنواع، وهي النوع الأول: التطوير العميق للأبحاث الأساسية، ونوع التميز، بما في ذلك المشاريع التطلعية، ومشاريع الزراعة العميقة ومشاريع البحث الموضوعية؛
النوع الثاني: متابعة القضايا الرئيسية والاكتشافات في المجالات الناشئة، بما في ذلك مشاريع البذور الرائدة والمشاريع البحثية الرئيسية؛
النوع الثالث: موجه نحو المهام، ويشمل مشاريع البحث العلمي المستدامة، ومشاريع أبحاث التكنولوجيا الحيوية الموجهة للبعثات، ومشاريع أبحاث الاستجابة للأوبئة، ومشاريع استكشاف تكنولوجيا المواد والتحليل (iMATE)، ومشاريع أبحاث العلوم الإنسانية الرقمية."
1,تطبيق الخطة,يتقدم,ما هي الخطط المضمنة في السعي لتحقيق اختراقات في القضايا الرئيسية والمجالات الناشئة؟,الأكاديمي,هتبص://صوب.دايس.سينسى.عضو.تو/جرانتص/أبوت.هتمل,تشين ييجون 02-27872612,يتضمن السعي لتحقيق اختراقات في القضايا الرئيسية والمجالات الناشئة نوعين من المشاريع الأساسية للاختراق والمشاريع البحثية الرئيسية.
2,تطبيق الخطة,يتقدم,كيف ستؤثر نتائج البحوث العملية ذات الصلة بمراجعة البرنامج على تخصيص الأموال؟,الأكاديمي,هتبص://صوب.دايس.سينسى.عضو.تو/جرانتص/أبوت.هتمل,لي ليوين 02-27892575 تشاو وانلينغ 02-27898067 شو جينغ بينغ 02-27899351 تسنغ جينزنغ 02-27899386 لي جيايين 02-27899476 جيان ميكسيو 02-27899676 تشن يي جون 02-27872612 باي تشيان هوا 0 2-2787 2613 تشانغ يوان تشن 02-27872614,ستؤثر نتائج البحث العملي ذات الصلة لمراجعة الخطة على تخصيص الأموال، لأنه سيتم الرجوع إلى الخبرة السابقة والتحليل والمراجعة عند تخصيص الأموال، ومن ثم ستتم مراجعة خطة تخصيص التمويل وفقًا لنتائج البحث التي تمت مراجعتها. وهذا يمكن أن يضمن قدرة الأموال على دعم أنواع مختلفة من المشاريع البحثية بشكل أكثر فعالية وتحقيق نتائج بحثية أفضل.
3,تطبيق الخطة,يتقدم,أريد التقدم بطلب للحصول على النوعين الأول والثاني من تمويل المشروع، كيف أبدأ؟,الأكاديمي,هتبص://صوب.دايس.سينسى.عضو.تو/جرانتص/إندكس.هتمل,تشاو وانلينغ 27898067-02 شو جينغ بينغ 27899351-02 تسنغ جينتشنغ 27899386-02 لي جيايين 27899476-02 جيان ميكسيو 27899676-02 تشن ييجون 27872612-02 باي تشيان هوا 27872613,إذا كنت ترغب في التقدم بطلب للحصول على النوعين الأول والثاني من تمويل المشاريع، فيمكنك أولاً الاستفسار عن أنواع تمويل مشاريع البحث الأكاديمي التنافسية التي تقدمها Academia Sinica، والتي تنقسم إلى مشاريع تطلعية، ومشاريع عميقة، ومشاريع بحثية موضوعية، و مشاريع البذور الاختراقية الرئيسية والمشاريع البحثية الرئيسية.مشروع بحث الاختراق. يمكنك الذهاب إلى هذا الموقع لمزيد من المعلومات: https://sub.daais.sinica.edu.tw/grants/index.html. عند التقديم، قم بتسجيل الدخول إلى نظام إدارة الخدمات الأكاديمية Academia Sinica على https://asms.sinica.edu.tw/. ثم اتبع إرشادات النظام للتطبيق.
4,تطبيق الخطة,يتقدم,كيف تقوم Academia Sinica بتخصيص الأموال وفقًا لأنواع المشاريع المختلفة؟,الأكاديمي,هتبص://صوب.دايس.سينسى.عضو.تو/جرانتص/كومبارس.هتمل,لي ليوين 02-27892575 تشاو وانلينغ 02-27898067 شو جينغ بينغ 02-27899351 تسنغ جينزنغ 02-27899386 لي جيايين 02-27899476 جيان ميكسيو 02-27899676 تشن يي جون 02-27872612 باي تشيان هوا 0 2-2787 2613 تشانغ يوان تشن 02-27872614,عندما تقوم Academia Sinica بتخصيص الأموال، فإنها ستقوم بالترتيب وفقًا لنوع المشروع، سواء كان فرديًا أو جماعيًا متكاملاً، وحجم المشروع وعمقه، وتقييم الفوائد. وسوف يخططون بدقة للمخصصات بالرجوع إلى الخبرة السابقة والمراجعات التحليلية، مع دمج ومراجعة نتائج البحوث العملية ذات الصلة لمراجعة التخطيط. بالإضافة إلى ذلك، سيقومون أيضًا بتنفيذ عمليات الإدارة والتقييم مثل مراجعة تقرير منتصف المدة، وتنفيذ تقييم تقرير انتهاء الصلاحية، وتغييرات الخطة، ومراقبة التمويل، ولكل خطة آلية تعديل متجددة لمبالغ الدعم لضمان التشغيل الأمثل. .فائدة.
5,تطبيق الخطة,مراجعة,ما هي القضايا الرئيسية التي يجب معالجتها في المراجعة؟,الأكاديمي,هتبص://صوب.دايس.سينسى.عضو.تو/جرانتص/أبوت.هتمل,لي ليوين 02-27892575 تشاو وانلينغ 02-27898067 شو جينغ بينغ 02-27899351 تسنغ جينزنغ 02-27899386 لي جيايين 02-27899476 جيان ميكسيو 02-27899676 تشن يي جون 02-27872612 باي تشيان هوا 0 2-2787 2613 تشانغ يوان تشن 02-27872614,تركز المراجعة بشكل أساسي على حل القضايا الرئيسية المهمة، ودرجة الابتكار، ودرجة التأثير المتوقع والقدرة التنافسية الدولية.
6,تطبيق الخطة,مراجعة,كيفية تقييم درجة الابتكار والقدرة التنافسية الدولية؟,الأكاديمي,هتبص://صوب.دايس.سينسى.عضو.تو/جرانتص/أبوت.هتمل,لي ليوين 02-27892575 تشاو وانلينغ 02-27898067 شو جينغ بينغ 02-27899351 تسنغ جينزنغ 02-27899386 لي جيايين 02-27899476 جيان ميكسيو 02-27899676 تشن يي جون 02-27872612 باي تشيان هوا 0 2-2787 2613 تشانغ يوان تشن 02-27872614,يتم تقييم درجة الابتكار والقدرة التنافسية الدولية بشكل رئيسي من خلال المراجعة الكتابية للخبراء في مجال المشروع، ومن ثم من خلال ثلاث مراحل من المراجعة والمراجعة النهائية. خلال هذه العملية، ستقوم لجنة المراجعة بإجراء المناقشة والتقييم بناءً على أداء المشاريع المختلفة وتشابه المواضيع، بالإضافة إلى آراء Academia Sinica، لضمان عدالة وفعالية التقييم.
7,تطبيق الخطة,مراجعة,كيف تتم مهمة المراجعة على ثلاث مراحل؟,الأكاديمي,هتبص://صوب.دايس.سينسى.عضو.تو/جرانتص/أبوت.هتمل,لي ليوين 02-27892575 تشاو وانلينغ 02-27898067 شو جينغ بينغ 02-27899351 تسنغ جينزنغ 02-27899386 لي جيايين 02-27899476 جيان ميكسيو 02-27899676 تشن يي جون 02-27872612 باي تشيان هوا 0 2-2787 2613 تشانغ يوان تشن 02-27872614,وتنقسم عملية المراجعة إلى ثلاث مراحل، أولا، يقوم الخبراء في مجال المشروع بإجراء مراجعة كتابية، ثم يدخلون في مرحلة إعادة الفحص، وأخيرا إجراء المراجعة النهائية.
8,تطبيق الخطة,مراجعة,في ظل النظام الجديد، كيف يتم تقييم المشاريع البحثية المختلفة من قبل اللجان الأكاديمية الثلاث؟,الأكاديمي,هتبص://صوب.دايس.سينسى.عضو.تو/جرانتص/أبوت.هتمل,لي ليوين 02-27892575 تشاو وانلينغ 02-27898067 شو جينغ بينغ 02-27899351 تسنغ جينزنغ 02-27899386 لي جيايين 02-27899476 جيان ميكسيو 02-27899676 تشن يي جون 02-27872612 باي تشيان هوا 0 2-2787 2613 تشانغ يوان تشن 02-27872614,وبموجب النظام الجديد، تتم مناقشة وتقييم المشاريع البحثية المختلفة من قبل لجان المراجعة للمجموعات الأكاديمية الثلاث للعلوم الرياضية وعلوم الحياة والعلوم الإنسانية والاجتماعية، ويتم اتخاذ القرارات بناءً على آراء أكاديميا سينيكا. ويساعد هذا النهج على النظر بشكل كامل في مستوى كل طلب وتشابه المواضيع، مما يجعل التمويل أكثر عدالة وفعالية.
9,تطبيق الخطة,مراجعة,كيف تضمن طريقة المراجعة هذه عدالة وفعالية المنح؟,الأكاديمي,هتبص://صوب.دايس.سينسى.عضو.تو/جرانتص/أبوت.هتمل,لي ليوين 02-27892575 تشاو وانلينغ 02-27898067 شو جينغ بينغ 02-27899351 تسنغ جينزنغ 02-27899386 لي جيايين 02-27899476 جيان ميكسيو 02-27899676 تشن يي جون 02-27872612 باي تشيان هوا 0 2-2787 2613 تشانغ يوان تشن 02-27872614,وتتم طريقة المراجعة هذه بشكل أساسي من خلال ثلاث مراحل: المراجعة الكتابية، وإعادة الفحص، والمراجعة النهائية للتأكد من عدالة وفعالية الدعم المالي. أولاً، يقوم الخبراء بإجراء مراجعة كتابية للخطة. ومن ثم سيتم تقديم مشاريع مختلفة في نفس المجال إلى لجان المراجعة للمجموعات الأكاديمية الثلاث للعلوم الرياضية وعلوم الحياة والعلوم الإنسانية والعلوم الاجتماعية للتقييم. في النهاية، ستتخذ Academia Sinica قراراتها بناءً على نتائج التسجيل هذه وآرائها الخاصة. يتيح هذا النهج لعملية المراجعة بأكملها أن تأخذ في الاعتبار بشكل كامل الجودة والتشابه الموضوعي لكل طلب، وبالتالي ضمان أن يكون التمويل أكثر عدالة وفعالية.
