index,category,title,question,group,url,contact,answer
0,Plananwendung,Anwendung 1,Wie viele Arten der wettbewerbsfähigen Finanzierung akademischer Forschungsprojekte durch die Academia Sinica gibt es?,der Akademiker,https://sub.daais.sinica.edu.tw/grants/about.htmll,Zhao Wanling 02-27898067 2-27892575 Li Jiayin 02-27899476,"Die wettbewerbsfähige Finanzierung akademischer Forschungsprojekte der Academia Sinica ist in drei Arten unterteilt, nämlich die erste Art: tiefgreifende Förderung der Grundlagenforschung, Exzellenztyp, einschließlich zukunftsweisender Projekte, tiefgreifender Kultivierungsprojekte und thematischer Forschungsprojekte;
Der zweite Typ: Verfolgen wichtiger Themen und Durchbrüche in aufstrebenden Bereichen, einschließlich wichtiger bahnbrechender Saatgutprojekte und wichtiger bahnbrechender Forschungsprojekte;
Der dritte Typ: missionsorientiert, einschließlich nachhaltiger wissenschaftlicher Forschungsprojekte, missionsorientierter Biotechnologie-Forschungsprojekte, epidemischer Reaktionsforschungsprojekte, Material- und Analysetechnologie-Explorationsprojekte (iMATE) und digitaler geisteswissenschaftlicher Forschungsprojekte."
1,Plananwendung,Anwendung 2,Wie verteilt die Academia Sinica die Mittel auf die verschiedenen Projekttypen?,der Akademiker,https://sub.daais.sinica.edu.tw/grants/comparison.html,Zhao Wanling 02-27898067 2-27892575 Li Jiayin 02-27899476,"Wenn die Academia Sinica Mittel vergibt, richtet sie sich nach der Art des Projekts, ob es sich um Einzel- oder Teamintegration handelt, nach Umfang und Tiefe des Projekts sowie nach der Nutzenbewertung. Sie planen die Zuweisungen sorgfältig unter Berücksichtigung früherer Erfahrungen und analytischer Überprüfungen und beziehen und überarbeiten gleichzeitig Ergebnisse relevanter praktischer Forschung für die Programmüberprüfung. Darüber hinaus führen sie auch Folgemanagement- und Bewertungsvorgänge durch, wie z. B. die Überprüfung des Halbzeitberichts, die Implementierung der Auswertung des Ablaufberichts, Planänderungen und die Finanzierungskontrolle. Jeder Plan verfügt über einen fortlaufenden Anpassungsmechanismus für die Subventionsbeträge, um einen optimalen Betrieb sicherzustellen . profitieren."
2,Plananwendung,Anwendung 3,"Ich möchte die erste und zweite Art der Projektförderung beantragen, wie fange ich an?",der Akademiker,https://sub.daais.sinica.edu.tw/grants/index.html,Zhao Wanling 02-27898067,"Wenn Sie sich für die erste, zweite und dritte Art der Projektförderung bewerben möchten, können Sie sich zunächst auf dieser Website über die Einführung, Antragsmethode und den Zeitplan jedes Projekts informieren: https://sub.daais.sinica.edu. tw/grants/index.html. Melden Sie sich bei der Bewerbung beim akademischen Service-Management-System der Academia Sinica unter https://asms.sinica.edu.tw/ an. Befolgen Sie dann die Systemrichtlinien, um sich zu bewerben."
3,Plananwendung,Rezension 1,Wie erfolgt die Überprüfung in drei Phasen?,der Akademiker,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 2-27892575 Li Jiayin 02-27899476,"Der Überprüfungsvorgang ist in drei Phasen unterteilt: Zunächst führen Experten im Planungsbereich eine schriftliche Überprüfung durch, dann tritt die Phase der erneuten Prüfung ein und führt schließlich eine abschließende Überprüfung durch."
4,Plananwendung,Rezension 2,"Was sind die Hauptthemen, die in der Überprüfung behandelt werden sollen?",der Akademiker,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 2-27892575 Li Jiayin 02-27899476,"Der Fokus der Überprüfung liegt vor allem auf der Lösung wichtiger Schlüsselfragen, dem Grad der Innovation, dem Grad der erwarteten Wirkung und der internationalen Wettbewerbsfähigkeit."
5,Plananwendung,Rezension 3,Wie lässt sich der Innovationsgrad und die internationale Wettbewerbsfähigkeit bewerten?,der Akademiker,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 2-27892575 Li Jiayin 02-27899476,"Die Bewertung des Innovationsgrads und der internationalen Wettbewerbsfähigkeit erfolgt hauptsächlich durch die schriftliche Begutachtung durch Experten im Projektbereich und anschließend durch drei Stufen der Begutachtung und Abschlussbegutachtung. Während dieses Prozesses führt das Prüfungskomitee eine Diskussion und Bewertung auf der Grundlage der Leistung verschiedener Projekte und der Ähnlichkeit der Themen sowie der Ansichten der Academia Sinica durch, um die Fairness und Wirksamkeit der Bewertung sicherzustellen."
6,Plananwendung,Rezension 4,Wie werden nach dem neuen System verschiedene Forschungsprojekte von den drei akademischen Gremien bewertet?,der Akademiker,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 2-27892575 Li Jiayin 02-27899476,"Nach dem neuen System werden verschiedene Forschungsprojekte von den Prüfungsausschüssen der drei akademischen Gruppen Mathematische Wissenschaften, Biowissenschaften sowie Geistes- und Sozialwissenschaften diskutiert und bewertet und Entscheidungen auf der Grundlage der Ansichten der Academia Sinica getroffen. Dieser Ansatz trägt dazu bei, das Niveau jedes Antrags und die Ähnlichkeit der Themen vollständig zu berücksichtigen und so die Finanzierung gerechter und effektiver zu gestalten."
7,Plananwendung,Rezension 5,Wie stellt diese Überprüfungsmethode die Fairness und Wirksamkeit der Zuschüsse sicher?,der Akademiker,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 2-27892575 Li Jiayin 02-27899476,"Diese Überprüfungsmethode durchläuft im Wesentlichen drei Phasen: schriftliche Überprüfung, Überprüfung und abschließende Überprüfung, um die Fairness und Wirksamkeit finanzieller Zuschüsse sicherzustellen. Zunächst führen Experten eine schriftliche Prüfung des Plans durch. Anschließend werden verschiedene Projekte im gleichen Bereich den Gutachterkommissionen der drei akademischen Gruppen Mathematik, Lebenswissenschaften, Geisteswissenschaften und Sozialwissenschaften zur Bewertung vorgelegt. Am Ende wird die Academia Sinica Entscheidungen auf der Grundlage dieser Bewertungsergebnisse und ihrer eigenen Meinung treffen. Dieser Ansatz ermöglicht es, im gesamten Begutachtungsprozess die Qualität und thematische Ähnlichkeit der einzelnen Anträge besser zu berücksichtigen und so eine gerechtere und effektivere Finanzierung sicherzustellen."
8,Plananwendung,implementieren,Wie funktioniert der Mechanismus der fortlaufenden Zuschussbeträge für diese Forschungsprogramme?,der Akademiker,https://sub.daais.sinica.edu.tw/grants/comparison.html,Zhao Wanling 02-27898067 2-27892575 Li Jiayin 02-27899476,"Der Mechanismus zur fortlaufenden Anpassung der Subventionshöhe dieser Forschungsprojekte basiert auf dem Fortschritt und den Ergebnissen der Projekte und führt weiterhin Folgebewertungsvorgänge wie die Überprüfung des Halbzeitberichts, die Bewertung des Umsetzungsablaufberichts, Projektänderungen und die Finanzierungskontrolle durch . Nach der Bewertung wird die Förderhöhe entsprechend der tatsächlichen Situation des Projekts angepasst, um die beste betriebliche Effizienz zu erreichen."
9,Plananwendung,Zukunftsplan 1,Wie kann ich am Foresight-Programm teilnehmen?,der Akademiker,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,"Um an diesem Programm teilnehmen zu können, müssen Sie zunächst ein Vollzeit-Assistent, ein befristeter Forschungsstipendiat der Academia Sinica oder ein neu eingestellter wissenschaftlicher Mitarbeiter oder unbefristeter assoziierter Forscher an verschiedenen Forschungsinstituten und Forschungszentren der Academia Sinica sein. Als nächstes bewerben Sie sich jedes Jahr im Zeitraum von März bis Mai, reichen die Absichtserklärung Anfang April ein und bitten dann die empfehlende Einheit, die Planinformationen in Papierform Anfang Mai einzureichen. Danach ist es an der Zeit, auf die schriftliche Vorprüfung, erneute Prüfung und den endgültigen Prüfungsprozess zu warten. Im November werden die Anträge bekannt gegeben, die die Prüfung bestehen, und die Pläne, die die Prüfung bestehen, werden im darauffolgenden Januar umgesetzt Jahr. Denken Sie daran, bei der Bewerbung einen Forschungsvorschlag, einen persönlichen Lebenslauf und einen Katalog wichtiger Arbeiten sowie Empfehlungsschreiben und relevante Sitzungsprotokolle vorzubereiten. Weitere Informationen und Bewerbungsmöglichkeiten finden Sie auf der entsprechenden Website der Academia Sinica."
