index,category,title,question,group,url,contact,answer
0,plan application,Apply,How many types of Academia Sinica competitive academic research project funding?,the academic,https://sub.daais.sinica.edu.tw/grants/about.htmll,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-2787 2613 Zhang Yuanzhen 02-27872614,"Academia Sinica's competitive academic research project funding is divided into three types, namely the first type: deep cultivation of basic research, excellence type, including forward-looking projects, deep cultivation projects and theme research projects;
The second type: Pursue key issues and breakthroughs in emerging fields, including key breakthrough seed projects and key breakthrough research projects;
The third type: mission-oriented, including sustainable scientific research projects, mission-oriented biotechnology research projects, epidemic response research projects, materials and analysis technology exploration projects (iMATE) and digital humanities research projects."
1,plan application,Apply,What plans are included in the pursuit of breakthroughs in key issues and emerging fields?,the academic,https://sub.daais.sinica.edu.tw/grants/about.htmll,Chen Yijun 02-27872612,The pursuit of breakthroughs in key issues and emerging fields includes two types of key breakthrough seed projects and key breakthrough research projects.
2,plan application,Apply,How will the relevant practical research results of the program review affect the allocation of funds?,the academic,https://sub.daais.sinica.edu.tw/grants/about.htmll,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-2787 2613 Zhang Yuanzhen 02-27872614,"The relevant practical research results of the plan review will affect the allocation of funds, because the past experience and analysis and review will be referred to when allocating funds, and then the funding allocation plan will be revised according to the reviewed research results. This can ensure that funds can support various types of research projects more effectively and achieve better research results."
3,plan application,Apply,"I want to apply for the first and second types of project funding, how do I start?",the academic,https://sub.daais.sinica.edu.tw/grants/index.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613,"If you want to apply for the first and second types of project funding, you can first inquire about the types of Academia Sinica's competitive academic research project funding, which are divided into forward-looking projects, deep-cultivation projects, theme research projects, and key breakthrough seed projects and key research projects. Breakthrough Research Project. You can go to this website for more information: https://sub.daais.sinica.edu.tw/grants/index.html. When applying, log in to the Academia Sinica academic service management system at https://asms.sinica.edu.tw/. Then follow the system guidelines to apply."
4,plan application,Apply,How does Academia Sinica allocate funds according to different project types?,the academic,https://sub.daais.sinica.edu.tw/grants/comparison.html,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-2787 2613 Zhang Yuanzhen 02-27872614,"When the Academia Sinica allocates funds, it will arrange according to the type of the project, whether it is individual or team integration, the scale and depth of the project, and benefit evaluation and other factors. They will rigorously plan allocations with reference to past experience and analytical reviews, while incorporating and revising results from relevant practical research for program review. In addition, they will also carry out follow-up management and assessment operations such as mid-term report review, implementation of expiry report evaluation, plan changes, and funding control. Each plan has a mechanism for rolling adjustments to the subsidy amount to ensure optimal operation. benefit."
5,plan application,review,What are the main issues to be addressed in the review?,the academic,https://sub.daais.sinica.edu.tw/grants/about.html,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-2787 2613 Zhang Yuanzhen 02-27872614,"The focus of the review is mainly to solve important key issues, the degree of innovation, the degree of expected impact and international competitiveness."
6,plan application,review,How to evaluate the degree of innovation and international competitiveness?,the academic,https://sub.daais.sinica.edu.tw/grants/about.html,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-2787 2613 Zhang Yuanzhen 02-27872614,"The evaluation of the degree of innovation and international competitiveness is mainly through the written review of experts in the project field, and then through three stages of review and final review. During this process, the review committee will conduct discussion and evaluation based on the performance of various projects and the similarity of themes, together with the views of Academia Sinica, to ensure the fairness and effectiveness of the evaluation."
7,plan application,review,How is the review job divided into three phases?,the academic,https://sub.daais.sinica.edu.tw/grants/about.html,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-2787 2613 Zhang Yuanzhen 02-27872614,"The review operation is divided into three stages. Firstly, experts in the planning field conduct a written review, then enter the re-examination stage, and finally conduct a final review."
8,plan application,review,"Under the new system, how are various research projects evaluated by the three academic committees?",the academic,https://sub.daais.sinica.edu.tw/grants/about.html,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-2787 2613 Zhang Yuanzhen 02-27872614,"Under the new system, various research projects are discussed and evaluated by the review committees of the three academic groups of Mathematical Sciences, Life Sciences, and Humanities and Social Sciences, and decisions are made based on the views of Academia Sinica. This approach helps to fully consider the level of each application and the similarity of themes, making the funding more fair and effective."
9,plan application,review,How does this review method ensure the fairness and effectiveness of grants?,the academic,https://sub.daais.sinica.edu.tw/grants/about.html,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-2787 2613 Zhang Yuanzhen 02-27872614,"This review method mainly passes through three stages: written review, review and final review to ensure the fairness and effectiveness of financial subsidies. First, experts conduct a written review of the plan. Then, various projects in the same field will be submitted to the review committees of the three academic groups of mathematical sciences, life sciences, humanities and social sciences for evaluation. In the end, Academia Sinica will make decisions based on these scoring results and its own opinions. This approach allows the entire review process to more fully take into account the quality and topical similarity of each application, thereby ensuring that funding is more fair and effective."
