index,category,title,question,group,url,contact,answer
0,Solicitud de proyecto,Aplicar,¿Cuántos tipos de financiación competitiva para proyectos de investigación académica existen en la Academia Sínica?,académico,https://sub.daais.sinica.edu.tw/grants/about.htmll,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"La financiación competitiva del plan de investigación académica de la Academia Sínica se divide en tres tipos principales, a saber, el primer tipo: investigación básica en profundidad y tipo de excelencia, que incluye planes prospectivos, planes en profundidad y planes de investigación temática;
El segundo tipo: buscar avances en cuestiones clave y campos emergentes, incluidos planes clave de semillas innovadoras y planes clave de investigación innovadora;
El tercer tipo: orientado a misiones, incluidos proyectos de investigación científica sostenible, proyectos de investigación de biotecnología orientados a misiones, proyectos de investigación de respuesta a epidemias, proyectos de exploración de materiales y tecnología analítica (iMATE) y proyectos de investigación de humanidades digitales."
1,Solicitud de proyecto,Aplicar,¿Cómo asigna la Academia Sínica los fondos según los diferentes tipos de proyectos?,académico,https://sub.daais.sinica.edu.tw/grants/comparison.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"Cuando Academia Sínica asigna fondos, hará arreglos basados ​​en factores como el tipo de proyecto, ya sea individual o integrado en equipo, la escala y profundidad del proyecto y la evaluación de beneficios. Se referirán a experiencias pasadas, análisis y revisiones para planificar rigurosamente las asignaciones y, al mismo tiempo, incorporarán resultados de investigaciones prácticas relevantes de la revisión del plan y realizarán revisiones. Además, también realizarán tareas de gestión y evaluación de seguimiento, como revisión de informes de mitad de período, evaluación de informes de vencimiento de ejecución, cambios de planes y gestión y control de fondos. Existe un mecanismo de ajuste continuo del monto del subsidio para cada proyecto para garantizar un óptimo operación beneficio."
2,Solicitud de proyecto,Aplicar,"Quiero solicitar financiación para proyectos Tipo 1 y Tipo 2, ¿cómo empiezo?",académico,https://sub.daais.sinica.edu.tw/grants/index.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613,"Si desea solicitar financiación para proyectos de primer, segundo y tercer tipo, primero puede visitar este sitio web para conocer la introducción, los métodos de solicitud y el cronograma de cada proyecto: https://sub.daais.sinica.edu.tw /grants/index.html. Al presentar la solicitud, debe iniciar sesión en el sistema de gestión de servicios académicos de Academia Sínica. La dirección del sitio web es: https://asms.sinica.edu.tw/. Luego simplemente siga las pautas del sistema para aplicar."
3,Solicitud de proyecto,revisar,¿Cómo se divide el ejercicio de revisión en tres etapas?,académico,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"El proceso de revisión se divide en tres etapas: comienza con una revisión escrita por parte de expertos en el campo del proyecto, luego ingresa a la etapa de revisión y finalmente realiza una revisión final."
4,Solicitud de proyecto,revisar,¿En qué cuestiones se centrará la revisión en resolver?,académico,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"La revisión se centra en resolver cuestiones clave importantes, el grado de innovación, el impacto esperado y la competitividad internacional."
5,Solicitud de proyecto,revisar,¿Cómo evaluar el grado de innovación y competitividad internacional?,académico,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"La evaluación del nivel de innovación y la competitividad internacional se realiza principalmente a través de una revisión escrita por parte de expertos en el campo del proyecto, y luego a través de tres etapas de revisión y revisión final. Durante este proceso, el comité de revisión discutirá y evaluará varios proyectos en función de su desempeño y similitud temática, además de las opiniones de Academia Sínica, para garantizar la equidad y eficacia de la evaluación."
6,Solicitud de proyecto,revisar,"Bajo el nuevo sistema, ¿cómo serán evaluados los distintos proyectos de investigación por los comités de los tres grupos académicos?",académico,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"Según el nuevo sistema, varios proyectos de investigación son discutidos y evaluados por comités de revisión de tres grupos académicos: ciencias matemáticas, ciencias biológicas y humanidades y ciencias sociales, y las decisiones se toman basándose en las opiniones de la Academia Sínica. Este enfoque ayuda a considerar de manera integral el nivel y la similitud temática de cada solicitud, lo que hace que los subsidios de financiación sean más equitativos y efectivos."
7,Solicitud de proyecto,revisar,¿Cómo garantiza este método de revisión la equidad y eficacia de los subsidios de financiación?,académico,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"Este método de revisión pasa principalmente por tres etapas: revisión escrita, revisión y revisión final para garantizar la equidad y eficacia de los subsidios de financiación. Primero, un experto realizará una revisión escrita del plan. Luego, varios proyectos en el mismo campo se presentarán a los comités de revisión de los grupos de ciencias matemáticas, ciencias de la vida, humanidades y ciencias sociales para su evaluación. Finalmente, Academia Sinica tomará decisiones basadas en estos resultados de puntuación y en sus propias opiniones. Este enfoque permite que todo el proceso de revisión considere de manera más integral el nivel y la similitud temática de cada solicitud, asegurando así que los subsidios de financiación sean más justos y efectivos."
8,Solicitud de proyecto,implementar,¿Cómo funciona el mecanismo de ajuste continuo de subvenciones para estos proyectos de investigación?,académico,https://sub.daais.sinica.edu.tw/grants/comparison.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"El mecanismo de monto del subsidio de ajuste continuo para estos proyectos de investigación se basa en el progreso y los resultados del proyecto, y continúa realizando operaciones de seguimiento y evaluación, como revisión de informes provisionales, evaluación de informes de fin de período de ejecución, cambios de planes y gestión de fondos. y control. Después de la evaluación, el monto del subsidio se ajustará en función de la situación real del proyecto para lograr beneficios operativos óptimos."
9,Solicitud de proyecto,planificación anticipada,¿Cómo puedo participar en el Proyecto de Previsión?,académico,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,"Para participar en este programa, primero debe ser investigador asistente de tiempo completo o investigador asociado no permanente en la Academia Sínica, o asistente de investigación recién contratado o investigador asociado no permanente en cada instituto o centro de investigación de la Academia Sínica. Luego, presente la solicitud entre marzo y mayo de cada año, presente una carta de intención a principios de abril y luego solicite a la unidad recomendadora que presente una copia impresa del plan a principios de mayo. Después de eso, estamos esperando el proceso de revisión preliminar escrita, reexamen y revisión final. Las solicitudes que hayan pasado la revisión se anunciarán en noviembre y los planes que hayan pasado la revisión se implementarán en enero del año siguiente. Recuerde preparar una propuesta de investigación, un currículum vitae y una lista de trabajos principales, así como cartas de recomendación y actas de reuniones relevantes al presentar la solicitud. Para obtener más información y métodos de solicitud, visite el sitio web correspondiente de Academia Sinica."
