index,category,title,question,group,url,contact,answer
0,demande de régime,demande 1,Combien de types de financements de projets de recherche universitaires compétitifs par l’Academia Sinica ?,l'universitaire,https://sub.daais.sinica.edu.tw/grants/about.htmll,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Li Wen 02-2789257 5 Li Jiayin 02-27899476,"Le financement compétitif des projets de recherche universitaire de l'Academia Sinica est divisé en trois types, à savoir le premier type : culture approfondie de la recherche fondamentale, type d'excellence, y compris les plans prospectifs, les plans de culture approfondie et les projets de recherche thématiques ;
Le deuxième type : poursuivre les questions clés et les percées dans les domaines émergents, y compris les projets de démarrage clés et les projets de recherche révolutionnaires clés ;
Le troisième type : axé sur la mission, y compris les projets de recherche scientifique durable, les projets de recherche en biotechnologie axés sur la mission, les projets de recherche sur la réponse aux épidémies, les projets d'exploration des matériaux et des technologies d'analyse (iMATE) et les projets de recherche en humanités numériques."
1,demande de régime,demande 2,Comment l’Academia Sinica alloue-t-elle les fonds selon les différents types de projets ?,l'universitaire,https://sub.daais.sinica.edu.tw/grants/comparison.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Li Wen 02-2789257 5 Li Jiayin 02-27899476,"Lorsque l'Academia Sinica alloue des fonds, elle organise le projet en fonction du type de projet, qu'il s'agisse d'une intégration individuelle ou en équipe, de l'ampleur et de la profondeur du projet, de l'évaluation des bénéfices et d'autres facteurs. Ils planifieront rigoureusement les allocations en faisant référence à l'expérience passée et aux examens analytiques, tout en intégrant et en révisant les résultats de recherches pratiques pertinentes pour l'examen du programme. En outre, ils effectueront également des opérations de suivi, de gestion et d'évaluation telles que l'examen des rapports à mi-parcours, la mise en œuvre de l'évaluation des rapports d'expiration, les modifications du plan et le contrôle du financement. Chaque plan dispose d'un mécanisme d'ajustement continu du montant de la subvention pour garantir fonctionnement optimal."
2,demande de régime,demande 3,"Je souhaite postuler pour le premier et le deuxième type de financement de projet, par où commencer ?",l'universitaire,https://sub.daais.sinica.edu.tw/grants/index.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613,"Si vous souhaitez postuler aux premier, deuxième et troisième types de financement de projet, vous pouvez d'abord vous rendre sur ce site Internet pour connaître l'introduction, la méthode de candidature et le calendrier de chaque projet : https://sub.daais.sinica.edu. tw/grants/index.html. Lors de votre candidature, connectez-vous au système de gestion des services académiques de l'Academia Sinica à l'adresse https://asms.sinica.edu.tw/. Suivez ensuite les directives du système pour postuler."
3,demande de régime,Revue 1,Comment se déroule le travail de révision en trois phases ?,l'universitaire,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Li Wen 02-2789257 5 Li Jiayin 02-27899476,"L'opération d'examen est divisée en trois étapes : d'abord, les experts dans le domaine de la planification effectuent un examen écrit, puis entrent dans l'étape de réexamen et enfin effectuent un examen final."
4,demande de régime,revue 2,Quelles sont les principales questions à aborder dans l’examen ?,l'universitaire,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Li Wen 02-2789257 5 Li Jiayin 02-27899476,"L'objectif de l'examen est principalement de résoudre des questions clés importantes, le degré d'innovation, le degré d'impact attendu et la compétitivité internationale."
5,demande de régime,revue 3,Comment évaluer le degré d’innovation et de compétitivité internationale ?,l'universitaire,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Li Wen 02-2789257 5 Li Jiayin 02-27899476,"L'évaluation du degré d'innovation et de compétitivité internationale se fait principalement par l'examen écrit d'experts dans le domaine du projet, puis par trois étapes d'examen et d'examen final. Au cours de ce processus, le comité d'examen mènera des discussions et des évaluations basées sur la performance des différents projets et la similitude des thèmes, ainsi que sur les points de vue de l'Academia Sinica, afin de garantir l'équité et l'efficacité de l'évaluation."
6,demande de régime,avis 4,"Dans le cadre du nouveau système, comment les différents projets de recherche sont-ils évalués par les trois comités académiques ?",l'universitaire,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Li Wen 02-2789257 5 Li Jiayin 02-27899476,"Dans le cadre du nouveau système, divers projets de recherche sont discutés et évalués par les comités d'examen des trois groupes académiques des sciences mathématiques, des sciences de la vie et des sciences humaines et sociales, et les décisions sont prises sur la base des points de vue de l'Academia Sinica. Cette approche permet de prendre pleinement en compte le niveau de chaque candidature et la similitude des thèmes, rendant le financement plus équitable et plus efficace."
7,demande de régime,avis 5,Comment cette méthode d’examen garantit-elle l’équité et l’efficacité des subventions ?,l'universitaire,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Li Wen 02-2789257 5 Li Jiayin 02-27899476,"Cette méthode d'examen passe principalement par trois étapes : l'examen écrit, l'examen et l'examen final pour garantir l'équité et l'efficacité des subventions financières. Tout d’abord, des experts procèdent à un examen écrit du plan. Ensuite, divers projets dans un même domaine seront soumis aux comités d'examen des trois groupes académiques des sciences mathématiques, des sciences de la vie, des sciences humaines et sociales pour évaluation. En fin de compte, l’Academia Sinica prendra des décisions sur la base de ces résultats et de ses propres opinions. Cette approche permet à l'ensemble du processus d'examen de mieux prendre en compte la qualité et la similarité thématique de chaque demande, garantissant ainsi un financement plus juste et plus efficace."
8,demande de régime,mettre en œuvre,Comment fonctionne le mécanisme de montant variable des subventions pour ces programmes de recherche ?,l'universitaire,https://sub.daais.sinica.edu.tw/grants/comparison.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Li Wen 02-2789257 5 Li Jiayin 02-27899476,"Le mécanisme d'ajustement continu du montant des subventions de ces projets de recherche est basé sur les progrès et les résultats des projets, et continue d'effectuer des opérations d'évaluation de suivi telles que l'examen des rapports à mi-parcours, l'évaluation des rapports d'expiration de la mise en œuvre, les modifications du projet et le contrôle du financement. . Après évaluation, le montant de la subvention sera ajusté en fonction de la situation réelle du projet afin d'obtenir la meilleure efficacité opérationnelle."
9,demande de régime,Plan de prospective 1,Comment puis-je participer au programme Foresight ?,l'universitaire,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,"Pour participer à ce programme, vous devez d'abord être un chercheur assistant à temps plein, un chercheur non permanent de l'Academia Sinica, ou un assistant de recherche nouvellement recruté ou un chercheur associé non titulaire dans divers instituts et centres de recherche de l'Academia Sinica. Ensuite, postulez pendant la période de mars à mai de chaque année, soumettez la lettre d'intention début avril, puis demandez à l'unité de recommandation de soumettre les informations sur le plan papier début mai. Après cela, il est temps d'attendre le processus écrit d'examen préliminaire, de réexamen et d'examen final. En novembre, les candidatures qui réussissent l'examen seront annoncées et les plans qui réussissent l'examen seront mis en œuvre en janvier de l'année suivante. année. N'oubliez pas de préparer une proposition de recherche, un curriculum vitae personnel et un catalogue des travaux majeurs, ainsi que des lettres de recommandation et des procès-verbaux de réunion pertinents lors de votre candidature. Pour plus d’informations et comment postuler, veuillez visiter le site Web correspondant de l’Academia Sinica."
