index,category,title,question,group,url,contact,answer
0,Aplikasi proyek,Menerapkan,Berapa banyak jenis pendanaan proyek penelitian akademik kompetitif yang ada di Academia Sinica?,akademik,https://sub.daais.sinica.edu.tw/grants/about.htmll,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"Pendanaan rencana penelitian akademik kompetitif Academia Sinica dibagi menjadi tiga jenis besar, yaitu jenis pertama: penelitian dasar mendalam dan jenis keunggulan, termasuk rencana berwawasan ke depan, rencana mendalam dan rencana penelitian tematik;
Tipe kedua: melakukan terobosan dalam isu-isu utama dan bidang-bidang yang sedang berkembang, termasuk rencana awal terobosan utama dan rencana penelitian terobosan utama;
Jenis ketiga: berorientasi misi, termasuk proyek penelitian ilmiah berkelanjutan, proyek penelitian bioteknologi berorientasi misi, proyek penelitian respons epidemi, proyek eksplorasi bahan dan teknologi analitis (iMATE) dan proyek penelitian humaniora digital."
1,Aplikasi proyek,Menerapkan,Bagaimana Academia Sinica mengalokasikan dana berdasarkan jenis proyek yang berbeda?,akademik,https://sub.daais.sinica.edu.tw/grants/comparison.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"Ketika Academia Sinica mengalokasikan dana, pihaknya akan membuat pengaturan berdasarkan faktor-faktor seperti jenis proyek, apakah proyek tersebut bersifat individu atau tim terintegrasi, skala dan kedalaman proyek, dan penilaian manfaat. Mereka akan mengacu pada pengalaman masa lalu, analisis, dan peninjauan untuk merencanakan alokasi secara ketat, dan pada saat yang sama menggabungkan hasil penelitian praktis yang relevan dari peninjauan rencana dan melakukan revisi. Selain itu, mereka juga akan melakukan pelacakan tugas pengelolaan dan evaluasi seperti peninjauan laporan jangka menengah, evaluasi laporan berakhirnya pelaksanaan, perubahan rencana, serta pengelolaan dan pengendalian dana.Terdapat mekanisme penyesuaian bergulir atas besaran subsidi setiap proyek untuk memastikan optimalisasi operasi.manfaat."
2,Aplikasi proyek,Menerapkan,"Saya ingin mengajukan permohonan pendanaan proyek Tipe 1 dan Tipe 2, bagaimana cara memulainya?",akademik,https://sub.daais.sinica.edu.tw/grants/index.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613,"Jika Anda ingin mengajukan permohonan pendanaan proyek jenis pertama, kedua dan ketiga, Anda dapat mengunjungi website ini terlebih dahulu untuk mempelajari pengenalan, metode pengajuan, dan jadwal setiap proyek: https://sub.daais.sinica.edu.tw /grants/index.html. Saat mendaftar, Anda harus masuk ke sistem manajemen layanan akademik Academia Sinica, Alamat situs webnya adalah: https://asms.sinica.edu.tw/. Kemudian ikuti saja pedoman sistem untuk mendaftar."
3,Aplikasi proyek,tinjauan,Bagaimana latihan review dibagi menjadi tiga tahap?,akademik,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"Proses review dibagi menjadi tiga tahap, dimulai dari review tertulis oleh para ahli di bidang proyek, kemudian masuk ke tahap review, dan terakhir melakukan review akhir."
4,Aplikasi proyek,tinjauan,Persoalan apa saja yang akan menjadi fokus penyelesaian tinjauan ini?,akademik,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"Tinjauan ini berfokus pada penyelesaian isu-isu penting, tingkat inovasi, dampak yang diharapkan, dan daya saing internasional."
5,Aplikasi proyek,tinjauan,Bagaimana cara mengevaluasi tingkat inovasi dan daya saing internasional?,akademik,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"Evaluasi tingkat inovasi dan daya saing internasional terutama melalui tinjauan tertulis oleh para ahli di bidang proyek, kemudian melalui tiga tahap tinjauan dan tinjauan akhir. Selama proses ini, komite peninjau akan mendiskusikan dan mengevaluasi berbagai proyek berdasarkan kinerja dan kesamaan tema, ditambah pandangan Academia Sinica, untuk memastikan keadilan dan efektivitas evaluasi."
6,Aplikasi proyek,tinjauan,"Di bawah sistem baru, bagaimana berbagai proyek penelitian akan dievaluasi oleh komite ketiga kelompok akademik?",akademik,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"Di bawah sistem baru, berbagai proyek penelitian dibahas dan dievaluasi oleh komite peninjau dari tiga kelompok akademik: ilmu matematika, ilmu kehidupan, dan ilmu humaniora dan sosial, dan keputusan dibuat berdasarkan pandangan Academia Sinica. Pendekatan ini membantu mempertimbangkan secara komprehensif tingkat dan kesamaan tema dari setiap permohonan, sehingga menjadikan subsidi pendanaan lebih adil dan efektif."
7,Aplikasi proyek,tinjauan,Bagaimana metode peninjauan ini menjamin keadilan dan efektivitas pendanaan subsidi?,akademik,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"Metode peninjauan ini terutama melalui tiga tahap: peninjauan tertulis, peninjauan, dan peninjauan akhir untuk memastikan keadilan dan efektivitas pendanaan subsidi. Pertama, seorang ahli akan melakukan tinjauan tertulis terhadap rencana tersebut. Kemudian, berbagai proyek di bidang yang sama akan diserahkan ke komite peninjau kelompok ilmu matematika, ilmu hayati, humaniora, dan ilmu sosial untuk dievaluasi. Terakhir, Academia Sinica akan mengambil keputusan berdasarkan hasil penilaian dan pendapatnya sendiri. Pendekatan ini memungkinkan seluruh proses peninjauan untuk mempertimbangkan secara lebih komprehensif tingkat dan kesamaan subjek dari setiap permohonan, sehingga memastikan bahwa pendanaan subsidi lebih adil dan efektif."
8,Aplikasi proyek,melaksanakan,Bagaimana cara kerja mekanisme penyesuaian hibah bergulir untuk proyek-proyek penelitian ini?,akademik,https://sub.daais.sinica.edu.tw/grants/comparison.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02-27872575 Li Jiayin 02-27899476,"Mekanisme besaran subsidi penyesuaian bergulir untuk proyek-proyek penelitian ini didasarkan pada kemajuan dan hasil proyek, dan terus melakukan operasi pelacakan dan evaluasi seperti peninjauan laporan sementara, evaluasi laporan akhir jangka waktu pelaksanaan, perubahan rencana, dan pengelolaan dana. dan kontrol. Setelah dilakukan evaluasi, besaran subsidi akan disesuaikan dengan keadaan aktual proyek untuk mencapai manfaat operasional yang optimal."
9,Aplikasi proyek,perencanaan ke depan,Bagaimana saya bisa berpartisipasi dalam Proyek Tinjauan ke Depan?,akademik,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,"Untuk berpartisipasi dalam program ini, Anda harus terlebih dahulu menjadi asisten peneliti penuh waktu atau peneliti asosiasi tidak tetap di Academia Sinica, atau asisten peneliti atau peneliti asosiasi tidak tetap yang baru direkrut di setiap lembaga atau pusat penelitian Academia Sinica. Berikutnya, mengajukan permohonan antara bulan Maret dan Mei setiap tahun, menyerahkan surat niat pada awal April, dan kemudian meminta unit pemberi rekomendasi untuk menyerahkan salinan rencana tersebut pada awal Mei. Setelah itu menunggu proses peninjauan awal tertulis, pemeriksaan ulang, dan peninjauan akhir. Lamaran yang lolos peninjauan akan diumumkan pada bulan November, dan rencana yang lolos peninjauan akan dilaksanakan pada bulan Januari tahun berikutnya. Ingatlah untuk menyiapkan proposal penelitian, resume, dan daftar karya besar, serta surat rekomendasi dan notulen rapat yang relevan saat melamar. Untuk informasi lebih lanjut dan metode pendaftaran, silakan kunjungi situs web Academia Sinica yang relevan."
