index,category,title,question,group,url,contact,answer
0,プロジェクトの申請,申請,中央研究院には競争的学術研究プロジェクトの資金は何種類ありますか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.htmll,趙万玲 02-27898067 徐京平 02-27899351 曽晋正 02-27899386 建美秀 02-27899676 陳宜軍 02-27872612 百千華 02-27872613 張元真 02-27872614 李立文02-27872575 李嘉陰 02-27899476,"中央研究院の競争的学術研究計画への資金提供は、大きく 3 つのタイプに分けられます。1 つ目は、綿密な基礎研究タイプと、将来を見据えた計画、綿密な計画、主題研究計画を含む卓越タイプです。
2 番目のタイプ: 重要な課題および新興分野におけるブレークスルーの追求。これには、重要なブレークスルー シード計画や重要なブレークスルー研究計画が含まれます。
3 番目のタイプ: ミッション指向型。これには、持続可能な科学研究プロジェクト、ミッション指向のバイオテクノロジー研究プロジェクト、疫病対応研究プロジェクト、材料および分析技術探査プロジェクト (iMATE)、およびデジタル人文科学研究プロジェクトが含まれます。"
1,プロジェクトの申請,申請,中央研究院はさまざまなプロジェクトの種類に応じて資金をどのように割り当てていますか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/comparison.html,趙万玲 02-27898067 徐京平 02-27899351 曽晋正 02-27899386 建美秀 02-27899676 陳宜軍 02-27872612 百千華 02-27872613 張元真 02-27872614 李立文02-27872575 李嘉陰 02-27899476,中央研究院が資金を割り当てる際には、プロジェクトの種類、個人プロジェクトかチーム統合プロジェクトか、プロジェクトの規模と深さ、利益評価などの要素に基づいて手配を行います。過去の経験や分析・見直しを参考に、厳密に配分計画を立てるとともに、計画の見直しから関連する実践的な研究結果を取り入れて修正を行います。また、中間報告書レビュー、執行期限報告書評価、計画変更、資金管理・コントロールなどの追跡管理・評価業務も実施し、プロジェクトごとに最適な補助金額をローリング調整する仕組みを設けています。操作のメリット
2,プロジェクトの申請,申請,第 1 種および第 2 種プロジェクト資金に申請したいのですが、どうやって始めればよいですか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/index.html,趙万玲 02-27898067 徐京平 02-27899351 曽晋正 02-27899386 李嘉英 02-27899476 建梅秀 02-27899676 陳宜軍 02-27872612 百千華 02-27872613,第 1 種、第 2 種、および第 3 種のプロジェクト資金に申請したい場合は、まずこの Web サイトにアクセスして、各プロジェクトの概要、申請方法、スケジュールを確認してください: https://sub.daais.sinica.edu.tw /grants/index.html.申請の際には、中央研究院の学術サービス管理システム（Webサイトアドレス：https://asms.sinica.edu.tw/）にログインする必要があります。あとは、システムのガイドラインに従って適用するだけです。
3,プロジェクトの申請,レビュー,復習演習はどのように 3 つの段階に分かれていますか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.html,趙万玲 02-27898067 徐京平 02-27899351 曽晋正 02-27899386 建美秀 02-27899676 陳宜軍 02-27872612 百千華 02-27872613 張元真 02-27872614 李立文02-27872575 李嘉陰 02-27899476,審査プロセスは 3 つの段階に分かれており、プロジェクト分野の専門家による書面による審査から始まり、審査段階に入り、最後に最終審査が行われます。
4,プロジェクトの申請,レビュー,レビューではどのような問題の解決に重点が置かれますか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.html,趙万玲 02-27898067 徐京平 02-27899351 曽晋正 02-27899386 建美秀 02-27899676 陳宜軍 02-27872612 百千華 02-27872613 張元真 02-27872614 李立文02-27872575 李嘉陰 02-27899476,このレビューは、重要な主要問題の解決、イノベーションの程度、予想される影響、および国際競争力に焦点を当てています。
5,プロジェクトの申請,レビュー,イノベーションの度合いや国際競争力をどう評価するのか？,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.html,趙万玲 02-27898067 徐京平 02-27899351 曽晋正 02-27899386 建美秀 02-27899676 陳宜軍 02-27872612 百千華 02-27872613 張元真 02-27872614 李立文02-27872575 李嘉陰 02-27899476,イノベーションレベルと国際競争力の評価は、主にプロジェクト分野の専門家による書面審査を経て、3段階の審査と最終審査を経て行われます。このプロセス中、審査委員会は、評価の公平性と有効性を確保するために、実績とテーマの類似性に加え、中央研究院の見解に基づいてさまざまなプロジェクトについて議論および評価します。
6,プロジェクトの申請,レビュー,新体制のもとでは、さまざまな研究プロジェクトが３学術団体の委員会でどのように評価されるのでしょうか。,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.html,趙万玲 02-27898067 徐京平 02-27899351 曽晋正 02-27899386 建美秀 02-27899676 陳宜軍 02-27872612 百千華 02-27872613 張元真 02-27872614 李立文02-27872575 李嘉陰 02-27899476,新制度では、さまざまな研究プロジェクトが数理科学、生命科学、人文社会科学の３学術団体の審査委員会で議論・評価され、中央研究院の見解に基づいて決定される。このアプローチは、各申請のレベルとテーマの類似性を包括的に考慮するのに役立ち、補助金の助成金をより公平かつ効果的にすることができます。
7,プロジェクトの申請,レビュー,この審査方法は補助金の公平性や実効性をどのように担保するのでしょうか。,アカデミック,https://sub.daais.sinica.edu.tw/grants/about.html,趙万玲 02-27898067 徐京平 02-27899351 曽晋正 02-27899386 建美秀 02-27899676 陳宜軍 02-27872612 百千華 02-27872613 張元真 02-27872614 李立文02-27872575 李嘉陰 02-27899476,この審査方法は、主に書面審査、審査、最終審査の3段階を経て、補助金の公平性と有効性を確保しています。まず、専門家が計画の書面によるレビューを行います。その後、同分野のさまざまなプロジェクトが数理科学、生命科学、人文科学、社会科学の各グループの審査委員会に提出され、評価が行われます。最終的に、中央研究院はこれらの採点結果と独自の意見に基づいて決定を下します。このアプローチにより、審査プロセス全体で各申請のレベルと主題の類似性をより包括的に考慮できるようになり、それによって補助金の助成がより公平かつ効果的に行われるようになります。
8,プロジェクトの申請,執行,これらの研究プロジェクトに対するローリング助成金調整メカニズムはどのように機能しますか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/comparison.html,趙万玲 02-27898067 徐京平 02-27899351 曽晋正 02-27899386 建美秀 02-27899676 陳宜軍 02-27872612 百千華 02-27872613 張元真 02-27872614 李立文02-27872575 李嘉陰 02-27899476,これらの研究事業に対する補助金のローリング調整制度は、事業の進捗と成果に基づき、中間報告審査、実施期末報告評価、計画変更、資金管理などの追跡・評価業務を継続的に実施するものです。そしてコントロール。評価後、最適な運営効果が得られるよう、事業の実態に応じて補助金額を調整します。
9,プロジェクトの申請,将来の計画,Foresight プロジェクトに参加するにはどうすればよいですか?,アカデミック,https://sub.daais.sinica.edu.tw/grants/cda.html,趙万玲 02-27898067 徐京平 02-27899351 曽晋正 02-27899386,このプログラムに参加するには、まず中央研究院の常勤助手または非常勤准研究員であるか、中央研究院の各研究所または研究センターで新規採用された研究助手または非常勤准研究員である必要があります。次に、毎年3月から5月の間に申請し、4月上旬に意向書を提出し、5月上旬に推薦部隊に計画書のハードコピーを提出してもらいます。その後、書面による事前審査、再審査、最終審査を待ち、11月に審査通過案が発表され、翌年1月に審査通過計画が実施される予定です。応募の際は、研究提案書、履歴書、主な著作リスト、推薦状、関連議事録などを忘れずにご用意ください。詳細および申請方法については、中央研究院の関連ウェブサイトをご覧ください。
