index,category,title,question,group,url,contact,answer
0,프로젝트 신청,적용하다,Academia Sinica에는 몇 가지 유형의 경쟁력 있는 학술 연구 프로젝트 자금 지원이 있습니까?,학생,https://sub.daais.sinica.edu.tw/grants/about.htmll,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02 -27872575 리가인 02-27899476,"Academia Sinica의 경쟁력 있는 학술 연구 계획 자금은 세 가지 주요 유형, 즉 첫 번째 유형으로 나뉩니다. 미래 지향적 계획, 심층 계획 및 주제별 연구 계획을 포함하는 심층 기초 연구 및 우수성 유형;
두 번째 유형: 핵심 혁신 시드 계획 및 핵심 혁신 연구 계획을 포함하여 핵심 문제 및 신흥 분야에서 혁신을 추구합니다.
세 번째 유형은 지속 가능한 과학 연구 프로젝트, 미션 중심의 생명공학 연구 프로젝트, 전염병 대응 연구 프로젝트, 재료 및 분석 기술 탐사 프로젝트(iMATE), 디지털 인문학 연구 프로젝트를 포함한 미션 중심입니다."
1,프로젝트 신청,적용하다,Academia Sinica는 다양한 프로젝트 유형에 따라 자금을 어떻게 할당합니까?,학생,https://sub.daais.sinica.edu.tw/grants/comparison.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02 -27872575 리가인 02-27899476,"Academia Sinica는 자금을 할당할 때 프로젝트 유형, 개인 또는 팀 통합 여부, 프로젝트의 규모 및 깊이, 혜택 평가 등의 요소를 기반으로 자금을 배정합니다. 그들은 과거의 경험과 분석 및 검토를 참고하여 할당을 엄격하게 계획하는 동시에 계획 검토에서 관련 실무 연구 결과를 통합하고 수정합니다. 또한, 중간 보고서 검토, 실행 만료 보고서 평가, 계획 변경, 자금 관리 및 통제 등 추적 관리 및 평가 업무도 수행할 예정입니다. 운영.혜택."
2,프로젝트 신청,적용하다,"Type 1, Type 2 프로젝트 펀딩을 신청하고 싶은데 어떻게 시작하나요?",학생,https://sub.daais.sinica.edu.tw/grants/index.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613,"첫 번째, 두 번째, 세 번째 유형의 프로젝트 자금을 신청하려면 먼저 이 웹사이트로 이동하여 각 프로젝트의 소개, 신청 방법 및 일정을 알아볼 수 있습니다: https://sub.daais.sinica.edu.tw /grants/index.html. 지원 시 Academia Sinica 학술서비스관리시스템에 로그인해야 하며, 홈페이지 주소는 https://asms.sinica.edu.tw/입니다. 그런 다음 시스템 지침에 따라 신청하세요."
3,프로젝트 신청,검토,검토 연습은 어떻게 3단계로 나누어지나요?,학생,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02 -27872575 리가인 02-27899476,"검토 과정은 프로젝트 분야 전문가의 서면 검토를 시작으로 검토 단계, 최종 검토의 3단계로 나누어진다."
4,프로젝트 신청,검토,검토에서는 어떤 문제 해결에 중점을 두나요?,학생,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02 -27872575 리가인 02-27899476,"검토에서는 중요한 핵심 문제, 혁신 정도, 예상되는 영향 및 국제 경쟁력을 해결하는 데 중점을 둡니다."
5,프로젝트 신청,검토,혁신 정도와 국제 경쟁력을 어떻게 평가하나요?,학생,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02 -27872575 리가인 02-27899476,"혁신수준 및 국제경쟁력 평가는 주로 사업분야 전문가의 서면검토를 거쳐, 3단계 검토 및 최종검토를 거친다. 이 과정에서 심사위원회는 평가의 공정성과 효율성을 보장하기 위해 다양한 프로젝트의 성과, 주제 유사성, Academia Sinica의 견해를 바탕으로 논의하고 평가할 것입니다."
6,프로젝트 신청,검토,새로운 시스템 하에서 3개 학회 위원회는 다양한 연구과제를 어떻게 평가하게 됩니까?,학생,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02 -27872575 리가인 02-27899476,"새로운 시스템에서는 수리과학, 생명과학, 인문사회과학 등 3개 학계로 구성된 심사위원회에서 다양한 연구 프로젝트를 논의하고 평가하며, 결정은 Academia Sinica의 견해에 따라 내려집니다. 이 접근 방식은 각 신청서의 수준과 주제 유사성을 종합적으로 고려하여 보조금 지원을 더욱 공평하고 효과적으로 만드는 데 도움이 됩니다."
7,프로젝트 신청,검토,이 검토 방법은 보조금 지원의 공정성과 효율성을 어떻게 보장합니까?,학생,https://sub.daais.sinica.edu.tw/grants/about.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02 -27872575 리가인 02-27899476,"이 검토 방식은 주로 서면 검토, 검토, 최종 검토의 3단계를 거쳐 지원금의 공정성과 효율성을 보장합니다. 먼저, 전문가가 계획에 대한 서면 검토를 실시합니다. 이후, 같은 분야의 다양한 프로젝트가 수리과학, 생명과학, 인문사회과학 그룹의 심사위원회에 제출되어 평가됩니다. 마지막으로 Academia Sinica는 이러한 채점 결과와 자체 의견을 바탕으로 결정을 내릴 것입니다. 이러한 접근 방식을 통해 전체 검토 과정에서 각 신청의 수준과 주제 유사성을 보다 포괄적으로 고려할 수 있으므로 보조금 지원이 더욱 공정하고 효과적이게 됩니다."
8,프로젝트 신청,구현하다,이러한 연구 프로젝트에 대한 롤링 보조금 조정 메커니즘은 어떻게 작동합니까?,학생,https://sub.daais.sinica.edu.tw/grants/comparison.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-27872614 Li Liwen 02 -27872575 리가인 02-27899476,"이들 연구과제에 대한 롤링 조정 보조금 금액 메커니즘은 프로젝트의 진행 및 결과를 기반으로 중간 보고서 검토, 기말 보고서 실행 평가, 계획 변경, 자금 관리 등의 추적 및 평가 작업을 지속적으로 수행합니다. 그리고 통제. 평가 후 최적의 운영 이익을 달성하기 위해 프로젝트의 실제 상황에 따라 보조금 금액이 조정됩니다."
9,프로젝트 신청,앞으로의 계획,Foresight 프로젝트에 어떻게 참여할 수 있나요?,학생,https://sub.daais.sinica.edu.tw/grants/cda.html,조만령 02-27898067 서경평 02-27899351 증진정 02-27899386,"이 프로그램에 참여하려면 먼저 Academia Sinica의 전임 보조연구원 또는 비상근 부연구원이거나 Academia Sinica의 각 연구소 또는 연구 센터에 새로 채용된 연구 조교 또는 비상근 부연구원이어야 합니다. 다음으로 매년 3월~5월 사이에 신청해 4월 초에 의향서를 제출하고, 추천기관에 계획서 인쇄본을 5월 초 제출하도록 요청한다. 이후 서면예비심사, 재심사, 최종심사 과정을 거치게 되며, 심사를 통과한 신청서는 11월에 발표될 예정이며, 심사를 통과한 계획은 이듬해 1월에 시행될 예정입니다. 지원 시 연구제안서, 이력서, 주요 작품 목록, 추천서, 관련 회의록 등을 준비하는 것을 잊지 마세요. 자세한 내용 및 신청방법은 Academia Sinica 관련 홈페이지를 참고하시기 바랍니다."
