index,category,title,question,group,url,contact,answer
0,заявка на план,приложение 1,Сколько типов конкурсного финансирования академических исследовательских проектов Academia Sinica?,академический,https://sub.daais.sinica.edu.tw/grants/about.htmll,Чжао Ваньлин 02-27898067 Сюй Цзинпин 02-27899351 Цзэн Цзиньчжэн 02-27899386 Цзянь Мэйсю 02-27899676 Чэнь Ицзюнь 02-27872612 Бай Цяньхуа 02-27872613 Чжан Юаньчжэнь 02-27872614 Ли Ли Вэнь 02-27892575 Ли Цзяинь 02-27899476,"Конкурсное финансирование академических исследовательских проектов Academia Sinica разделено на три типа, а именно первый тип: глубокое развитие фундаментальных исследований, тип передового опыта, включая перспективные проекты, проекты глубокого развития и тематические исследовательские проекты;
Второй тип: заниматься ключевыми проблемами и прорывами в новых областях, включая ключевые прорывные посевные проекты и ключевые прорывные исследовательские проекты;
Третий тип: ориентированный на выполнение миссии, включая устойчивые научные исследовательские проекты, исследовательские проекты в области биотехнологий, исследовательские проекты по реагированию на эпидемии, проекты по исследованию технологий материалов и анализа (iMATE) и исследовательские проекты в области цифровых гуманитарных наук."
1,заявка на план,приложение 2,Как Academia Sinica распределяет средства по различным типам проектов?,академический,https://sub.daais.sinica.edu.tw/grants/comparison.html,Чжао Ваньлин 02-27898067 Сюй Цзинпин 02-27899351 Цзэн Цзиньчжэн 02-27899386 Цзянь Мэйсю 02-27899676 Чэнь Ицзюнь 02-27872612 Бай Цяньхуа 02-27872613 Чжан Юаньчжэнь 02-27872614 Ли Ли Вэнь 02-27892575 Ли Цзяинь 02-27899476,"Когда Academia Sinica выделяет средства, она распределяет средства в зависимости от типа проекта, индивидуального или командного, масштаба и глубины проекта, а также оценки выгод. Они будут тщательно планировать ассигнования с учетом прошлого опыта и аналитических обзоров, одновременно включая и пересматривая результаты соответствующих практических исследований для обзора программы. Кроме того, они также будут выполнять последующие операции по управлению и оценке, такие как анализ промежуточных отчетов, реализация оценки отчетов об истечении срока действия, внесение изменений в план и контроль финансирования. Каждый план имеет механизм скользящей корректировки сумм субсидий для обеспечения оптимальной работы. , польза."
2,заявка на план,приложение 3,"Я хочу подать заявку на первый и второй вид финансирования проекта, как мне начать?",академический,https://sub.daais.sinica.edu.tw/grants/index.html,Чжао Ваньлин 02-27898067 Сюй Цзинпин 02-27899351 Цзэн Цзиньчжэн 02-27899386 Ли Цзяинь 02-27899476 Цзянь Мэйсю 02-27899676 Чэнь Ицзюнь 02-27872612 Бай Цяньхуа 02-27872613,"Если вы хотите подать заявку на первый, второй и третий типы финансирования проекта, вы можете сначала зайти на этот веб-сайт, чтобы узнать о введении, методе подачи заявки и графике каждого проекта: https://sub.daais.sinica.edu. tw/grants/index.html. При подаче заявки войдите в систему управления академическими услугами Academia Sinica по адресу https://asms.sinica.edu.tw/. Затем следуйте системным рекомендациям для подачи заявки."
3,заявка на план,Обзор 1,Как работа по проверке разделена на три этапа?,академический,https://sub.daais.sinica.edu.tw/grants/about.html,Чжао Ваньлин 02-27898067 Сюй Цзинпин 02-27899351 Цзэн Цзиньчжэн 02-27899386 Цзянь Мэйсю 02-27899676 Чэнь Ицзюнь 02-27872612 Бай Цяньхуа 02-27872613 Чжан Юаньчжэнь 02-27872614 Ли Ли Вэнь 02-27892575 Ли Цзяинь 02-27899476,"Операция проверки разделена на три этапа: сначала эксперты в области планирования проводят письменную проверку, затем переходят на стадию повторной проверки и, наконец, проводят окончательную проверку."
4,заявка на план,обзор 2,Какие основные вопросы необходимо решить в обзоре?,академический,https://sub.daais.sinica.edu.tw/grants/about.html,Чжао Ваньлин 02-27898067 Сюй Цзинпин 02-27899351 Цзэн Цзиньчжэн 02-27899386 Цзянь Мэйсю 02-27899676 Чэнь Ицзюнь 02-27872612 Бай Цяньхуа 02-27872613 Чжан Юаньчжэнь 02-27872614 Ли Ли Вэнь 02-27892575 Ли Цзяинь 02-27899476,"Основное внимание в обзоре уделяется, главным образом, решению важных ключевых вопросов, степени инновационности, степени ожидаемого воздействия и международной конкурентоспособности."
5,заявка на план,обзор 3,Как оценить степень инновационности и международной конкурентоспособности?,академический,https://sub.daais.sinica.edu.tw/grants/about.html,Чжао Ваньлин 02-27898067 Сюй Цзинпин 02-27899351 Цзэн Цзиньчжэн 02-27899386 Цзянь Мэйсю 02-27899676 Чэнь Ицзюнь 02-27872612 Бай Цяньхуа 02-27872613 Чжан Юаньчжэнь 02-27872614 Ли Ли Вэнь 02-27892575 Ли Цзяинь 02-27899476,"Оценка степени инновационности и международной конкурентоспособности осуществляется в основном посредством письменной оценки экспертов в области проекта, а затем посредством трех этапов проверки и окончательной проверки. В ходе этого процесса комитет по обзору проведет обсуждение и оценку на основе эффективности различных проектов и сходства тем, а также мнений Академии Синика, чтобы обеспечить справедливость и эффективность оценки."
6,заявка на план,обзор 4,Как в соответствии с новой системой три академических комитета оценивают различные исследовательские проекты?,академический,https://sub.daais.sinica.edu.tw/grants/about.html,Чжао Ваньлин 02-27898067 Сюй Цзинпин 02-27899351 Цзэн Цзиньчжэн 02-27899386 Цзянь Мэйсю 02-27899676 Чэнь Ицзюнь 02-27872612 Бай Цяньхуа 02-27872613 Чжан Юаньчжэнь 02-27872614 Ли Ли Вэнь 02-27892575 Ли Цзяинь 02-27899476,"В соответствии с новой системой различные исследовательские проекты обсуждаются и оцениваются наблюдательными комитетами трех академических групп: математических наук, наук о жизни, гуманитарных и социальных наук, а решения принимаются на основе мнений Academia Sinica. Такой подход помогает полностью учитывать уровень каждой заявки и схожесть тем, делая финансирование более справедливым и эффективным."
7,заявка на план,обзор 5,Как этот метод проверки обеспечивает справедливость и эффективность грантов?,академический,https://sub.daais.sinica.edu.tw/grants/about.html,Чжао Ваньлин 02-27898067 Сюй Цзинпин 02-27899351 Цзэн Цзиньчжэн 02-27899386 Цзянь Мэйсю 02-27899676 Чэнь Ицзюнь 02-27872612 Бай Цяньхуа 02-27872613 Чжан Юаньчжэнь 02-27872614 Ли Ли Вэнь 02-27892575 Ли Цзяинь 02-27899476,"Этот метод проверки в основном проходит три этапа: письменная проверка, проверка и окончательная проверка, чтобы гарантировать справедливость и эффективность финансовых субсидий. Сначала эксперты проводят письменную экспертизу плана. Затем различные проекты в одной и той же области будут представлены на оценку экспертным комитетам трех академических групп математических наук, наук о жизни, гуманитарных и социальных наук. В конечном итоге Academia Sinica будет принимать решения на основе этих результатов и собственного мнения. Такой подход позволяет в ходе всего процесса рассмотрения более полно учитывать качество и тематическое сходство каждой заявки, тем самым обеспечивая более справедливое и эффективное финансирование."
8,заявка на план,осуществлять,Как работает механизм скользящего размера грантов для этих исследовательских программ?,академический,https://sub.daais.sinica.edu.tw/grants/comparison.html,Чжао Ваньлин 02-27898067 Сюй Цзинпин 02-27899351 Цзэн Цзиньчжэн 02-27899386 Цзянь Мэйсю 02-27899676 Чэнь Ицзюнь 02-27872612 Бай Цяньхуа 02-27872613 Чжан Юаньчжэнь 02-27872614 Ли Ли Вэнь 02-27892575 Ли Цзяинь 02-27899476,"Механизм скользящей корректировки суммы субсидии в этих исследовательских проектах основан на ходе и результатах проектов и продолжает выполнять операции по последующей оценке, такие как анализ промежуточных отчетов, оценка отчетов об истечении срока реализации, изменения в проектах и ​​контроль финансирования. . После оценки сумма субсидии будет скорректирована в соответствии с фактической ситуацией в проекте для достижения максимальной операционной эффективности."
9,заявка на план,Форсайт-план 1,Как я могу принять участие в Форсайт-программе?,академический,https://sub.daais.sinica.edu.tw/grants/cda.html,Чжао Ваньлин 02-27898067 Сюй Цзинпин 02-27899351 Цзэн Цзиньчжэн 02-27899386,"Чтобы принять участие в этой программе, вы сначала должны быть штатным ассистентом-исследователем, непостоянным научным сотрудником Academia Sinica или недавно принятым на работу научным сотрудником или непостоянным младшим научным сотрудником в различных научно-исследовательских институтах и ​​исследовательских центрах Academia Sinica. Затем подайте заявку в период с марта по май каждого года, отправьте письмо о намерениях в начале апреля, а затем попросите рекомендающее подразделение предоставить информацию о бумажном плане в начале мая. После этого настало время дождаться письменного предварительного рассмотрения, повторного рассмотрения и процесса окончательного рассмотрения. В ноябре будут объявлены заявки, прошедшие рассмотрение, а планы, прошедшие рассмотрение, будут реализованы в январе следующего года. год. При подаче заявки не забудьте подготовить исследовательское предложение, личное резюме и каталог основных работ, а также рекомендательные письма и соответствующие протоколы встреч. Для получения дополнительной информации и подачи заявки посетите соответствующий веб-сайт Academia Sinica."
