index,category,title,question,group,url,contact,answer
0,план застосування,додаток 1,Скільки типів конкурсного фінансування академічних дослідницьких проектів Academia Sinica?,академічний,хттпс://суб.дааіс.синица.еду.тв/грантс/аут.хтмл,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-278726 14 Лі Лі Вен 02-27892575 Лі Цзяінь 02-27899476,"Конкурсне фінансування академічних дослідницьких проектів Academia Sinica поділяється на три типи, а саме перший тип: глибоке культивування фундаментальних досліджень, тип досконалості, включаючи перспективні плани, плани глибокого культивування та тематичні дослідницькі проекти;
Другий тип: пошук ключових проблем і проривів у нових галузях, включаючи ключові проривні початкові проекти та ключові проривні дослідницькі проекти;
Третій тип: місійно-орієнтований, включаючи стійкі науково-дослідницькі проекти, біотехнологічні дослідницькі проекти, дослідницькі проекти у відповідь на епідемію, проекти дослідження матеріалів і технологій аналізу (iMATE) і дослідницькі проекти цифрових гуманітарних наук."
1,план застосування,додаток 2,Як Academia Sinica розподіляє кошти відповідно до різних типів проектів?,академічний,хттпс://суб.дааіс.синица.еду.тв/грантс/цомпарісон.хтмл,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-278726 14 Лі Лі Вен 02-27892575 Лі Цзяінь 02-27899476,"Коли Academia Sinica виділяє кошти, вони розподіляються відповідно до типу проекту, індивідуальної чи командної інтеграції, масштабу та глибини проекту, а також оцінки переваг та інших факторів. Вони ретельно плануватимуть розподіл із посиланням на минулий досвід та аналітичні огляди, одночасно включаючи та переглядаючи результати відповідних практичних досліджень для перегляду програми. Крім того, вони також виконуватимуть подальші операції з управління та оцінки, такі як перегляд проміжного звіту, впровадження оцінки звіту про завершення терміну дії, зміни плану та контроль фінансування.Кожний план має механізм плавного коригування суми субсидії для забезпечення оптимальна робота."
2,план застосування,додаток 3,"Я хочу подати заявку на перший і другий види фінансування проекту, з чого почати?",академічний,хттпс://суб.дааіс.синица.еду.тв/грантс/індех.хтмл,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-278726 13,"Якщо ви хочете подати заявку на перший, другий і третій типи фінансування проекту, ви можете спочатку перейти на цей веб-сайт, щоб дізнатися про вступ, спосіб подання та графік кожного проекту: https://sub.daais.sinica.edu. tw/grants/index.html. Під час подачі заявки увійдіть до системи управління академічними послугами Academia Sinica за адресою https://asms.sinica.edu.tw/. Потім дотримуйтеся вказівок системи, щоб застосувати."
3,план застосування,Огляд 1,Як перевірка роботи розділена на три етапи?,академічний,хттпс://суб.дааіс.синица.еду.тв/грантс/аут.хтмл,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-278726 14 Лі Лі Вен 02-27892575 Лі Цзяінь 02-27899476,"Операція перевірки поділяється на три етапи: спочатку експерти у сфері планування проводять письмову перевірку, потім переходять на етап повторної перевірки і, нарешті, проводять остаточну перевірку."
4,план застосування,огляд 2,Які основні питання необхідно розглянути в огляді?,академічний,хттпс://суб.дааіс.синица.еду.тв/грантс/аут.хтмл,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-278726 14 Лі Лі Вен 02-27892575 Лі Цзяінь 02-27899476,"Огляд зосереджений головним чином на вирішенні важливих ключових питань, ступеня інноваційності, ступеня очікуваного впливу та міжнародної конкурентоспроможності."
5,план застосування,огляд 3,Як оцінити ступінь інноваційності та міжнародної конкурентоспроможності?,академічний,хттпс://суб.дааіс.синица.еду.тв/грантс/аут.хтмл,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-278726 14 Лі Лі Вен 02-27892575 Лі Цзяінь 02-27899476,"Оцінка ступеня інноваційності та міжнародної конкурентоспроможності відбувається в основному через письмову рецензію експертів у галузі проекту, а потім через три етапи рецензування та остаточного рецензування. Під час цього процесу ревізійна комісія проведе обговорення та оцінку на основі продуктивності різних проектів і схожості тем, а також поглядів Academia Sinica, щоб забезпечити справедливість і ефективність оцінювання."
6,план застосування,огляд 4,Як за новою системою різні дослідницькі проекти оцінюються трьома академічними комітетами?,академічний,хттпс://суб.дааіс.синица.еду.тв/грантс/аут.хтмл,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-278726 14 Лі Лі Вен 02-27892575 Лі Цзяінь 02-27899476,"Згідно з новою системою, різні дослідницькі проекти обговорюються та оцінюються рецензійними комітетами трьох академічних груп математичних наук, наук про життя та гуманітарних і соціальних наук, а рішення приймаються на основі поглядів Academia Sinica. Такий підхід допомагає повністю врахувати рівень кожної заявки та схожість тем, що робить фінансування більш справедливим та ефективним."
7,план застосування,огляд 5,Як цей метод перевірки забезпечує справедливість та ефективність грантів?,академічний,хттпс://суб.дааіс.синица.еду.тв/грантс/аут.хтмл,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-278726 14 Лі Лі Вен 02-27892575 Лі Цзяінь 02-27899476,"Цей метод перевірки в основному проходить три етапи: письмова перевірка, перевірка та остаточна перевірка для забезпечення справедливості та ефективності фінансових субсидій. Спочатку експерти проводять письмову експертизу плану. Потім різні проекти в тій самій галузі будуть представлені на розгляд рецензійним комісіям трьох академічних груп математичних наук, наук про життя, гуманітарних та соціальних наук. Зрештою, Academia Sinica прийматиме рішення на основі цих результатів і власної думки. Такий підхід дозволяє повніше враховувати якість і тематичну схожість кожної заявки протягом усього процесу розгляду, забезпечуючи тим самим більш справедливе та ефективне фінансування."
8,план застосування,реалізувати,Як працює механізм постійного розміру гранту для цих дослідницьких програм?,академічний,хттпс://суб.дааіс.синица.еду.тв/грантс/цомпарісон.хтмл,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613 Zhang Yuanzhen 02-278726 14 Лі Лі Вен 02-27892575 Лі Цзяінь 02-27899476,"Механізм поточного коригування розміру субсидії для цих дослідницьких проектів базується на прогресі та результатах проектів і продовжує виконувати такі операції з подальшої оцінки, як проміжний аналіз звіту, оцінка звіту про закінчення терміну реалізації, зміни проекту та контроль фінансування . Після оцінки сума субсидії буде скоригована відповідно до фактичної ситуації проекту для досягнення найкращої операційної ефективності."
9,план застосування,Форсайт-план 1,Як я можу взяти участь у програмі Форсайт?,академічний,хттпс://суб.дааіс.синица.еду.тв/грантс/цда.хтмл,Чжао Ванлін 02-27898067 Сюй Цзіньпін 02-27899351 Цзен Цзіньчжен 02-27899386,"Щоб взяти участь у цій програмі, ви повинні спочатку бути штатним асистентом-дослідником, непостійним науковим співробітником Academia Sinica або нещодавно прийнятим на роботу асистентом чи непостійним асоційованим науковим співробітником у різних науково-дослідних інститутах і дослідницьких центрах Academia Sinica. Далі подайте заявку протягом періоду з березня по травень кожного року, подайте лист про наміри на початку квітня, а потім попросіть підрозділ, який рекомендує, надати інформацію про паперовий план на початку травня. Після цього настав час дочекатися письмового попереднього розгляду, повторного розгляду та остаточного процесу розгляду.У листопаді заявки, які пройдуть розгляд, будуть оголошені, а плани, які пройдуть розгляд, будуть реалізовані в січні наступного року. рік. Не забудьте підготувати дослідницьку пропозицію, особисте резюме та каталог основних робіт, а також рекомендаційні листи та відповідні протоколи зустрічі під час подання заявки. Щоб дізнатися більше та як подати заявку, відвідайте відповідний веб-сайт Academia Sinica."
