category,title,context,group,url,contact
全院性核心設施,流式細胞分選設施,"流式細胞分選設施 Flow Cytometric Cell Sorting Core Facility原是中研院生物醫學科學研究所自設設施，2006年11月開放全院服務，2019年加入全院性核心設施計畫，主要服務中研院研究人員、國內大學及其他學術研究機構。

設施配置有3台不同技術規格、特色功能的流式細胞分選儀，提供非感染性動物細胞之無菌分選服務。流式細胞分選技術(Fluorescence-activated cell sorting)藉由將特定細胞物質以螢光標定，透過辨識螢光強度將特定螢光表現量的細胞群純化出來，分選後特定細胞族群之純度可高達98%。純化後細胞樣品可繼續培養或後續針對該細胞族群進行功能性分析，如核酸分析、蛋白質定量分析、影像分析或注射至活體內進行功能性觀察。

主要服務專案包括：
1.非感染性動物細胞之無菌分選 
2.使用者可參加部分流式細胞分析儀操作訓練課程，合格後者可預約儀器自行操作
3.不定期辦理各項儀器之教育訓練
4.各項流式細胞分選實驗設計諮詢服務

主要設備包括：
1. Becton Dickinson FACSAria IIIu 超高速四向流式細胞分選儀
2. Becton Dickinson FACSJazz 流式細胞分選儀
3. Cytek Aurora CS 高參數流式細胞分選系統

該設施位於中研院生物醫學科學研究所7樓N720實驗室，由該研究所李福安研究助技師負責管理。

有關流式細胞分選設施的使用規則、收費標準及聯繫方式，請參見
https://www.ibms.sinica.edu.tw/support_dep/index22.html",學術,https://www.ibms.sinica.edu.tw/support_dep/index22.html,中研院學術處
全院性核心設施,綜合型流式細胞儀實驗室,"綜合型流式細胞儀實驗室 Comprehensive Flow Cytometry Laboratory原是中研院植物暨微生物學研究所自設設施，於2010年4月開放全院服務。2020年加入全院性核心設施計畫，主要服務中研院研究人員、國內大學及其他學術研究機構。

設施配置有2台不同技術規格、特色功能的流式細胞分選儀，提供病毒、細菌、藻類、植物與動物細胞之分析及分選服務。流式細胞分選技術(Fluorescence-activated cell sorting)藉由將特定細胞物質以螢光標定，透過辨識螢光強度將特定螢光表現量的細胞群純化出來，分選後特定細胞族群之純度可高達98%。純化後細胞樣品可繼續培養或後續針對該細胞族群進行功能性分析，如核酸分析、蛋白質定量分析、影像分析或注射至活體內進行功能性觀察。

主要服務專案包括：
1. 病毒、細菌、藻類、植物與動物細胞之分析及分選
2. DNA與細胞週期分析
3. 多色螢光分析
4. 稀有或特定族群四向分選
5. 使用者可參加操作訓練課程，合格後者可預約流式細胞分析儀自行操作
6. 不定期辦理各項儀器之教育訓練
7. 各項流式細胞分選實驗設計諮詢服務

主要設備包括：
1. Beckman Coulter MoFlo XDP 超高速流式細胞儀
2. UNION BIOMETRICA 大顆粒多功能自動收集分類系統
3. 流式細胞分析儀2台

該設施位於中研院植物暨微生物學研究所1樓R114實驗室，由該研究所曾于芳專案研究人員負責管理。

有關綜合型流式細胞儀實驗室的使用規則、收費標準及聯繫方式，請參見
https://ipmbfcass.jimdo.com/",學術,https://ipmbfcass.jimdo.com/,中研院學術處
全院性核心設施,冷凍電顯設施,"冷凍電顯設施第1台應用於冷凍電顯之穿透式電子顯微鏡 (Transmission electron microscope, TEM) 儀器於2009年4月由中研院化學研究所規劃購置，并開放全院服務。跨領域科技研究大樓地下2樓冷凍電顯設施空間於2011年由分子生物研究所廖彥銓研究員協助規劃，并於2011年6月購置第2台TEM儀器，暫置於細胞與個體生物學研究所地下1樓實驗室空間。跨領域科技研究大樓冷凍電顯設施空間竣工完成後，第2台TEM先搬遷進駐，隨後於2018年購置2台高階冷凍電子顯微鏡。2019年部分人員及維運經費納入全院性核心設施計畫，主要服務中研院研究人員、國內大學及其他學術研究機構。

單粒子冷凍電鏡技術 (Single Particle Analysis, SPA) 是將生物大分子快速冷凍后，在低溫下利用透射電子顯微鏡對結構均一、分散的全同樣品顆粒進行成像，再經影像處理及重構計算獲得樣品的三維結構。該技術可研究生物大分子在溶液中的結構及構象變化，無需結晶，所需樣品量相對較少，適合於蛋白質、病毒等生物大分子及其複合物的結構生物學研究。

主要服務專案包括：
1.蛋白質巨分子單粒子結構分析 (Single Particle Analysis, SPA)
2.冷凍電子斷層攝影 (Electron Cryo-Tomography, ECT) 研究諮詢
3.服務流程從生物分子單顆粒樣品製備、樣品玻璃化冷凍固定、樣品篩選和收集單顆粒物影像及使用三維重構計算軟體
4.儀器使用依研究進程循序漸進運用中階到高階TEM儀器
5.SPA研究服務與技術諮詢

主要設備包括：
1.120 keV 高對比型穿透式電子顯微鏡 (JEOL JEM-1400)
2.200 keV 場發射槍穿透式電子顯微鏡 (FEI Tecnai G2 F20 TWIN)
3.200 keV 高階冷凍電子顯微鏡 (FEI Talos Arctica)
4.300 keV 高階全自動冷凍電子顯微鏡 (FEI Titan Krios)
5.Vitrobot 冷凍電鏡樣品製備裝置

該設施位於中研院跨領域科技研究大樓地下2樓 I-14實驗室，由生物化學研究所張淵智研究助技師負責管理。

有關冷凍電顯設施的使用規則、收費標準及聯繫方式，請參見
http://cryoem.ibc.sinica.edu.tw/index-C.php",學術,http://cryoem.ibc.sinica.edu.tw/index-C.php,中研院學術處
全院性核心設施,蛋白體與蛋白修飾分析公用質譜儀設施,"蛋白體與蛋白修飾分析公用質譜儀設施原是生物化學研究所自設設施，在中研院質譜儀使用者委員會的推動下，於2008年5月納入本院共用儀器設施，開放服務全院。2019年加入全院性核心設施計畫，主要服務中研院研究人員、國內大學及其他學術研究機構。

設施目前配備多台不同類型質譜儀，用以對不同的樣品進行質譜分析，主要針對蛋白質或胜?樣品進行蛋白質體分析，其應用範圍包含蛋白質鑑定、蛋白質轉譯後修飾的分析，以及蛋白質的定量等。

主要服務專案包括：
1. 蛋白質身份鑑定服務 - Protein Identification
2. 蛋白質轉譯後修飾分析服務 - Post-Translational Modification
3. 高流量蛋白質定量服務 - Quantitative Proteomic Analysis
4. 提供蛋白質鑑定分析軟體，如Mascot、MaxQuant、Proteome Discoverer供使用者分析送測產出之質譜數據
5. 以合作方式提供從樣品製備送測到質譜數據分析之客製服務
6. 定期辦理前處理方法及基礎質譜數據分析軟體實作的培訓課程

主要設備包括：
1.Thermo LTQ-Orbitrap Velos質譜儀
2. Thermo LTQ-Orbitrap Elite質譜儀
3. Thermo Orbitrap Fusion Tribrid質譜儀
4. Thermo Orbitrap Fusion Lumos Tribrid 質譜儀 
5. Waters Synapt G2 High Definition 質譜儀

該設施位於中研院生物化學研究所4樓401實驗室，由該所林淑妤研究副技師負責管理。

有關蛋白體與蛋白修飾分析公用質譜儀設施的使用規則、收費標準及聯繫方式，請參見
https://sites.google.com/view/ascmsf/",學術,https://sites.google.com/view/ascmsf/,中研院學術處
全院性核心設施,高磁場核磁共振中心,"高磁場核磁共振中心（High Field Nuclear Magnetic Resonance Center）於2002年在行政院國家科學及技術委員會（國科會）的「基因體醫學國家型科技計畫之核心設施」的支援下，由黃太煌研究員設立。2011年後，該中心併入國科會生技類核心設施「蛋白質結構分析核心設施」，繼續提供服務。2015年5月，中研院共用儀器設施納入該中心，開放全院同仁使用。2019年，該中心加入全院性核心設施計畫，主要服務對象包括中研院研究人員、國內大學及其他學術研究機構。

核磁共振現象（Nuclear Magnetic Resonance, NMR）是指當外加的電磁波頻率和原子核旋轉速度相同時，原子核會吸收電磁波能量的現象。這是由於自然界存在的同位素中有一半的原子核具有核子自旋的性質，它們就像小磁針，在磁場下會繞著磁場旋轉。核磁共振技術除了用於鑑定小分子結構外，也成為研究基因體和藥物結構的主要技術之一。

主要服務專案包括：
1.自行操作或由設施人員代測
2. 小分子圖譜代測
3. 大分子圖譜代測
4. 核磁共振片段篩選（Fragment-based Screening）
5.以合作模式由設施成員參與實驗設計，數據分析，結構計算或結果分析及解釋等客製化服務

主要設備包括：
1. 500MHz 核磁共振儀1組 (含低溫探頭) 
2. 600MHz 核磁共振儀3組 (含2組低溫探頭) 
3. 800MHz 核磁共振儀1組 (含低溫探頭)
4. 850MHz 核磁共振儀1組 (含低溫探頭)
5. 提供核磁共振相關技術諮詢服務

該設施位於中研院生物醫學科學研究所地下2樓NMR實驗室，由基因體研究中心張七鳳研究技師負責管理。

有關高磁場核磁共振中心的使用規則、收費標準及聯繫方式，請參見
https://www.nmr.sinica.edu.tw/",學術,https://www.nmr.sinica.edu.tw/,中研院學術處
全院性核心設施,整合型蛋白質結構與功能分析核心設施,"整合型蛋白質結構與功能分析核心設施於2020年加入全院性核心設施計畫，主要為中研院研究人員、國內大學以及其他學術研究機構提供服務。

蛋白質晶體學研究利用X射線單晶繞射分析技術來解析蛋白質的三維結構。該過程包括蛋白質樣品純化、結晶、X射線繞射、結構解析以及功能解釋等步驟，需要涉及生物物理學、生物化學、結構化學、凝聚物理學、物理化學和計算機等多學科知識，是一個典型的跨領域學科。

蛋白質晶體結構分析的步驟概述如下：
1.製備蛋白質晶體
2.收集X射線繞射數據
3.數據計算
4.解決相位問題
5.獲得電子密度圖
6.建立分子結構模型

主要服務專案包括：
1.基本服務，如自動點晶篩選、結晶條件優化、X射線繞射數據收集、蛋白質結構決定和驗證等。
2.蛋白質品質分析套裝服務，包括分析蛋白質的溫度適應性、pH值適應性和是否存在二硫鍵等物理化學特性。
3.整合型服務，從純化的蛋白質到晶體結構驗證的一站式服務。
4.提供單晶X射線繞射技術（X-ray diffraction, XRD）來鑑定蛋白質分子結構。同時，透過合作方式，使用者可以獲得其他國內設施的服務，以進一步分析蛋白質結構。
5.提供使用者完整的蛋白質結構與功能表徵資訊，以及相關技術諮詢。

該核心設施的主要設備包括：
1.Protein QC Basic Package 蛋白質品質分析基本型
2.Protein QC Deluxe Package 蛋白質品質分析豪華型
3.Protein QC SEC-MALS only 粒徑篩層析多角度散射分析系統
4.AF4-MALS 不對稱流場場流系統
5.Analytical SEC column 分析級分子篩層析管柱
6.CD J815 圓二色光譜儀
7.LightCycler 480 II 定量即時聚合?鏈鎖反應儀
8.UV/VIS V630 Bio 紫外光-可見光分光光度計

該設施位於中研院生物化學研究所4樓401室，由該所徐尚德研究員負責管理。

有關整合型蛋白質結構與功能分析核心設施的使用規則、收費標準及聯繫方式，請參見
http://aspc.ibc.sinica.edu.tw/index.php",學術,http://aspc.ibc.sinica.edu.tw/index.php,中研院學術處
全院性核心設施,代謝體核心設施,"植物暨微生物學研究所與農業生物科技研究中心於2010年1月合作設立了代謝體核心設施，並於2019年加入全院性核心設施計畫，主要為中研院研究人員、國內大學以及其他學術研究機構提供服務。

代謝體學研究的目標是全面、動態地呈現生物體中所有小分子代謝物。該研究通常分為三個階段進行：小分子代謝物分析、統計分析以及資料解讀與應用。該設施主要利用液相層析質譜分析技術獲取質譜數據，包括質譜型、種類和濃度，並通過多變量統計分析，與人類代謝體數據庫（如Human Metabolome Database, HMDB）或自行建立的資料庫進行比對。這些分析旨在全面分析生物樣本中的所有代謝物表現，並進一步尋找特徵代謝分子。

該核心設施的主要服務專案包括：
1.特定代謝物及其相關代謝產物的定性和定量分析。
2.非標靶式代謝體分析，包括代謝組學分析、標記物鑑定和代謝流分析。
3.未知物身份鑑定。
4.代謝體學研究實驗設計諮詢服務。

該核心設施的主要設備包括：
1.Tribrid質譜儀（Orbitrap Fusion Lumos, Thermo Scientific）
2.混合離子阱-Orbitrap質譜儀（Orbitrap Elite, Thermo Scientific）
3.雙壓力離子阱質譜儀（Velos Pro, Thermo Scientific）
4.進樣系統：3組超高效液相層析儀和1組奈米流高解析度高效液相層析儀。

該設施位於中研院農業科技大樓5樓A523實驗室，由該中心陳逸然副研究員負責管理。

有關代謝體核心設施施的使用規則、收費標準及聯繫方式，請參見
http://msomics.abrc.sinica.edu.tw/ASMCF/",學術,http://msomics.abrc.sinica.edu.tw/ASMCF/,
全院性核心設施,小分子結構鑑定質譜核心設施,"小分子結構鑑定質譜核心設施原是化學研究所自設設施，於1997年11月納入中研院共用儀器設施，並於2019年加入全院性核心設施計畫，主要服務中研院及國內合作學校的研究人員。

該設施目前配備多台不同類型的質譜儀，用於對不同樣品進行質譜分析，主要針對各種有機或無機化合物，包括化學合成、天然產物和代謝產物等，進行高低分辨測試和圖譜解析，提供精確的分子量測量，協助研究人員鑑定化合物的分子結構，以及相關定量分析的服務。

該核心設施的主要服務專案包括：
1.低解析度質譜分析 
2.高解析度質譜分析
3.胜?樣品質譜分析
4.非共價鍵結化合物質譜分析
5.有機或無機化合物質譜分析技術諮詢服務
6.以合作方式提供從樣品製備送測到質譜數據分析之客製服務

該核心設施的主要設備包括：
1. 液相層析電灑法飛行式質譜儀
2. 高解析磁場式質譜儀
3. 離子淌度/四極柱飛行時間多段式串聯譜儀
4. 材料影像分析質譜儀

該設施位於中研院化學研究所2樓質譜服務中心，由該所曾美郡研究技師負責管理。

有關小分子結構鑑定質譜核心設施的使用規則、收費標準及聯繫方式，請參見
http://140.109.88.72/mass/",學術,http://140.109.88.72/mass/,中研院學術處
全院性核心設施,腺相關病毒載體核心設施,"腺相關病毒載體核心設施是中研院生物醫學科學研究所的一個專題研究室，致力於腺病毒載體的製備工作已超過20年。該研究團隊開發了高效的腺病毒製備方法，能夠提高包裹腺病毒載體的成功率並實現大量複製。 

腺病毒載體是一種常用的基因轉染工具，具有多項基因傳遞特點。它可以在細胞實驗和動物實驗中應用廣泛，並能有效感染不同器官的細胞。腺病毒載體可以調控基因表達水準，並且不會嵌入細胞染色體，因此不會改變染色體結構。此外，它還能同時感染多個不同的基因，並具有不同的表達時間範圍。 

腺相關病毒核心設施的成立目的是為國內實驗室提供高品質且價格合理的定制腺相關病毒菌株。該設施擁有超過20年大量生產純化腺病毒的經驗，提供14種血清型的腺相關病毒菌株，以及帶有不同啟動子或報告基因的表達質粒。 
該核心設施主要提供以下服務專案： 
1.腺病毒載體包裝：將客戶提供的基因質粒包裝到腺病毒載體中，提供高效的基因傳遞工具。 
2.單一溶菌斑分離及培養病毒：進行單一溶菌斑的分離，並培養出純粹的腺病毒。 
3.大量複製病毒：進行大規模的腺病毒複製，以獲得足夠的病毒量進行後續實驗。 
4.相對小量複製病毒：進行相對較小規模的腺病毒複製，以滿足較小量的需求。 
5.細胞溶解物：提供細胞溶解物，即粗製的細胞內含有腺病毒的液體，供客戶使用。 
6.提供常用已純化病毒菌株材料：提供已純化的控制和常用的腺病毒菌株材料，每份50微升。 
7.腺相關病毒質粒構建設計諮詢服務：幫助客戶設計符合其研究需求的質粒。 

腺相關病毒核心設施的服務旨在支援中研院的研究人員、國內大學以及其他學術研究機構，為他們的科研工作提供必要的腺相關病毒製備服務。該設施位於中研院生物醫學科學研究所2樓205B室，由該所陶秘華研究員負責管理。 

有關腺相關病毒載體核心設施的使用規則、收費標準及聯繫方式，請參見 
https://www.ibms.sinica.edu.tw/aav/index.html",學術,https://www.ibms.sinica.edu.tw/aav/index.html,中研院學術處
全院性核心設施,高階光學顯微鏡核心設施,"高階光學顯微鏡核心設施於2008年3月由農業生物科技研究中心協助成立，並於2019年加入全院性核心設施計畫。該設施主要為中研院的研究人員、國內大學以及其他學術研究機構提供服務。 

該設施目前配備了2台不同類型的共軛焦顯微鏡，用於對不同樣品進行攝像分析。其中，LSM780共軛焦顯微鏡能夠提供螢光樣本的清晰影像，並去除非焦面的雜光。超高解析度顯微鏡ELYRA S1模組則適用於構造化照明顯微術 (Structure illumination microscope, SIM)，能夠提供超越光學極限的解析度，方便觀察小於200奈米的組織結構。轉盤式共軛焦顯微鏡具有高擷取速度和低光毒性螢光激發的特點，適合拍攝快速活體動態。 

主要的服務專案包括： 
1.委託操作：使用者可以委託操作設施中的顯微鏡，由專業人員執行實驗和影像攝取等服務。 
2.經管理人教學，並進行操作資格的認證。通過認證後，使用者可以預約時間自行操作顯微鏡設備。 
3.視院內需求辦理教學訓練與資格認證：根據院內需求，設施將提供顯微鏡的教學訓練和操作資格認證。 

主要設備包括： 
1.超高解析度共軛焦顯微鏡 (Zeiss LSM780 ELYRA S1) 
2.轉盤式共軛焦顯微鏡及細胞培養系統 (Andor Dragonfly) 

該設施位於中研院農業生物科技研究中心2樓A228 室，由該中心孫德芬副研究員負責管理。 

有關高階光學顯微鏡核心設施的使用規則、收費標準及聯繫方式，請參見 
https://abrc.sinica.edu.tw/icm/",學術,https://abrc.sinica.edu.tw/icm/,
